State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	10	$10792656	6	$4406929	0	$ 0	4	$4398113	3	$6360012	3	$6360012	0	$ 0	1	$25715	2	$3658687
AL	264	$1171418246	158	$250111173	40	$59264149	38	$123541133	15	$23118037	7	$22458922	2	$195033	18	$15802148	11	$7461592
AR	5	$1474229	3	$27180	0	$ 0	0	$ 0	1	$1447049	1	$1447049	0	$ 0	1	$ 0	2	$1011327
AZ	69	$76361299	47	$9213548	5	$1220192	6	$1053444	4	$47038059	4	$47038059	0	$ 0	3	$4653628	7	$23061388
CA	920	$3488416127	613	$263466250	101	$32763806	122	$124330941	50	$144723894	29	$111956933	1	$ 0	62	$109365584	71	$71522849
CO	162	$1891014224	106	$24665131	16	$90108994	11	$477141	12	$68520621	7	$66727506	0	$ 0	10	$15191898	20	$42609793
CT	70	$38152421	40	$5309761	3	$18271	3	$1330149	5	$4157123	1	$1102531	0	$ 0	2	$491977	5	$3940141
DE	15	$5976535	5	$890587	0	$ 0	0	$ 0	2	$1611909	2	$1611909	1	$66506	3	$189900	4	$1443761
FL	404	$452589004	263	$126281122	64	$6463253	48	$65439798	19	$27238079	9	$20027309	1	$-19634	19	$18502686	23	$17842451
GA	79	$28002538	48	$5585471	8	$2698360	0	$ 0	7	$15943554	3	$12728410	3	$109398	9	$3212156	10	$12322024
HI	10	$23655515	2	$338527	0	$ 0	0	$ 0	3	$19346698	3	$19346698	0	$ 0	3	$3955126	5	$15837972
IA	18	$9939916	6	$5340718	2	$136007	0	$ 0	7	$3163097	6	$3114043	0	$ 0	1	$-10	7	$2191704
ID	6	$4642081	2	$201382	0	$ 0	0	$ 0	4	$4440699	4	$4440699	0	$ 0	0	$ 0	4	$2655742
IL	107	$23831998	64	$6063506	8	$259399	7	$2555936	11	$11058736	4	$7666786	0	$ 0	8	$3653174	13	$11183483
IN	41	$154009875	20	$1433827	2	$14937	2	$21265	5	$7861213	2	$527088	0	$ 0	4	$903050	7	$4659042
KS	22	$3212233	9	$1538037	2	$38917	2	$280602	6	$813526	6	$815687	0	$ 0	3	$761623	4	$734790
KY	11	$1725061	5	$37574	0	$ 0	0	$ 0	4	$1632881	3	$1632881	0	$ 0	3	$1704078	4	$756478
LA	19	$75057419	8	$1023066	1	$ 0	2	$3715	5	$1644337	4	$1644453	2	$ 0	0	$ 0	3	$569337
MA	226	$194082622	127	$17250069	7	$350232	7	$1476152	16	$61745124	1	$5373961	0	$ 0	28	$83922657	38	$49753879
MD	504	$1759163128	326	$571953718	94	$61469839	94	$451655674	31	$92358144	14	$55753884	1	$655009	31	$215230897	41	$58449742
ME	8	$5963670	2	$6369	0	$ 0	0	$ 0	2	$1320178	1	$1272939	0	$ 0	3	$4351101	4	$2885207
MI	94	$74181946	62	$2562878	4	$-2469	6	$245846	9	$69338877	7	$69258862	0	$ 0	6	$1570030	12	$13113313
MN	62	$12507555	30	$3217032	3	$240376	3	$345316	4	$5757754	3	$5757754	0	$ 0	4	$6537061	6	$4937039
MO	33	$15970667	12	$1068089	0	$ 0	1	$1261892	6	$8313977	2	$2129027	0	$ 0	1	$815382	6	$7418277
MS	128	$367047486	60	$53030111	21	$26125835	19	$37018174	9	$3898151	6	$3890461	2	$72380	6	$285926	5	$539178
MT	19	$9009343	11	$2158751	0	$ 0	2	$603282	7	$6819592	3	$6216315	0	$ 0	4	$276095	6	$3776655
NC	66	$9795433	41	$2913204	4	$334209	2	$304200	10	$5012494	8	$1638622	4	$-325188	6	$598708	11	$5024562
ND	4	$2309846	0	$ 0	0	$ 0	2	$311483	2	$2309846	1	$1998363	0	$ 0	1	$311483	1	$1985817
NE	8	$2305743	3	$110414	0	$ 0	0	$ 0	2	$2114305	2	$2114305	0	$ 0	1	$153292	2	$976595
NH	41	$22512466	27	$8767298	2	$261289	1	$28348	2	$10900486	0	$ 0	0	$ 0	2	$10938179	3	$10180174
NJ	102	$17405268	56	$4700518	8	$343783	7	$991624	10	$9370035	6	$3716988	0	$ 0	8	$2928924	11	$8739186
NM	45	$50489030	29	$11483822	5	$182535	8	$1296468	4	$36433471	3	$36433475	0	$ 0	7	$2089460	6	$3868483
NV	28	$4895937	21	$3405616	3	$-922976	2	$24506	3	$2390453	3	$2338357	0	$ 0	2	$369350	3	$913366
NY	218	$91169175	119	$13786762	14	$802177	6	$4549072	27	$29594742	3	$1295795	0	$ 0	27	$9839349	36	$25142366
OH	380	$268542006	249	$185420690	43	$25166863	38	$131169937	18	$8103991	10	$6563285	0	$ 0	18	$14409412	16	$5986771
OK	18	$7767225	10	$1879012	5	$1034461	3	$336000	5	$5845153	3	$3070957	1	$29100	3	$2858069	4	$1720893
OR	43	$12246163	32	$4192364	5	$370627	1	$ 0	4	$6378710	4	$6378710	0	$ 0	2	$437456	5	$6119849
PA	186	$39835145	122	$15358048	5	$95466	2	$783278	20	$17550054	9	$13547297	0	$ 0	8	$2880030	21	$12514596
RI	16	$3550979	9	$482694	0	$ 0	0	$ 0	4	$2998789	1	$ 0	0	$ 0	1	$15610	4	$2142699
SC	30	$5097681	14	$335982	1	$5916	1	$-37	7	$3118599	6	$3118636	2	$-385	3	$1432527	8	$3233618
SD	7	$4960649	2	$57343	0	$ 0	0	$ 0	3	$4827902	2	$4827902	0	$ 0	3	$75404	3	$2499619
TN	38	$25329247	23	$3298294	4	$83638	2	$32110	6	$2819182	3	$848386	0	$ 0	3	$18825557	5	$1333431
TX	410	$1606707391	209	$91657506	48	$68801598	50	$40875204	47	$46394523	34	$21458908	3	$-577710	26	$79976857	40	$24189810
UT	39	$233988444	20	$1371202	2	$757089	2	$7100	5	$4061172	4	$3215821	0	$ 0	1	$100000	6	$2896404
VA	490	$537358678	301	$222561028	55	$71403392	66	$141956220	23	$12807199	15	$8827567	2	$3245201	35	$27886404	33	$12545825
VT	9	$1710722	5	$258845	0	$ 0	0	$ 0	3	$1369317	2	$1369317	0	$ 0	3	$1369317	2	$104804
WA	91	$29949736	57	$8262024	4	$62933	9	$1074565	5	$9778730	3	$9702353	0	$ 0	7	$1606405	16	$12940117
WI	37	$32458390	19	$18217236	3	$54275	1	$72810	7	$13141342	4	$11943254	0	$ 0	3	$89402	2	$10452724
WV	24	$41889102	10	$4777784	2	$107220	2	$542500	7	$6303077	1	$334803	0	$ 0	7	$6589814	3	$698024
WY	3	$1656988	0	$ 0	0	$ 0	0	$ 0	1	$1627258	1	$1627258	0	$ 0	1	$29875	1	$747607
