State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
AK	8	$13838993	5	$1029791	0	$ 0	2	$760150	1	$12787894	1	$12787894	0	$ 0	1	$ 0	3	$4654859
AL	132	$1530682310	90	$257977233	27	$88983532	28	$124359093	10	$24812417	7	$24417939	4	$393832	6	$19459877	6	$6150976
AR	6	$1900909	5	$406075	1	$15344	0	$ 0	1	$1494834	1	$1494834	0	$ 0	0	$ 0	1	$309834
AZ	66	$367899341	41	$14108360	7	$457912	7	$1285309	4	$86435021	4	$86435021	0	$ 0	4	$10847355	11	$34501521
CA	780	$4556126275	536	$318605221	95	$72479250	102	$125191984	41	$572658544	23	$83252065	0	$ 0	42	$150195765	76	$99608981
CO	144	$1442987282	101	$45146440	12	$5497150	5	$2940454	9	$80129651	8	$79894955	0	$ 0	8	$18695339	21	$57469722
CT	69	$28797207	40	$6852454	4	$848924	2	$1047440	5	$4664695	2	$641082	0	$ 0	1	$55000	4	$3417320
DE	20	$9308048	12	$2696956	1	$ 0	0	$ 0	2	$3206462	2	$3206462	1	$837193	2	$2015260	3	$2227106
FL	330	$1330893174	222	$158380743	54	$32544615	53	$84069066	15	$22717337	11	$17570360	1	$58664	9	$11231550	22	$20085624
GA	71	$20730652	40	$4532147	6	$758641	10	$2430021	6	$13197645	5	$12302142	1	$324996	8	$1247978	7	$11460408
HI	10	$22369277	4	$5449	1	$ 0	1	$-5506	2	$17902979	2	$17902979	0	$ 0	2	$4441781	5	$15620454
IA	16	$12967215	8	$4245690	2	$272147	1	$98306	4	$7115659	4	$7115659	0	$ 0	1	$68401	3	$4416704
ID	10	$3723536	4	$140229	0	$ 0	0	$ 0	5	$3566478	4	$3566478	0	$ 0	0	$ 0	3	$2318359
IL	98	$24169522	62	$9016206	12	$2120404	10	$1874207	8	$12952489	3	$5678126	0	$ 0	5	$836336	11	$11970266
IN	39	$194971449	18	$7549838	1	$13726	3	$19435	5	$6718320	2	$211929	0	$ 0	2	$40300	8	$4665596
