State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description
AK,AK-00,UNIV ALASKA FAIRBANKS,NNG04GI67G Modification 2,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",10/19/2005,04/30/2007,"Educational Institution,, Grant For Research",Educational - ,0,0,[None Indicated],N/A,N/A,WHISTLER MODE SOUNDING OF MAGNETOSPHERE
AK,AK-00,GEOPHYSICAL INSTITUTE U A F,NNG04GO30G Modification 1,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",10/19/2005,06/30/2006,"Educational Institution,, Grant For Research",Educational - ,0,0,[None Indicated],N/A,N/A,STUDY OF THE SHAPE & APPEARANCE OF CRATERS ON MARS RESULTING FROMOBLIQUE IMPACT
AK,AK-00,UNIV ALASKA FAIRBANKS,NAG511411 Modification 3,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",10/31/2005,12/31/2006,"Educational Institution,, Grant For Research",Educational - ,25000,0,[None Indicated],N/A,N/A,TIMED SOLAR EUV EXPERIMENT PHASE E CO-INVESTIGATOR  - SCOTT BAILEY.
AK,AK-00,UNIVERSITY OF ALASKA SYSTEMS (0147),NNGO4HZ03C Modification 22,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",11/04/2005,03/30/2008,"Educational Institution,, Cost No Fee",Educational - RFP5-53541-GGB,0,1408978,541710,N/A,N/A,"OPERATE AND MAINTAIN THE ALSKA SATELLITE FACILITY DATA AND APPL., CTR FOR THE EOSD & ISP"
AK,AK-00,UNIVERSITY OF ALASKA SYSTEMS (0147),NAG513580 Modification 2,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",11/16/2005,07/31/2006,"Educational Institution,State Government,, Grant For Research",Educational - ,88000,88000,[None Indicated],N/A,N/A,LARGE BODY IMPACT AND ITS PLANETARY IMPLICATIONS.
AK,AK-00,UNIV ALASKA FAIRBANKS,GSFC0200103DNAS501074 Modification 28,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",11/17/2005,03/11/2006,"Educational Institution,Historically Black College Or University,, Cost No Fee",Historically Black Colleges and Universities - ,500000,0,561210,N/A,N/A,MAINTENANCE/MISSION SUPPORT AT POKER FLATS
AK,AK-00,UNIVERSITY OF ALASKA SYSTEMS (0147),NNGO4HZ03C Modification 23,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",11/17/2005,03/30/2008,"Educational Institution,, Cost No Fee",Educational - RFP5-53541-GGB,907448,0,541710,N/A,N/A,"OPERATE AND MAINTAIN THE ALSKA SATELLITE FACILITY DATA AND APPL., CTR FOR THE EOSD & ISP"
AK,AK-00,UNIVERSITY OF ALASKA SYSTEMS (0147),NNG06GB49G Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",12/12/2005,11/30/2008,"Educational Institution,, Grant For Research",Educational - ,94675,94675,[None Indicated],N/A,N/A,UNDERSTANDING THE CAUSES AND FUTURE DIRECTION OF THE PRESENT RAPID THINNING OF JACOBHAVNS ISBRAE.
AK,AK-00,UNIV ALASKA FAIRBANKS,NAG512411 Modification 5,GSFC - Goddard Space Flight Center,"FAIRBANKS, AK (District 00)",12/21/2005,08/14/2006,"Educational Institution,, Grant For Research",Educational - ,121723,121723,[None Indicated],N/A,N/A,DETECTION OF CLIMATE CHANGE IN THE WESTERN ARTIC: SEA ICE TELECONNECTIONAND PRODUCTIVITY
AK,AK-00,UNIVERSITY OF ALASKA SYSTEMS (0147),NNG06EA96P Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"FAIRBANKS, AK (District 00)",01/01/2006,09/30/2006,"Educational Institution,, Firm Fixed Price",Educational - ,1380,1380,611310,N/A,N/A,TRAVEL COSTS TO THE KODIAK ISLAND FOR THE CONTRACTOR TO RESURVEY SURROUNDING GEODETIC SITES TO EFFECTIVELY RESUME DOWNLOADING GPS DATA
AK,AK-00,UNIVERSITY OF ALASKA SYSTEMS (0147),NNGO4HZ03C Modification 24,GSFC - Goddard Space Flight Center,"Fairbanks, AK (District 00)",01/11/2006,03/30/2008,"Educational Institution,, Cost No Fee",Educational - RFP5-53541-GGB,571263,0,541710,N/A,N/A,"OPERATE AND MAINTAIN THE ALSKA SATELLITE FACILITY DATA AND APPL., CTR FOR THE EOSD & ISP"
AK,AK-00,UNIVERSITY OF ALASKA SYSTEMS (0147),NNS06AA20G Modification 0 (Base Record),SSC - Stennis Space Center,"Fairbanks, AK (District 00)",01/12/2006,01/14/2007,"Educational Institution,, Grant For Research",Educational - ,145000,145000,[None Indicated],N/A,N/A,"THIS PROPOSAL FOR A PROOF-OF-CONCEPT DEMONSTRATION WILL ADDRESS THE NATION PRIORITY OF COASTAL MANAGEMENT AND CONTRIBUTE TO THE NASA SCIENCE MISSION DIRECTORATE APPLIED SCIENCE PROGRAM; INTERGRATING SYSTEMS AND BENCHMARKING SOLUTIONS (OR INTERGRATED SYSTEM SOLUTIONS). WE WILL WORK WITH OUR PARTNER ORGANIZATION, NOAA'S OFFICE OF RESPONSE AND RESTORATION, TO PROVIDE IT WITH NASA DATA AND MODEL OUTPUT TO AUGMENT THEIR DECISION SUPPORT TOOL(DST) FOR OIL SPILL RESPONSE. UNDER THE NATIONAL CONTINGENCY PLAN, NOAA IS DESIGNED TO PROVIDE THE SCIENTIFIC SUPPORT COORDINATOR(SSC) TO THE UNITED STATES COAST GUARD, WHICH SERVES AS THE FEDERAL RESTORATION STAFFS THE SSCS WITH OCEANOGRAPHERS, MODELERS, CHEMIST, AND GIOLOGISTS AVAILABLE TO THE SSCS 24HRS X 7 DAYS. THE DST FOR THIS APPLICATION AREA IS THE GENERAL NOAA OIL MODELING ENVRIRONMENT (GNOME) GNOME FORCASTS SPILL TRAJECTORIES BASED UPON THE BEST WIND AND OCEAN CIRCULATION FORCASTS AVAILABLE AT THE TIME OF THE RESPONSE. GNOME IS SET UP TO BE A FLEXIBLE TOOL FOR RESPONDERS. THE TRAJECTORY ANALYST CHOOSES THE BEST WIND AND OCEAN CIRCULATION FORCASTS AVAILABLE AT THE TIME OF THE RESPONSE AS INPUTS INTO GNOME. ACCURATE CIRCULATION FORECASTS WITH GOOD ESTIMATES OF UNCERTAINTY ARE THE KEY IN DEVELOPING BOTH THE BEST GUESS AND MINUMUM REGRET TRAJECTORIES. OUR GOAL IN THIS APPLICATION AREA IS TO PROVIDE IMPROVED REAL-TIME,HIGH-RESOLUTION WIND AND OCEAN CIRCULATION FORECASTS AND ERROR ESTIMATES FOR INCLUSION IN GNOME, THE NOAA'S STATE-OF-THE-ART DST FOR OIL SPILL RESPONSE. WE WILL ALSO PROVIDE NOAA WITH WAVE FORECASTS FOR PRINCE WILLIAM SOUND(PWS), ALTHOUGH WAVE FORCEASTS ARE NOT PRESENTLY A STANDARD INPUT TO GNOME. NOAA HAS INDICATED THAT BEING PROFIDED WAVE FORCASTS, IN ADDITION TO WIND AND OCEAN CIRCULATION FORECASTS, REPRESENTS AN OPPORTUNITY TO USE WAVE FORECASTS AS PART OF THEIR OIL WINDAGE CALCULATIONS. OUR PORJECT'S GENERAL PLAN AND APPROACH WERE DESCRIBED IN OUR ORIGINAL THREE YEAR PROPOSAL. HOWEVER, THE CONSTRAINTSIIMPOSED BY ONE YEAR OF PARTIAL FUNDIND DICATE THAT WE NARROW THE SCOPE OF OUR PROJECT TO FOCUS ON THE ONE APPLICATION AREA(OIL SPILL RESPONSE) AND MODIFY OUR PROJECT SCHEDULE, THE TASKS TO BE COMPLETED AND THE ASSOCIATED EVALUATION CRITERIA."
AK,AK-00,MILITARY AND VETERANS AFFAIRS ALASKA DEPARTMENT OF,NNS06AA87G Modification 0 (Base Record),SSC - Stennis Space Center,"FORT RICHARDSON, AK (District 00)",01/18/2006,01/31/2007,"State Government,, Grant For Research",Government - ,2976000,2976000,[None Indicated],N/A,N/A,EARMARK GRANT FOR THE ALASKA AVIATION SAFETY PROJECT (AASP) TO DEMONSTRATE THAT THE NUMBER OF AVIATION RELATED ACCIDENTS IN AK CAN BE DECREASED THROUGH THE USE OF REMOTE IMAGING PRINCIPLES AND OFF-THE-SHELF TECHNOLOGIES IN THE GENERAL AVIATOR'S COCKPIT AND PRE-FLIGHT PREPARATION PROCESS.
AK,AK-00,ASRC MANAGEMENT SERVICES INCORPORATED,NNL06AA80T Modification 0 (Base Record),LaRC - Langley Research Center,"ANCHORAGE, AK (District 00)",01/31/2006,08/31/2006,"Minority Owned,Native American Owned Business,SBA Certified 8A Program Participant,SBA Certified Small Disadvantaged Business,Self Certified Small Disadvantaged Business,Small Disadvantaged Business,, Cost Plus Fixed Fee","Small Disadvantaged Business,8(A) Program,Small Business - ",24169,24169,611430,N/A,N/A,INNOVATIVE DESIGN FOR ENGINEERING APPLICATIONS
AK,AK-00,ASRC MANAGEMENT SERVICES INCORPORATED,NNL05AC93T Modification 2,LaRC - Langley Research Center,"ANCHORAGE, AK (District 00)",01/31/2006,08/31/2010,"Minority Owned,Native American Owned Business,SBA Certified 8A Program Participant,SBA Certified Small Disadvantaged Business,Self Certified Small Disadvantaged Business,Small Disadvantaged Business,, Cost Plus Fixed Fee","Small Disadvantaged Business,8(A) Program,Small Business - ",423023,0,611430,N/A,N/A,"NASA INTEGRATED LEARNING AND DEVELOPMENT PROGRAM CLIN 0001, PROGRAM OP-- MOD NUMBERS WILL NOT RUN SEQUENTIAL"
