Month,FY 2009 New Grant Awards,FY 2009 Grant Awards Value,FY 2009 New Contract Awards,FY 2009 Contract Awards Value
October,0,0,150,19260335
November,82,8207812,317,48868944
December,103,14381361,500,51236080
January,120,18279693,863,75656360
February,80,8566148,635,68108511
March,120,11764687,715,63241773
April,113,14757173,742,71933952
May,83,22740800,637,83675890
June,161,26861668,1014,97707284
July,239,44308436,1235,125015545
August,352,48964446,1238,92645014
September,293,60966686,1640,191032184
Total,1746,279798910,9686,988381872
