Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,AZ,AZ-07,University Of Arizona,80NSSC24K0198 Modification P00002,NSSC - NASA Shared Services Center,"TUCSON, AZ (District 07)",05/29/2025,09/28/2026,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Hispanic Servicing Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$789,707",$0,[None Indicated],,,,"This project will directly help maximize the success of pandora, which is PART of NASA s astrophysics pioneers smallsat program. the pandora smallsat will provide a legacy data set of photometry and spectroscopy of dozens of exoplanets and their host stars that will support target selection for future jwst and ARIEL observations."
2025,CA,CA-28,California Institute Of Technology,80NM0018F0679 Modification P00031,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/09/2024,06/30/2030,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,050,000",$0,541715,80-0120,,,CASE: Contribution to ARIEL Spectroscopy of Exoplanets (71-700092)
2025,CA,CA-28,California Institute Of Technology,80NM0024F0041 Modification P00001,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",12/19/2024,03/30/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,541715,,,,NASA ARIEL science center (nasc) (77-217494)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0679 Modification P00032,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",01/24/2025,06/30/2030,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$750,000",$0,541715,80-0120,,,CASE: Contribution to ARIEL Spectroscopy of Exoplanets (71-700092)
2025,CA,CA-17,Leiden Measurement Technology Llc,80NSSC23CA108 Modification P00002,NSSC - NASA Shared Services Center,"SUNNYVALE, CA (District 17)",02/26/2025,07/16/2025,"Definitive Contract, Firm Fixed Price","Small Business Innovative Research,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation",$0,$0,541715,,,,SBIR phase II automated recovery and isolation of extraterrestrial lipids (ARIEL)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0679 Modification P00033,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",03/03/2025,06/30/2030,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$2,000,003",$0,541715,80-0120,,,CASE: Contribution to ARIEL Spectroscopy of Exoplanets (71-700092)
2025,CA,CA-28,California Institute Of Technology,80NM0024F0041 Modification P00002,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",03/12/2025,06/29/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,541715,,,,NASA ARIEL science center (nasc) (77-217494)
2025,CA,CA-17,Leiden Measurement Technology Llc,80NSSC23CA108 Modification P00003,NSSC - NASA Shared Services Center,"SUNNYVALE, CA (District 17)",03/18/2025,01/16/2026,"Definitive Contract, Firm Fixed Price","Small Business Innovative Research,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation",$0,$0,541715,,,,SBIR phase II automated recovery and isolation of extraterrestrial lipids (ARIEL)
2025,CA,CA-28,California Institute Of Technology,80NSSC25M7106 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"PASADENA, CA (District 28)",05/01/2025,07/31/2030, Cooperative Agreement,"Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,000,000","$36,351,000",[None Indicated],,,,"During FY25-30, the volume of IRSA's holdings will grow BY an order of magnitude (sec.2) AS we ingest data from euclid, spherex, neorveyor, ULTRASAT, and ARIEL. these new missions will be transformational in all science areas highlighted in the 2020 decadal survey report. IRSA will also continue to release data from neowise, IRTF, and the community, resources which have a strong track record of enabling novel research. we will also continue our successful initiative to provide public ACCESS to simulated data necessary for the success of the next generation of cosmology surveys."
2025,KS,KS-01,University Of Kansas Center For Research Inc,80NSSC25K7151 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"LAWRENCE, KS (District 01)",11/14/2024,12/31/2027,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$246,843","$639,996",[None Indicated],,,,"This xrp will use radial velocities from approved and archival programs at NASA/keck's KPF and nn-explore's wiyn/neid to measure masses of over 40 sub-neptunes, AS well AS re-analyzing archival TESS, k2, and kepler to measure precise planet sizes (via transits) and, where possible, stellar properties (via asteroseismology). our research program will empirically test the water world hypothesis, and maximizes the scientific return of TESS, k2, and kepler and ensures that high-priority targets for jwst and ARIEL are identified and accurately characterized. in addition, our program will keep targets flowing in support of jwst (and future ARIEL) atmospheric spectroscopy, and along the way it will also quantify stellar activity in planet-hosting systems across a range of stellar types that closely tracks the HWO target distribution, measure system architectures, and constrain interior compositions of planets straddling the super-earth/sub-neptune boundary."
