Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,CA,CA-12,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00020,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 12)",10/04/2024,09/30/2027,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization",$0,"$86,177,020",541715,,NNH19ZDA011O,,The Compton Spectrometer and Imager (COSI) phase c/d
2025,CA,CA-12,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00021,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 12)",10/29/2024,09/30/2027,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization","$30,854,000",$0,541715,,NNH19ZDA011O,,The Compton Spectrometer and Imager (COSI)
2025,CA,CA-12,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00022,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 12)",01/13/2025,09/30/2027,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization",$0,$0,541715,,NNH19ZDA011O,,The Compton Spectrometer and Imager (COSI)
2025,CA,CA-12,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00023,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 12)",01/24/2025,09/30/2027,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization",$0,$0,541715,,NNH19ZDA011O,,The Compton Spectrometer and Imager (COSI)
2025,CA,CA-12,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00024,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 12)",02/03/2025,09/30/2027,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization","$11,788,000",$0,541715,,NNH19ZDA011O,,The Compton Spectrometer and Imager (COSI)
2025,CA,CA-50,"University Of California, San Diego",80NSSC22K1881 Modification P00006,NSSC - NASA Shared Services Center,"LA JOLLA, CA (District 50)",03/05/2025,10/22/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization","$211,000",$0,[None Indicated],,,,"21-apra21-0027, radiation damage effects and charge trapping correction techniques in the COSI germanium detectors"
2025,CA,CA-12,"Regents Of The University Of California, The",80NSSC21K1317 Modification P00003,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 12)",04/08/2025,06/30/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization",$0,"$-170,982",[None Indicated],,,,"Analyzing the FIRST all-sky images of drep events measured with COSI section vii - project summary science goals and objectives: electron precipitation into the atmosphere CAN significantly drain the radiation belts during geomagnetic storms. loss to the magnetopause may also be significant, but the"
2025,CA,CA-12,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00025,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 12)",04/30/2025,09/30/2027,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization",$0,$0,541715,,NNH19ZDA011O,,"Removal/update clauses iaw e.o. 14148, 14057, 14173 and 14168. the Compton Spectrometer and Imager (COSI)"
2025,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC23F0006 Modification P00003,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",12/06/2024,10/31/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization","$4,200",$0,541715,,80MSFC20D0004,,"Compton Spectrometer and Imager (COSI) Standing Review Board (SRB) thermal support task order issued under 80msfc20d0004 aerospace research, development and engineering support (ardes) II."
2025,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC23F0006 Modification P00004,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",03/31/2025,09/30/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization","$10,000",$0,541715,,80MSFC20D0004,,"Compton Spectrometer and Imager (COSI) Standing Review Board (SRB) thermal support task order issued under 80msfc20d0004 aerospace research, development and engineering support (ardes) II."
2025,MI,MI-01,Michigan Technological University,80NSSC24K1479 Modification P00001,NSSC - NASA Shared Services Center,"HOUGHTON, MI (District 01)",04/14/2025,08/31/2027,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$49,776",$0,[None Indicated],,,,"23-astro23-0232, models & simulations for blazar polarization in gamma rays with COSI"
2024,CA,CA-50,"University Of California, San Diego",80NSSC22K1881 Modification P00004,NSSC - NASA Shared Services Center,"LA JOLLA, CA (District 50)",10/27/2023,10/22/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization","$211,000",$0,[None Indicated],,,,Radiation damage effects and charge trapping correction techniques in the COSI germanium detectors
2024,CA,CA-12,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00016,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 12)",01/17/2024,03/31/2024,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization","$5,088,030","$5,088,030",541715,,NNH19ZDA011O,,The Compton Spectrometer and Imager (COSI)
2024,CA,CA-12,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00017,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 12)",03/11/2024,04/30/2024,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization",$0,$0,541715,,NNH19ZDA011O,,The Compton Spectrometer and Imager (COSI)
2024,CA,CA-12,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00018,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 12)",04/30/2024,08/31/2024,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization",$0,"$19,530,821",541715,,NNH19ZDA011O,,The Compton Spectrometer and Imager (COSI)
2024,CA,CA-50,"University Of California, San Diego",80NSSC22K1881 Modification P00005,NSSC - NASA Shared Services Center,"LA JOLLA, CA (District 50)",07/02/2024,10/22/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization","$148,904",$0,[None Indicated],,,,"21-apra21-0027, radiation damage effects and charge trapping correction techniques in the COSI germanium detectors"
2024,CA,CA-12,"Regents Of The University Of California, The",80NSSC21K1317 Modification P00002,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 12)",07/09/2024,06/30/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization","$177,426",$0,[None Indicated],,,,Analyzing the FIRST all-sky images of drep events measured with COSI
2024,CA,CA-12,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00019,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 12)",08/26/2024,10/31/2024,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization","$7,242,700","$11,411,198",541715,,NNH19ZDA011O,,The Compton Spectrometer and Imager (COSI)
2024,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC23F0006 Modification P00002,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",09/24/2024,09/30/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization","$5,000","$7,037",541715,,80MSFC20D0004,,"Compton Spectrometer and Imager (COSI) Standing Review Board (SRB) thermal support task order issued under 80msfc20d0004 aerospace research, development and engineering support (ardes) II."
2024,MI,MI-01,Michigan Technological University,80NSSC24K1479 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"HOUGHTON, MI (District 01)",09/01/2024,08/31/2027,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$49,776","$149,328",[None Indicated],,,,Models & simulations for blazar polarization in gamma rays with COSI
2023,CA,CA-49,"University Of California, San Diego",80NSSC22K1881 Modification P00001,NSSC - NASA Shared Services Center,"LA JOLLA, CA (District 49)",10/21/2022,10/22/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization","$35,606",$0,[None Indicated],,,,"21-apra21-0027, radiation damage effects and charge trapping correction techniques in the COSI germanium detectors"
2023,CA,CA-13,"Regents Of The University Of California, The",80NSSC21K1815 Modification P00002,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 13)",10/25/2022,10/22/2023,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization",$0,$0,[None Indicated],,,,Detector modeling and data challenge for the Compton Spectrometer and Imager
2023,CA,CA-13,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00012,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 13)",12/15/2022,09/30/2023,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization","$5,481,105","$23,013,650",541715,,NNH19ZDA011O,,The Compton Spectrometer and Imager (COSI)
2023,CA,CA-12,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00013,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 12)",02/10/2023,09/30/2023,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization","$17,532,545",$0,541715,,NNH19ZDA011O,,The Compton Spectrometer and Imager (COSI)
2023,CA,CA-50,"University Of California, San Diego",80NSSC22K1881 Modification P00002,NSSC - NASA Shared Services Center,"LA JOLLA, CA (District 50)",04/04/2023,10/22/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization","$175,394",$0,[None Indicated],,,,"21-apra21-0027, radiation damage effects and charge trapping correction techniques in the COSI germanium detectors"
2023,CA,CA-12,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00014,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 12)",05/02/2023,09/30/2023,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization",$0,$0,541715,,NNH19ZDA011O,,The Compton Spectrometer and Imager (COSI)
2023,CA,CA-12,"Regents Of The University Of California, The",80GSFC21C0059 Modification P00015,GSFC - Goddard Space Flight Center,"BERKELEY, CA (District 12)",08/01/2023,03/31/2024,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, Minority Institution, Other Not For Profit Organization",$0,$0,541715,,NNH19ZDA011O,,The Compton Spectrometer and Imager (COSI)
2023,CA,CA-50,"University Of California, San Diego",80NSSC22K1881 Modification P00003,NSSC - NASA Shared Services Center,"LA JOLLA, CA (District 50)",09/01/2023,10/22/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization","$127,041",$0,[None Indicated],,,,"21-apra21-0027, radiation damage effects and charge trapping correction techniques in the COSI germanium detectors"
2023,CA,CA-12,"Regents Of The University Of California, The",80NSSC21K1815 Modification P00003,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 12)",09/21/2023,10/22/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization",$0,$0,[None Indicated],,,,Detector modeling and data challenge for the Compton Spectrometer and Imager
2023,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC23F0006 Modification 0 (Base Record),MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",10/28/2022,09/30/2023,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization","$25,000","$41,382",541715,,80MSFC20D0004,,"Compton Spectrometer and Imager (COSI) Standing Review Board (SRB) thermal support task order issued under 80msfc20d0004 aerospace research, development and engineering support (ardes) II."
