Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,HI,HI-02,California Association For Research In Astronomy,80NSSC18M0066,Modification P00012,NSSC - NASA Shared Services Center,"KAMUELA, HI (District 02)",04/13/2023,02/28/2023, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$249,148",$0,[None Indicated],,,,"This proposal to NASA BY the california association for research in astronomy (CARA) dba w. m. keck observatory (WMKO) is for renewal of the cooperative agreement award for support of NASA missions and NASA scientific research at WMKO, which operates the world s two (2) largest steerable optical and infrared telescopes on the summit of maunakea on the island of hawaii. NASA utilizes one-sixth of the annual operation capability of WMKO, having invested one-sixth of the capital costs and one-sixth of the operations costs since circa 1996. there has been a wealth of scientific results coming from the DYNAMIC scientific relationship between NASA missions such AS hubble space telescope (hst), spitzer, kepler, k2, chandra, herschel, WISE, galex, voyager, galileo, deep impact, cassini, new horizons, and the keck observatory. we propose here to extend that productive relationship to future NASA missions jwst, TESS, wfirst, euclid, mars 2020, and other MIDEX, SMEX, discovery, and new frontiers missions. the link between NASA and WMKO is powerful. NASA s space based discoveries inform and are informed BY the findings of its ground based partner, the w. m. keck observatory. NASA related projects are proposed BY the us community to nexsci and are awarded observing time provided BY NASA. this has proven productive in the past. a PRIME example is when kepler discovered objects transiting stars, WMKO undertook key observations that established that the candidate exosolar planets were indeed valid exosolar planets, and measured their masses, leading to the achievement of one of NASA s level 1 science goals: making a census of planetary systems down to the level of earth-sized planets. when spitzer and hst both detected an object in the distant universe, WMKO delivered the exact redshift of 8.68, well within the region that was thought to be the dark age before reionization. the research program enabled BY the NASA/WMKO partnership maps directly to the astrophysical and planetary priorities of NASA: the origin and evolution of the universe, the processes for life on other planets, the processes of formation of stars, galaxies, and planets, and the content, origin, and evolution of the SOLAR system and the potential for life elsewhere. the scope of the astrophysics and planetary science is breathtaking, ranging from the birth of the universe and the development of stars and galaxies over cosmic time, to the search for life on planets around other stars, to the formation, evolution, and possibility of life on other planets in our own SOLAR system. the two 10-meter primary apertures, diverse instrument suite including adaptive optics and the superb location on maunakea make WMKO an extraordinarily powerful and unique facility for addressing the research areas described above. additionally, WMKO CAN react quickly to NASA mission needs, rearranging nights on short notice. the track record of discoveries BY scientists using the WMKO in conjunction with NASA missions over the last two (2) decades gives strong testimony to that CASE. the program corresponding to NASA s in-guide funding amount provides NASA one-sixth of WMKO operations support and, in collaboration with the NASA exoplanet science institute (nexsci), WMKO will continue its Keck Observatory Archive (KOA) activities. in addition, we submit here an over-guide that allows for the development of data reduction pipelines (drps) over a period of five (5) years, to speed the reduction of new data with improved tools and to ACCESS the information inherent in 25 years of  the keck sky  easily and efficiently for all users. this proposal consolidates all direct NASA support for WMKO into one award."
2023,MA,MA-05,Smithsonian Institution,80NSSC19K0698,Modification P00004,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 05)",03/01/2023,03/25/2024,"Grant, Grant For Research",Non-Profit Institutions - Nonprofit Organization,$0,$0,[None Indicated],,,,"Astronomical observations in the mid/FAR-infrared wavelengths continue to advance our understanding of the evolution of stars and galaxies. the fine structure emission lines in the mid/FAR-infrared wavelengths arising from, for example, highly-charged atomic ions (mid-IR) and oxygen atoms (FAR-IR) are important targets of observations with the NASA astrophysics missions jwst and/or SOFIA, AS well AS the archival past missions herschel, spitzer, and the infrared space observatory (ISO). in the CASE of ions, because they are created BY high energy phenomena originating in cores and shocks of astronomical objects, their fine structure lines bridge data from these missions to data from, for example, chandra, AS well AS to optical data from hst. the fine structure emission lines are highly valued diagnostics of energies and densities in galaxies, planetary nebulae, and stars and AS probes of warm gases in circumstellar disks and outflows. diagnostic values of the fine structure emission lines depend on the ionization potentials of the ions AS well AS their fine structure transitions (leading to emission lines) in response to collisions with electrons, hydrogen atoms, and other species. we will provide reliable calculations of fine structure changing collisions of [o i] and h, [ne II] and h, and [ne III] and h using a fully quantum-mechanical scattering approach. the associated excitation and cooling rate coefficients will be applicable to modeling of astrophysical phenomena observed using mid/FAR-infrared astronomical spectroscopy and traced through gas around active galactic nuclei and irradiated protoplanetary disks, with particular relevance to jwst/MIRI, including several early release science projects. the data will lead to better models of ionic fine structure lines AS diagnostics of astrophysical environments using spectroscopic observations from air- and space-borne missions in the mid- and FAR-infrared wavelengths."
2023,CA,CA-13,"Regents Of The University Of California, The",80NSSC20K0832,Modification P00007,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 13)",01/23/2023,03/24/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization",$0,$0,[None Indicated],,,,"The l-shell x-ray spectrum of iron dominates the emission from many hot astrophysical objects, AS demonstrated early on with asca and currently BY the superb spectra observed with chandra's high-energy grating spectrometer. the upcoming X-Ray Imaging and Spectroscopy Mission (XRISM) will observe the fe l-shell x-ray emission from extended objects together with the associated fe k-shell x-ray emission. because collisional excitation cross sections from the l shell are almost an order of magnitude larger than those from the k shell, the l-shell emission may dominate the observed spectra from all but the very hottest objects. the most prominent lines in the l-shell spectrum of iron are often from fe xvii. however, lines from other charge states up to fe xxiv may contribute profusely. in order to understand the fe l-shell emission observed BY past and current missions laboratory measurements were needed to make sense of a veritable forest of lines from fe xviii through fe xxiv, i.e., from iron ions with an open l shell. astrophysical models originally had lines in the wrong place or omitted many of these lines altogether. the laboratory measurements provided line identifications, accurate line energies, relative intensities, and excitation cross sections. because most of the missing lines from fe xviii through fe xxiv were situated at the short-wavelength segment of the fe xvii emission, the focus of the laboratory measurements was on lines with wavelengths below 16.35   (above 760 EV). the historical assumption was that the longer-wavelength region above 16.3   DID not contain any l-shell x-ray lines from iron ions with an open l shell, because no such lines appeared in calculations. in the meantime, it has become clear that open l-shell iron ions have lines contributing to the long-wavelength segment of the fe l-shell x-ray spectrum. these lines are ascribed to so-called ""two-electron, one-photon"" transitions, the description of which requires more complex calculations than could be handled BY the early atomic physics codes. for example, fe xix lines have now been predicted and invoked to analyze chandra spectra. however, none of these lines have yet been identified and measured in the laboratory. similarly, only one such fe xviii transition has so FAR been measured and identified in laboratory measurements. these lines significantly increase the (otherwise unfitted) flux in this region and some blend with known lines. because all two-electron, one-photon transitions fall into the long-wavelength PART of the fe l-shell x-ray spectrum, their omission in the models results in a systematic deficiency in the fe l-shell spectrum. accounting for these lines is important for the analyses of current chandra spectra where unidentified features in the long-wavelength PART of the fe l-shell x-ray spectrum have already stimulated the need for a more complete list of fe lines. it will be especially important when analyzing XRISM observations, where these lines will be unresolved and merge with stronger features or the continuum. to address this systematic deficiency, we propose to measure the x-ray transitions from all open l-shell iron ions contributing to the fe l-shell x-ray spectrum. the measurements will be carried out at the livermore electron BEAM ion trap (ebit) facility and utilize spectrometers with resolving powers similar to chandra's high energy transmission grating spectrometer. moreover, the ebit x-ray calorimeter spectrometer, a 6x6 array built BY the Goddard Space Flight Center with the SAME specifications AS hitomi's sxs and XRISM's resolve calorimeter spectrometers, will provide simultaneous measurements of the full fe l-shell and k-shell x-ray emission. our measurements will, thus, eliminate the most significant remaining deficiency in the line list of the fe l-shell x-ray spectrum and illustrate its effect on the XRISM-type calorimeter measurements."
2023,MI,MI-06,Regents Of The University Of Michigan,80NSSC20K0883,Modification P00005,NSSC - NASA Shared Services Center,"ANN ARBOR, MI (District 06)",04/12/2023,04/08/2024,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"We propose a comprehensive study the abundance of cold phase metals in the diffuse interstellar medium (ism) BY combining the x-ray spectroscopic archive from XMM-newton, the chandra x-ray observatory, and UV datasets."
2023,MA,MA-07,Massachusetts Institute Of Technology,80NSSC22K0001,Modification P00002,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 07)",09/20/2023,09/01/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,Accretion and ejection in ncg 1365 with nustar and chandra/hetg
2023,VA,VA-05,Rector & Visitors Of The University Of Virginia,80NSSC22K0857,Modification P00001,NSSC - NASA Shared Services Center,"CHARLOTTESVILLE, VA (District 05)",03/06/2023,04/03/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning",$0,$0,[None Indicated],,,,"Idcs j1426.5+3508 is arguably the most massive, very high redshift virialized cluster, with many galaxy redshifts, our strong and weak lensing data, our strong sz detections, and a large x-ray flux from our chandra observation. we propose a 194 ks"
2023,NH,NH-02,Trustees Of Dartmouth College,80NSSC23K0557,Modification 0 (Base Record),NSSC - NASA Shared Services Center,"HANOVER, NH (District 02)",02/28/2023,01/31/2026,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$112,560","$334,873",[None Indicated],,,,"Supermassive black holes (smbh) at the centers of galaxies become active when they devour matter from around them at a high rate. much is still unknown about how matter around active galactic nuclei (agn) is regulated. the pure unified model posits that the differences in the observed signatures from agn occur only due to differences in observers  viewing angles. the receding torus model offers an explanation for the observed decrease in obscured agn fraction with luminosity (i.e., the dust sublimation radius is higher for more luminous agn, making them unobscured in many more viewing angles). more recently, the swift-bat 70-month survey, which observed the local universe in high-energy x-rays, and produced one of the most unbiased samples of obscured and unobscured agn, has found that the obscured fraction does not decrease with increasing luminosity, but with increasing accretion rate (that is, eddington ratio l_e /propto lbol/m_BH). these findings point to l_e being more fundamentally tied to torus structure than luminosity, and it is known AS the radiation regulated unified model. the proposed program directly addresses a major NASA science goal to probe the origin and destiny of our universe, including the nature of black holes, dark energy, dark matter, and gravity.  this project has clear significance to the objectives of the Astrophysics Data Analysis Program, AS it makes use of the archives of multiple NASA space missions. moreover, it will make extensive use of NASA s XMM, chandra, swift-bat and nustar surveys, AS well AS multiwavelength data from hubble, galex, sdss, spitzer and WISE, to carry out a rigorous study of the black hole accretion rate distribution and its redshift evolution."
2023,MO,MO-01,"Washington University, The",80NSSC23K1090,Modification 0 (Base Record),NSSC - NASA Shared Services Center,"SAINT LOUIS, MO (District 01)",07/11/2023,05/23/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization, Private University Or College","$59,883","$59,883",[None Indicated],,,,"Eht, XMM-newton, nustar, chandra study of the black hole mkn 501"
2023,MD,MD-05,University Of Maryland,NNX17AK70G,Modification 7,NSSC - NASA Shared Services Center,"COLLEGE PARK, MD (District 05)",01/05/2023,06/30/2022,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$-73,265","$-73,265",[None Indicated],80-0120,,,"Clusters of galaxies hold a unique position in hierarchical structure formation   they are both powerful cosmological probes and excellent astrophysical laboratories. accurate modeling of the cluster properties is crucial for reducing systematic uncertainties in cluster cosmology. however, theoretical modeling of the intracluster medium (icm) has long suffered from the ``cooling-flow problem    clusters with short central times or cool cores (ccs) are predicted to host massive inflows of gas that are not observed. feedback from active galactic nuclei (agn) is BY FAR the most promising heating mechanism to counteract radiative cooling. recent hydrodynamic simulations have made remarkable progress reproducing properties of the ccs. however, there remain two major questions that cannot be probed using purely hydrodynamic models: (1) what are the roles of cosmic rays (CRS)? (2) how is the existing picture altered when the icm is modeled AS weakly collisional plasma? we propose to move beyond limitations of pure hydrodynamics and progress toward a complete understanding of how agn jet-inflated bubbles interact with their surroundings and provide heat to the icm. our objectives include: (1) understand how crdominated bubbles heat the icm (2) understand bubble evolution and sound-wave dissipation in the icm with different assumptions of plasma properties, e.g., collisionality of the icm, with or without anisotropic transport processes (3) develop a sub-grid model of agn heating that CAN be adopted in cosmological simulations based on state-of-the-art isolated simulations. we will use a combination of analytical calculations and idealized simulations to advance our understanding of each individual physical process. we will then perform the FIRST three-dimensional (3d) magneto-hydrodynamic (mhd) simulations of self-regulated agn feedback with relevant CR and anisotropic transport processes in order to quantify the amount and distribution of heating from the agn. our proposed work will elucidate the poorly understood CR and anisotropic transport processes in the weakly collisional icm and shed light on the long-standing mystery of agn heating in cc clusters. our investigation, which incorporates plasma effects into fluid models and provides physical foundation for cosmological simulations, will serve AS an important bridge between physics on both micro and macro scales. this study will enable robust modeling of the radio-mode feedback of agn in cosmological simulations of cluster and galaxy formation. it will also directly impact observational studies of clusters including NASA missions such AS chandra, XMM-newton, astro-h/hitomi, fermi, hst, and planck."
2024,CT,CT-03,Yale University,80NSSC18K0418,Modification P00007,NSSC - NASA Shared Services Center,"NEW HAVEN, CT (District 03)",01/10/2024,01/17/2023,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College, School Of Forestry","$-1,005","$-1,005",[None Indicated],,,,"We propose to complete the census of cosmic black hole growth BY measuring luminous and/or distant quasars using spitzer, herschel, chandra and XMM-newton imaging in stripe 82 the deepest sloan digital sky survey field, and now the premier legacy"
