Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,AZ,AZ-04,"Kinetx, Inc.",80GSFC20C0062 Modification P00018,GSFC - Goddard Space Flight Center,"TEMPE, AZ (District 04)",10/16/2024,09/30/2025,"Definitive Contract, Firm Fixed Price","Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","$70,000","$70,000",334511,,NNH19ZDA010O,,"Deep Atmosphere Venus Investigation of Noble gases, Chemistry, and Imaging plus (DAVINCI+) kinetx phase a and phase b-science optimization and risk reduction (b-sorr)"
2025,AZ,AZ-02,Crisp Spectra Llc,80NSSC25PA150 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"SEDONA, AZ (District 02)",11/05/2024,10/31/2025,"Purchase Order, Firm Fixed Price","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Sole Proprietorship","$15,000","$15,000",541690,,,,Radiative transfer modeling and analysis for venus descent imaging and remote sensing on DAVINCI
2025,CA,CA-28,California Institute Of Technology,80NM0021F0040 Modification P00018,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/15/2024,06/30/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$2,415,000",$0,541715,,,,"JPL support of deep atmosphere venus investigation of noble gases, chemistry and imaging plus (DAVINCI+) project phase b (40-109970)"
2025,CA,CA-51,"Malin Space Science Systems, Inc.",80GSFC20C0063 Modification P00016,GSFC - Goddard Space Flight Center,"SAN DIEGO, CA (District 51)",10/17/2024,03/31/2025,"Definitive Contract, Firm Fixed Price","Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$800,000",$0,334511,,NNH19ZDA010O,,"Deep Atmosphere Venus Investigation of Noble gases, Chemistry, and Imaging (DAVINCI) malin space science systems phase a, b-sorr, b"
2025,CA,CA-39,Regents Of The University Of California At Riverside,80NSSC22M0188 Modification P00004,NSSC - NASA Shared Services Center,"RIVERSIDE, CA (District 39)",12/23/2024,09/30/2025, Cooperative Agreement,"Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Hispanic Servicing Institution, Nonprofit Organization","$15,000","$15,000",[None Indicated],,,,Eo14042 DAVINCI+ a giant leap forward in venus exploration
2025,CA,CA-28,California Institute Of Technology,80NM0021F0040 Modification P00019,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",01/06/2025,06/30/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$831,836",$0,541715,,,,"JPL support of deep atmosphere venus investigation of noble gases, chemistry and imaging plus (DAVINCI+) project phase b (40-109970)"
2025,CA,CA-51,"Malin Space Science Systems, Inc.",80GSFC20C0063 Modification P00017,GSFC - Goddard Space Flight Center,"SAN DIEGO, CA (District 51)",01/28/2025,06/30/2025,"Definitive Contract, Firm Fixed Price","Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$627,619",$0,334511,,NNH19ZDA010O,,"Deep Atmosphere Venus Investigation of Noble gases, Chemistry, and Imaging plus (DAVINCI) malin space science systems pre-phase b"
2025,CA,CA-28,California Institute Of Technology,80NM0021F0040 Modification P00020,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/23/2025,08/10/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,541715,,,,"JPL support of deep atmosphere venus investigation of noble gases, chemistry and imaging plus (DAVINCI+) project phase b (40-109970)"
2025,CA,CA-51,"Malin Space Science Systems, Inc.",80GSFC20C0063 Modification P00019,GSFC - Goddard Space Flight Center,"SAN DIEGO, CA (District 51)",05/30/2025,08/31/2025,"Definitive Contract, Firm Fixed Price","Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,$0,334511,,NNH19ZDA010O,,"Deep Atmosphere Venus Investigation of Noble gases, Chemistry, and Imaging plus (DAVINCI+) malin space science systems phase a"
2025,CO,CO-07,Lockheed Martin Corporation,80GSFC20C0059 Modification P00028,GSFC - Goddard Space Flight Center,"LITTLETON, CO (District 07)",10/31/2024,11/15/2024,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,336414,,NNH19ZDA010O,,DAVINCI SC
