Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,AK,AK-00,University Of Alaska Fairbanks,80NSSC22K1270 Modification P00002,NSSC - NASA Shared Services Center,"FAIRBANKS, AK (District 00)",01/02/2025,07/19/2027,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$94,190",$0,[None Indicated],,,,AS a long-time advocate for a new venus Synthetic Aperture Radar mission to venus and a core team member on the envision proposal submission
2025,AK,AK-00,University Of Alaska Fairbanks,80NSSC23K0033 Modification P00003,NSSC - NASA Shared Services Center,"FAIRBANKS, AK (District 00)",02/19/2025,02/19/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$-92,231","$-317,007",[None Indicated],,,,Vensar radiometry observations of venus characterizing surface dielectric properties and potential volcanic activity
2025,AZ,AZ-07,Planetary Science Institute,80NSSC22K1273 Modification P00002,NSSC - NASA Shared Services Center,"TUCSON, AZ (District 07)",03/27/2025,07/31/2027,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$82,846",$0,[None Indicated],,,,Geophysical characterization of surface and NEAR-surface structure on venus with vensar
2025,CA,CA-28,California Institute Of Technology,80NM0019F0090 Modification P00024,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/08/2024,11/30/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$16,237,000",$0,541715,,,,JPL contribution to envision 42-711260
2025,CA,CA-28,California Institute Of Technology,80NM0019F0090 Modification P00025,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",12/18/2024,11/30/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$4,928,399",$0,541715,,,,JPL contribution to envision 42-711260
2025,CA,CA-20,Sna Software Llc,80AFRC25FA006 Modification 0 (Base Record),AFRC - Armstrong Flight Research Center,"EDWARDS, CA (District 20)",12/18/2024,12/17/2025,"BPA Call, Firm Fixed Price","Veteran Owned Small Business,Small Business - For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Partnership Or Limited Liability Partnership","$413,875","$413,875",513210,,,,"Second AFRC call order for EPFD data analysis support with proteus, envision, and risky project."
2025,CA,CA-28,California Institute Of Technology,80NM0019F0090 Modification P00026,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",01/13/2025,11/30/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$7,639,000",$0,541715,,,,JPL contribution to envision 42-711260
2025,CA,CA-28,California Institute Of Technology,80NM0019F0090 Modification P00027,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/10/2025,11/30/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$7,000,000",$0,541715,,,,JPL contribution to envision 42-711260
2025,CA,CA-36,The Aerospace Corporation,80HQTR25F7089 Modification 0 (Base Record),HQ - Headquarters Acquisition Division,"EL SEGUNDO, CA (District 36)",04/14/2025,08/13/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$12,000","$28,157",541715,,,,Radar SME support for vensar
2025,CA,CA-28,California Institute Of Technology,80NM0019F0090 Modification P00028,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",05/22/2025,11/30/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$8,000,000",$0,541715,,,,JPL contribution to envision 42-711260
2025,MD,MD-03,Universities Space Research Association,80NSSC22K1859 Modification P00002,NSSC - NASA Shared Services Center,"COLUMBIA, MD (District 03)",12/13/2024,08/28/2027,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$96,685",$0,[None Indicated],,,,"21-vensar-21-0017, envision vensar observations of tectonic and volcanic processes on venus"
2025,MD,MD-03,Cornell Technical Services Llc,80LARC23F0049 Modification P00008,LaRC - Langley Research Center,"COLUMBIA, MD (District 03)",05/08/2025,09/30/2025,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership",$0,"$1,801",541715,,,,Venus Synthetic Aperture Radar on envision (vensar) project Standing Review Board (SRB) support
