Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,CA,CA-28,California Institute Of Technology,80NM0018F0576 Modification P00025,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/07/2024,06/30/2031,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$8,688,992",$0,541715,80-0120,,,Euclid project (70-16372)
2025,CA,CA-28,California Institute Of Technology,80NSSC25M7106 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"PASADENA, CA (District 28)",05/01/2025,07/31/2030, Cooperative Agreement,"Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,000,000","$36,351,000",[None Indicated],,,,"During FY25-30, the volume of IRSA's holdings will grow BY an order of magnitude (sec.2) AS we ingest data from euclid, spherex, neorveyor, ULTRASAT, and ARIEL. these new missions will be transformational in all science areas highlighted in the 2020 decadal survey report. IRSA will also continue to release data from neowise, IRTF, and the community, resources which have a strong track record of enabling novel research. we will also continue our successful initiative to provide public ACCESS to simulated data necessary for the success of the next generation of cosmology surveys."
2025,FL,FL-27,University Of Miami,80NSSC25K7471 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"MIAMI, FL (District 27)",03/12/2025,12/31/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$40,000","$40,000",[None Indicated],,,,Librae is a competively selected NASA project to run on the euclid satellite to probe source-subtracted cosmic infrared background anisotropies with the euclid sky survey data.
2025,MA,MA-07,Massachusetts Institute Of Technology,80NSSC25K7737 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 07)",05/27/2025,02/29/2028,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$278,513","$998,325",[None Indicated],,,,"24-egip24-0021, exploring uncharted corners of the SOLAR system with euclid to inform planetary formation models"
2025,OH,OH-11,Northeast Blueprint & Supply Co,80NSSC25PA557 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"EUCLID, OH (District 11)",02/10/2025,03/10/2025,"Purchase Order, Firm Fixed Price","Small Disadvantaged Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business","$14,480","$14,480",561990,,80NSSC25893822Q,,Digitizing effort of a large stirling engine document collection
2025,OH,OH-11,Northeast Blueprint & Supply Co,80NSSC25PA557 Modification P00001,NSSC - NASA Shared Services Center,"EUCLID, OH (District 11)",04/04/2025,05/07/2025,"Purchase Order, Firm Fixed Price","Small Disadvantaged Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business",$0,$0,561990,,80NSSC25893822Q,,Digitizing effort of a large stirling engine document collection
2025,OH,OH-11,Northeast Blueprint & Supply Co,80NSSC25PA557 Modification P00002,NSSC - NASA Shared Services Center,"EUCLID, OH (District 11)",05/02/2025,06/02/2025,"Purchase Order, Firm Fixed Price","Small Disadvantaged Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business",$0,$0,561990,,80NSSC25893822Q,,Digitizing effort of a large stirling engine document collection
2024,CA,CA-28,California Institute Of Technology,80NM0018F0576 Modification P00023,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/02/2023,06/30/2031,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$41,390",$0,541715,80-0120,,,Euclid project (70-16372)
2024,CA,CA-28,California Institute Of Technology,80NM0018F0576 Modification P00024,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/22/2024,06/30/2031,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$6,924,297",$0,541715,80-0120,,,Euclid project (70-16372)
2024,CA,CA-39,Regents Of The University Of California At Riverside,80NSSC21K0993 Modification P00002,NSSC - NASA Shared Services Center,"RIVERSIDE, CA (District 39)",05/10/2024,09/30/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Hispanic Servicing Institution, Nonprofit Organization","$62,418",$0,[None Indicated],,,,"Deep neural network generated imaging and spectroscopic data for euclid, spherex and roman space telescopes"
2024,CA,CA-28,California Institute Of Technology,NNN13D245T Modification 33,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",05/13/2024,03/31/2022,"Delivery Order, Cost Plus Fixed Fee","Government - Federal Government, Federally Funded Research And Development Corp, US Government Entity","$-191,127",$0,541712,80-0120,,,Euclid project
