Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,AL,AL-07,University Of Alabama,80NSSC24K0511 Modification P00001,NSSC - NASA Shared Services Center,"TUSCALOOSA, AL (District 07)",02/06/2025,01/01/2026,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning",$0,$0,[None Indicated],,,,22-swift22-0008 disentangling the fermi isotropic gamma ray background
2025,AL,AL-07,University Of Alabama,80NSSC24K0511 Modification P00002,NSSC - NASA Shared Services Center,"TUSCALOOSA, AL (District 07)",05/27/2025,01/01/2026,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning",$0,$0,[None Indicated],,,,22-swift22-0008 disentangling the fermi isotropic gamma ray background
2025,AL,AL-07,University Of Alabama,80NSSC25K7351 Modification P00001,NSSC - NASA Shared Services Center,"TUSCALOOSA, AL (District 07)",05/29/2025,11/03/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning","$47,827",$0,[None Indicated],,,,Enabling promp identifications of electromagnetic counterparts to high-energy neutrinos with fermi-lat
2025,CA,CA-19,University Of California Santa Cruz,80NSSC25K7109 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"SANTA CRUZ, CA (District 19)",11/04/2024,09/11/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Alaskan Native Servicing Institution, Educational Institution, Hispanic Servicing Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$70,000","$70,000",[None Indicated],,,,"23-fermi23-0031, targeted searches for young g-ray pulsars in unassoc. fermi-lat sources, using erosita arcsec-level x-ray counterparts"
2025,CA,CA-16,"Leland Stanford Junior University, The",80NSSC22K0718 Modification P00003,NSSC - NASA Shared Services Center,"STANFORD, CA (District 16)",02/21/2025,02/24/2026,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"Star-forming galaxies constitute a majority of galaxies in the universe. until recently they were only observed in radio, infrared, and optical wavelengths. thanks to the fermi large area telescope mission, a dozen of such galaxies are now observed in gamma rays. through these observations, empirical relationships were established between the star formation rate and radio, infrared, and gamma ray luminosities that holds over many orders of magnitude from dwarf galaxies up to starburst systems. the basic idea of a connection between the star formation rate that CAN be scaled through the thermal infrared emission, and nonthermal radio- and gamma rays seems to be clear. massive stars both heat infrared emitting dust and end their lives AS supernovae, whose remnants accelerate cosmic rays, the electron component of which produces synchrotron emission in the magnetic field of the galaxy. gamma rays with energies &gt;100 mev are the result of electron bremsstrahlung, inverse compton scattering off of the interstellar photons, and the hadronic emission produced in inelastic interactions of cosmic ray nucleons with gas. though this framework constitutes a physical basis for the correlation, its persistence over diverse interstellar environmental conditions is still a mystery. modern galaxy evolution simulations have included some of these processes but have a number of hidden parameters that undermine the reliability of their results. moreover, their steady-state solutions are suitable for unresolved systems, but DO not allow to accurately describe spatially resolved details that are observed in the local group galaxies. the objective of this proposal is to elucidate the nature of the widely-employed empirical radio/infrared/gamma-ray correlation, and its extension to sub-galactic scales. we will DO this BY modeling the thermal and non-thermal emissions from the milky way and local group galaxies. we are proposing to develop detailed models for the electromagnetic emission due to stars and dust in star-forming regions and entire galaxies. we will simulate the cosmic-ray transport and cosmic-ray-induced emissions from these galaxies BY including all relevant processes in the interstellar medium. in the CASE of star-forming galaxies, the energy density in the radiation and magnetic fields, cosmic rays, and turbulent motions of the interstellar gas are similar, so all of these components should be included self-consistently. our proposed study will provide the critical insights for breaking the impasse that the galaxy evolution modeling efforts have to properly include cosmic rays into the current frameworks."
2025,CA,CA-12,"Eureka Scientific, Inc.",80NSSC24K0630 Modification P00001,NSSC - NASA Shared Services Center,"OAKLAND, CA (District 12)",03/24/2025,03/31/2026,"Grant, Grant For Research","Small Disadvantaged Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business",$0,$0,[None Indicated],,,,Tracing the history and origin of the fermi and erosita bubbles using time-dependent rhd simulations
2025,CA,CA-16,"Leland Stanford Junior University, The",80NSSC22K0718 Modification P00004,NSSC - NASA Shared Services Center,"STANFORD, CA (District 16)",04/08/2025,02/24/2026,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"Star-forming galaxies constitute a majority of galaxies in the universe. until recently they were only observed in radio, infrared, and optical wavelengths. thanks to the fermi large area telescope mission, a dozen of such galaxies are now observed in gamma rays. through these observations, empirical relationships were established between the star formation rate and radio, infrared, and gamma ray luminosities that holds over many orders of magnitude from dwarf galaxies up to starburst systems. the basic idea of a connection between the star formation rate that CAN be scaled through the thermal infrared emission, and nonthermal radio- and gamma rays seems to be clear. massive stars both heat infrared emitting dust and end their lives AS supernovae, whose remnants accelerate cosmic rays, the electron component of which produces synchrotron emission in the magnetic field of the galaxy. gamma rays with energies &gt;100 mev are the result of electron bremsstrahlung, inverse compton scattering off of the interstellar photons, and the hadronic emission produced in inelastic interactions of cosmic ray nucleons with gas. though this framework constitutes a physical basis for the correlation, its persistence over diverse interstellar environmental conditions is still a mystery. modern galaxy evolution simulations have included some of these processes but have a number of hidden parameters that undermine the reliability of their results. moreover, their steady-state solutions are suitable for unresolved systems, but DO not allow to accurately describe spatially resolved details that are observed in the local group galaxies. the objective of this proposal is to elucidate the nature of the widely-employed empirical radio/infrared/gamma-ray correlation, and its extension to sub-galactic scales. we will DO this BY modeling the thermal and non-thermal emissions from the milky way and local group galaxies. we are proposing to develop detailed models for the electromagnetic emission due to stars and dust in star-forming regions and entire galaxies. we will simulate the cosmic-ray transport and cosmic-ray-induced emissions from these galaxies BY including all relevant processes in the interstellar medium. in the CASE of star-forming galaxies, the energy density in the radiation and magnetic fields, cosmic rays, and turbulent motions of the interstellar gas are similar, so all of these components should be included self-consistently. our proposed study will provide the critical insights for breaking the impasse that the galaxy evolution modeling efforts have to properly include cosmic rays into the current frameworks."
2025,CA,CA-18,Bay Area Environmental Research Institute,80NSSC21K1327 Modification P00004,NSSC - NASA Shared Services Center,"MOFFETT FIELD, CA (District 18)",04/16/2025,07/31/2025,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$284,753",$0,[None Indicated],,,,"We propose a cross-disciplinary, paradigm-shifting investigation of the mechanisms of particle acceleration and transport in SOLAR eruptive events, including particle acceleration and transport at the flare site on the sun and at the CME-driven shock in the heliosphere. we will focus on the coupling between these processes, which were traditionally treated separately, but CAN play a crucial role in providing the seed population for SOLAR energetic particles (seps), with flare-produced suprathermal particles to be reaccelerated BY the CME-driven shock. specifically, we AIM to address: (1) the mechanism(s) of particle acceleration at the coronal flare site, most likely via stochastic acceleration (sa) BY plasma turbulence (2) the processes that govern the escape and transport of flare-accelerated suprathermal particles to the CME-driven shock (3) diffusive shock acceleration (DSA) of particles at the CME-driven shock, using the escaping flare particles AS seeds (4) the escape of particles from the CME-driven shock, upstream to 1 AU AS seps and downstream to the sun AS gamma-ray producers, especially in those long-duration and behind-the-limb flares detected BY fermi. (II) methodology: we will adopt a novel, systems approach consisting of balanced, mutually supporting elements of theoretical development, numerical modeling, and data analysis. (1) this will be pursued in the framework of a hybrid model involving kinetic treatment of particles on microscopic scales and fluid (magnetohydrodynamic, mhd) treatment of the macroscopic development of the CME and shock evolution. the kinetic treatment involves sa and DSA of charged particles, AS well AS their two-way transport between the flare site, the CME-driven shock, and the in-situ instruments. we will perform data-driven simulations of well-observed events, where the mhd modeling will provide shock parameters for modeling DSA and magnetic connectivity for modeling particle transport. (2) the modeling results will be rigorously compared and validated with remote-sensing and in-situ observations. special attention will be paid to (i) nonthermal flare radiation, at x-rays from rhessi, gamma-rays from fermi, and radio from ground based telescopes and (II) accelerated electron to proton ratios and isotopic enrichments of ions, such AS 3he, that are sensitive to the underlying acceleration mechanisms. (III) relevance, impact and contribution: relevance: the proposed investigation directly addresses two of the three objectives of this LWS fst regarding (i) ""the relative roles of SOLAR flares and cmes in producing large SEP events"", and (II) ""particle acceleration mechanisms for producing suprathermal particles at the sun and in the heliosphere and for accelerating these particles to high energies"". it is also relevant to the third objective regarding ""particle transport ... and other effects that result in the observed variability in the properties of SEP events at 1 AU."" impact and contribution: (1) the proposed study, when fully executed, will have the potential to revolutionize our understanding of SEP production in SOLAR flares and cmes AS a coupled system. (2) to the best of our knowledge, no previous studies have tackled this important aspect of SEP production BY self-consistently including flare-accelerated particles AS the seed population. we will be able to fill this gap and contribute to the fst with a fully-developed modeling suite that CAN track particle acceleration at the flare site and at the CME-driven shock, AS well AS particle transport in between. (3) with an over-arching systems approach, it CAN also potentially contribute to the fst BY tying together works BY individual teams that focus on different aspects of the problem and BY performing end-to-end validation of modeling results with observations."
2025,CA,CA-16,The Leland Stanford Junior University,80NSSC23K1128 Modification P00002,NSSC - NASA Shared Services Center,"STANFORD, CA (District 16)",04/24/2025,05/23/2026,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"20-fermi20-0030, high-energy unknown transients: the fermi-INTEGRAL synergistic view"
2025,CA,CA-17,"New Tech Solutions, Inc.",80NSSC25FA465 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"FREMONT, CA (District 17)",05/28/2025,06/28/2025,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Sub Continent Asian American Owned Business","$35,254","$35,254",541519,,,,Fermi ssd database server & backup database server
