Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,TX,TX-25,The University Of Texas At Arlington,80GSFC22CA011 Modification P00007,GSFC - Goddard Space Flight Center,"ARLINGTON, TX (District 25)",04/30/2025,10/31/2028,"Definitive Contract, Firm Fixed Price","Educational - Educational Institution, Hispanic Servicing Institution, Minority Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,541715,,NNH21ZDA001N-GDCIDS,,Removal of clauses/DRD's iaw EO 14173 and e.o. 14168 - interdisciplinary scientist support for the Geospace Dynamics Constellation (GDC)
2025,CO,CO-02,The Regents Of The University Of Colorado,80GSFC22CA012 Modification P00007,GSFC - Goddard Space Flight Center,"BOULDER, CO (District 02)",04/30/2025,10/31/2028,"Definitive Contract, Firm Fixed Price","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,541715,,NNH21ZDA001NHMCS,,Removal of clauses/DRD's iaw EO 14173 and e.o. 14168 - interdisciplinary scientist support for the Geospace Dynamics Constellation (GDC) program.
2025,CA,CA-36,"Aerospace Corporation, The",80GSFC22CA013 Modification P00005,GSFC - Goddard Space Flight Center,"EL SEGUNDO, CA (District 36)",04/30/2025,10/31/2028,"Definitive Contract, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,336414,,NNH21ZDA001N-GDCIDS,,Removal of clauses/DRD's iaw EO 14173 and e.o. 14168 - Geospace Dynamics Constellation (GDC) interdisciplinary scientist support (GDC) NASA research.
2023,IA,IA-02,"University Of Iowa, The",80GSFC22CA036 Modification P00001,GSFC - Goddard Space Flight Center,"IOWA CITY, IA (District 02)",12/16/2022,01/31/2023,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,541713,,NNH17ZDA004O-GDC,,Magnetometers to advance GDC for the geospace DYNAMIC constellation phase a investigation implementation report and phase a bridge
2025,CO,CO-02,"Regents Of The University Of Colorado, The",80GSFC23CA004 Modification P00016,GSFC - Goddard Space Flight Center,"BOULDER, CO (District 02)",06/16/2025,09/30/2025,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,336419,,NNH17ZDA004O-GDC,,Extend POP and funding allotment date - phase a-b bridge aether instrument for the GDC Spacecraft
2025,TX,TX-20,Southwest Research Institute,80GSFC23CA005 Modification P00005,GSFC - Goddard Space Flight Center,"SAN ANTONIO, TX (District 20)",04/24/2025,09/26/2025,"Definitive Contract, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,336419,,NNH17ZDA004O-GDC,,Removal of clauses/drds iaw pcd 25-01
2024,TX,TX-32,University Of Texas At Dallas,80GSFC23CA018 Modification P00006,GSFC - Goddard Space Flight Center,"RICHARDSON, TX (District 32)",05/06/2024,06/30/2023,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$-65,343",$0,541713,,NNH17ZDA004O-GDC,,"Geospace Dynamics Constellation mission - thermal plasma sensor, limited phase a"
2023,TX,TX-20,Southwest Research Institute,80GSFC23CA019 Modification P00001,GSFC - Goddard Space Flight Center,"SAN ANTONIO, TX (District 20)",12/21/2022,01/31/2023,"Definitive Contract, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,541713,,NNH17ZDA004O-GDC,,GDC instrument 3di limited phase a iir
2024,MI,MI-06,Regents Of The University Of Michigan,80GSFC23CA020 Modification P00006,GSFC - Goddard Space Flight Center,"ANN ARBOR, MI (District 06)",05/06/2024,08/14/2023,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$-87,057",$0,541713,,NNH17ZDA004O-GDC,,GDC instrument nemesis limited phase a iir
2025,MD,MD-07,University Of Maryland Baltimore County,80GSFC23CA032 Modification P00010,GSFC - Goddard Space Flight Center,"BALTIMORE, MD (District 07)",03/12/2025,12/29/2029,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$130,000",$0,541715,,GDC-MOSAIC-UMBC,,Geospace Dynamics Constellation (GDC) modular spectrometer for atmosphere and ionosphere characterization (mosaic) instrument investigation.  original AO nnh17zda004o-GDC
2025,FL,FL-27,"Amu Engineering, Inc.",80GSFC23CA033 Modification P00015,GSFC - Goddard Space Flight Center,"MIAMI, FL (District 27)",03/12/2025,09/30/2025,"Definitive Contract, Time and Materials","Woman Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation, Women Owned, Women Owned Small Business",$0,$0,541330,,80GSFC23RA012,,Geospace Dynamics Constellation (GDC) modular spectrometer for atmosphere and ionosphere characterization (mosaic) instrument investigation
2025,MD,MD-04,Genesis Engineering Solutions Inc,80GSFC23CA034 Modification P00017,GSFC - Goddard Space Flight Center,"LANHAM, MD (District 04)",04/30/2025,06/30/2025,"Definitive Contract, Cost Plus Fixed Fee","Small Disadvantaged Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Minority Owned, Other Minority Owned, Self Certified Small Disadvantaged Business",$0,$0,541715,,80GSFC23RA008,,Geospace Dynamics Constellation (GDC) modular spectrometer for atmosphere and ionosphere characterization (mosaic) instrument investigation
2025,MI,MI-06,Regents Of The University Of Michigan,80GSFC23CA042 Modification P00009,GSFC - Goddard Space Flight Center,"ANN ARBOR, MI (District 06)",06/18/2025,08/29/2025,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,541715,,,,Phase a-b bridge contract for the Geospace Dynamics Constellation (GDC) NEAR earth magnetometer instrument in a small integrated system (nemisis) - modification updates period of performance and allotment date.
2025,TX,TX-24,University Of Texas At Dallas,80GSFC23CA043 Modification P00006,GSFC - Goddard Space Flight Center,"RICHARDSON, TX (District 24)",06/16/2025,09/30/2025,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,541715,,NNH17ZDA004O-GDC,,Extend POP and funding allotment date phase a-b bridge TPS instrument for GDC Spacecraft
2025,VA,VA-03,Cornell Technical Services Llc,80LARC19F0062 Modification P00002,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",04/02/2025,02/29/2020,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-3,878",$0,541712,,,,Geospace Dynamics Constellation instrument types cost range study. the purpose of this task order is to define the cost range for each of the instrument types expected in a Geospace Dynamics Constellation  mission.
2024,VA,VA-03,Cornell Technical Services Llc,80LARC21F0088 Modification P00004,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",03/01/2024,07/31/2022,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$2,721",$0,541715,,,,Geospace Dynamics Constellation (GDC) evaluation support
2024,MD,MD-03,Cornell Technical Services Llc,80LARC22F0027 Modification P00008,LaRC - Langley Research Center,"COLUMBIA, MD (District 03)",12/01/2023,11/30/2022,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$8,247",$0,541715,,,,Geospace Dynamics Constellation (GDC) Independent Review Board (IRB) support
2023,MD,MD-03,Cornell Technical Services Llc,80LARC22F0034 Modification P00005,LaRC - Langley Research Center,"COLUMBIA, MD (District 03)",04/18/2023,03/01/2023,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-581,244",$0,541715,,,,Living With a Star (LWS) program Geospace Dynamics Constellation (GDC) .investigation implementation report (iir) evaluation
