Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,IA,IA-02,"University Of Iowa, The",80GSFC22CA036,Modification P00001,GSFC - Goddard Space Flight Center,"IOWA CITY, IA (District 02)",12/16/2022,01/31/2023,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,541713,,NNH17ZDA004O-GDC,,Magnetometers to advance GDC for the geospace DYNAMIC constellation phase a investigation implementation report and phase a bridge
2023,TX,TX-20,Southwest Research Institute,80GSFC23CA019,Modification P00001,GSFC - Goddard Space Flight Center,"SAN ANTONIO, TX (District 20)",12/21/2022,01/31/2023,"Definitive Contract, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,541713,,NNH17ZDA004O-GDC,,GDC instrument 3di limited phase a iir
2023,MD,MD-03,Cornell Technical Services Llc,80LARC22F0034,Modification P00005,LaRC - Langley Research Center,"COLUMBIA, MD (District 03)",04/18/2023,03/01/2023,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-581,244",$0,541715,,,,Living With a Star (LWS) program Geospace Dynamics Constellation (GDC) .investigation implementation report (iir) evaluation
2023,CA,CA-17,"New Tech Solutions, Inc.",80NSSC23FA431,Modification 0 (Base Record),NSSC - NASA Shared Services Center,"FREMONT, CA (District 17)",04/17/2023,05/17/2023,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Sub Continent Asian American Owned Business","$209,793","$209,793",541519,,,,GDC parts in support of the serial data telemetry system (sdts)
2023,AK,AK-00,University Of Alaska Fairbanks,80NSSC22PB841,Modification P00001,NSSC - NASA Shared Services Center,"FAIRBANKS, AK (District 00)",11/22/2022,01/15/2023,"Purchase Order, Firm Fixed Price","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,611310,,,,Univ of alaska - Geospace Dynamics Constellation investigation implementation phase a study
2023,MI,MI-12,Regents Of The University Of Michigan,80NSSC22PB904,Modification P00001,NSSC - NASA Shared Services Center,"ANN ARBOR, MI (District 12)",11/22/2022,12/31/2022,"Purchase Order, Firm Fixed Price","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,541990,,,,Univ of michigan - Geospace Dynamics Constellation investigation implementation phase a study
2024,TX,TX-32,University Of Texas At Dallas,80GSFC23CA018,Modification P00006,GSFC - Goddard Space Flight Center,"RICHARDSON, TX (District 32)",05/06/2024,06/30/2023,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$-65,343",$0,541713,,NNH17ZDA004O-GDC,,"Geospace Dynamics Constellation mission - thermal plasma sensor, limited phase a"
2024,MI,MI-06,Regents Of The University Of Michigan,80GSFC23CA020,Modification P00006,GSFC - Goddard Space Flight Center,"ANN ARBOR, MI (District 06)",05/06/2024,08/14/2023,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$-87,057",$0,541713,,NNH17ZDA004O-GDC,,GDC instrument nemesis limited phase a iir
2024,VA,VA-03,Cornell Technical Services Llc,80LARC21F0088,Modification P00004,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",03/01/2024,07/31/2022,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$2,721",$0,541715,,,,Geospace Dynamics Constellation (GDC) evaluation support
2024,MD,MD-03,Cornell Technical Services Llc,80LARC22F0027,Modification P00008,LaRC - Langley Research Center,"COLUMBIA, MD (District 03)",12/01/2023,11/30/2022,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$8,247",$0,541715,,,,Geospace Dynamics Constellation (GDC) Independent Review Board (IRB) support
