Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,CO,CO-02,"Regents Of The University Of Colorado, The",80GSFC18C0061 Modification P00032,GSFC - Goddard Space Flight Center,"BOULDER, CO (District 02)",06/09/2025,04/30/2026,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$400,000",$0,541720,,80GSFC18R0028,,"Global-scale Observations of the Limb and Disk (GOLD) mission..the contractor shall provide the personnel, materials, equipment, and facilities necessary to accomplish the GOLD mission AS described in the GOLD concept study report. the contractor shall provide reports, reviews, and documentation for all aspects of the program. the contractor shall manage the activities of the science team.  the contractor shall maintain the GOLD science data center (SDC) at UCF, and shall perform data reduction and analysis for three years after the completion of commissioning the GOLD instrument. the contractor shall present the scientific results in presentations and published papers, and provide raw data and data products for archiving to an approved data archive.  the contractor is responsible for algorithm development and science planning and analysis of mission data and the publication of results..the GOLD project shall follow the guidelines of a Mission of Opportunity and the GOLD contract. the GOLD Principal Investigator (PI) shall have sole responsibility for the successful completion of this project. the PI shall delegate project management tasks to the project manager (PM) AS appropriate. the PM shall direct the GOLD project and have the responsibility for overall technical performance and resource management of the contract and all subcontracts. the PI/PM shall be the focal point for all contact with the government. the PM and staff shall support the PI AS required including the scheduling and coordinating of meetings and reviews, schedule control and reporting, financial control and reporting, subcontract management, configuration management and documentation, progress reports and reviews AS well AS all anomaly reporting activities."
2025,VA,VA-11,"Fibertek, Inc.",80LARC25PA004 Modification 0 (Base Record),LaRC - Langley Research Center,"HERNDON, VA (District 11)",05/08/2025,08/31/2025,"Purchase Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","$25,539","$25,539",541715,,80LARC3132025Q,,Assessment of the GOLD laser unit and diagnose the failed electrical subsystems.
2025,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC18M0147 Modification P00007,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",12/20/2024,12/31/2023, Cooperative Agreement,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$-5,$-5,[None Indicated],,,,"Turbulence evolves through highly nonlinear interaction of a broad spectrum of spatial and temporal scales. researchers have developed computational techniques to resolve all, some, or none of these scales and have developed turbulence models to capture the unresolved effects on the resolved scales or the mean flow field. resolving all (direct numerical simulation or dns), while most accurate, CAN require the largest supercomputer for months for relatively simple flows but is the GOLD standard for scale-resolving simulations (srs). modeling all (reynolds-averaged navier-stokes or rans) CAN give results on complicated flows in hours but the prediction has low confidence for important flows like separation from smooth surfaces. intermediate models (e.g., large eddy simulation (les) or detached eddy simulation (des)) resolve larger scales and provide intermediate accuracy and cost. for too long, researchers have pitched a particular model in this spectrum AS the key to improved engineering prediction. this proposal seeks to apply simulations across the entire modeling/resolving spectrum to systematically identify modeling successes and failures. rather than promote a single class of models, each lower fidelity model will be assessed with the next higher fidelity model under matched flow conditions. while the idea of using statistics, budgets, and a priori tests from higher fidelity models to identify failures and improvements to lower fidelity models is not new, the effort proposed herein builds strongly on this prior work together with dramatic advances in massively parallel cfd to apply this approach across an unprecedented range of reynolds numbers, srs models, coordinated flow problems, and boundary conditions. specifically, this work will study an extrusion of a bump profile that matches the centerline coefficient of pressure from a recently started joint computational/experimental study at boeing. BY resolving the wall layer at dns resolution over momentum thickness reynolds numbers ranging from   the tunnel speed (2130), the full tunnel speed (4260), and then up to 25,700 (using dns NEAR the wall and les away from it), wall models for les CAN be tested in a 12-fold rise in reynolds numbers in a combination of zero, favorable, and adverse pressure gradients that occur in rapid succession and result in separation. these conditions replicate the most challenging separated flows on high-lift wing configurations. using these three databases, models will be assessed using a priori and a posteriori closure modeling tests, improved, and then validated on a series of increasingly complex models, including, at the end, application of the improved srs models to high-lift wing configurations. the proposed effort is significant to NASA due to its strong potential to improve both srs models and ultimately rans models. this is important because without improving rans modeling, hybrid models that hold the greatest promise for srs methods will not achieve their full potential."
2024,VA,VA-08,National Society Of Black Engineers,80NSSC18P3498 Modification P00001,NSSC - NASA Shared Services Center,"ALEXANDRIA, VA (District 08)",08/09/2024,09/23/2018,"Purchase Order, Firm Fixed Price","Non-Profit Institutions - Black American Owned Business, Corporate Entity Tax Exempt, Minority Owned, Nonprofit Organization","$-6,000","$-6,000",813920,,,,GOLD level partnership - $6000 for the society of black engineers asc
2025,FL,FL-02,Florida State University,80NSSC19K0426 Modification P00010,NSSC - NASA Shared Services Center,"TALLAHASSEE, FL (District 02)",03/31/2025,05/25/2025,"Grant, Grant For Research","Educational - Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning",$0,$0,[None Indicated],,,,"Long-term exposure to the weightless environment causes astronauts to become sick and develop issues like constipation, skin rashes, and increased likelihood of developing a cold. this microgravity environment also induces a redistribution of bodily fluids towards the head. this fluid redistribution causes their heart and circulatory system (i.e., the arteries, veins, and lymphatic vessels that transport blood and lymph throughout the body) to work differently. no one has explored whether the increased likelihood of astronauts developing colds/being sick is linked to changes in how the cardiovascular system functions in spaceflight. this is a concern, AS how the immune system (which is responsible for making sure your body stays healthy) functions is linked to how well components of the immune system CAN travel throughout the body through the circulation. therefore, our general hypothesis is that an inability for components of the immune system to circulate normally causes the increased likelihood of astronauts becoming sick, AS well AS also playing a role with how the circulatory system adapts to a weightless environment due to the consequences of impaired immunity. we will test this hypothesis in the GOLD-standard rodent model for simulating microgravity effects on earth, the hindlimb-unloading (hu) model. using hu, we will test long-term simulated microgravity effects on the digestive and hindlimb systems of the rodents for their changes in immune factors and circulatory system responses. this will be done utilizing techniques that CAN measure a broadspectrum of immune factors in the tissues from the digestive system and hindlimb, to identify the most relevant target(s) that could influence altered immune response and changes in circulatory function. furthermore, we will test the function of the arteries, veins, and lymphatics in the digestive and hindlimb systems to compare responses between the two organ beds in response to long-term simulated microgravity. finally, we have discovered a novel therapeutic, anti-inflammatory agent, irisin, that we have shown in other rodent models of impaired immunity to resolve and beneficially improve outcomes of digestive and hindlimb structure, function, and immune state. we will use irisin AS a countermeasure in our simulated microgravity studies to treat the predicted immune-driven circulatory changes in the digestive and hindlimb systems, for our long-term goal of a treatment that CAN holistically treat astronauts and disease conditions on earth. these studies investigate novel and unexplored mechanisms, Biological responses, and treatments in relation to NASA space biology's goals to understand the basic mechanisms that animals use to adapt/acclimate to spaceflight, and to contribute basic knowledge of Biological adaptation/acclimation to spaceflight that may accelerate solutions to biomedical problems affecting human space exploration AS well AS human health on earth. we will discover new knowledge addressing topics of interest including immunology, musculoskeletal changes, digestive system changes, vascular and lymphatic drainage, and adaptation of life to space. indeed, through support of these research aims, we will discover new knowledge and therapies for the benefit of human space exploration and biomedical problems on earth."
2023,CA,CA-12,"Regents Of The University Of California, The",80NSSC19K0494 Modification P00004,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 12)",02/23/2023,10/31/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization",$0,$0,[None Indicated],,,,"Many advances in space science have originated with innovations in remote sensing and imaging technologies. several of these innovations have been implemented BY NASA science missions over the years, particularly in heliophysics. remote sensing of earth and its space environment at Ultraviolet wavelengths continues to support heliophysics science missions.   imaging of earth s space environment has provided an approach to address specific science questions pertaining to the variability of the space environment and the coupling of energy and momentum between the different plasma regimes around earth, and to the neutral atmosphere. advances in these areas are still necessary to develop understanding of our space environment, and provide necessary capability for space weather nowcasting and prediction.   hpd s goals, described in the NASA science plan, are met BY science missions in both the SOLAR-terrestrial physics and Living With a Star programs that will all likely benefit from and require the implementation of remote UV imaging. early development work in smaller optics and detectors will give those missions more options to achieve a broader set of science goals, using low-complexity, compact imagers while maintaining good technical margins.   there have been many NASA missions that have implemented UV imagers (TIMED, polar, image, ICON, GOLD). each of these besides polar implemented one or more UV spectrometers to separate specific emissions and create images of the scene, both in nadir viewing tracks and instantaneous 2d snapshots. AS described in the 2014 science plan, future missions will examine the coupling of the magnetosphere to the ionosphere, atmospheric heating BY the aurora, and the regulation of the system BY the mass of the atmosphere. these new missions will likely require imagers that provide scientific context over a large field of view with high spatial resolution. accompanying a spectrograph, this kind of imager relieves the spectrograph from having to provide all of these capabilities. a small UV imager CAN therefore be a key component in a synergistic payload, providing room to maneuver in the trade space of scientific and technical requirements that require imaging.   this proposal seeks to develop a basic, reference transmissive imager with high spatial resolution and large field of view. the goal is to prove the system with a simple mgf lens focusing UV light on heritage UV sensitive intensifier tube, while implementing FIRST a heritage 1k x 1k imaging capability, and then developing algorithms for spot centroiding that would result in up to 4k effective spatial resolution (i.e. sub pixel resolution). this CAN be performed within in the h-TIDES budget for the fact that UCB has recent and extensive capability in building UV hardware and CAN implement best practices and test programs from recently completed projects. the advancements proposed will also be in reduction of size of the imaging electronics (readout and post-processing). implementation of a centroiding algorithm will reduce the noise budget to poisson statistics, obviating sources of noise inherent in most detector schemes. overall, the expected reductions in mass, power and volume from any previous UV geospace imager will likely support the implementation of multiple cameras on large Spacecraft/missions, or single implementations on smallsats, down to possibly a 6u cubesat.   the proposal is supported BY 2 scientists at UCB, a technical project lead engineer, and two international co-is who will support discussions of traceability and track needs of the European Space Agency for their own mission, looking for opportunities for future collaboration with NASA and ESA missions."
2023,AL,AL-05,"University Of Alabama In Huntsville, The",80NSSC19M0033 Modification P00004,NSSC - NASA Shared Services Center,"HUNTSVILLE, AL (District 05)",05/09/2023,11/29/2022, Cooperative Agreement,"Educational - Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning",$-347,$-347,[None Indicated],,,,"The following technical proposal is submitted in response to the current call BY NASA SMD planetary division for high- temperature subsystems and components for long-duration (months) surface operations  on the planet venus. the problem at hand is how to maximize the survivability of sensors, electronics and other components on future venus surface landers under the extreme venus ambient (~500  c, 90 earth atm, highly acidic atmosphere, ETC). among the many challenges faced BY potential long duration landed missions, the most prominent one is maintaining the operation of on-board instruments with minimal or no active Thermal Control for extended periods [1]. these so-called mid-term missions are primarily designed to investigate geophysical properties of venus such AS heat flow, seismology, and geodesy. they require pertinent sensors and the associated subsystems to be able to withstand the severe temperature on venus surface for weeks or even months. this sets up the context of the current proposal. the objective of the proposed research is to develop a fiber-optic heat flux sensor (hfs) that is able to operate at an ambient temperature AS high AS 500  c with a 10-MW/m2 heat flux sensitivity. the innovation of the work is three-fold: a) there has been very little prior research on fiber-optic hfs, so the intended work represents a new concept in heat flux sensing. b) unlike traditional optical fiber thermal sensors, the new design uses GOLD-coated high temperature fiber bragg gratings (fbg) AS the sensing elements, which CAN withstand temperatures above 500  c. c) to improve the survivability of the interrogation-detection system under extreme conditions, an innovative scheme based on fbg wavelength discriminators is proposed, which allows the use of broadband light sources (e.g., LED) and direct power measurement."
2023,MA,MA-07,Trustees Of Boston University,80NSSC20K0151 Modification P00004,NSSC - NASA Shared Services Center,"BOSTON, MA (District 07)",03/07/2023,10/31/2023,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$100,000",$0,[None Indicated],,,,"Forest degradation and deforestation in west africa are widespread and the lack of information about the extent, magnitude and rate has contributed to inadequate development planning, and an inability of decision-makers and society to curb and mitigate the associated negative effects on land and people. a lack of ACCESS to the techniques and data required for production of comparable area estimates combined with a lack of consistent land classification systems prevent the generation of information on land dynamics required BY decision-makers to arrive at effective decisions. for example, effective land monitoring and unbiased estimation of area are mandatory when reporting within international frameworks such AS redd+ but being able to compare estimates in space and time is a necessity also for the local decision-maker. of importance to the lack of ACCESS to more advanced monitoring and estimation techniques are algorithm complexity and demands on data processing and storage   with the emergence of computing platforms such AS google earth engine, we are now at a position where we CAN alleviate such obstacles BY providing direct ACCESS to the science and technology required for addressing the environmental challenges in the region. with this proposal, we AIM to provide to a set of countries in west africa the capacity for landscape monitoring based on the analysis of time series of landsat observations, comprehensive support for sample-based estimation of map accuracy and area of land cover and land change in google earth engine. both the PI, co-i, and collaborators have a proven record of capacity building in tropical countries collaboration and coordination with silvacarbon, gofc GOLD, and the ast for servir s eastern and southern africa HUB will increase the likelihood of proposed effort having societal impact."
2025,CO,CO-02,University Corporation For Atmospheric Research,80NSSC20K0189 Modification P00005,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",12/13/2024,11/30/2025,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,,,"The global ionosphere electric field varies considerably longitudinally and from day-to-day, but the causes of these changes are not well understood. the main processes that produce electric fields include: the neutral wind dynamo the high-latitude electric fields of magnetospheric origin and the penetration of these fields to lower latitudes. interactions between these processes, their longitudinal variability, particularly during geomagnetic storms, produce highly DYNAMIC yet poorly-understood, longitudinal and day-to-day variations in the global electric field. at the low- and equatorial latitudes, the global electric field CAN rapidly raise or lower the ionosphere, and thus help create or suppress plasma instabilities, generate small-scale irregularities that are deleterious to Global Positioning System (GPS) and radio signal propagation. we propose to improve our understanding of the variability of the global electric field and its impact on the mid-, low- latitude and equatorial ionosphere, BY addressing four specific questions: 1) how DO the lower atmosphere TIDES/WAVES and magnetospheric inputs impact the global electric fields during geomagnetically quiet times? 2) how DO the quiet-time global electric fields impact the longitudinal and day-to-day variability of the ionosphere and plasma instability at the mid-, low-, and equatorial latitudes? 3) how DO geomagnetic storms impact the global electric fields? 4) how DO the storm-time global electric fields impact the longitudinal and day-to-day variability of the ionosphere and plasma instability at the mid-, low-, and equatorial latitudes? we will employ the whole atmosphere community climate model with thermosphere and ionosphere extension (waccm-x) to carry out the proposed work. an upper atmospheric model uses empirical or specified lower atmosphere tidal forcing. this impairs the accurate determination of electrodynamic forcing from both below and above. waccm-x treats the whole atmosphere AS an integrated system, and employs realistic electrodynamic forcing from both below and above. periods of geomagnetic activity that are suitable for this study will be identified. waccm-x will be run with, and without, magnetospheric inputs to understand the interplay between the two forcing sources. ionospheric rayleigh-taylor (r-T) instability growth rates will be calculated using model outputs. the waccm-x runs will be compared with data from incoherent scatter radars (isrs), communication/navigation outage forecast system-coupled ion neutral DYNAMIC investigation (c/nofs-cindi), the defense meteorology satellite program (DMSP), constellation observing system for meteorology, ionosphere, and climate (cosmic), and total electron content (tec), to understand longitudinal variations of the ionosphere and plasma instability from mid- to equatorial latitudes. diagnostic analyses will be conducted to understand physical sources that DRIVE this variability. the project team will make the following contributions to the wider team effort. model output and results from the proposed studies, including the calculated r-T instability growth rates, will be made available to all teams. we will attend team meetings and participate in team collaborative tasks. the proposed studies directly address the LWS focused science topic  mid-latitude and equatorial dynamics of the ionosphere- thermosphere system. it also addresses the key science goal #2 outlined in the current NASA decadal survey:  determine the dynamics and coupling of earth s magnetosphere, ionosphere, and atmosphere and their response to SOLAR and terrestrial inputs. furthermore, it is very relevant to interpreting the output from the current NASA flight mission, the Global-scale Observations of the Limb and Disk (GOLD). GOLD is seeing many structures in the equatorial anomalies after dark (r. eastes, private communication), which CAN only be interpreted with a better understanding of the low latitude electric field."
2024,MI,MI-06,Regents Of The University Of Michigan,80NSSC20K1313 Modification P00006,NSSC - NASA Shared Services Center,"ANN ARBOR, MI (District 06)",08/14/2024,08/31/2025,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"To address the science questions proposed above requires a systems science approach that CAN take into account the coupling among the different regions in the NEAR-earth space system, AS well AS taking advantage of the synergies between advanced numerical models and multi-instrument observations. a suite of state-of-the-art numerical models available through the university of michigan s space weather modeling framework (swmf) will be employed in this project. in addition, comprehensive observations from the NASA heliophysics system observatory (hso), such AS ACE, wind, GOLD, guvi and twins, and ground-based instruments, in particular GNSS receivers and radars, will be analyzed to obtain physical insights into the underlying processes responsible for ionospheric storms and be utilized AS input and AS constraints for model benchmark and validation purposes. data from the ICON mission will also be used when available. our science objective is directly relevant to two science goals in the heliophysics decadal survey:  2. determine the dynamics and coupling of earth s magnetosphere, ionosphere, and atmosphere and their response to SOLAR and terrestrial inputs 4. discover and characterize fundamental processes (e.g., ion-neutral coupling) that occur both within the heliosphere and throughout the universe. results obtained from this work will directly contribute to NASA geospace dynamics coupling (GDC) mission. in addition, ionospheric disturbances and thermospheric expansion are two of the five space weather disturbances highlighted in the president s space weather action plan (swan). our proposed efforts will result in improved scientific knowledge about them, which will lead to improved forecasts and thus have important practical benefits."
