Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,AL,AL-05,"University Of Alabama In Huntsville, The",80NSSC19M0033 Modification P00004,NSSC - NASA Shared Services Center,"HUNTSVILLE, AL (District 05)",05/09/2023,11/29/2022, Cooperative Agreement,"Educational - Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning",$-347,$-347,[None Indicated],,,,"The following technical proposal is submitted in response to the current call BY NASA SMD planetary division for high- temperature subsystems and components for long-duration (months) surface operations  on the planet venus. the problem at hand is how to maximize the survivability of sensors, electronics and other components on future venus surface landers under the extreme venus ambient (~500  c, 90 earth atm, highly acidic atmosphere, ETC). among the many challenges faced BY potential long duration landed missions, the most prominent one is maintaining the operation of on-board instruments with minimal or no active Thermal Control for extended periods [1]. these so-called mid-term missions are primarily designed to investigate geophysical properties of venus such AS heat flow, seismology, and geodesy. they require pertinent sensors and the associated subsystems to be able to withstand the severe temperature on venus surface for weeks or even months. this sets up the context of the current proposal. the objective of the proposed research is to develop a fiber-optic heat flux sensor (hfs) that is able to operate at an ambient temperature AS high AS 500  c with a 10-MW/m2 heat flux sensitivity. the innovation of the work is three-fold: a) there has been very little prior research on fiber-optic hfs, so the intended work represents a new concept in heat flux sensing. b) unlike traditional optical fiber thermal sensors, the new design uses GOLD-coated high temperature fiber bragg gratings (fbg) AS the sensing elements, which CAN withstand temperatures above 500  c. c) to improve the survivability of the interrogation-detection system under extreme conditions, an innovative scheme based on fbg wavelength discriminators is proposed, which allows the use of broadband light sources (e.g., LED) and direct power measurement."
2023,DE,DE-00,Blue Marble Space,80NSSC20M0076 Modification P00006,NSSC - NASA Shared Services Center,"CLAYTON, DE (District 00)",01/30/2023,02/18/2024, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,,,"Lipids are organic molecules of GREAT interest for future astrobiological planetary exploration to the moon, mars, and icy worlds. lipids are essential to life AS we know it and likely also to putative extraterrestrial organisms. lipids are also synthesized abiotically, and are hypothesized to be present on the moon. laboratory characterization techniques are well established but are laborious, operator dependent, and require large volumes of consumables, precluding in situ analysis. our solution is to develop an autonomous, miniaturized fluidic system, integrating lab techniques for lipid analysis while minimizing reagent volumes and concentrating organics for analysis, thereby increasing signal-to-noise ratios BY orders of magnitude. this system for future astrobiological and life-detection missions (either in situ or sample return) will extract lipid organics from (icy) regolith using (1) a fluidic sample processor made of inert materials compatible with organic solvents and (2) a machine-learning system to select processing steps and parameters to maximize lipid yield. our team of ARC early-career astrobiologists and engineers will advance a benchtop breadboard from TRL 2 to 4 over a 2-year timeframe using a modified scrum management approach. partners at shell will consult on optimal lipid-extraction techniques from environmental samples. coupling the breadboard to flight-heritage analytical instrumentation at GSFC s planetary environment laboratory will provide an ultimate  dirt to data  demonstration. our success strategy leverages three areas of ARC expertise: (1) proven design and development of spaceflight aqueous microfluidic platforms, (2)  GOLD standard  lipid biomarker laboratory analytical techniques developed and refined over 50 years, and (3) Artificial Intelligence and Machine Learning suitable for in-the-loop adaptive control of robotic analytical systems."
2023,LA,LA-02,Louisiana Board Of Regents,80NSSC23M0147 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"BATON ROUGE, LA (District 02)",09/06/2023,08/31/2024, Cooperative Agreement,"Government - State Government, US Government Entity","$99,997","$99,997",[None Indicated],,,,"Our approach for rapid detection and monitoring of microbial growth in Spacecraft environments is focused on the mitigation of adverse pathogen contamination for both crewed mars missions AS well AS robotic exploration. we have developed a gene sampling tool for rapid, dry (without liquid), purification of nucleic acid for subsequent genotyping in microgravity. at the core of the gene sampler technology is a GOLD-plated stainless steel microscopic pin (130 m 3mm) functionalized with synthetic rna capture sequences for selective purification of bacterial nucleic acid after at least 2 minutes of incubation in the Biological specimen. the tool is designed to interface with the cepheid cycles in orbit and the feasibility of the rna extraction approach was successfully validated on the International Space Station (ISS) in february 2021 using a radish plant harvested from the aph-02. building upon this feasibility study results we propose to integrate the gene sampling tool with a lab-on-a-chip platform for the selective, aptamer-mediated enrichment of bacterial species followed BY on-chip nucleic acid extraction for subsequent genotyping. the microfluidic chip will elegantly interface with the gene sampling tool for dry and selective purification of rna for subsequent genotyping of the pathogens. in response to identified microbial and health monitoring gaps BY the committee for space research (costar), this proposal aims to develop a tool for bacterial enrichment for rapid, selective, and sensitive detection of pathogens in the Spacecraft microbiome. one of the crucial obstacles to both human and robotic space exploration is maintaining and monitoring the cleanliness of the Spacecraft and instrumentation surfaces. microgravity increases the risks of microbial proliferation and outbreaks emphasizing the need for rapid pathogen monitoring that eliminates the need for multistep bacterial plating and nucleic acid purification protocols. our method offers a one-step nucleic acid purification process that provides faster results and requires less crew time and reduced workspace area. one year of funding is requested to develop a portable platform that does not require large, equipment and eliminates the multistep protocol for additional pre-concentration steps of the bacterial specimen while enabling selective isolation of target bacteria species and genetic analysis. rna purification and 16s-specific enrichment will be performed using the gene sampler tool for subsequent pcr genotyping experiments. the results of this study will also inform future efforts to integrate the platform with on-chip amplification and gene expression analysis."
2023,FL,FL-08,University Of Central Florida,NNG12PQ28C Modification 37,GSFC - Goddard Space Flight Center,"ORLANDO, FL (District 08)",08/10/2023,02/28/2021,"Definitive Contract, Cost No Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization, State Controlled Institution of Higher Learning","$-6,608",$0,541712,80-0120,NNH11ZDA002O,,"Global-scale Observations of the Limb and Disk (GOLD) phase astudy the Global-scale Observations of the Limb and Disk, (GOLD), proposal was selected under explorer missions of opportunity selected for phase a study. this effort is to support the phase a concept studies.the contractor shall prepare a concept study report and bridge proposal PER the concept study guidelines furnished BY NASA HQ. the contractor shall also support the requisite site visit.  this effort involves an imaging instrument that would fly on a commercial communications satellite in geostationary orbit to image the earth's thermosphere and ionosphere.deliverables include- concept study report (csr) due 9/2112012- bridge proposal due (2-3 months prior to csr)- conduct site visit (after csr delivery)"
2023,WA,WA-02,Fluke Electronics Corporation,80NSSC23PA580 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"EVERETT, WA (District 02)",02/17/2023,02/22/2024,"Purchase Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$33,724","$33,724",334519,,80NSSC828105Q,,Fluke metcal GOLD software support renewal
2023,NY,NY-12,Tech Service Solutions Llc,80NSSC23PA892 Modification P00001,NSSC - NASA Shared Services Center,"NEW YORK, NY (District 12)",07/10/2023,06/22/2023,"Purchase Order, Firm Fixed Price","Small Disadvantaged Business,Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation, Minority Owned, Self Certified Small Disadvantaged Business, Sub Continent Asian American Owned Business","$-268,372","$-268,372",333242,,80NSSC231254,,Ot : GOLD sputtering target
2023,GA,GA-06,International Association For Stability Handling & Use Of Liquid Fuels Inc.,80NSSC23PB824 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"ATLANTA, GA (District 06)",07/12/2023,12/31/2025,"Purchase Order, Firm Fixed Price","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$15,000","$15,000",813920,,,,"NASA iash GOLD membership 2023, 2024, 2025"
2023,CO,CO-06,Allium Us Holding Llc,80NSSC23PC620 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"ENGLEWOOD, CO (District 06)",09/26/2023,05/31/2024,"Purchase Order, Firm Fixed Price","Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","$28,000","$28,000",513199,,80NSSC23848508Q,,GOLD fire hyper care extension
2024,FL,FL-08,"4 Star Technologies, Inc.",80NSSC24FA150 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"ORLANDO, FL (District 08)",12/14/2023,12/13/2024,"Delivery Order, Firm Fixed Price","SBA Certified HUBZone,Veteran Owned Small Business,Service Disabled Veteran Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Service Related Disabled Veteran Owned Business, Subchapter S Corporation","$159,636","$159,636",541519,,80NSSC24856458Q,,A10 networks GOLD support plan renewal
2024,VA,VA-08,National Society Of Black Engineers,80NSSC18P3498 Modification P00001,NSSC - NASA Shared Services Center,"ALEXANDRIA, VA (District 08)",08/09/2024,09/23/2018,"Purchase Order, Firm Fixed Price","Non-Profit Institutions - Black American Owned Business, Corporate Entity Tax Exempt, Minority Owned, Nonprofit Organization","$-6,000","$-6,000",813920,,,,GOLD level partnership - $6000 for the society of black engineers asc
