Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,CA,CA-16,The Aerospace Corporation,80ARC024F0050 Modification P00001,ARC - Ames Research Center,"MOUNTAIN VIEW, CA (District 16)",12/03/2024,10/31/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$20,000",$0,541715,,80ARC024F0050RFP,,"The contractor shall provide specialized engineering services for the helioswarm flight mission to include requirements definition, contamination planning for the science instruments and Spacecraft, RF spectrum planning, and analysis support."
2025,CA,CA-16,The Aerospace Corporation,80ARC024F0050 Modification P00002,ARC - Ames Research Center,"MOUNTAIN VIEW, CA (District 16)",01/02/2025,10/31/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$38,467",$0,541715,,80ARC024F0050RFP,,"The contractor shall provide specialized engineering services for the helioswarm flight mission to include requirements definition, contamination planning for the science instruments and Spacecraft, RF spectrum planning, and analysis support."
2025,CA,CA-16,"Manufacturing Technical Solutions, Llc",80ARC025FA033 Modification 0 (Base Record),ARC - Ames Research Center,"MOFFETT FIELD, CA (District 16)",01/27/2025,08/31/2025,"Delivery Order, Firm Fixed Price","Woman Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation, Women Owned, Women Owned Small Business","$32,000","$99,010",541715,,,,Cpss pp&c task order helioswarm ARC- program analyst 4
2025,CA,CA-16,The Aerospace Corporation,80ARC024F0050 Modification P00003,ARC - Ames Research Center,"MOUNTAIN VIEW, CA (District 16)",03/10/2025,10/31/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$37,000",$0,541715,,80ARC024F0050RFP,,"The contractor shall provide specialized engineering services for the helioswarm flight mission to include requirements definition, contamination planning for the science instruments and Spacecraft RF spectrum planning and analysis support."
2025,CA,CA-16,The Aerospace Corporation,80ARC024F0050 Modification P00004,ARC - Ames Research Center,"MOUNTAIN VIEW, CA (District 16)",03/14/2025,10/31/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,541715,,80ARC024F0050RFP,,"The contractor shall provide specialized engineering servicesfor the helioswarm flight mission to include requirementsdefinition, contamination planning for the science instrumentsand Spacecraft RF spectrum planning and analysis support."
2025,CA,CA-18,Cgi Federal Inc.,80ARC025FA033 Modification P00001,ARC - Ames Research Center,"MOFFETT FIELD, CA (District 18)",03/20/2025,08/31/2025,"Delivery Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, Foreign Owned And Located, For Profit Organization",$0,$0,541715,,,,Cpss pp&c task order helioswarm ARC- program analyst 4
2025,CA,CA-18,Cgi Federal Inc.,80ARC025FA033 Modification P00002,ARC - Ames Research Center,"MOFFETT FIELD, CA (District 18)",04/04/2025,08/31/2025,"Delivery Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, Foreign Owned And Located, For Profit Organization","$21,132",$0,541715,,,,"Consolidated program support services (cpss) program, planning, and control (pp&c) task order: serve AS Subject Matter Expert for all aspects of Earned Value Management program analyst on the helioswarm project."
2025,CA,CA-16,The Aerospace Corporation,80ARC024F0050 Modification P00005,ARC - Ames Research Center,"MOUNTAIN VIEW, CA (District 16)",05/01/2025,10/31/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$58,900",$0,541715,,80ARC024F0050RFP,,"The contractor shall provide specialized engineering servicesfor the helioswarm flight mission to include requirementsdefinition, contamination planning for the science instrumentsand Spacecraft RF spectrum planning and analysis support"
2025,CA,CA-18,Cgi Federal Inc.,80ARC025FA033 Modification P00003,ARC - Ames Research Center,"MOFFETT FIELD, CA (District 18)",05/19/2025,08/31/2025,"Delivery Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, Foreign Owned And Located, For Profit Organization","$30,585",$0,541715,,,,"Consolidated program support services (cpss) program, planning, and control (pp&c) task order: serve AS Subject Matter Expert for all aspects of Earned Value Management program analyst on the helioswarm project."
2025,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC24F0148 Modification P00001,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",02/21/2025,09/30/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization",$0,$0,541715,,80MSFC20D0004,,Helioswarm SRB RF communications project
2025,MD,MD-02,"Space Exploration Engineering, Llc",80NSSC25CA061 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"TOWSON, MD (District 02)",04/22/2025,12/22/2025,"Definitive Contract, Firm Fixed Price","Small Business Innovative Research,Small Business - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$289,937","$289,937",541715,,,,SBIR phase III - helioswarm flight dynamics system
2025,NH,NH-01,University System Of New Hampshire,80ARC025CA001 Modification 0 (Base Record),ARC - Ames Research Center,"DURHAM, NH (District 01)",10/15/2024,11/14/2025,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization","$693,669","$11,545,202",541715,,NNH19ZDA013O,,Helioswarm program support
2025,NH,NH-01,University System Of New Hampshire,80ARC021C0001 Modification P00015,ARC - Ames Research Center,"DURHAM, NH (District 01)",11/05/2024,10/31/2024,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization","$-400,000","$-400,000",541715,,NNH19ZDA013O,,Helioswarm support
2025,NH,NH-01,University System Of New Hampshire,80ARC025CA001 Modification P00001,ARC - Ames Research Center,"DURHAM, NH (District 01)",11/06/2024,11/14/2025,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization","$918,000",$0,541715,,NNH19ZDA013O,,Helioswarm program support
2025,NH,NH-01,University System Of New Hampshire,80ARC025CA001 Modification P00002,ARC - Ames Research Center,"DURHAM, NH (District 01)",11/19/2024,11/14/2025,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization",$0,$0,541715,,NNH19ZDA013O,,Helioswarm program support
2025,NH,NH-01,University System Of New Hampshire,80ARC025CA001 Modification P00003,ARC - Ames Research Center,"DURHAM, NH (District 01)",01/07/2025,11/14/2025,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization","$1,320,000",$0,541715,,NNH19ZDA013O,,Helioswarm program support
2025,NH,NH-01,University System Of New Hampshire,80ARC025CA001 Modification P00004,ARC - Ames Research Center,"DURHAM, NH (District 01)",01/14/2025,11/14/2025,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization","$2,640,000",$0,541715,,NNH19ZDA013O,,Helioswarm program support
2025,NH,NH-01,University System Of New Hampshire,80ARC025CA001 Modification P00005,ARC - Ames Research Center,"DURHAM, NH (District 01)",03/06/2025,11/14/2025,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization","$400,000",$0,541715,,NNH19ZDA013O,,Helioswarm program support
2025,NH,NH-01,University System Of New Hampshire,80ARC025CA001 Modification P00006,ARC - Ames Research Center,"DURHAM, NH (District 01)",03/26/2025,11/14/2025,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization",$0,$0,541715,,NNH19ZDA013O,,Removal and addition of clauses iaw procurement class deviations (pcds) 25-01 and 25-02 - helioswarm program support
2025,NH,NH-01,University System Of New Hampshire,80ARC025CA001 Modification P00007,ARC - Ames Research Center,"DURHAM, NH (District 01)",04/11/2025,11/14/2025,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization",$0,$0,541715,,NNH19ZDA013O,,Helioswarm program support
2025,VA,VA-10,Northrop Grumman Systems Corporation,80ARC021C0006 Modification P00017,ARC - Ames Research Center,"STERLING, VA (District 10)",11/05/2024,09/30/2024,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","$-1,100,000","$-1,100,000",541715,,NNH19ZDA013O,,Helio swarm support
2025,VA,VA-10,Northrop Grumman Systems Corporation,80ARC024CA007 Modification P00001,ARC - Ames Research Center,"STERLING, VA (District 10)",11/06/2024,10/31/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$1,000,000",$0,541715,,NNH19ZDA013O,,Helioswarm program support
2025,VA,VA-10,Northrop Grumman Systems Corporation,80ARC024CA007 Modification P00002,ARC - Ames Research Center,"STERLING, VA (District 10)",11/19/2024,10/31/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,$0,541715,,NNH19ZDA013O,,Helioswarm program support
2025,VA,VA-10,Northrop Grumman Systems Corporation,80ARC024CA007 Modification P00003,ARC - Ames Research Center,"STERLING, VA (District 10)",01/07/2025,10/31/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$1,000,000",$0,541715,,NNH19ZDA013O,,Helioswarm program support
2025,VA,VA-10,Northrop Grumman Systems Corporation,80ARC024CA007 Modification P00004,ARC - Ames Research Center,"STERLING, VA (District 10)",01/14/2025,10/31/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$2,000,000",$0,541715,,NNH19ZDA013O,,Helioswarm program support
2025,VA,VA-10,Northrop Grumman Systems Corporation,80ARC024CA007 Modification P00005,ARC - Ames Research Center,"STERLING, VA (District 10)",02/13/2025,10/31/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,"$993,447",541715,,NNH19ZDA013O,,Helioswarm program support
2025,VA,VA-10,Northrop Grumman Systems Corporation,80ARC024CA007 Modification P00006,ARC - Ames Research Center,"STERLING, VA (District 10)",03/13/2025,10/31/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$800,000",$0,541715,,NNH19ZDA013O,,Helioswarm program support
2025,VA,VA-10,Northrop Grumman Systems Corporation,80ARC024CA007 Modification P00007,ARC - Ames Research Center,"STERLING, VA (District 10)",03/26/2025,10/31/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,$0,541715,,NNH19ZDA013O,,Removal and addition of clauses iaw procurement class deviations (pcds) 25-01 and 25-02 - helioswarm program support
2025,VA,VA-10,Northrop Grumman Systems Corporation,80ARC021C0006 Modification P00018,ARC - Ames Research Center,"STERLING, VA (District 10)",04/16/2025,09/30/2024,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","$-73,249","$-73,249",541715,,NNH19ZDA013O,,Helio swarm phase support
2025,VA,VA-10,Northrop Grumman Systems Corporation,80ARC024CA007 Modification P00008,ARC - Ames Research Center,"STERLING, VA (District 10)",04/17/2025,10/31/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$2,393,249",$0,541715,,NNH19ZDA013O,,Helioswarm program support
2024,CA,CA-16,The Aerospace Corporation,80ARC019F0036 Modification P00001,ARC - Ames Research Center,"MOFFETT FIELD, CA (District 16)",08/01/2024,09/30/2019,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$-105,$0,541712,,,,Task order for independent cost estimate and independent schedule estimate support for the helioswarm ARC proposal required BY 30 september 2019.
2024,CA,CA-16,The Aerospace Corporation,80ARC024F0050 Modification 0 (Base Record),ARC - Ames Research Center,"MOUNTAIN VIEW, CA (District 16)",08/21/2024,10/31/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$50,000","$283,016",541715,,80ARC024F0050RFP,,"The contractor shall provide specialized engineering services for the helioswarm flight mission to include requirements definition, contamination planning for the science instruments and Spacecraft, RF spectrum planning, and analysis support."
