Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,PA,PA-14,"Ansys, Inc.",80NSSC23FA105,Modification 0 (Base Record),NSSC - NASA Shared Services Center,"CANONSBURG, PA (District 14)",12/16/2022,12/15/2023,"Delivery Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","$115,752","$115,752",511210,,,,Agi stk and odtk licenses for helioswarm
2024,CO,CO-02,Blue Canyon Technologies Llc,80ARC022CA002,Modification P00009,ARC - Ames Research Center,"LAFAYETTE, CO (District 02)",08/26/2024,09/09/2024,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","$-1,272,514","$-1,272,514",541715,,NNH19ZDA013O,,Phase b prep phase involves the support and preparation for later helioswarm phases.
2024,CA,CA-16,The Aerospace Corporation,80ARC019F0036,Modification P00001,ARC - Ames Research Center,"MOFFETT FIELD, CA (District 16)",08/01/2024,09/30/2019,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$-105,$0,541712,,,,Task order for independent cost estimate and independent schedule estimate support for the helioswarm ARC proposal required BY 30 september 2019.
2025,NH,NH-01,University System Of New Hampshire,80ARC021C0001,Modification P00016,ARC - Ames Research Center,"DURHAM, NH (District 01)",07/01/2025,10/31/2024,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization","$-569,276","$-569,276",541715,,NNH19ZDA013O,,Helioswarm phase a support
2025,NH,NH-01,University System Of New Hampshire,80ARC025CA001,Modification P00011,ARC - Ames Research Center,"DURHAM, NH (District 01)",08/25/2025,01/31/2026,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization","$6,000,000",$0,541715,,NNH19ZDA013O,,Helioswarm program support
2025,VA,VA-10,Northrop Grumman Systems Corporation,80ARC021C0006,Modification P00018,ARC - Ames Research Center,"STERLING, VA (District 10)",04/16/2025,09/30/2024,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","$-73,249","$-73,249",541715,,NNH19ZDA013O,,Helio swarm phase support
2025,VA,VA-10,Northrop Grumman Systems Corporation,80ARC024CA007,Modification P00014,ARC - Ames Research Center,"STERLING, VA (District 10)",08/21/2025,10/31/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$3,059,516",$0,541715,,NNH19ZDA013O,,Helioswarm program support
2025,MD,MD-02,"Space Exploration Engineering, Llc",80NSSC25CA061,Modification 0 (Base Record),NSSC - NASA Shared Services Center,"TOWSON, MD (District 02)",04/22/2025,12/22/2025,"Definitive Contract, Firm Fixed Price","Small Business Innovative Research,Small Business - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$289,937","$289,937",541715,,,,SBIR phase III - helioswarm flight dynamics system
2025,CA,CA-16,The Aerospace Corporation,80ARC024F0050,Modification P00009,ARC - Ames Research Center,"MOUNTAIN VIEW, CA (District 16)",09/02/2025,01/30/2026,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$58,779",$0,541715,,80ARC024F0050RFP,,"The contractor shall provide specialized engineering services for the helioswarm flight mission to include requirements definition, contamination planning for the science instruments and Spacecraft, RF spectrum planning, and analysis support."
2025,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC24F0148,Modification P00002,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",07/10/2025,11/30/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization",$0,$0,541715,,80MSFC20D0004,,Helioswarm SRB RF communications project
2025,CA,CA-18,Cgi Federal Inc.,80ARC025FA033,Modification P00005,ARC - Ames Research Center,"MOFFETT FIELD, CA (District 18)",08/28/2025,08/31/2026,"Delivery Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, Foreign Owned And Located, For Profit Organization","$15,293","$185,347",541715,,,,"Consolidated program support services (cpss) program, planning, and control (pp&c) task order: serve AS Subject Matter Expert for all aspects of Earned Value Management program analyst on the helioswarm project."
