Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,CA,CA-16,Lockheed Martin Corporation,NNM07AA01C Modification 85,MSFC - Marshall Space Flight Center,"PALO ALTO, CA (District 16)",10/09/2024,10/31/2025,"Definitive Contract, Cost Plus Incentive Fee",Other Than Small Business - ,"$630,000",$0,541710,,,,"Hinode (formerly known AS SOLAR b phase e)--focal plane package mission operations and data analysis.  the hinode program is a continuation of a joint ""international"" venture between the united states, GREAT britain and japan to advance our understan"
2025,CA,CA-16,Bay Area Environmental Research Institute,80NSSC21K1684 Modification P00003,NSSC - NASA Shared Services Center,"MOFFETT FIELD, CA (District 16)",12/06/2024,07/31/2025,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$27,196",$0,[None Indicated],,,,"The SOLAR atmosphere is composed of many species, which are populated at different ionization and excitation levels. the upper chromosphere, transition region, and corona are nearly collisionless. consequently, slippage between, for instance, ions and neutral particles, or interactions between separate species, may have an important effect on alfv n WAVES. long-standing issues concern the 1) generation, propagation, and damping of alfv n WAVES, 2) the role of the particle and wave-particle interactions in the weakly collisional chromosphere, and corona and 3) chemical fractionation (the so-called FIRST ionization potential (fip)-effect, which is the relative enrichment of elements with low FIRST ionization potential in the corona). this proposal aims to investigate multi-fluid and multi-species (mfms) effects on the propagation, dissipation, wave-particle interaction of alfv n WAVES in the SOLAR atmosphere, and any resulting chemical fractionation. in order to achieve this goal, we have developed a 3d mfms numerical code (ebysus, martinez-sykora, et AL. 2020) to investigate such effects. ebysus is capable of treating species (e.g., hydrogen, helium, ETC.) and fluids (neutrals, excited and ionized elements) separately, including non-equilibrium ionization, momentum exchange, radiation, thermal conduction, AS well AS other complex processes in the SOLAR atmosphere. our FIRST highly simplified tests with ebysus reveal that high-frequency WAVES CAN DRIVE velocity drifts between ionized species (martinez-sykora et AL. 2020). such velocity drifts CAN be dissipated with collisions, and it is possible that this may play an essential role in maintaining the chromospheric and transition region (tr) heating. in addition, our preliminary tests generate chemical fractionation of elements. it is well known that chemical fractionation occurs in the stellar atmospheres, which amplitude of abundance depends on the fip-effect. the fip-effect is poorly understood, probably originating in the deep chromosphere where the FIRST ionization occurs and carrying its signature through the many layers and magnetic elements of the corona and SOLAR wind. differing element abundances are one of the most robust discriminators of the various types of SOLAR wind. understanding fractionation is thus a critical ingredient in establishing the connectivity between the SOLAR wind and surface. we are proposing to drastically EXPAND the existing highly idealized numerical models BY investigating high-frequency alfv n WAVES in a stratified atmosphere, expanding the number of dimensions, AS well AS including the necessary physics to be representative of the SOLAR atmosphere. we will synthesize chromospheric and coronal spectral lines to compare with observations such AS IRIS mg II, si iv, and o iv spectra, and hinode/EIS upper tr and coronal line spectra, to validate these WAVES' heating role in the chromosphere and tr. furthermore, our models are of GREAT interest to future dkist observations, for revealing the high-frequency WAVES, and possible EUVST observations designed to investigate the fractionation. if this proposal is selected, our research will focus on the energization of the SOLAR atmosphere, which is highly relevant to NASA's strategic objective 1.1: ""understand the sun, earth, SOLAR system, and universe"" and the SOLAR and heliospheric physics goal ""determine how the sun s magnetism creates its DYNAMIC atmosphere.  and ""explore and characterize the physical processes in the sun""."
2025,CA,CA-16,Lockheed Martin Corporation,NNM07AA01C Modification 86,MSFC - Marshall Space Flight Center,"PALO ALTO, CA (District 16)",12/18/2024,10/31/2025,"Definitive Contract, Cost Plus Incentive Fee",Other Than Small Business - ,"$450,000",$0,541710,,,,"Hinode - focal plane package mission operations and data analysis. hinode is a continuation of a joint international venture between the u.s, g.b., and jpn toadvance our understanding of what powers the SOLAR atmosphere and drives SOLAR eruptions."
2025,CA,CA-16,Lockheed Martin Corporation,80NSSC20K0217 Modification P00006,NSSC - NASA Shared Services Center,"PALO ALTO, CA (District 16)",01/14/2025,06/30/2025,"Grant, Grant For Research","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,[None Indicated],,,,"This proposal aims at better localization of the source regions of the SOLAR wind observed in NEAR-earth space, BY improving fullsurface (synoptic) magnetic maps commonly used to compute macroscopic properties of the SOLAR wind. we concentrate on updating the magnetic field in the polar regions. the SOLAR wind is generally divided into two categories, fast and slow. we often associate the fast SOLAR wind with coronal holes, dark regions in EUV and soft x-ray images. in comparison, there is hardly any consensus AS to the origin of the slow SOLAR wind. it is of vital importance to reliably locate the source regions in order to test the models of the SOLAR wind. knowing the source regions will also help us understand various properties of the SOLAR wind, in terms of the properties of the source region. however, without the actual measurement of the SOLAR wind very close to the sun, we cannot directly locate the source regions. instead, we have to depend on models that show where on the sun we are magnetically connected to and thus exposed to the SOLAR wind. these models generally require the radial component of the magnetic field of the full SOLAR surface, i.e. a synoptic magnetic map, AS boundary conditions. this is not observationally available. presently, the SOLAR magnetic field is measured exclusively from the earth. only less than one half of the surface is adequately sampled BY these measurements. we may use helioseismic farside imaging combined with STEREO EUV images to detect strong magnetic field regions on the backside. magnetograms taken several days before or after may tell us whether there were indeed such regions on the backside, assuming that they would survive without drastic changes for several days. however, the polar regions are inherently very hard to observe from the ecliptic, and the historical measurements of magnetic field close to the poles may have large uncertainties. it is possible that these uncertainties may seriously impact our understanding of the magnetic connection between the sun and earth. in polar regions, the radial component of the field becomes almost perpendicular to the line of sight, and high-resolution and highsensitivity vector measurements become essential. we propose to improve synoptic maps that serve AS the lower boundary conditions for models, simple and complex alike, BY incorporating measurements of the vector field in the polar regions BY the hinode spectro-polarimeter (sp) and SDO Helioseismic and Magnetic Imager (HMI). to date, sp is the best resource for the polar field due to its high spatial and spectral resolution. inversions not included in the pipeline will be explored on sp data to ensure the best results for the polar regions. HMI is needed not only to correct for the sp pointing but also to address the time variability of the polar field. we will calibrate HMI data with sp, and use their radial field for updating the polar regions in the synoptic maps from HMI line-of-sight magneotograms. using these maps, we run both the potential field source surface (pfss) model and magnetohydrodynamic (mhd) model to locate the magnetic footpoint of the observer at L1 and estimate the uncertainties of the location. we will systematically conduct this study for periods selected on the basis of the difficulty of locating the source region of the SOLAR wind. the proposed research should be an important PART of fst#2, and will form the basis of other projects in the team whose emphasis may be the mechanisms of heating and acceleration of the SOLAR wind."
2025,CA,CA-16,Lockheed Martin Corporation,NNM07AA01C Modification 87,MSFC - Marshall Space Flight Center,"PALO ALTO, CA (District 16)",02/26/2025,10/31/2025,"Definitive Contract, Cost Plus Incentive Fee",Other Than Small Business - ,"$600,000",$0,541710,,,,"Hinode - focal plane package mission operations and data analysis. hinode is a continuation of a joint international venture between the u.s, g.b., and jpn toadvance our understanding of what powers the SOLAR atmosphere and drives SOLAR eruptions."
2025,CO,CO-02,University Corporation For Atmospheric Research,80NSSC19K0365 Modification P00005,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",01/27/2025,02/15/2024,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$-17,$-17,[None Indicated],,,,"Coronal holes (CHS) are most commonly defined AS long-lived regions of reduced intensity in EUV images, and known to be the source of the fast SOLAR wind. recent analysis of the spectral characteristics of CHS, using data from the Interface Region Imaging Spectrograph (IRIS) and the Extreme Ultraviolet imaging spectrometer (EIS) on hinode, belies their apparent uniformity in imaging data. despite the typical assertion that CHS are the source of the fast SOLAR wind, EIS measurements show regions within a ch of slow-wind composition in the corona. the spectral signatures of these regions extend to the chromosphere, AS evidenced in the mg II lines measured BY IRIS, suggesting the differences are a result of effects in the lower SOLAR atmosphere. this research project aims to investigate the source regions of fast and slow SOLAR wind within CHS, challenging the paradigm that CHS are the uniform source of the high-speed SOLAR wind. we will investigate the degree of variability within a ch, and connect the properties of CHS across a wide range of atmospheric heights. our analysis of ch properties will employ data from several NASA missions. spectroscopic data of the chromosphere and transition region will be provided BY IRIS observations, and coronal spectroscopy will come from the observations of EIS. we will also use the EUV data of the atmospheric imaging assembly (AIA) and the magnetograms from the Helioseismic and Magnetic Imager (HMI) on board the Solar Dynamics Observatory (SDO) to identify CHS. we will use the coronal hole automated recognition and monitoring (charm) code to identify and parameterize the CHS in this study, and the minor storm (MIST) algorithm to link the CHS to the SOLAR wind. these codes utilize full-sun images from AIA and HMI. the spectroscopic measurements will come from IRIS and EIS, both of which have limited fields of view such that an entire ch cannot be observed with a single pointing. we will use data from special mosaicked observing routines that cover the entire SOLAR disk to analyze the properties across the entire earth-facing ch. these unique data sets provide the FIRST full sun spectroscopic measurements of CHS from chromosphere to corona. EIS samples a wide range of ions, which will allow us to determine temperature, density, and doppler speeds throughout the corona. we will also derive the plasma composition BY analyzing the emission across different elements. simultaneously, IRIS will provide observations of several emission lines in the chromosphere and transition region, allowing us to connect plasma properties at these low atmospheric heights with the corona. this research is of direct relevance to the science goals of IRIS, hinode, and SDO. understanding energy transport through the different layers of the SOLAR atmosphere are PRIME drivers of each of these missions. the primary science goal of IRIS is ""to connect the physics of photosphere and chromosphere to that of tr and low corona"", which our study addresses BY investigating ch properties from the photosphere (using HMI data), through the chromosphere and tr (with IRIS) and into the corona (EIS and AIA data). in addition, our investigation of the source regions of the SOLAR wind addresses the high-level science goal of the heliophysics decadal survey to ""determine the interaction of the sun with the SOLAR system""."
2025,MA,MA-05,Smithsonian Institution,NNM07AB07C Modification 87,MSFC - Marshall Space Flight Center,"CAMBRIDGE, MA (District 05)",10/10/2024,10/31/2025,"Definitive Contract, Cost Plus Fixed Fee",Non-Profit Institutions - Nonprofit Organization,"$480,000",$0,541710,,,,"The hinode phase e mission is a continuation of a joint ""international"" venture to advance our understanding of the sun through observation in earth's orbit.  the continuation of this phase is titled, ""hinode,"" formerly known AS SOLAR-b x-ray telesco"
2025,MA,MA-05,Smithsonian Institution,NNM07AB07C Modification 88,MSFC - Marshall Space Flight Center,"CAMBRIDGE, MA (District 05)",12/19/2024,10/31/2025,"Definitive Contract, Cost Plus Fixed Fee",Non-Profit Institutions - Nonprofit Organization,"$300,000",$0,541710,,,,"The hinode phase e mission is a continuation of a joint ""international"" venture to advance our understanding of the sun through observation in earth's orbit.  the continuation of this phase is titled, ""hinode,"" formerly known AS SOLAR-b x-ray telesco"
2025,MA,MA-05,Smithsonian Institution,NNM07AB07C Modification 89,MSFC - Marshall Space Flight Center,"CAMBRIDGE, MA (District 05)",12/19/2024,10/31/2025,"Definitive Contract, Cost Plus Fixed Fee",Non-Profit Institutions - Nonprofit Organization,"$450,000",$0,541710,,,,"The hinode phase e mission is a continuation of a joint ""international"" venture to advance our understanding of the sun through observation in earth's orbit.  the continuation of this phase is titled, ""hinode,"" formerly known AS SOLAR-b x-ray telesco"
2025,MA,MA-05,Smithsonian Institution,80NSSC19K0853 Modification P00005,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 05)",05/15/2025,05/31/2024,"Grant, Grant For Research",Non-Profit Institutions - Nonprofit Organization,"$-3,953","$-3,953",[None Indicated],,,,"We propose to investigate the energy budget and heating processes in cmes AS they EXPAND from the SOLAR surface to a few SOLAR radii. we have shown that the erupting gas is strongly heated, AS seen dramatically when prominence material changes from absorption to emission AS the structure rises. the integrated heating CAN be comparable to the kinetic energy of the CME, which in turn is comparable to the energy emitted BY the flare. in some cases that heat is quickly radiated away and the gas remains cool, while in others the gas reaches coronal or flare temperatures. that heating has only been investigated in a handful of events thus FAR. UV spectra from SOHO/uvcs combined with time-dependent ionization calculations constrained the heat required to match the temperature and ionization state. hinode/EIS EUV spectra determined the radiative losses, which dominate over adiabatic expansion at high densities. and, ionization states measured with ACE/swics were combined with time-dependent ionization calculations to show that the continued heating must be comparable to the CME kinetic energy. possible heating mechanisms include hydrodynamic shocks, heating BY mhd WAVES and thermal conduction, but each has been shown to be inadequate in at least one CASE. therefore, the thermal energy probably comes from the magnetic free energy of the erupting structure. indeed, an expanding, complex magnetic structure must dissipate magnetic energy in order to conserve magnetic helicity, but the partition of energy among kinetic energy, thermal energy and energetic particles is not known. moreover, it is not even known whether the magnetic energy dissipation that dominates CME heating occurs in the current sheet or in distributed regions of mhd turbulence. we propose to use uvcs, AIA, lasco and ACE/ulysses data to determine the heating rates in the expanding gas. we will employ methods we have previously used, but with important extensions. we DO not expect to have all these data sets and methods for any one event, but will use the different data sets to construct an overall picture of the relative contributions to the energy budget. for the empirical study we will use AIA data in both emission and absorption to determine radiative losses, and we will include the AIA 304 channel. lasco data will be used for the mass and kinetic energy estimates, with separate treatment of the core and leading edge. time-dependent ionization including photoionization will be used for uvcs using events where blobs of gas are observed at multiple heights, so that the expansion and adiabatic cooling are accurately known, and using lyman line ratios to infer densities. time-dependent ionization will also be used to analyze the ionization states measured BY swics instruments on ACE and ulysses. we expect to study a few events in detail and a larger number in a more general way. in addition, we will perform complementary theoretical studies based on our 3d mhd simulations. FIRST, we will determine how much of the magnetic free energy resides in the CME core and how much in the 'leading edge' and 'void' regions, and second, we have implemented an in-line calculation of time-dependent ionization in a 3d mhd code and will use it to compute EUV line emission and the ionization state where it freezes in. this proposal is directly relevant to two NASA science goals 1) determine the origins of the sun's activity and predict variations in the space environment, and 4) discover and characterize fundamental processes that occur both within the heliosphere and throughout the universe. the energy budget of cmes is essential to a REAL understanding of SOLAR eruptions and to predicting their effects in interplanetary space. the conversion of magnetic free energy into thermal energy is a fundamental process occurs throughout the universe."
