Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,AL,AL-05,Ibex It Business Experts Llc,80NSSC23FA528 Modification P00007,NSSC - NASA Shared Services Center,"HUNTSVILLE, AL (District 05)",04/23/2025,03/31/2025,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,Woman Owned Small Business,Economically Disadvantaged Women Owned Small Business,Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business","$-136,673","$-137,623",541612,,,,"Stop work notice issued with notification of intent to terminate for convenience - nehcss - IBEX it business experts, llc task order 80nssc23fa528 organization development support services"
2025,GA,GA-07,Ibex It Business Experts Llc,80NSSC23FA528 Modification P00004,NSSC - NASA Shared Services Center,"PEACHTREE CORNERS, GA (District 07)",12/03/2024,02/28/2025,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,Woman Owned Small Business,Economically Disadvantaged Women Owned Small Business,Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business","$43,219","$-43,712",541612,,,,"NASA enterprise -wide human capital services (nehcss) - IBEX it business experts, llc task order 80nssc23fa528 organization development support services"
2025,GA,GA-07,Ibex It Business Experts Llc,80NSSC23FA528 Modification P00005,NSSC - NASA Shared Services Center,"PEACHTREE CORNERS, GA (District 07)",02/03/2025,02/28/2025,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,Woman Owned Small Business,Economically Disadvantaged Women Owned Small Business,Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business",$0,$0,541612,,,,"NASA enterprise -wide human capital services (nehcss) - IBEX it business experts, llc task order 80nssc23fa528 organization development support services"
2025,GA,GA-07,Ibex It Business Experts Llc,80NSSC23FA460 Modification P00005,NSSC - NASA Shared Services Center,"PEACHTREE CORNERS, GA (District 07)",04/28/2025,08/31/2024,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,Woman Owned Small Business,Economically Disadvantaged Women Owned Small Business,Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business","$-3,848","$-3,848",541612,,,,"NASA enterprise-wide human capital support services (nehss) - IBEX it business experts, llc task order for the NASA executiveorganization development support services."
2025,NJ,NJ-12,"Trustees Of Princeton University, The",80NSSC20K0719 Modification P00011,NSSC - NASA Shared Services Center,"PRINCETON, NJ (District 12)",10/31/2024,01/31/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$900,000","$1,557,302",[None Indicated],,,,IBEX - Interstellar Boundary Explorer
2025,NJ,NJ-12,"Trustees Of Princeton University, The",NNG17FC93C Modification 28,GSFC - Goddard Space Flight Center,"PRINCETON, NJ (District 12)",12/23/2024,02/27/2026,"Definitive Contract, Cost No Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$648,210",$0,334511,80-0120,,,"This contract is for IBEX Interstellar Boundary Explorer (IBEX) support.  this contract is a result of a PI transfer from nng05ec85c.  the contractor shall be responsible for the conduct of all phases and aspects of the IBEX mission including:  1) life-cycle project management 2) design, test, development, and operations (payload, Spacecraft, Launch Vehicle, Spacecraft to launch-vehicle interfaces, launch and flight operations) and 3) post-operations data analysis and archiving.  in performance of this effort, the IBEX team shall: a. manage the project, provide cost and schedule information to NASA AS specified in 3.0 management, above.b. provide day-to-day management and coordination of the project AS delegated BY the PI to the project manager (PM), including monitoring and reporting technical progress and financial status, implementing the risk management plan and conducting mission level reviews AS specified in section 4.3, system level reviews.c. conduct reviews for all payload sensors, payload support infrastructure and associated GSE.d. perform scientific analyses in support of the mission science requirements.e. perform systems engineering to coordinate the design of the instrument complement and Spacecraft bus components and to ensure the compatibility of the space-to-ground and network communications.f. perform trade studies to eliminate and mitigate risksg. deliver the IBEX flight segment to vandenberg air force base (vafb), support integration with the Launch Vehicle, and assist the launch operationsh. establish the Mission Control Center (MCC) and IBEX science operations and data analysis center (isoc) including all computers, networks, and operating software, instrument databases and procedures necessary to functionally test and later control the spacecrafti. hold science team meetings AS well AS technical interchange meetings.j. baseline the science requirements and science analysis plan into an IBEX mission definition requirements agreement (mdra) and the IBEX data management plan.k. implement an approved mission assurance plan.l. implement a systems engineering function to verify performance specification compliance to the mission science requirements.m. design, fabricate, integrate and test the payload, Spacecraft, solid rocket motor and Launch Vehicle adapter, and integrate the IBEX flight segment with the Launch Vehicle.n. implement a safety program including the generation of the missile system pre-launch safety package (mspsp).o. support launch, perform on-orbit checkout, and establish on-orbit data acquisition contact with the payload.  within the FIRST 30 days after launch, initial engineering and science checkout and verification of Spacecraft in-flight operation will be performed.p. provide the services of the MCC and the isoc.q. conduct the e/po program in cooperation with the identified team members."
2025,NJ,NJ-12,"Trustees Of Princeton University, The",80NSSC20K0719 Modification P00012,NSSC - NASA Shared Services Center,"PRINCETON, NJ (District 12)",01/16/2025,07/31/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,IBEX - Interstellar Boundary Explorer
2025,NJ,NJ-12,"Trustees Of Princeton University, The",80NSSC20K0719 Modification P00013,NSSC - NASA Shared Services Center,"PRINCETON, NJ (District 12)",04/04/2025,07/31/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,Hold notice issued - Interstellar Boundary Explorer (IBEX) - SMD
2025,NJ,NJ-12,"Trustees Of Princeton University, The",80NSSC20K0719 Modification P00014,NSSC - NASA Shared Services Center,"PRINCETON, NJ (District 12)",04/10/2025,07/31/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,IBEX - Interstellar Boundary Explorer
2025,NJ,NJ-12,"Trustees Of Princeton University, The",NNG17FC93C Modification 29,GSFC - Goddard Space Flight Center,"PRINCETON, NJ (District 12)",04/29/2025,02/27/2026,"Definitive Contract, Cost No Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,334511,,,,"Removal of clauses/drds iaw EO 14168, EO 14173, EO 14148, & EO 14208.this contract is for IBEX Interstellar Boundary Explorer (IBEX) support.  this contract is a result of a PI transfer from nng05ec85c.  the contractor shall be responsible for the conduct of all phases and aspects of the IBEX mission including:  1) life-cycle project management 2) design, test, development, and operations (payload, Spacecraft, Launch Vehicle, Spacecraft to launch-vehicle interfaces, launch and flight operations) and 3) post-operations data analysis and archiving.  in performance of this effort, the IBEX team shall: a. manage the project, provide cost and schedule information to NASA AS specified in 3.0 management, above.b. provide day-to-day management and coordination of the project AS delegated BY the PI to the project manager (PM), including monitoring and reporting technical progress and financial status, implementing the risk management plan and conducting mission level reviews AS specified in section 4.3, system level reviews.c. conduct reviews for all payload sensors, payload support infrastructure and associated GSE.d. perform scientific analyses in support of the mission science requirements.e. perform systems engineering to coordinate the design of the instrument complement and Spacecraft bus components and to ensure the compatibility of the space-to-ground and network communications.f. perform trade studies to eliminate and mitigate risksg. deliver the IBEX flight segment to vandenberg air force base (vafb), support integration with the Launch Vehicle, and assist the launch operationsh. establish the Mission Control Center (MCC) and IBEX science operations and data analysis center (isoc) including all computers, networks, and operating software, instrument databases and procedures necessary to functionally test and later control the spacecrafti. hold science team meetings AS well AS technical interchange meetings.j. baseline the science requirements and science analysis plan into an IBEX mission definition requirements agreement (mdra) and the IBEX data management plan.k. implement an approved mission assurance plan.l. implement a systems engineering function to verify performance specification compliance to the mission science requirements.m. design, fabricate, integrate and test the payload, Spacecraft, solid rocket motor and Launch Vehicle adapter, and integrate the IBEX flight segment with the Launch Vehicle.n. implement a safety program including the generation of the missile system pre-launch safety package (mspsp).o. support launch, perform on-orbit checkout, and establish on-orbit data acquisition contact with the payload.  within the FIRST 30 days after launch, initial engineering and science checkout and verification of Spacecraft in-flight operation will be performed.p. provide the services of the MCC and the isoc.q. conduct the e/po program in cooperation with the identified team members."
