Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2024,CA,CA-36,Northrop Grumman Systems Corporation,GSFC0200211DNAS502200,Modification 308,GSFC - Goddard Space Flight Center,"REDONDO BEACH, CA (District 36)",04/17/2024,12/25/2022,"Definitive Contract, Cost Plus Award Fee",Other Than Small Business - ,$0,"$485,411",336414,,,,"The james webb space telescope (jwst) phase 2 observatory contractor shall be responsible for providing the Spacecraft, the optical telescope element (ote), portions of the integrated science instrument module (isim), observatory and system Integration and Test (I&T), observatory verification, observatory commissioning, associated systems engineering, and the ground and launch support equipment necessary to develop and launch the jwst observatory."
2024,CO,CO-02,Ball Aerospace & Technologies Corp.,NNG13FB20C,Modification 85,GSFC - Goddard Space Flight Center,"BOULDER, CO (District 02)",08/12/2024,06/30/2023,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","$-124,722",$0,541330,80-0120,NNG13453948R,,"The AFT optics system (AOS) source plate assembly (aspa) tinsley closeout, optical integration and testing and special studies, for the james webb space telescope.the contractor shall design, develop, fabricate, assemble, integrate, and test the hardware described in the Statement of Work (SOW). the hardware, if used inside a vacuum chamber or is attached to, or controls flight hardware, must comply with the requirements in the SOW.  for non-hardware support aspects of this effort, the contractor's shall provide the systems engineering expert personnel travel reports and documentation software or software changes Ground Support Equipment integration, operations and modification definition, necessary to accomplish the effort.  the contractor shall manage all aspects of this contract effort to ensure that the contract requirements are met or exceeded."
2024,VA,VA-03,Cornell Technical Services Llc,80LARC18F0192,Modification P00005,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",04/04/2024,09/30/2019,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-1,502","$-1,502",541712,80-0120,,,James webb space telescope support Independent Review Board phase 2.evaluate all factors including those identified BY the project influencing mission success to ensure that nasas approach to completing the integration and testing launch campaign and the commissioning of the mission is appropriate for nasas next flagship observatory.
2024,CA,CA-28,California Institute Of Technology,80NM0018F0544,Modification P00026,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",03/13/2024,09/30/2023,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,541715,80-0120,,,James webb space telescope (jwst) support (71-12994)
2024,CA,CA-28,California Institute Of Technology,NNN13D049T,Modification 25,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",03/13/2024,09/30/2020,"Delivery Order, Cost Plus Fixed Fee","Government - Federal Government, Federally Funded Research And Development Corp, US Government Entity",$0,$0,541712,80-0120,,,Jwst/MIRI guaranteed time observing (gto) planning science working group (swg) and support
2025,AZ,AZ-07,Arizona Board Of Regents University Of Arizona,GSFC0200208DNAS502105,Modification 198,GSFC - Goddard Space Flight Center,"TUCSON, AZ (District 07)",07/01/2025,09/30/2026,"Definitive Contract, Cost No Fee","Educational - Educational Institution, Nonprofit Organization, State Government","$25,000,000",$0,541710,,AO-01-OSS-05,,"Obligate additional funding for continued contract performance for jwst  swift Ultraviolet&optical telescopes x-ray telescope, ground station system (nircam)"
2025,MD,MD-07,Association Of Universities For Research In Astronomy Incorporated,NAS503127,Modification 259,GSFC - Goddard Space Flight Center,"BALTIMORE, MD (District 07)",07/18/2025,06/25/2027,"Definitive Contract, Cost No Fee",Non-Profit Institutions - Nonprofit Organization,"$10,121,913",$0,541710,,,,James webb space telescope (jwst) science and operations center (SOC) Operations and Maintenance. funding for continued contract performance/operations costs.
2025,CA,CA-36,Northrop Grumman Systems Corporation,80GSFC23CA021,Modification P00012,GSFC - Goddard Space Flight Center,"REDONDO BEACH, CA (District 36)",07/07/2025,06/24/2027,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$3,409,675",$0,541715,,LTR52022,,"Removal of clauses/drds iaw EO 14148, 14057, 14173, and 14168. the contractor will provide the products and services to support the james webb space telescope phase e operations and sustainment."
2025,CA,CA-28,California Institute Of Technology,80NM0018F0500,Modification P00007,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",12/12/2024,09/30/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$20,968",$0,541715,80-0120,,,Jwst/MIRI guaranteed time observing (gto) planning science working group (swg) and suport (71-15388)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0509,Modification P00017,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",06/25/2025,09/30/2026,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$354,239",$0,541715,,,,JPL science team activities and support for the james webb telescope (jwst) NEAR infrared camera (nircam) instrument (71- 15915)
