Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,CA,CA-12,"Regents Of The University Of California, The",80NSSC21M0344 Modification P00003,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 12)",08/15/2023,08/03/2024, Cooperative Agreement,"Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization","$11,047",$0,[None Indicated],,,,Enhancing cassini and juno science through spectroscopy of the deep tropospheres of jupiter and saturn
2023,AK,AK-00,University Of Alaska Fairbanks,80NSSC18K0797 Modification P00006,NSSC - NASA Shared Services Center,"FAIRBANKS, AK (District 00)",06/06/2023,04/30/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Government, US Government Entity",$0,$0,[None Indicated],,,,"1. goals and/or objectives at the root of this proposal is the question of how momentum and energy are transported at kinetic scales (~&lt; ion gyro radius) between magnetically coupled space plasmas. some of the most compelling physics occurs at ion kinetic scales (e.g., magnetospheric boundaries) and even at electron inertial scales (e.g., broadband aurora, reconnection). in many instances, large-scale perturbations CAN undergo a turbulent cascade to kinetic scales, dissipating energy, and producing non-adiabatically heated plasma (e.g., radial transport in planetary magnetospheres). thus, in-depth knowledge of such processes has broad applicability in space plasma physics. this proposal seeks to generate kinetic-scale plasma WAVES (e.g., low frequency kinetic/inertial alfven, right-hand whistler, left-hand ion cyclotron, and higher frequency lower hybrid WAVES ETC.) using an active plasma injection in the earth's ionosphere (thermite barium release) AS a known source of energy and momentum. specifically, this proposed experiment will address the following compelling science questions: - how is momentum transfer affected BY kinetic-scale physics (e.g., formation of parallel electric fields and dissipation)? - how is electromagnetic energy converted into plasma kinetic and thermal energy? - what is the interplay (i.e., cross-scale coupling) between fluid- and kinetic-scale processes? 2. methodology to address our science questions, we propose to make plasma measurements adjacent to and within the alfven wing of an injected thermite barium release. we will launch a single rocket from wallops island, virginia, with two barium thermite canisters to be detonated 90 s apart at an altitude of about 350 km. a plasma diagnostic array will include 4 free-flying instruments (thermal plasma properties) and will be positioned above the release, but NEAR the edge the magnetic flux tube subtended BY the release cloud. the inter-instrument separation will be comparable to the perpendicular gradient scale lengths of the cloud, which is comparable to the oxygen ion inertial length at ionospheric altitudes (~ few km). the main payload will provide DC fields, particle (pitch angle resolved thermal and energetic electrons) and wave data inside, at the boundaries, and outside of the alfven wings due to the relative motion of payload and cloud. ground-based optical observations to record the motion of the releases will be made at downrange stations. the combined data set will provide basic information on the magnitude and scale of the alfvenic perturbations and quantify the coupling. the data, in combination with state-of-the-art numerical simulations, will allow us to distinguish between different physical processes. 3. relevance this proposal addresses central elements of NASA's 2014 science plan. specifically, we will explore the physical processes in the space environment from the sun to the earth and throughout the SOLAR system and advance our understanding of the connections that link the sun, the earth, planetary space environments, and the outer reaches of our SOLAR system BY studying kinetic-scale energy and momentum transport. auroral acceleration and turbulent heating models invoke kinetic/inertial alfven WAVES, making the proposed experiment ideally suited for addressing fundamental space plasma coupling processes. the proposed experiment has significant heritage with NASA-sponsored suborbital missions and orbital missions (e.g., crres). the problem definition has been elucidated BY previous and current NASA missions (e.g., THEMIS, MMS, fast, cassini, galileo and juno). the past 20 years have seen significant advances in both in situ instrumentation and ground based optics capability. combined with advanced numerical simulation methods, the proposed experiment, with its strong heritage, is ideally suited to attacking fundamental processes in space plasmas."
2023,AK,AK-00,University Of Alaska Fairbanks,80NSSC19K0822 Modification P00002,NSSC - NASA Shared Services Center,"FAIRBANKS, AK (District 00)",04/24/2023,04/11/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Government, US Government Entity",$0,$0,[None Indicated],,,,"The objective of the new frontiers data analysis program is to enhance the scientific return from new frontiers missions BY broadening scientific participation in the analysis and interpretation of data returned BY these missions. the proposed study will use juno observations in conjunction with plasma simulations to understand the structure of jupiter s dawnside magnetosphere. the proposed study addresses central elements from the heliophysics decadal survey: 3. determine the interaction of the sun with the SOLAR system and the interstellar medium 4. discover and characterize fundamental processes that occur both within the heliosphere and throughout the universe. ultimately, comparative studies are directly relevant to understanding similar processes at earth, addressing science goal 2) determine the dynamics and coupling of earth s magnetosphere, ionosphere, and atmosphere and their response to SOLAR and terrestrial inputs."
2023,AK,AK-00,University Of Alaska Fairbanks,80NSSC19K0941 Modification P00002,NSSC - NASA Shared Services Center,"FAIRBANKS, AK (District 00)",04/25/2023,04/28/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Government, US Government Entity",$0,$0,[None Indicated],,,,"Goals and objectives: recent juno observations have illustrated that the characteristics of the electron precipitation in the jupiter aurora is largely broadband (e.g. mauk et AL., 2017a, 2017b, allegrini et AL., 2017). AS in the terrestrial context, the broadband nature of the precipitation is suggestive of energization in dispersive scale alfven WAVES (inertial or kinetic). however, a direct causal link for jupiter has yet to be established and the details of the energization process yet to be understood. with these motivations in mind, we plan to investigate: (1) CAN perturbations of alfven wave energy in the jupiter magnetodisc account for the observed broadband electron spectra at high latitudes? (2) where is the primary electron energization happening and what are the relative contributions of inertial and kinetic alfven WAVES to the observed broadband electron spectrum? and (3) to what extent DO electrons energized in dispersive scale alfven WAVES contribute to the generation of the suprathermal electron population?"
2023,CA,CA-16,Seti Institute,80NSSC19K1265 Modification P00006,NSSC - NASA Shared Services Center,"MOUNTAIN VIEW, CA (District 16)",06/14/2023,07/07/2024,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,,,"17-junops17_2-0048, detailed mapping of jupiter's water from juno mwr and other data"
2023,CA,CA-27,California Institute Of Technology,80NSSC19K1520 Modification P00005,NSSC - NASA Shared Services Center,"PASADENA, CA (District 27)",11/16/2022,08/31/2022,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$-36,576","$-36,576",[None Indicated],,,,We intend to analyze the residuals from cassini and juno gravity measurements to find evidence of a time dependent gravity field associated with these vibrations.
2023,MA,MA-07,Trustees Of Boston University,80NSSC20K0557 Modification P00004,NSSC - NASA Shared Services Center,"BOSTON, MA (District 07)",03/09/2023,02/28/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"We will primarily analyze the juno satellite data of WAVES, particles, and aurorae, supported BY the galileo satellite wave measurements and a physics-based technique to estimate wave-driven electron precipitation."
2023,AK,AK-00,University Of Alaska Fairbanks,80NSSC20K1279 Modification P00002,NSSC - NASA Shared Services Center,"FAIRBANKS, AK (District 00)",04/13/2023,07/01/2023,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Government, US Government Entity","$477,395",$0,[None Indicated],,,,"Science goals and objectives: giant planet magnetospheres, due to their size, multi-body nature, and rotational dynamics are some of the most complicated and least understood magnetospheres in the SOLAR system. yet their internally driven nature make them an ideal laboratory to study fundamental plasma processes. however, while these giant magnetospheres occupy impressive spatial volumes, the most consequential and DYNAMIC coupling processes occur at very small scales (e.g., wave-particle interactions and reconnection at kinetic scales). we propose a multi-scale investigation of the magnetospheric dynamics at jupiter and saturn (using in PART, tools proven in and adapted from the terrestrial magnetosphere) to facilitate transformative advances in understanding the complicated, nonlinear and interconnected processes that DRIVE the global systems. these advances, in conjunction with comparative studies at earth, are critical to understanding the basic processes inherent in space plasmas within the SOLAR system and beyond. specifically, we will address the following compelling science questions related to the structure and dynamics of jupiter s and saturn s magnetospheres. 1. how is plasma transported radially outward. how is plasma heated? 2. what is the role of alfven WAVES in particle energization and transport and their related implications for magnetosphere ionosphere coupling via parallel electric fields? 3. what is the relative importance of ionospheric conductance, parallel electric fields, and alfven travel time in magnetosphere ionosphere coupling? 4. how DO magnetopause boundary processes influence global magnetospheric dynamics and how does the magnetosphere influence sheath flows AS a function of local time? 5. how does the coupled system vary with changes in SOLAR wind conditions? methodology we are combining a comprehensive suite of methods (i.e., global fluid simulations, local fluid and hybrid simulations, theory, Machine Learning and data analysis) and expertise through a diverse science team to attack the compelling research challenge of transport processes at the rapidly rotating giant planet magnetospheres. our multi-scale approach involves the largest ensemble of diverse tools that have yet been applied to this effort. some of these tools have been used and validated in extensive application to the terrestrial magnetosphere, but also more recently advanced and validated in application to the giant magnetospheres. we will also employ  Machine Learning  algorithms to aid in the analysis and interpretation of the large and multi-instrument data sets that we will consider. this approach will therefore address fundamental mysteries at jupiter and saturn that CAN both be inferred from and applied, comparatively, to earth. such comparative studies satisfy the required rigor to fully understand basic plasma processes in heliophysics and, ultimately, will directly impact efforts to study space weather. relevance to the decadal survey goals. the proposed study is highly relevant to current NASA missions (e.g., cluster, THEMIS, MMS, juno, and cassini) and addresses central elements from the heliophysics decadal survey: 3. determine the interaction of the sun with the SOLAR system and the interstellar medium 4. discover and characterize fundamental processes that occur both within the heliosphere and throughout the universe. ultimately, comparative studies are directly relevant to understanding similar processes at earth, addressing science goal 2) determine the dynamics and coupling of earth s magnetosphere, ionosphere, and atmosphere and their response to SOLAR and terrestrial inputs. science closure will lead to transformative advances in understanding multi-scale transport processes in planetary magnetospheres."
2023,IA,IA-01,"University Of Iowa, The",80NSSC21K1242 Modification P00001,NSSC - NASA Shared Services Center,"IOWA CITY, IA (District 01)",03/01/2023,08/26/2022,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$-33,178","$-318,410",[None Indicated],,,,The study of satellite-magnetosphere interactions at jupiter has been reinvigorated with juno in-situ data. juno s highly inclined orbits enable the Spacecraft to traverse magnetic field lines connected to a wide range of jupiter s equatorial region. this INCLUDES the orbits of the
2023,TX,TX-32,University Of Texas At Dallas,80NSSC23K0658 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"RICHARDSON, TX (District 32)",03/08/2023,05/31/2026,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$173,672","$491,868",[None Indicated],,,,"Specifically, we will address the following three science objectives: (1) conduct statistics of juno current sheet crossings over a wide range of radial distances and local times and determine the typical current sheet configurations and main mechanisms responsible for the stress balance (2) reveal the dependence of the current sheet configuration on the plasma content (relative contributions of different ion populations to the stress balance) and plasma characteristics (temperature, density, pressure anisotropy) (3) explore the role of accelerated field-aligned electron streams in the current sheet configuration and stress balance in the jovian magnetodisk. to address these three objectives, we will use measurements from juno s magnetic field instrument (mag), jovian auroral distributions experiment (jade), and jupiter energetic-particle detector instrument (jedi). we will also use juno wave measurements (WAVES) to estimate the total plasma density. this project will use juno measurements from the FIRST 38 orbits, which include current sheet crossings at different radial distances over a wide range of local times."
