Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,CA,CA-20,"Anna Lisa Luna Construction, Inc.",80AFRC24F0033 Modification P00001,AFRC - Armstrong Flight Research Center,"EDWARDS, CA (District 20)",11/18/2024,04/15/2025,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,8(A) Program,Woman Owned Small Business,Economically Disadvantaged Women Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Other Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business",$0,$0,236220,,,,B4840 minor construction
2025,CA,CA-20,"Anna Lisa Luna Construction, Inc.",80AFRC24F0034 Modification P00001,AFRC - Armstrong Flight Research Center,"EDWARDS, CA (District 20)",01/07/2025,02/15/2025,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,8(A) Program,Woman Owned Small Business,Economically Disadvantaged Women Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Other Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business","$15,798","$15,798",236220,,,,Hangar mezz construction project
2025,CA,CA-28,California Institute Of Technology,80NM0025F7021 Modification 0 (Base Record),NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",01/30/2025,01/30/2030,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$700,000","$5,826,580",541715,,,,Laser Interferometer Space Antenna (LISA) (71-224611)
2025,CA,CA-20,"Anna Lisa Luna Construction, Inc.",80AFRC24F0033 Modification P00002,AFRC - Armstrong Flight Research Center,"EDWARDS, CA (District 20)",03/04/2025,04/30/2025,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,8(A) Program,Woman Owned Small Business,Economically Disadvantaged Women Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Other Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business",$0,$0,236220,,,,B4840 minor construction
2025,CA,CA-20,"Anna Lisa Luna Construction, Inc.",80AFRC24F0033 Modification P00003,AFRC - Armstrong Flight Research Center,"EDWARDS, CA (District 20)",03/10/2025,04/30/2025,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,8(A) Program,Woman Owned Small Business,Economically Disadvantaged Women Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Other Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business","$6,520","$6,520",236220,,,,B4840 minor construction
2025,CA,CA-20,"Anna Lisa Luna Construction, Inc.",80AFRC24F0033 Modification P00004,AFRC - Armstrong Flight Research Center,"EDWARDS, CA (District 20)",03/12/2025,04/30/2025,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,8(A) Program,Woman Owned Small Business,Economically Disadvantaged Women Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Other Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business",$0,$0,236220,,,,B4840 minor construction
2025,CA,CA-20,"Anna Lisa Luna Construction, Inc.",80AFRC24F0033 Modification P00005,AFRC - Armstrong Flight Research Center,"EDWARDS, CA (District 20)",04/02/2025,06/17/2025,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,8(A) Program,Woman Owned Small Business,Economically Disadvantaged Women Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Other Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business","$310,817","$310,817",236220,,,,B4840 minor construction
2025,CA,CA-20,"Anna Lisa Luna Construction, Inc.",80AFRC24F0033 Modification P00006,AFRC - Armstrong Flight Research Center,"EDWARDS, CA (District 20)",04/17/2025,06/17/2025,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,8(A) Program,Woman Owned Small Business,Economically Disadvantaged Women Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Other Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business","$4,335","$4,335",236220,,,,B4840 minor construction
2025,CO,CO-02,Bae Systems Space & Mission Systems Inc.,80GSFC22CA060 Modification P00014,GSFC - Goddard Space Flight Center,"BOULDER, CO (District 02)",12/19/2024,10/01/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$884,918","$884,918",334511,,80GSFC22R0012,,Laser prestabilization system (lps) for the Laser Interferometer Space Antenna (LISA) system
2025,CO,CO-02,Bae Systems Space & Mission Systems Inc.,80GSFC22CA060 Modification P00015,GSFC - Goddard Space Flight Center,"BOULDER, CO (District 02)",01/21/2025,11/12/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$150,000","$300,000",334511,,80GSFC22R0012,,Laser prestabilization system (lps) for the Laser Interferometer Space Antenna (LISA) system
2025,CO,CO-02,Bae Systems Space & Mission Systems Inc.,80GSFC22CA060 Modification P00016,GSFC - Goddard Space Flight Center,"BOULDER, CO (District 02)",03/14/2025,11/12/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$24,579","$24,579",334511,,80GSFC22R0012,,Laser prestabilization system (lps) for the Laser Interferometer Space Antenna (LISA) system
2025,CO,CO-02,Bae Systems Space & Mission Systems Inc.,80GSFC22CA060 Modification P00017,GSFC - Goddard Space Flight Center,"BOULDER, CO (District 02)",05/29/2025,11/12/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,"$-43,814",334511,,80GSFC22R0012,,Laser prestabilization system (lps) for the Laser Interferometer Space Antenna (LISA) system
2025,FL,FL-03,University Of Florida,80NSSC22K0808 Modification P00003,NSSC - NASA Shared Services Center,"GAINESVILLE, FL (District 03)",03/24/2025,05/15/2026,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College",$0,$0,[None Indicated],,,,"Supermassive black holes (bhs) are fundamental to many aspects of galaxy evolution, and they are the next frontier in gravitational wave (gw) astronomy. pulsar timing arrays may very soon detect nanohertz gws from BH binaries, and the Laser Interferometer Space Antenna (LISA) will be able to detect BH mergers out to z ~ 20. currently, however, essentially everything we know about bhs beyond the local universe comes from electromagnetic observations of gas accretion onto bhs, seen AS active galactic nuclei (agn)."
2025,GA,GA-05,Georgia Tech Research Corporation,80NSSC19K0319 Modification P00005,NSSC - NASA Shared Services Center,"ATLANTA, GA (District 05)",05/07/2025,05/14/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning",$-4,$-4,[None Indicated],,,,"What are the properties of accretion flows in vicinity of coalescing massive black hole binaries (mbhbs)? the answer to this question has direct implications for the feasibility of coincident detections of electromagnetic (EM) and gravitational wave (gw) signals from coalescences. such detections are considered to be the next observational grand challenge that will provide a more complete understanding of evolution and growth of these massive objects. in anticipation of future detections BY the Laser Interferometer Space Antenna (LISA), we propose to investigate the coincident EM and gw signatures of mbhbs immersed in accretion flows. the proposed program of research centers on a suite of high-resolution simulations with the radiation-magnetohydrodynamic code athena++ , which will follow binaries AS they evolve through the LISA frequency band. this study will set the stage for the FIRST simulations of accreting mbhbs with radiative transfer and will use them to predict the resulting EM spectra, light curves, and gravitational waveforms."
2025,IL,IL-13,University Of Illinois,80NSSC22K0806 Modification P00005,NSSC - NASA Shared Services Center,"URBANA, IL (District 13)",01/08/2025,04/30/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$160,000",$0,[None Indicated],,,,"This proposal is focused on (i) the study of systematics that may hinder tests of general relativity with the Laser Interferometer Space Antenna (LISA), and (II) the development of methods to overcome these systematics. we propose to explore systematics induced BY mismodeling of waveforms (in the inspiral,"
2025,IL,IL-13,University Of Illinois,80NSSC22K0806 Modification P00006,NSSC - NASA Shared Services Center,"URBANA, IL (District 13)",03/25/2025,04/30/2026,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"This proposal is focused on (i) the study of systematics that may hinder tests of general relativity with the Laser Interferometer Space Antenna (LISA), and (II) the development of methods to overcome these systematics. we propose to explore systematics induced BY mismodeling of waveforms (in the inspiral,"
2025,MA,MA-07,Massachusetts Institute Of Technology,80NSSC23K0359 Modification P00002,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 07)",12/06/2024,12/12/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"Stellar tidal disruption events (tdes) have generated huge excitement in the last few years [1]. these transients occur when a star comes within a supermassive black hole s (smbh) tidal radius and gets shredded BY the tidal forces (see [1] for relevant equations). however, a significant fraction of star smbh interactions in galactic nuclei will not lead to a full disruption of the star. a fraction of these would undergo a partial tidal disruption in which CASE the surviving stellar core could repeatedly interrupt the newly formed accretion flow [2]. alternatively, if the star s orbit does not intersect the tidal radius, it would escape a disruption altogether and repeatedly perturb any pre-existing accretion flow around the smbh [3-4]. such extreme mass ratio inspirals (emris) are expected to EMIT gravitational WAVES and depending on the binary parameters would be detectable with future space-based missions like LISA. the volumetric rate of star smbh binaries is currently uncertain but some studies suggest they could be AS high AS tde rates [4]. until recently, strong candidates for such events have been lacking. but they should, in principle, be detectable provided a strategic follow-up program is in place. theoretical studies are gaining ground and are giving observers specific signatures to identify these systems. for example, work BY [3] suggests that the perturber (surviving partial tde s stellar core or a star that is not disrupted) CAN repeatedly interrupt an agn accretion disk and push material towards the magnetic poles and DRIVE quasi-periodic ufos. a sample movie of one such simulation with a specific geometrical setup CAN be seen here: https://youtu.be/eeryioirgqc."
2025,MA,MA-07,Massachusetts Institute Of Technology,80NSSC23K1242 Modification P00002,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 07)",04/30/2025,07/04/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,Gravitational-wave instrumentation Subject Matter Expert contributions for the NASA LISA study office
2025,MT,MT-00,Montana State University,80NSSC24K0435 Modification P00002,NSSC - NASA Shared Services Center,"BOZEMAN, MT (District 01)",03/17/2025,01/04/2027,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$208,300",$0,[None Indicated],,,,"22-lps22-0001, global analysis for the LISA gravitational wave observatory"
2025,PA,PA-12,Carnegie Mellon University,80NSSC24K0438 Modification P00001,NSSC - NASA Shared Services Center,"PITTSBURGH, PA (District 12)",12/06/2024,12/14/2026,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$80,636",$0,[None Indicated],,,,"22-lps22-0025, studying LISA sources using desi and LIGO/virgo/kagra"
2025,PA,PA-12,Carnegie Mellon University,80NSSC20K0519 Modification P00006,NSSC - NASA Shared Services Center,"PITTSBURGH, PA (District 12)",02/20/2025,12/31/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"The recent discovery of the FIRST electromagnetic counterparts to sources of gravitational WAVES (gws) have realized astronomy s promise of observing cosmic sources BY means other than light, bringing to focus exciting prospects for multi-messenger astrophysics. the launch of space based gw detector (such AS LISA)and current and upcoming pulsar timing arrays (ptas) will extend the gw window to low frequencies, opening new investigations into dynamical processes involving massive black hole binaries (mbhbs) over the full sweep of cosmic history, revealing mbhs merging from the FIRST cosmic structures assembled in the dark ages to today."
2025,PA,PA-12,Carnegie Mellon University,80NSSC24K0438 Modification P00002,NSSC - NASA Shared Services Center,"PITTSBURGH, PA (District 12)",05/08/2025,12/14/2026,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$255,562",$0,[None Indicated],,,,"22-lps22-0025, studying LISA sources using desi and LIGO/virgo/kagra"
