Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,MD,MD-05,"Hagopian, John G",80NSSC18C0171,Modification P00011,NSSC - NASA Shared Services Center,"HARWOOD, MD (District 05)",11/09/2022,10/31/2022,"Definitive Contract, Firm Fixed Price","Small Disadvantaged Business,Small Business Innovative Research,Small Business - For Profit Organization, Limited Liability Corporation, Self Certified Small Disadvantaged Business, Sole Proprietorship",$0,$0,541713,,,,"Eo14042 in Phase I we demonstrated each aspect required for design and fabrication of lyot stops and apodization masks for use in a coronagraphic instrument and delivered working components to collaborators at NASA and the space telescope science institute for evaluation. the technical achievements included: 1) FIRST high quality mirror with carbon nanotubes 2) FIRST nanotubes grown on metallic coatings 3) dark patterned carbon nanotubes with micron-scaled features. during phase II we will work with the NASA and stsci collaborators to determine how to improve these components and deliver second generation components to extend the performance of the stsci test bed in support of implementation on future NASA missions such AS habex or uvoirs. in addition we will work with NASA collaborators to design and fabricate carbon nanotube coated lyot stops for the visible nulling coronagraph (vnc) test bed, also of key importance to the decadal missions referenced above. lastly, we plan to collaborate with the LISA telescope team at NASA GSFC to design and fabricate a carbon nanotube apodization mask on a powered secondary mirror that could be used in single crystal silicon telescope AS a pathfinder for LISA. one of the technical goals of phase II are to pattern more complex lyot stop geometries while maintaining geometrical accuracy through the nanotube growth process. further optimization of the apodization masks for coronagrahic use include: 1) increasing the metallic coating reflectance to NEAR ideal 2) optimization of the nanotube darkness on the metallic coatings 3) greyscale patterning of carbon nanotubes and medium reflectance coatings on the mirrors to achieve enhanced diffraction suppression. for the LISA telescope diffraction spoiler application we will demonstrate patterning and growth of carbon nanotubes at the micron scale which when combined with metallic nanostructures CAN provide enhanced field suppression another enabling technology to NASA missions."
2023,CA,CA-36,Advanced Science And Novel Technology,NNG07CA16C,Modification 4,GSFC - Goddard Space Flight Center,"RANCHO PALOS VERDES, CA (District 36)",02/28/2023,03/29/2009,"Definitive Contract, Firm Fixed Price","Small Business Innovative Research,Small Business - ","$-89,999","$-89,999",541710,,,,"SBIR phase 2 award for effort entitled:  radiation-tolerant, space wire-compatible switching fabric.  advr, inc will develop a fiber coupled, high power, electro-optically controlled, phase modulator for the NASA Laser Interferometer Space Antenna (LISA). the device should be capable of phase modulating a 1 w or greater, continuous wave optical signal at multi-gigahertz rates at 1064 nm. the key innovation is the use of a waveguide embedded in a non-linear optical material suitable for high optical power handling. the phase modulators used for LISA must be rugged and must perform optimally in a radiation environment over the mission lifetime. to achieve this goal, the phase modulator development will include a fiber-in-fiber-out design that will readily lend itself to future space qualification for mechanical stability of the package and radiation damage resistance of the non-linear optical material.the Phase I effort successfully established the feasibility of the waveguide approach BY achieving high power in a waveguide, modulating the waveguide, and performing preliminary radiation testing of the material. during the phase II effort, three essential issues will be addressed. these issues are long term optical performance of the chosen substrate, traveling wave electrode design for efficient modulation, and the development of a packaging platform suitable for future space qualification.the high power, fiber coupled phase modulator enables the creation of a device that is not commercially available. there are several NASA applications that will benefit from this Technology Development. the modulator will find uses in high power lasers systems to provide sidebands onto a carrier signal and lidar systems which utilize high power fiber amplifiers. an additional application is a visible light modulator for locking a laser wavelength to a gas absorption reference.the high optical power capability of the phase modulator provides the primary basis for advr to enter the commercial market with this product. the fiber coupled phase modulator provides an alternative to currently available free space coupled phase modulators that CAN handle similar optical powers, but are bulky and require high DRIVE voltage to operate. additionally, the fiber coupled modulator is capable of handling significantly higher optical powers than commercially available fiber coupled lithium niobate waveguide phase modulators."
2023,VA,VA-11,Ht Machine Shop Llc,80NSSC23PB069,Modification 0 (Base Record),NSSC - NASA Shared Services Center,"VIENNA, VA (District 11)",05/11/2023,06/07/2023,"Purchase Order, Firm Fixed Price","Small Disadvantaged Business,Woman Owned Small Business,Small Business - Asian Pacific American Owned Business, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, Self Certified Small Disadvantaged Business, Sole Proprietorship, Women Owned","$47,725","$47,725",332710,,80NSSC233583Q,,Mechanical Ground Support Equipment (mgse) for the LISA telescope Technology Development program
2024,AL,AL-05,Nexolve Holding Co Llc,80NSSC23CA219,Modification P00001,NSSC - NASA Shared Services Center,"HUNTSVILLE, AL (District 05)",10/30/2023,11/20/2023,"Definitive Contract, Firm Fixed Price","Small Business Innovative Research,Small Business - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership",$0,$0,541715,,,,SBIR phase III - lightweight integrated SOLAR array and antenna (LISA-T) Pathfinder Technology Demonstrator (PTD) rework
2024,AL,AL-05,All Native Synergies Company,80MSFC24F0088,Modification 0 (Base Record),MSFC - Marshall Space Flight Center,"HUNTSVILLE, AL (District 05)",05/30/2024,08/22/2024,"Delivery Order, Firm Fixed Price","Government - Community Developed Corporation Owned Firm, Corporate Entity Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Tribally Owned Firm","$3,749","$3,749",561720,,,,PER fwr r001041939: provide daily cleaning service of porta LISA portable restroom trailer located on southside of building 4699. provide daily trash removal and weekly sweeping and mopping of mob2 trailer north side of 4699.
2024,VA,VA-10,Scott Andrew Merritt,80NSSC23PA492,Modification P00003,NSSC - NASA Shared Services Center,"MANASSAS, VA (District 10)",02/29/2024,03/31/2025,"Purchase Order, Firm Fixed Price","Small Business ONLY - For Profit Organization, Sole Proprietorship",$0,$0,541690,,80NSSC230906,,Subject Matter Expert consultant service on reliability analysis the LISA laser transmitter system
2024,MA,MA-03,Unique Technology Systems Llc,80NSSC24PA739,Modification P00001,NSSC - NASA Shared Services Center,"NORTH CHELMSFORD, MA (District 03)",08/06/2024,08/14/2024,"Purchase Order, Firm Fixed Price","Woman Owned Small Business,Small Business - For Profit Organization, Limited Liability Corporation, Women Owned, Women Owned Small Business",$0,$0,541519,,80NSSC243838Q,,Laser Interferometer Space Antenna
2025,FL,FL-03,University Of Florida,80GSFC21C0012,Modification P00022,GSFC - Goddard Space Flight Center,"GAINESVILLE, FL (District 03)",06/27/2025,07/03/2026,"Definitive Contract, Cost No Fee","Educational - 1862 Land Grant College, Educational Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College","$500,000","$2,113,110",336414,,80GSFC20R0041,,"Laser Interferometer Space Antenna (LISA) Charge Management Device (CMD).  the contractor shall design, fabricate, align, test, verify PER approved plan and deliver a TRL-6 technology maturation breadboard for the LISA mission."
2025,CO,CO-02,Bae Systems Space & Mission Systems Inc.,80GSFC22CA060,Modification P00019,GSFC - Goddard Space Flight Center,"BOULDER, CO (District 02)",08/29/2025,11/12/2025,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$106,186",$0,334511,,80GSFC22R0012,,Frequency reference system (frs) for the Laser Interferometer Space Antenna (LISA)
2025,CA,CA-28,California Institute Of Technology,80NM0025F7021,Modification P00001,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",07/31/2025,01/30/2030,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$312,421",$0,541715,,,,Laser Interferometer Space Antenna (LISA) (71-224611)
