Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,TN,TN-07,"Vanderbilt University, The",80NSSC18K1297,Modification P00006,NSSC - NASA Shared Services Center,"NASHVILLE, TN (District 07)",08/31/2023,06/30/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$98,352",$0,[None Indicated],,,,Request for summer salary support for chair of NASA LISA study team
2023,MN,MN-05,Regents Of The University Of Minnesota,80NSSC19K0318,Modification P00004,NSSC - NASA Shared Services Center,"MINNEAPOLIS, MN (District 05)",12/09/2022,12/12/2023,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Nonprofit Organization",$0,$0,[None Indicated],,,,Searching for the stochastic gravitational-wave background with LISA
2023,IL,IL-09,Northwestern University,80NSSC19K0323,Modification P00004,NSSC - NASA Shared Services Center,"EVANSTON, IL (District 09)",08/01/2023,06/30/2024,"Grant, Grant For Research","Educational - Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,Tools for modeling selection biases and for advanced astrophysical interpretation of LISA observations
2023,FL,FL-03,University Of Florida,80NSSC19K0324,Modification P00005,NSSC - NASA Shared Services Center,"GAINESVILLE, FL (District 03)",01/27/2023,06/06/2023,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College","$-10,238","$-10,238",[None Indicated],,,,"The Laser Interferometer Space Antenna (LISA) aims to observe gravitational WAVES from a cornucopia of low-frequency astrophysical sources including extragalactic black holes with masses ranging from 10s to 10s of millions of SOLAR masses, thousands of binary star systems in our own milky way galaxy and cosmological stochastic background sources and exotic physics in the early universe. to achieve this AIM, LISA will employ a PM-precision interferometric measurement of six test masses in three Spacecraft, disturbed BY accelerations of order FM/s^2 and separated BY 2.5 million km. unlike almost any astrophysics mission that has preceded it, the LISA instrument and Spacecraft are inextricably linked in determining the quality of the final scientific product. the scientific performance of the mission depends on the interplay between almost every element of the payload and platform. for example, the optical metrology system (oms) is used not only AS the primary distance measurement between test masses but also for Spacecraft attitude control. the need to maintain the interferometric reference test masses in pure free fall drives the Spacecraft dynamics through the on-board micro-propulsion system and the quality of free-fall depends critically on the stability of the platform. studying the performance of the instrument and generating realistic synthetic data with which to train data processing algorithms will require detailed simulations capable of reproducing the full complexity of the LISA instrument. the work described in this proposal will contribute to this effort in three areas: simulating the drag-free and attitude control system (dfacs) of LISA that governs the dynamics of the test masses and Spacecraft simulating the relevant light path for the entire optical chain of each laser link, including modeling the interferometric length and alignment sensing and developing tools to predict laser heterodyne frequencies based on orbit data and plan necessary switches or tunings of the offset-frequencies in the phase-locked loops. we propose to develop simulation tools describing the LISA dfacs, incorporating non-trivial test mass acceleration and read-out noise, the motion of the moving optical sub-assemblies (mosas) and the interaction of Spacecraft and test mass dynamics through the control laws and actuators. we will develop a simulation of the LISA optical metrology system based on a hermite-gauss mode expansion and scatter matrices capable of modeling tilt-to-length coupling, AS well AS the effects of other imperfections in the optical path such AS telescope wavefront errors, mode mismatches between interfered beams, and BEAM spot mis-centering on quadrant photodetectors. we propose to develop a tool that will rapidly devise suitable frequency plans to keep the heterodyne beat signals within a workable range based on inputs of orbital data. the integration of this tool with the oms and dfacs simulation tools will allow us to transition from a solely frequency-limit-based figure of merit to one that is driven BY the actual impact of the heterodyne frequency on the endto- end noise. to provide maximum benefit to the LISA mission, the products from each of these tasks will be built for compatibility with an end-toend performance simulator architecture. the lisanode infrastructure is being developed within the LISA consortium to facilitate the implementation of, and communication between, distinct but not isolated simulations of the LISA subsystems. the distinct simulations will be developed AS modules called nodes within the simulation environment."
2023,FL,FL-03,University Of Florida,80NSSC20K0126,Modification P00003,NSSC - NASA Shared Services Center,"GAINESVILLE, FL (District 03)",03/21/2023,08/31/2022,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College","$-2,999","$-2,999",[None Indicated],,,,"The Laser Interferometer Space Antenna (LISA) is a space-based gravitational wave (gw) observatory which will observe gws between 0.1 and 100 mhz. this NASA-supported ESA-LED flagship mission uses laser interferometry to measure distance fluctuations between three Spacecraft separated BY 2.5 gm. NASA is currently developing the telescopes which will be within the measurement path between the Spacecraft. the main objective of the work proposed here is to verify the dimensional stability of telescope models, starting with the NASA provided structural thermal model (stm) followed BY engineering development units (edu). the verification methods involve interferometric length measurements with sub-PM/rthz sensitivity across the LISA band and nm sensitivity over 3 months to prove sub-um lifetime (10 yr) stability. the experimental setup also allows to monitor temperature dependent telescope distortions and resulting wavefront errors. these would change the tilt to length coupling and which affects the calibration during flight needed to subtract it. a third objective is the development of a compact fiber-based cavity injection system for length measurements at the subpm level. this risk reduction activity would result in a very compact system for telescope internal length measurements known AS the optical truss interferometer. for objective 1, the stm/edu will be placed between two mirrors forming a standing wave optical resonator. the frequency of the measurement laser will be locked to this resonator to follow its dimensional changes. a second laser will be stabilized to an ultra-stable reference resonator or to a molecular iodine line for PM and m tests, respectively. variations in the frequency difference between the lasers are directly proportional to length changes in the stm/edu. the telescope distortions will be measured using a spatial profile of heterodyne laser beat signals. this approach is often called a phase camera. our tool will use a differential phase camera approach to isolate telescope distortions from other distortions. while we will likely not be able to measure the absolute wavefront error, we will be able to monitor changes AS a function of temperature during the PM-tests. this work also requires a significant modeling effort to extract the telescope distortions from the measured signals. statement of significance of the proposed work: this work is PART of the testing and verification plan of the LISA telescope prototypes (stm and edus) prior to mission adoption which is expected around 2023. the proposed work will also create a well-tested infrastructure and well-trained personnel, which is necessary for the verification of flight units in the future."
2023,CA,CA-28,California Institute Of Technology,80NSSC21K1721,Modification P00004,NSSC - NASA Shared Services Center,"PASADENA, CA (District 28)",09/13/2023,09/30/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$162,257",$0,[None Indicated],,,,Modeling and measuring extreme-mass-ratio-inspiral signals for LISA science
2023,IL,IL-09,Northwestern University,80NSSC21K1722,Modification P00003,NSSC - NASA Shared Services Center,"EVANSTON, IL (District 09)",09/15/2023,09/14/2024,"Grant, Grant For Research","Educational - Educational Institution, Nonprofit Organization, Private University Or College","$244,608",$0,[None Indicated],,,,Preparing LISA for intermediate-mass black hole science
2024,WV,WV-02,West Virginia University Research Corporation,80NSSC24M0106,Modification 0 (Base Record),NSSC - NASA Shared Services Center,"MORGANTOWN, WV (District 02)",06/18/2024,08/15/2027, Cooperative Agreement,"Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization","$749,750","$749,750",[None Indicated],,,,"24-2024epscor-0010, SMD: bringing gravitational-wave astronomy into the space age: next-generation waveform modeling of black-hole binary coalescences for LISA data analysis"
2024,MT,MT-00,"Montana State University, Inc",80NSSC19K0320,Modification P00004,NSSC - NASA Shared Services Center,"BOZEMAN, MT (District 01)",10/03/2023,08/31/2023,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$-2,624","$-2,624",[None Indicated],,,,18 lps180005 developing global analysis strategies for the LISA gravitational wave observatory
2024,VA,VA-05,Rector & Visitors Of The University Of Virginia,80NSSC20K0523,Modification P00006,NSSC - NASA Shared Services Center,"CHARLOTTESVILLE, VA (District 05)",05/23/2024,04/30/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning",$0,$0,[None Indicated],,,,White dwarf astrophysics and tests of general relativity with LISA
2024,MA,MA-07,Massachusetts Institute Of Technology,80NSSC21K0550,Modification P00003,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 07)",04/03/2024,06/30/2023,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$-50,$-50,[None Indicated],,,,This proposal requests support for dr. david shoemaker AS a subject-matter expert (SME) in instrumentation for gravitational wave astronomy to the NASA Laser Interferometer Space Antenna (LISA) study office.
2024,PA,PA-15,"Pennsylvania State University, The",80NSSC21K1720,Modification P00003,NSSC - NASA Shared Services Center,"UNIVERSITY PARK, PA (District 15)",08/16/2024,09/30/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization",$0,$0,[None Indicated],,,,20-lps20-0001 next generation numerical relativity waveforms for LISA black holes
2024,CA,CA-28,California Institute Of Technology,80NSSC21K1723,Modification P00004,NSSC - NASA Shared Services Center,"PASADENA, CA (District 28)",09/26/2024,09/30/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,Optical observations of compact binary systems in the LISA era
2024,TX,TX-19,Texas Tech University System,80NSSC22K0338,Modification P00003,NSSC - NASA Shared Services Center,"LUBBOCK, TX (District 19)",12/21/2023,12/31/2024,"Grant, Grant For Research","Educational - Educational Institution, Hispanic Servicing Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College",$0,$0,[None Indicated],,,,The population of LISA verification binaries and galactic LISA foreground sources using blackgem and gaia
2024,FL,FL-03,University Of Florida,80NSSC22K0675,Modification P00004,NSSC - NASA Shared Services Center,"GAINESVILLE, FL (District 03)",06/30/2024,02/28/2026,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College","$1,221,490","$2,192,607",[None Indicated],,,,"T22-nup2022-0038 NASA LISA telescope ground verification, PART b"
2024,ID,ID-01,Regents Of The University Of Idaho,80NSSC22K1898,Modification P00001,NSSC - NASA Shared Services Center,"MOSCOW, ID (District 01)",06/07/2024,08/31/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Government, US Government Entity","$182,606",$0,[None Indicated],,,,Superb numerical relativity for LISA and 3g detectors
2024,MA,MA-05,Smithsonian Institution,80NSSC23K0980,Modification P00001,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 05)",09/05/2024,09/30/2025,"Grant, Grant For Research",Non-Profit Institutions - Nonprofit Organization,$0,$0,[None Indicated],,,,Support to Laser Interferometer Space Antenna (LISA)
2025,IL,IL-13,University Of Illinois,80NSSC22M0191,Modification P00003,NSSC - NASA Shared Services Center,"URBANA, IL (District 13)",07/11/2025,10/31/2025, Cooperative Agreement,"Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,Study of the origin of differential phase noise in the LISA laser system
2025,GA,GA-05,Georgia Tech Research Corporation,80NSSC19K0319,Modification P00005,NSSC - NASA Shared Services Center,"ATLANTA, GA (District 05)",05/07/2025,05/14/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning",$-4,$-4,[None Indicated],,,,"What are the properties of accretion flows in vicinity of coalescing massive black hole binaries (mbhbs)? the answer to this question has direct implications for the feasibility of coincident detections of electromagnetic (EM) and gravitational wave (gw) signals from coalescences. such detections are considered to be the next observational grand challenge that will provide a more complete understanding of evolution and growth of these massive objects. in anticipation of future detections BY the Laser Interferometer Space Antenna (LISA), we propose to investigate the coincident EM and gw signatures of mbhbs immersed in accretion flows. the proposed program of research centers on a suite of high-resolution simulations with the radiation-magnetohydrodynamic code athena++ , which will follow binaries AS they evolve through the LISA frequency band. this study will set the stage for the FIRST simulations of accreting mbhbs with radiative transfer and will use them to predict the resulting EM spectra, light curves, and gravitational waveforms."
2025,PA,PA-12,Carnegie Mellon University,80NSSC20K0519,Modification P00006,NSSC - NASA Shared Services Center,"PITTSBURGH, PA (District 12)",02/20/2025,12/31/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"The recent discovery of the FIRST electromagnetic counterparts to sources of gravitational WAVES (gws) have realized astronomy s promise of observing cosmic sources BY means other than light, bringing to focus exciting prospects for multi-messenger astrophysics. the launch of space based gw detector (such AS LISA)and current and upcoming pulsar timing arrays (ptas) will extend the gw window to low frequencies, opening new investigations into dynamical processes involving massive black hole binaries (mbhbs) over the full sweep of cosmic history, revealing mbhs merging from the FIRST cosmic structures assembled in the dark ages to today."
2025,UT,UT-03,Brigham Young University,80NSSC20K0528,Modification P00006,NSSC - NASA Shared Services Center,"PROVO, UT (District 03)",01/08/2025,01/06/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$-15,607","$-15,607",[None Indicated],,,,Binary black hole waveforms for LISA using numerical relativity
2025,TN,TN-05,"Vanderbilt University, The",80NSSC22K0748,Modification P00003,NSSC - NASA Shared Services Center,"NASHVILLE, TN (District 05)",03/05/2025,03/13/2026,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"The outcome of this work will be a framework for determining the detectability of LISA EM counterparts that CAN incorporate constraints from future facilities like athena, and the development of practical strategies for EM counterpart identification."
2025,IL,IL-13,University Of Illinois,80NSSC22K0806,Modification P00006,NSSC - NASA Shared Services Center,"URBANA, IL (District 13)",03/25/2025,04/30/2026,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"This proposal is focused on (i) the study of systematics that may hinder tests of general relativity with the Laser Interferometer Space Antenna (LISA), and (II) the development of methods to overcome these systematics. we propose to explore systematics induced BY mismodeling of waveforms (in the inspiral,"
2025,FL,FL-03,University Of Florida,80NSSC22K0808,Modification P00003,NSSC - NASA Shared Services Center,"GAINESVILLE, FL (District 03)",03/24/2025,05/15/2026,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College",$0,$0,[None Indicated],,,,"Supermassive black holes (bhs) are fundamental to many aspects of galaxy evolution, and they are the next frontier in gravitational wave (gw) astronomy. pulsar timing arrays may very soon detect nanohertz gws from BH binaries, and the Laser Interferometer Space Antenna (LISA) will be able to detect BH mergers out to z ~ 20. currently, however, essentially everything we know about bhs beyond the local universe comes from electromagnetic observations of gas accretion onto bhs, seen AS active galactic nuclei (agn)."
2025,NY,NY-10,New York University,80NSSC22K0822,Modification P00004,NSSC - NASA Shared Services Center,"NEW YORK, NY (District 10)",07/21/2025,06/30/2026,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"The goal of this proposal is to elucidate the long-term orbital evolution, AS well AS the accompanying electromagnetic and gravitational wave signatures, of black hole binaries (bhbs) with circumbinary gas disks. this requires a detailed understanding of the hydrodynamical reaction of the disk to the orbital motion of the bhbs, AS well AS the back-reaction of the disk on this orbital motion, while treating the coupled system self-consistently. this is an exceptionally well-posed problem, whose clean solution will yield the answers to fundamental questions, such AS: (i) how long does a bhb take to coalesce? (II) how efficiently are the individual bhs fueled during the coalescence process? (III) what are the basic characteristics of this accretion and the emerging electromagnetic (EM) emission? in order to answer these questions, the proposed research will follow a multi-pronged, systematic approach, combining analytic calculations with one-, two- and three-dimensional, high-resolution hydrodynamical simulations. the results from this proposal will be applied to interpret observations of (i) the stochastic gravitational wave (gw) background and of any individual supermassive bhbs BY pulsar timing arrays (ptas), (II) periodicities in quasar light-curves in large time-domain EM surveys and (III) stellar-mass BH binaries detectable BY LIGO and virgo. our results will also be needed to interpret EM counterparts of inspiraling BH binaries discovered BY the planned space-based gw detector LISA, in which NASA is invested AS a partner. the proposed work will directly support NASA's strategic plan via its strategic goal 1: ""EXPAND human knowledge through scientific discoveries,"" strategic objective 1.1: ""understand the sun, earth, SOLAR system, and universe,"" including the core context ""discovering the secrets of the universe."
