Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,CA,CA-28,California Institute Of Technology,80NM0018F0552 Modification P00031,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",06/18/2025,09/30/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,"$-493,193",541715,,,,Electra uhf proximity-link payload for the MAVEN project (40-13422)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0797 Modification P00033,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",05/14/2025,09/30/2026,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,541715,,,,JPL technical support to the MAVEN project (40-15537)
2025,CA,CA-28,California Institute Of Technology,80NM0022F0057 Modification P00011,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/08/2024,09/20/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,527,090",$0,541715,,,,Ind support of MAVEN (91-203892)
2025,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC19K0562 Modification P00007,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",03/20/2025,03/31/2024,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$-299,$-299,[None Indicated],,,,"SOLAR flares produce a burst of radiation over a wide range of wavelengths including x-ray and Extreme Ultraviolet (EUV), which are the main ionizing SOLAR irradiance for planetary atmospheres at low and high altitudes, respectively. however, unlike earth, the details of how the NEAR-mars space environment responds to this type of episodic transient events are poorly understood due to several reasons. FIRST, SOLAR flares evolve much faster than the orbital periods of space-borne satellites. only a handful of intense SOLAR flare events have been captured at mars, and no multi-point observations are available. moreover, all of the reported x-class SOLAR flare events were already in their late decay phase and thus missed the responses during flare peaks. second, all the observations of the SOLAR flare-generated electron density disturbances occurred at high SOLAR zenith angles NEAR the terminator and missed the potentially more important subsolar regime. third, the published SOLAR flare effect studies focused on the ionosphere at altitudes below the exobase. few SOLAR flare consequences are evaluated for the thermosphere and high-altitude ionosphere, where the mars-SOLAR wind interaction dominates and controls plasma transport and loss to space. fourth, the x-class 15 april 2001 and most recent 10 september 2017 SOLAR flare events, which have drawn the most attention from the mars community, are limb flares. due to the SOLAR atmosphere being optically thin to x-ray but optically thick to EUV wavelength, a SOLAR limb flare leads to much weaker SOLAR EUV enhancement (which, however, is particularly important for being responsible for high-altitude space weather effects) compared to a disk-centered flare. all together, the picture of how SOLAR flares affect the NEAR-mars space environment on a planetary scale beyond the low-altitude ionosphere remains completely unsolved. specifically, this proposal aims to address: 1) to what extent DO SOLAR flares impact the mars ionosphere, upper atmosphere, and induced magnetosphere? 2) how does the SOLAR disk location of SOLAR flares affect the response of the mars system? 3) how much atmospheric loss is induced BY SOLAR flares and superflares? these science questions will be addressed BY coupling together three sophisticated models. the newly developed and validated flare irradiance spectral model-mars (fism-m) will be used to specify the time-varying SOLAR irradiance. the mars global ionosphere thermosphere model (mgitm) will then be applied to assess the SOLAR flare impact on the upper atmosphere and low-altitude ionosphere. using these time-dependent results to update photoionization, ion-neutral collisions, and inner ionospheric boundary conditions, our 3-d multi-species mhd model is able to consistently derive the changes at high altitudes, including the upper ionosphere and induced magnetosphere, and finally assess the impact on global atmospheric escape. we will also examine how the SOLAR disk location of SOLAR flares affects their consequences BY using corresponding SOLAR irradiance outputs from fism-m. these physics-based modeling efforts enable us to characterize the global mars responses to SOLAR flare events, and to evaluate the implications for atmospheric evolution. the calculation results will be further examined through comparison with the observations from mars-orbiting satellites (mgs, MAVEN) for simulated SOLAR flare events. the model-data comparison will constrain the key processes that transfer energy from SOLAR irradiance to atmospheric species and redistribute within the mars system. the proposed work is directly relevant to the NASA SOLAR system workings program, specifically, its call on the investigation of ""magnetospheric processes and dynamics"" in ""plasma environments"". especially, we propose to undertake the FIRST global study of the response of the coupled mars upper atmosphere-ionosphere-induced magnetosphere system to SOLAR flares."
2024,NH,NH-01,University System Of New Hampshire,80NSSC19K0914 Modification P00007,NSSC - NASA Shared Services Center,"DURHAM, NH (District 01)",07/01/2024,06/30/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization",$0,$0,[None Indicated],,,,"The proposed research investigates the evolution and interaction of transients AS well AS their effects on galactic cosmic rays (gcrs) in the inner heliosphere. we leverage many years of Spacecraft observations from NASA missions at different heliocentric distances from mercury to mars to study the evolution of interplanetary Coronal Mass Ejections (icmes) and small flux ropes (sfrs), and their interaction with each other, with corotating interaction regions (cirs), and with the heliospheric current sheet (hcs)/plasma sheet (hps). we use observations from messenger at mercury, venus EXPRESS (vex) at venus, wind/ACE/STEREO/LRO NEAR 1 AU, and MAVEN/MSL at mars, spanning heliocentric distances from 0.3 to 1.7 AU."
2023,CA,CA-13,"Regents Of The University Of California, The",80NSSC19K0944 Modification P00003,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 13)",01/05/2023,04/30/2022,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization","$-1,253","$-1,253",[None Indicated],,,,"Year 1: the FIRST year of work will focus on characterizing the statistical properties of irregularity events in the martian ionosphere, AS outlined in section 4.1. substantial effort will be required to develop a reliable, automated, event identification algorithm. task 4.1a is expected to be quick (a day or two) a significant portion of time will be spent on tasks 4.1b and c, AS the identification algorithm will require substantial testing. task 4.1d will take about a week given the large volume of data to be processed. task 4.1e will take a few weeks, given the large number of parameters that MAVEN measures. the goal at the end of year 1 will be to complete the analysis outlined in section 4.1, and write up the results of this analysis for submission to a peer review journal. year 2: the second year of work will focus on addressing the role that ion winds play in the formation of ionospheric irregularities at mars, AS outlined in section 4.2 . tasks 4.2a, b and c will require significant attention to ensure that biases introduced from differences in the Spacecraft velocity vector (and thus crosstrack measurement direction) between different periapsis passes, for example, are dealt with correctly. if this analysis produces material that CAN be written into a stand-alone manuscript then this manuscript will be written and submitted to a peer review journal. tasks 4.2a, b, c and d are expected to take around 3 months (at full fte) to complete. tasks 4.2e-1 and 4.2e-2 would be addressed in the second half of the year, and the results of this analysis will be written up for submission to a peer review journal, either AS a stand-alone paper or AS PART of the work undertaken in tasks 4.2a, b and c, depending upon analysis results."
2023,IA,IA-01,"University Of Iowa, The",80NSSC19K1219 Modification P00004,NSSC - NASA Shared Services Center,"IOWA CITY, IA (District 01)",05/16/2023,12/31/2022,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$-318,$-318,[None Indicated],,,,"Goals and objectives prior to the onset of the MAVEN (Mars Atmosphere and Volatile Evolution) mission in 2014, only two measurements of the ionospheric composition existed. they came from the viking 1 and 2 landers in 1976. this is why one of the three high-level science objectives of the MAVEN is to  measure the composition and structure of the upper atmosphere and ionosphere today, and determine the processes responsible for controlling them  (jakosky et AL., 2015). to help MAVEN reach science closure on this objective, we propose to use measurements from the MAVEN ngims (neutral gas and ion mass spectrometer) instrument. our investigation CAN be summarized with a single science question that we will address with four tasks: overarching science question: how does the chemical composition of the ionosphere vary with SOLAR zenith angle, season, SOLAR rotation, and dust? task 1: create a database of median composition profiles (20 ion species and 5 neutral species) and archive them on the NASA PDS (Planetary Data System) so that the community CAN validate their ionospheric models, perform scientific investigations, or use them AS boundary conditions in simulations of escape processes. task 2: show how the peak densities and peak altitudes of each ion layer vary with SOLAR zenith angle and season, and determine which peaks form at a constant atmospheric pressure level. task 3: determine how the chemical composition of the ionosphere responds to changes in lower atmospheric dust levels. task 4: show how the chemical composition of the ionosphere responds to changes in the SOLAR EUV flux associated with the 27-day rotation period of the sun. methodology our investigation will be based on the publicly available ngims measurements of neutral and ion densities. in task 1, we will derive median composition profiles BY computing altitude-averages of ngims data from 30 consecutive MAVEN orbits (treating inbound and outbound data separately). once complete, we will have constructed a database of ion altitude profiles for 20 different ion species (half of these locations will also have corresponding neutral profiles). we will archive the profiles on the atmospheres node of NASA s PDS and analyze them in task 2-4. in task 2, we will quantify how the peak altitudes and peak densities of the different ion layers vary with SOLAR zenith angle and season BY deriving best-fit parameters to equations that describe the sza variations. in task 3, we will look for unusual composition changes associated with the annual dust cycle on mars. the dust data will come from collaborator luca montabones  high level maps of the dust IR optical depth. in task 4, we will use level 3 data from MAVEN s EUV monitor to determine how each ion varies with the SOLAR EUV flux, and how the variations depend on altitude. perceived impact and mdap justification at the conclusion of our investigation we will have (1) created an archived database of median composition profiles that the community CAN analyze or use in modeling studies (2) shown how the peaks of 14 different ion layers vary with SOLAR zenith angle and season, and determined which peaks form at a constant atmospheric pressure level (3) determined the extent in which the annual martian dust cycle affects the ion composition and (4) shown how the ion composition changes in response to the 27-day rotation period in the SOLAR EUV flux. with these results, we will have answered our overarching science question and made significant progress in helping the MAVEN mission reach science closure on one of its highest level objectives. our investigation, then, will not only have a significant impact on mars ionospheric science, but is also extremely relevant to the goals and scope of the mdap program AS detailed in section 1 of the c.9 document."
2025,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC19K1229 Modification P00005,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",06/30/2025,07/24/2024,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$-41,$-41,[None Indicated],,,,Quantifying martian ion escape variations with upstream conditions from MAVEN and mex data using Machine Learning methods
2023,TX,TX-20,Southwest Research Institute,80NSSC20K0934 Modification P00003,NSSC - NASA Shared Services Center,"SAN ANTONIO, TX (District 20)",08/03/2023,07/31/2024,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,,,Electromagnetic sounding of the interior of mars using insight and MAVEN
2024,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC20K0941 Modification P00003,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",08/06/2024,08/20/2025,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$165,866",$0,[None Indicated],,,,Exploring processes in the mars upper atmosphere with MAVEN euvm SOLAR occultations
