Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,CA,CA-28,California Institute Of Technology,80NM0018F0599 Modification P00028,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/15/2024,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$55,000",$0,541715,80-0120,,,Mars EXPRESS: phase e (40-7871)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0599 Modification P00029,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",01/06/2025,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$110,000",$0,541715,80-0120,,,Mars EXPRESS: phase e (40-7871)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0599 Modification P00030,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/01/2025,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$85,000",$0,541715,,,,Mars EXPRESS: phase e (40-7871)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0599 Modification P00031,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",05/22/2025,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$35,421",$0,541715,,,,Mars EXPRESS: phase e (40-7871)
2025,TX,TX-20,Southwest Research Institute,80NSSC24K0797 Modification P00002,NSSC - NASA Shared Services Center,"SAN ANTONIO, TX (District 20)",04/17/2025,03/11/2027,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$95,000",$0,[None Indicated],,,,"23-pdart23-0002, archiving mars EXPRESS els background data to allow enhanced science"
2024,CA,CA-28,California Institute Of Technology,80NM0018F0599 Modification P00026,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/13/2023,10/31/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$250,000",$0,541715,80-0120,,,Mars EXPRESS: phase e (40-7871)
2024,CA,CA-28,California Institute Of Technology,80NM0018F0599 Modification P00027,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",05/07/2024,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,"$-7,407,589",541715,80-0120,,,Mars EXPRESS: phase e (40-7871)
2024,CO,CO-02,"Freestyle Analytical & Quantitative Services, Llc",80NSSC19K1228 Modification P00006,NSSC - NASA Shared Services Center,"LONGMONT, CO (District 02)",09/25/2024,09/24/2025,"Grant, Grant For Research","Other Than Small Business - For Profit Organization, Limited Liability Corporation, Sole Proprietorship",$0,$0,[None Indicated],,,,"We propose to use well established three dimensional (3d) imaging techniques developed and used for terrestrial seismic data to fully and accurately 3d image the polar regions of mars known AS planum australe (pa) and planum boreum (PB) using sets of subsurface observations acquired BY mars advanced radar for subsurface and ionosphere sounding (marsis) on the mars EXPRESS (mex) orbiter. we further propose to analyze and interpret the resulting 3d marsis images to refine our understanding of prior and search for new scientifically important pa and PB features, such AS accumulations of liquid water and buried craters within or beneath the polar layered deposits (pld)."
2024,TX,TX-20,Southwest Research Institute,80NSSC24K0797 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"SAN ANTONIO, TX (District 20)",03/15/2024,03/11/2027,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$50,000","$359,480",[None Indicated],,,,Archiving mars EXPRESS els background data to allow enhanced science
2024,TX,TX-20,Southwest Research Institute,80NSSC24K0797 Modification P00001,NSSC - NASA Shared Services Center,"SAN ANTONIO, TX (District 20)",07/12/2024,03/11/2027,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$115,578",$0,[None Indicated],,,,"23-pdart23-0002, archiving mars EXPRESS els background data to allow enhanced science"
2023,AR,AR-02,University Of Arkansas System,80NSSC19M0174 Modification P00002,NSSC - NASA Shared Services Center,"LITTLE ROCK, AR (District 02)",11/16/2022,09/30/2021, Cooperative Agreement,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$-31,814","$-31,814",[None Indicated],,,,"Methane has been FIRST identified in the atmosphere of mars BY the planetary fourier spectrometer onboard mars EXPRESS (formisano et AL., 2004). it was then ed BY ground-based observations (mumma et AL., 2009) and later in situ BY the Mars Science Laboratory s SAM instrument (webster et AL., 2018). methane is a potentially significant resource for future exploration of mars, provided we CAN identify its sources, locations, and abundances. according to our current knowledge of the surface and subsurface environment of mars, one of the main sources should be clathrates hydrates, a structure composed of water molecules  cages  entrapping other gas molecules, including methane."
2023,CA,CA-27,California Institute Of Technology,80NM0018F0599 Modification P00022,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 27)",10/07/2022,10/31/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$31,000",$0,541715,80-0120,,,Mars EXPRESS: phase e (40-7871)
2023,CA,CA-27,California Institute Of Technology,80NM0018F0599 Modification P00023,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 27)",01/05/2023,10/31/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$19,000",$0,541715,80-0120,,,Mars EXPRESS: phase e (40-7871)
2023,CA,CA-28,California Institute Of Technology,80NM0018F0599 Modification P00024,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",01/27/2023,10/31/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$25,000",$0,541715,80-0120,,,Mars EXPRESS: phase e (40-7871)
