Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,MD,MD-07,"Johns Hopkins University, The",80NSSC17K0576 Modification P00007,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",10/28/2022,08/31/2018,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$-5,958","$-5,958",[None Indicated],,,,"AS PART of the NASA international SOLAR-terrestrial physics (istp) program, the geotail Spacecraft was launched in 1992 into an earth orbit with apogees extending deep into earth s magnetic tail region, and later in a 9re x 30re final orbit. the Johns Hopkins University Applied Physics Laboratory (JHU/APL) was chosen BY NASA to develop and operate the energetic particle and ion composition (EPIC) instrument (in conjunction with co-investigators at the universities of maryland and kansas) for this mission. both the Spacecraft and EPIC instrument have been fully operational and returning earth magnetic tail region data since launch in 1992. the EPIC data on geotail have made and will continue to make major contributions to the understanding of the Fundamental Research topics such AS geomagnetic storms, substorms, magnetic reconnection, and particle acceleration. the continuation in processing EPIC data will complement existing space missions such AS cluster, THEMIS, recent space mission van allen probes, and MMS mission to gain further understanding of the plasma dynamics occurring in the outer and inner magnetosphere. the geotail/EPIC data for the next few years will offer another invaluable monitoring point in space that CAN, in some cases, change an ambiguous result when geotail/EPIC observations are not taken into account to a conclusive one when they are. in particular, EPIC s capability of identifying the ion species and charge state is unique, complementing missions that lack this ability (e.g., THEMIS). in view of its vital role in complementing existing and future NASA missions, we propose the continuation of EPIC data processing for the use of the space community at large. the data processing software has been well developed for its continual usage. the requested funding will also allow continuous monitoring of instrument operations and providing materials to support senior review preparations."
2023,CA,CA-12,"Regents Of The University Of California, The",80NSSC17K0609 Modification P00005,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 12)",03/21/2023,09/14/2022,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization",$-10,$-10,[None Indicated],,,,"This is a proposal to study the nature and role of intense whistler WAVES that occur within earth's quasiperpendicular bow shock using measurements from the Magnetospheric Multiscale (MMS) mission. in particular the following interrelated questions will be addressed: 1.) what are the properties of the intense oblique whistlers WAVES?, 2.) what are their source mechanisms?, and 3.) what is their role in shock structure and plasma transport? despite much attention, the mechanisms responsible for the generation of whistler WAVES and thus their role in shock structure and plasma transport are not fully understood and under current debate. moreover, recent observations suggest that oblique whistler WAVES localized in the FOOT/ramp of supercritical shocks may be playing a more important role than previously thought. namely, they CAN be quite intense (db/bo1) and highly non-linear, CAN carry sizable parallel electric fields, which CAN accelerate the plasma, and appear to be important sites for the generation of secondary whistler emission and large amplitude electrostatic WAVES.  the science goals will be achieved via comprehensive CASE and statistical studies based on the high-time-resolution plasma and field data from the MMS mission. the data set from MMS is unique in that it provides for the FIRST time multipoint measurements of the plasma and fields with the requisite time resolution to evaluate the different source mechanisms and how these WAVES interact with the plasma. the electric and magnetic waveform measurements will be used to determine the propagation speeds, wave vector directions, and wavelengths of the WAVES using different methods such AS faraday's law, variance analysis, and/or timing analysis. other properties such AS, electric and magnetic field intensities, parallel electric fields, poynting flux, and association with secondary whistler emission and large amplitude electrostatic WAVES will also be analyzed. the wave properties will be compared with observed features in the high-time-resolution electron and ion distribution functions and moments to assess source mechanisms and how the WAVES interact with the plasma. these observational results will be compared with theoretical predictions for the generation of these WAVES, which include microinstabilities driven BY the relative drift between electrons and ions (either incident or reflected), and generation via nonlinearities in a steepening shock front. to study how the properties change under different beta and mach conditions, a statistical database of events will be developed and analyzed. the macrostate (e.g., normals, speeds, asymptotic parameters) of the shocks that make up the database will be determined using well-established techniques, such AS timing analysis and the vinas-scudder rankine- hugoniot based least-square approach."
2023,AK,AK-00,University Of Alaska Fairbanks,80NSSC18K0797 Modification P00006,NSSC - NASA Shared Services Center,"FAIRBANKS, AK (District 00)",06/06/2023,04/30/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Government, US Government Entity",$0,$0,[None Indicated],,,,"1. goals and/or objectives at the root of this proposal is the question of how momentum and energy are transported at kinetic scales (~&lt; ion gyro radius) between magnetically coupled space plasmas. some of the most compelling physics occurs at ion kinetic scales (e.g., magnetospheric boundaries) and even at electron inertial scales (e.g., broadband aurora, reconnection). in many instances, large-scale perturbations CAN undergo a turbulent cascade to kinetic scales, dissipating energy, and producing non-adiabatically heated plasma (e.g., radial transport in planetary magnetospheres). thus, in-depth knowledge of such processes has broad applicability in space plasma physics. this proposal seeks to generate kinetic-scale plasma WAVES (e.g., low frequency kinetic/inertial alfven, right-hand whistler, left-hand ion cyclotron, and higher frequency lower hybrid WAVES ETC.) using an active plasma injection in the earth's ionosphere (thermite barium release) AS a known source of energy and momentum. specifically, this proposed experiment will address the following compelling science questions: - how is momentum transfer affected BY kinetic-scale physics (e.g., formation of parallel electric fields and dissipation)? - how is electromagnetic energy converted into plasma kinetic and thermal energy? - what is the interplay (i.e., cross-scale coupling) between fluid- and kinetic-scale processes? 2. methodology to address our science questions, we propose to make plasma measurements adjacent to and within the alfven wing of an injected thermite barium release. we will launch a single rocket from wallops island, virginia, with two barium thermite canisters to be detonated 90 s apart at an altitude of about 350 km. a plasma diagnostic array will include 4 free-flying instruments (thermal plasma properties) and will be positioned above the release, but NEAR the edge the magnetic flux tube subtended BY the release cloud. the inter-instrument separation will be comparable to the perpendicular gradient scale lengths of the cloud, which is comparable to the oxygen ion inertial length at ionospheric altitudes (~ few km). the main payload will provide DC fields, particle (pitch angle resolved thermal and energetic electrons) and wave data inside, at the boundaries, and outside of the alfven wings due to the relative motion of payload and cloud. ground-based optical observations to record the motion of the releases will be made at downrange stations. the combined data set will provide basic information on the magnitude and scale of the alfvenic perturbations and quantify the coupling. the data, in combination with state-of-the-art numerical simulations, will allow us to distinguish between different physical processes. 3. relevance this proposal addresses central elements of NASA's 2014 science plan. specifically, we will explore the physical processes in the space environment from the sun to the earth and throughout the SOLAR system and advance our understanding of the connections that link the sun, the earth, planetary space environments, and the outer reaches of our SOLAR system BY studying kinetic-scale energy and momentum transport. auroral acceleration and turbulent heating models invoke kinetic/inertial alfven WAVES, making the proposed experiment ideally suited for addressing fundamental space plasma coupling processes. the proposed experiment has significant heritage with NASA-sponsored suborbital missions and orbital missions (e.g., crres). the problem definition has been elucidated BY previous and current NASA missions (e.g., THEMIS, MMS, fast, cassini, galileo and juno). the past 20 years have seen significant advances in both in situ instrumentation and ground based optics capability. combined with advanced numerical simulation methods, the proposed experiment, with its strong heritage, is ideally suited to attacking fundamental processes in space plasmas."
2024,CA,CA-12,"Regents Of The University Of California, The",80NSSC18K1002 Modification P00008,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 12)",06/26/2024,06/04/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization",$0,$0,[None Indicated],,,,Review of the heliophysics operating missions - the Magnetospheric Multiscale mission (MMS)
2023,TX,TX-20,Southwest Research Institute,80NSSC18K1366 Modification P00004,NSSC - NASA Shared Services Center,"SAN ANTONIO, TX (District 20)",04/10/2023,09/10/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-2,321","$-2,321",[None Indicated],,,,"Science goals & objectives our focused science objective is to determine the relative importance of external SOLAR wind conditions and wave-particle interactions in heating the plasma and accelerating particles at high mach number, quasi-perpendicular portions of the earth's bow shock. to achieve this objective we will answer the following three science questions: 1) how DO external factors (e.g., SOLAR wind conditions, plasma beta, density & temperature) determine the bow shock's macro-scale structure and affect the associated ion and electron velocity distribution functions 2) how are properties of ambient turbulence, plasma instabilities, and locally-generated WAVES related to the evolution of electron and ion distributions upstream and downstream of the shock 3) what portions of the ion and electron populations in velocity space participate in getting heated and accelerated at the bow shock? scientific importance / significance collisionless shocks are a major producer of suprathermal and energetic particles in space and astrophysical plasma environments. theoretical studies combined with in-situ observations during the space age have significantly advanced our understanding of the physical processes associated with such shocks. however, it is still poorly understood exactly how collisionless shocks are formed, the manner in which they evolve and dissipate their energy, and the physical mechanisms BY which they heat and accelerate the local plasma. methodology: data analysis we answer the above science questions through a systematic analysis of high time resolution burst data from NASA's Magnetospheric Multiscale (MMS) mission during multiple bow shock crossings. we characterize the evolution of parallel and perpendicular temperatures, and the velocity distribution functions of ions and electrons in the upstream and downstream regions. we use the highest-time-resolution electric and magnetic field data to derive the power spectral densities and polarization characteristics to identify the nature and properties of turbulence, instabilities, WAVES (ambient and self-excited) associated with quasi-perpendicular bow shock crossings. we use a novel field-particle correlation analyses technique to perform cross-sensor analyses and identify key parameters that are associated with the ion and electron populations in velocity space that participate in dissipation and energization at each shock crossing. finally, we use a state-of-the-art global, electromagnetic, hybrid (kinetic ions and fluid electrons) simulations to model the shock structure and study wave-particle behavior in ~2-3 CASE studies. mission data launched in march 2015, MMS has four Spacecraft separated between ~10-40 km and equipped with identical state-of-the-art instruments that acquire magnetic and electric field, plasma wave, and particle data at unprecedented temporal resolution to study the fundamental physics of magnetic reconnection in the earth's magnetosphere. serendipitously, during phase 1a from october 2015 through december 31, 2015, MMS also encountered and crossed the earth's bow shock more than ~400 times, and more importantly, acquired highest time resolution burst data during &gt;230 such crossings. relevance to MMS and decadal survey the proposed research is highly relevant to the MMS-gi program AS it uses the highest cadence or time resolution MMS burst data during numerous bow shock crossings to address a fundamental science question that is critical for NASA's heliophysics division - how DO collisonless shocks heat the local plasma and accelerate the particles our proposed research also addresses two of the 2012 SOLAR and space physics decadal survey goals, namely ds2: determine the dynamics and coupling of earth's magnetosphere, ionosphere, and atmosphere and their response to SOLAR and terrestrial inputs. ds4: discover and characterize fundamental processes that occur both within the heliosphere and throughout the universe."
2024,CA,CA-12,"Regents Of The University Of California, The",80NSSC18K1373 Modification P00005,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 12)",09/23/2024,09/30/2023,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization","$-2,262","$-2,262",[None Indicated],,,,"In late 2015, the Magnetospheric Multiscale (MMS) mission, resolved the shock transition layer down to the electron-scale for the FIRST time, using its unprecedentedly high-time resolutions of particle measurements (both ions and electrons), combined with all three components of magnetic and electric fields. since then, MMS has crossed the bow shock numerous times and accumulated a large volume of dataset. thus, in this proposed project, we take advantage of MMS measurements and AIM to advance our understanding of electron acceleration at collisionless shocks BY focusing on the following specific questions: (1) where in the shock transition layer are electrons energized and what are their characteristics? (2) how DO the upstream conditions control the locations and the characteristics of electron acceleration? to address these questions, we will utilize data obtained BY the Magnetospheric Multiscale (MMS) mission. we will only use MMS data in a public archive 30 days before the step-2 deadline, i.e., 2018 january 11. the data set used in this study will include both quasiperpendicular and quasi-parallel shock crossings, with a broad range of upstream parameters including, but not limited to, alfven mach number, shock angle and plasma beta. to study behaviors of electrons, we will use 2d and 3d visualizations of the velocity distributions, pitch angle distributions and energy spectra. to identify and study associated plasma features, we will examine various data including, but not limited to, magnetic and electric fields, currents, and frequency spectra."
2024,TX,TX-19,Texas Tech University System,80NSSC18K1652 Modification P00006,NSSC - NASA Shared Services Center,"LUBBOCK, TX (District 19)",05/28/2024,08/27/2023,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$-3,239","$-3,239",[None Indicated],,,,"Daily average atmospheric pressure on mars varies from less than 700 pa to 1000 pa seasonally according to the data obtained BY the viking landers and the rover environmental monitoring station (rems) of the curiosity rover. mars' atmospheric pressure also varies diurnally with a range of ~100 pa. regolith on mars breathes in sync with the changes in atmospheric pressure, and the phenomenon is called barometric pumping. previous laboratory measurements have shown that thermal conductivity of planetary regolith simulants is very sensitive to the pore gas pressure in the range observed on mars. the thermal conductivity may increase BY 2 to 3 times from 600 pa to 1000 pa. other lab experiments have shown that thermal conductivity of the simulants varies also with temperature. in the range of diurnal and seasonal temperature swings expected at the insight landing site, thermal conductivity of the surface regolith may fluctuate BY more than 10% due to the effect of temperature alone. the insight mission plans to determine the endogenic heat flow of the landing site AS a product of two separate measurements of thermal gradient in, and thermal conductivity of, the regolith penetrated BY the heat flow and physical properties probe (hp3). the probe will measure thermal conductivity with 50-CM depth intervals AS it penetrates into the regolith. only one measurement will be made at each depth. the sensitivity of the regolith's thermal conductivity to pore gas pressure and temperature implies that hp3 may be able to capture only a snapshot of the regolith's thermal conductivity at each depth AS it fluctuates seasonally BY possibly more than 100%. the objective of the research proposed here is to determine the effective thermal conductivity of the regolith that is relevant to the longterm (decades or longer) surface heat exchange at the landing site. to achieve the objective, we propose to carry out the following three lines of work in collaboration with the insight team: (1) repeat in-situ thermal conductivity measurements at the bottom of the hole using hp3 in a wide range of mars' atmospheric pressures (monitored BY the auxiliary payload sensor suite). (2) conduct thermal conductivity measurements on two types of mars regolith simulants (MMS and eifelsand) in a vacuum chamber in the range of co2 gas pressures and temperatures observed at the landing site. if the insight team determines that the regolith at the landing site is not adequately represented BY these simulants, a new simulant may be developed and tested. (3) BY synthesizing the data from (1) and (2), develop a mathematical model for the pressure and temperature effects on the regolith's thermal conductivity. that will be incorporated into a thermal model for the heat exchange at mars' surface and shallow subsurface, which yields the effective, long-term thermal conductivity of the regolith of the landing site."
2023,MD,MD-07,"Johns Hopkins University, The",80NSSC19K0270 Modification P00004,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",01/29/2023,02/15/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"Electromagnetic ion cyclotron (emic) WAVES are known to be an important instability in the magnetosphere, regulating the ring current temperature anisotropy, precipitating ring current ions to the ionosphere, and causing prompt loss of the outer electron radiation belts through resonant wave-particle interactions. the WAVES also heat cold ionospheric he+ and o+ contributing to transport of ionospheric plasma to the outer magnetosphere. while emic WAVES have been widely documented, prior theoretical research has focused primarily on predicting their generation and conditions needed for growth. the underlying fundamental physics of wave propagation, however, has yet to be fully understood. the wave properties, propagation characteristics, and interactions with ring current plasma, energetic electrons, and cold ions are governed BY wave dispersion that relates the wave frequency, w, and wave vector, k, to the ambient magnetic field and plasma. to date we still have not ed the basic wave properties and propagation characteristics of emic WAVES because k is profoundly difficult to determine observationally. new observations from MMS, made with high accuracy in magnetic fields and unprecedented close spacing of the four MMS observatories finally allow accurate determination of k via the curl operator. more extensive tests of wave dispersion and propagation are also possible using the divergence and curl of fully three-dimensional electric field measurements. emic WAVES are prevalent in MMS observations and span a wide range of magnetic latitudes, including the latitudes where the critical bi-ion resonances occur. the combination of this fundamentally new observational capability and the orbital coverage allows the FIRST ever definitive determination of the emic wave properties and their evolution with latitude AS they propagate to regions of higher magnetic field strength. this research is directly relevant to the heliophysics decadal survey goal (2),  determine the dynamics and coupling of the earth s magnetosphere, ionosphere, and atmosphere and their response to SOLAR and terrestrial inputs. , and goal (4),  discover and characterize fundamental processes that occur both within the heliosphere and throughout the universe . we propose to determine the fundamental properties of emic wave propagation in the magnetosphere and compare these results against dispersion and propagation theory to understand the basic physics of these WAVES. specifically, we will address the fundamental question of how the emic wave vector evolves AS the wave propagates BY investigating (a) how the emic wave vectors and wave properties vary BY l shell and latitude (b) where in the dispersion relation the WAVES fall at different points during propagation and AS plasma conditions change and (c) how changes in the wave vector during propagation affect the wave characteristics and resonance conditions. we will use the MMS observations together with theory and modeling of the dispersion relation and propagation to understand the fundamental physics of emic WAVES. in addition, observations of emic WAVES with MMS during close conjunctions with the van allen probes and THEMIS will be used to  their propagation evolution at multiple locations on the SAME field lines. the results will yield a deeper understanding of how the WAVES resonate with plasma populations leading to the loss of ring current and radiation belt particles, thereby advancing our predictive understanding of these key wave-particle interactions."
2025,TX,TX-32,University Of Texas At Dallas,80NSSC19K0283 Modification P00005,NSSC - NASA Shared Services Center,"RICHARDSON, TX (District 32)",03/20/2025,03/31/2024,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$-4,760","$-4,760",[None Indicated],,,,"The Magnetospheric Multiscale (MMS) data (magnetic field from FGM, electric field from EDP and particle from EIS) will be used to analyze the emic WAVES and proton beta. the vap data (magnetic field from FGM, electric field from efw and proton data from hope) will be used to analyze the emic WAVES and proton beta. the THEMIS data (magnetic field from FGM and proton from ESA) will be used to analyze the emic WAVES and proton beta. the cluster data (magnetic field from FGM, electric field from efw and proton from codif) will be used to analyze the emic WAVES and proton beta. the omni dataset will be used to characterize the Interplanetary Magnetic Field, SOLAR wind activity and geomagnetic activity relating to the WAVES."
2024,DE,DE-00,University Of Delaware,80NSSC19K0565 Modification P00006,NSSC - NASA Shared Services Center,"NEWARK, DE (District 00)",11/14/2023,09/30/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$30,000","$30,000",[None Indicated],,,,Theoretical and analysis support for the extended MMS mission at the university of delaware: turbulence reconnection and particle acceleration
