Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,TN,TN-06,Tennessee Technological University,80NSSC17K0446 Modification P00006,NSSC - NASA Shared Services Center,"COOKEVILLE, TN (District 06)",12/20/2022,08/31/2022,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$-1,$-1,[None Indicated],,,,"Science goals and objectives: terraced fan deposits are unique geomorphic indicators of point source sedimentation on mars. their stair-step topography differs from classic profiles of alluvial fans or gilbert-type deltas, and the sediment gravity flow processes responsible for terrace development are unclear. proposed formative mechanisms include pulsed sedimentation through time, deposition into a standing body of water and/or reworking BY wind-driven wave activity. until recently, features that would be indicative of these processes   boulders, incised distributary channels, narrow levees, barforms   were too small to resolve using photogrammetric methods. however, we now have the capability of investigating such surface textures using digital elevation models and high-resolution STEREO-pair imagery returned from the Mars Reconnaissance Orbiter (hirise). the primary objective of this proposal is to integrate multiple datasets to conduct detailed geologic mapping of two terraced fan deposits, the subur vallis fan (11.73 n, 52.93 w) and aeolis mensae fan (6.53 s, 141.14 e). a second objective is to investigate the stratigraphy of each fan to identify vertical and lateral variations in terrace lithologies, a possible indicator of: (a) changing point source and flow/phase conditions through time, or (b) geochemical evolution of a standing fluid. in terms of scientific merit, the proposed work will test the hypothesis that fluvio-deltaic processes were responsible for terraced fan formation during the late noachian and early hesperian. a global survey of more than a dozen terraced fans developed during this time period show that their channel systems breach both chasma and crater walls, which may imply that standing bodies of water were not uncommon. methods: to accomplish the objectives, this study will integrate multiple datasets at nested resolutions. 1. task i will focus on creating digital elevation models (dems) of terraced fan deposits in subur vallis and aeolis mensae. ctx images, hirise STEREO-pairs and mola topographic tie-points are available for both fans and cover incised feeder channels, steep walls of the crater/chasma and well-developed terrace steps. structural deformation in these locations is limited compared to other fan deposits. 2. task II will use multispectral data from THEMIS and hyperspectral data from crism to investigate: bedrock exposure, dust accumulation, mineral distribution, and presence/absence of hydrated mineral deposits on terraces. the results from tasks i and II will allow characterization of vertical and lateral variations and construction of a stratigraphic framework for each fan. textural geomorphic indicators of sediment gravity flow processes and similarities between the two locations will inform a model of terraced fan formation. 3. task III, conducted concurrently with the previous two tasks, will synthesize results to generate a geologic map of a martian terraced fan (1:18000 scale). map units and relative ages will be based on cross-cutting relationships and detailed stratigraphic sections. the orientation of bedding and stratal packages will be estimated using strike and dip measurements from dems. this type of very detailed mapping has been previously limited to a few structurally complex areas and sites calibrated with lander data."
2023,VA,VA-08,Smithsonian Institution,80NSSC17K0454 Modification P00005,NSSC - NASA Shared Services Center,"ARLINGTON, VA (District 08)",12/20/2022,08/13/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-3,012","$-3,012",[None Indicated],,,,"Mars  valley networks are among the best lines of evidence for widespread fluvial modification of the planet s surface, but the climatic conditions present during their formation remain controversial. researchers have compiled global maps of valley networks from viking and THEMIS data to estimate various properties of mars  geologic history, including climatic conditions, formation timescales, and erosion rates. the channels mapped BY hynek et AL. (2010) are now covered 96% BY ctx imagery and 51% BY HRSC dems. we propose to use these high resolution data to conduct detailed geomorphologic studies and landform evolution modeling at eight valley networks, spanning a wide range of geologic settings, to address several outstanding questions. specifically, we propose two related tasks: (1) detailed geomorphologic mapping study using mola, HRSC, ctx and hirise (where available) imagery to study paleoflow properties formative processes. (2) use the marssim landform evolution model to explore sedimentary, hydrologic, and climatic conditions necessary for the observed distribution and varying densities of valley networks. integrating orbiter data with the marssim landform evolution modeling has proven to be an effective tool at deciphering a planetary surface s geologic history. characterizing the history of mars  surficial water and paleoclimate remain top NASA science themes AS stated in the 2013-2022 decadal survey. we will directly address both of these themes BY using data from the Mars Reconnaissance Orbiter and mars EXPRESS to understand the hydrologic properties and formative conditions necessary for valley network formation, which will yield insights into mars' past potential habitability."
2023,VA,VA-08,Smithsonian Institution,80NSSC17K0533 Modification P00005,NSSC - NASA Shared Services Center,"ARLINGTON, VA (District 08)",12/20/2022,08/14/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-1,155","$-1,155",[None Indicated],,,,"Analyses of ancient valley networks and paleolake basins have provided imprecise constraints on the peak environmental conditions of early mars. the channel-forming discharge for measured paleochannels indicates runoff production on the order of 1 CM/day during event floods. to fill and overflow paleolakes, contributing watersheds had to produce no more than 0.1 m/yr of runoff, assuming no more than 1 m/yr of evaporation from the paleolake. these baseline requirements suggest an arid to semiarid paleoclimate with moderate runoff production during the wetter epoch in early martian history. ongoing studies of highland surfaces suggest even drier conditions with slow erosion of impact craters during most of the noachian period, before the valley networks formed. the proposed work will significantly advance our understanding of runoff production on mars BY characterizing the contributing watersheds for valley networks at a high level of detail. we will test the hypothesis that runoff originated from restricted areas of the landscape and quantitatively determine why this may be the CASE. we have three specific objectives: 1. watershed mapping. in 12 study areas that sample a wide range of topography in the tyrrhena and cimmeria highlands, we will map all relict tributary valleys and delimit areas that DID not develop valleys or channels. we will determine whether high image resolution reveals denser or more extensive fluvial networks than previous studies have found. 2. evaluating influences on fluvial dissection. in the dissected and undissected areas, we will measure contributing area, relief, slope, concavity, and surface integration. we will determine which of these factors had a statistically significant influence on tributary development and constrain the threshold topographic conditions for fluvial incision during the wetter epoch in early martian history. AS PART of this objective, we will test whether the results accurately predict the distribution of fluvial valleys in other watersheds within tyrrhena terra and terra cimmeria. 3. refinement of hydrologic relationships. we will apply the results from objectives 1 and 2 to better constrain the efficiency of runoff production and the minimum rates of rainfall or snowmelt in valley networks with recognized paleochannels. BY differentiating the contributing and non-contributing surfaces and recognizing which topographic surfaces produced valleys most efficiently, we will substantially improve our understanding of the relationship between discharge and contributing area. this project will enhance the scientific return of mars mission datasets including the Mars Reconnaissance Orbiter context camera, mars odyssey thermal emission imaging system, and mars global surveyor mars orbiter laser altimeter, satisfying the main objective of mdap. no field work, theoretical modeling, or studies of other planets are proposed."
2023,CA,CA-27,California Institute Of Technology,80NSSC19K0422 Modification P00005,NSSC - NASA Shared Services Center,"PASADENA, CA (District 27)",01/26/2023,02/28/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"We propose to generate and make publicly available a global, seam-corrected mosaic of Mars Reconnaissance Orbiter (MRO) context camera (ctx) data, rendered at 5.0 m/px, registered to mars orbiter laser altimeter (mola) data. once completed, this product will represent a factor of 400 improvement in spatial resolution over the next highest-resolution global mosaic, derived from 100 m/ px THEMIS IR data. this product will incorporate voluminous feedback we have received from over 30 mars scientists from a range subdisciplines who have beta tested select regions, and from crowd-sourced feedback of our initial global beta product to be posted online later this Calendar Year. our automated pipeline prioritizes data heritage so that (1) users know the parent orbit and all metadata for every pixel in the mosaic, (2) they CAN instantly ACCESS pre-blended and raw versions of original orbits, and (3) all seams in the mosaic are mapped in an accompanying vector layer to avoid misinterpretation. to DO this, we implement state-of-the-art non-destructive image processing techniques that are engineered to preserve all information from input data. this is a major advance over traditional, sequential image processing routines that destroy information during each step. we employ a modular approach BY generating 4 x4  blended tiles that CAN be individually updated and replaced without having to regenerate the global product. our full proposal will outline the suite of techniques to achieve a seamless global map and to fully register the mosaic to the only consistent global elevation map of mars, derived from the mola dataset."
2023,CA,CA-18,Sri International,80NSSC19K0535 Modification P00005,NSSC - NASA Shared Services Center,"MENLO PARK, CA (District 18)",10/19/2022,02/28/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-5,418","$-5,418",[None Indicated],,,,"The oh meinel band emissions, originating from vibrationally excited hydroxyl radicals, oh(v), represent some of the most important airglow features in the earth's upper atmosphere. such emissions were also observed in the night side of venus during the venus EXPRESS mission [piccioni et AL., a&a 483, l29-l33 (2008)]. data obtained BY crism (compact reconnaissance imaging spectrometer for mars) aboard the MRO (Mars Reconnaissance Orbiter) revealed oh(v) emissions in the nightglow of mars [clancy et AL., icarus 226, 272-281 (2013)]. modeling studies have shown that the predicted oh(v) emission intensities CAN vary dramatically depending on the nature of the vibrational relaxation mechanism assumed [e.g., garcia munoz et AL., icarus 176, 75-95 (2005)]. despite several investigations, the details of the relevant oh(v) relaxation kinetics and pathways in co2 are not well understood. this is the important problem that the proposed research will address with a combination of laboratory experiments and atmospheric model calculations. our recent studies demonstrated a previously unknown, efficient pathway for vibrational relaxation of oh(v) BY o atoms that couples the mesospheric oh(v) emissions with the co2 4.3-micron emission and resolves a long-standing problem of severe discrepancies between model predictions and observations of the 4.3-micron emission in the earth's atmosphere [panka et AL. , acp 17, 9751-9760 (2017) kalogerakis et AL., grl 43, 8835-8843 (2016)]. this recent breakthrough development highlights the importance of investigating the mechanistic details of oh(v) collisional energy transfer via synergistic laboratory and modeling efforts. the main objective of this proposal is to investigate oh(v) vibrational relaxation relevant to the atmospheres of mars and venus. important areas of interest are determining key oh(v) + co2 rate constants at temperatures relevant to the altitude of the emission layer and elucidating the pathways of oh(v) vibrational energy relaxation. the meinel oh(v) emissions CAN be used AS an indicator of atmospheric composition, variability, circulation, gravity WAVES, and AS a probe of local temperature. a detailed understanding of the sources and sinks of these emissions is a prerequisite before they CAN be reliably used AS a proxy for the aforementioned processes. an important component of the proposed work will be to apply the laboratory results into detailed representative models of the nonlocal- thermodynamic-equilibrium (non-lte) oh and co2 vibrational level populations at the oh emission layers of mars and venus and evaluate the importance of the coupling between the oh meinel and co2 4.3-micron emissions. the laboratory investigations will employ laser spectroscopic techniques developed and used at sri international. a pulsed Ultraviolet laser photodissociates ozone in a gas mixture that also contains argon, carbon dioxide, and a suitable h-atom-containing molecule. the initial photodissociation step generates the oh(v) vibrational level of interest. an additional NEAR-infrared pulse CAN be used to create even higher oh(v) levels. finally, a delayed laser pulse from a tunable dye laser monitors the temporal evolution of oh(v). the modeling studies will employ state-of-the-art non-lte models appropriate for the atmospheres of mars and venus. understanding the details of photochemical processes occurring in planetary atmospheres is a major objective of the NASA SOLAR system workings program. the proposed laboratory measurements and modeling calculations will investigate the key vibrational relaxation kinetics and mechanisms involving oh(v) + co2 under conditions applicable to the atmospheres of mars and venus. the results of this research are essential for an accurate and reliable understanding of oh(v) and co2 emissions in planetary atmospheres."
2023,MA,MA-05,Smithsonian Institution,80NSSC20K1056 Modification P00003,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 05)",06/12/2023,05/06/2024,"Grant, Grant For Research",Non-Profit Institutions - Nonprofit Organization,$0,$0,[None Indicated],,,,"19-pdart19_2-0040, mars daily global maps for Mars Reconnaissance Orbiter mars color imager"
2023,CA,CA-16,Seti Institute,80NSSC21K1104 Modification P00002,NSSC - NASA Shared Services Center,"MOUNTAIN VIEW, CA (District 16)",09/21/2023,09/30/2024,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$102,376",$0,[None Indicated],,,,Characteristics and climatology of atmospheric WAVES from 6 mars years of observations BY the MRO mars climate sounder
2023,AZ,AZ-02,Planetary Science Institute,NNX16AJ50G Modification 7,NSSC - NASA Shared Services Center,"TUCSON, AZ (District 02)",12/06/2022,07/31/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$-55,$-55,[None Indicated],80-0120,,,"Geologic evolution of the western flank of alba mons, mars volcanism is a dominant process in the geologic history of mars and understanding the geologic evolution of the major martian volcanic centers is critical to understanding mars surface evolution and the timing and duration of heat sources in the martian interior. this investigation focuses on the geologic history of the western flank of alba mons and INCLUDES analyses of volcanic, tectonic, and erosional landforms to address a series of specific scientific questions, including: 1) what are the types and ages of lava flows on the western flanks of alba mons? 2) what are the sequences of lava flow/flow field emplacement and what DO they suggest about the volcanic evolution of alba mons? 3) what are the morphologic characteristics of, ages of, and interactions between volcanic features (e.g., lava flows and channels) and tectonic features (e.g., faults, graben, ridges, and pit crater CHAINS) on the western flanks of alba mons? and 4) what are the types and distribution of erosional features (fluvial, glacial, aeolian, and impact) and history of erosion of the volcanos western flanks? this investigation will include geomorphic, morphometric, and spatial analyses of geologic features and compilation and examination of crater size-frequency distributions to provide relative (martian time-stratigraphic) and absolute age constraints for the major geologic units and volcanic flow sequences. the primary study area is 230-245 e, 37.5-47.5 n and INCLUDES 6 1:500,000-scale mars transverse mercator (mtm) quadrangles (45127, 45122, 45117, 40127, 40122, 40117). AS PART of this investigation and to synthesize new results and compare findings with previous research, we will produce a 1:1,000,000-scale geologic map for publication BY the u.s. geological survey. the objectives of the proposed research are relevant to the goals of nasas mars data analysis program with regard to utilizing Spacecraft mission data to conduct scientific investigations of planetary surface geology. the proposed investigation addresses the focus of the mdap program, to enhance the scientific return missions to mars conducted BY NASA and other space agencies. results of the proposed detailed analyses of data returned BY the NASA mars global surveyor, mars odyssey, and Mars Reconnaissance Orbiter missions will contribute to ongoing geologic analyses of the surface of mars, with a focus on understanding the styles and chronology of volcanism. this knowledge is fundamental to our understanding of the geologic evolution of mars and the other terrestrial planets."
2024,CO,CO-07,Trustees Of The Colorado School Of Mines,80NSSC19K0414 Modification P00006,NSSC - NASA Shared Services Center,"GOLDEN, CO (District 07)",08/16/2024,06/30/2025,"Grant, Grant For Research","Educational - Educational Institution, Other Not For Profit Organization, State Controlled Institution of Higher Learning",$0,$0,[None Indicated],,,,"Recent 3d imaging of martian polar ice caps using Mars Reconnaissance Orbiter shallow radar (sharad) data reveals details of complex internal structures, including layering unconformities, faulting, and previously unknown buried impact craters (putzig et AL., icarus, 2017). 3d data volumes benefit greatly from custom processing similar to technology employed in terrestrial seismic imaging. the ultimate imaging goal is to provide the sharpest interior views that enable an improved understanding of the polar depositional history BY clearly resolving fine structures, allowing new age constraints from internal craters, and providing a firmer tie between layering and recent martian climate history. 3d processing applied to date on sharad data only scratch the surface of the available imaging toolbox, and have been limited BY practical considerations and software resources. we propose to take 3d sharad data processing to the next level, employing stateof- the-art technology capable of increasing the imaging accuracy and resolution. we plan to update raw data preprocessing with technology recently developed BY members of our team to yield an optimized 3d data volume, and generate new 3d high-resolution image volumes for both planum boreum and planum australe. currently, conventionally processed sharad 2d radargrams are binned and interpolated at the orbital level, followed BY downward continuation to the vicinity of the ice cap (foss et AL., the leading edge, 2017). this procedure limits the obtainable imaging resolution, since bin sizes (475m x 475m) are based on the radargrams, which are sampled coarser than the desired resolution needed BY the complex interior structures. moreover, imaging was performed using algorithms strictly appropriate for laterally invariant media, which sacrifice accuracy for speed. we plan to modify the processing sequence AS follows: 1. re-datum the sharad data from orbit directly to the topography defined BY the mars orbital laser altimeter (mola), without subsampling or interpolation. this better preserves data integrity, facilitates higher resolution, and accounts for the sharad antenna pattern. 2. correct for traveltime ionospheric distortions on the mola surface, instead of doing so at the orbit level. this reduces computing costs and increases the reliability of traveltime calculations, without requiring cross-correlation between data acquired on intersecting tracks. 3. focus the data relocated to the mola surface using imaging techniques that fully account for lateral variation of the radar velocity, e.g. reverse-time migration (RTM). this advanced imaging technology improves both subsurface positioning of radar pulses and vertical resolution. 4. remove track-spacing artifacts from the migrated images using inversion techniques, e.g. least-squares RTM. this technique eliminates the point-spread function of the acquisition array and could impose sparsity constraints on the image, further enhancing its resolution. 5. use wavefield tomography to focus diffractions generated BY sharp structural features, AS a means to enhance the velocity model used for 3d wavefield imaging. this step constrains spatial velocity variation, leading to improved lateral and vertical resolution in the image volumes. the proposed methods here leverage imaging technology recently proposed BY the PI (sava & asphaug, advances in space research, 2018a,b). our team INCLUDES the director of the center for wave phenomena (cwp) at the colorado school of mines (CSM), with many years of experience developing and applying the proposed imaging techniques. software needed for the project exists or will be developed at CSM and made available to the community AS open-source (www.ahay.org). the center computing resources will be made available at no additional cost to the project. our co-investigators have extensive experience with sharad 3d processing and similar applications to terrestrial seismic data."
2024,MD,MD-07,"Johns Hopkins University, The",80NSSC20K1052 Modification P00004,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",08/23/2024,08/23/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,The proposed work would enhance the scientific return from NASA missions to mars BY supporting the generation and interpretation of impact crater catalogs from visible-wavelength image data from MRO's ctx
