Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00044,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/21/2024,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$44,000,000",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2025,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00045,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/23/2024,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$7,000,000",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2025,CA,CA-12,"Regents Of The University Of California, The",80NSSC22K1369 Modification P00002,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 12)",12/27/2024,08/31/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization","$50,000",$0,[None Indicated],,,,"The formation of the iron oxide hematite is strongly associated with oxidized fluids on earth. lithologies containing significant coarsegrained specular hematite have been previously identified on mars in conjunction with fine grained pigmentary hematite that is the source of its characteristic RED color. the presence of both specular and pigmentary hematite in sedimentary rocks on mars are indicators of the presence of liquid water at or NEAR the surface. given the importance of determining the timing of liquid water on the martian surface, developing tools to determine the timing of hematite formation is a priority. we propose to develop novel high spatial resolution radiometric dating and paleomagnetic techniques to date the formation of hematite in martian analogue 1.1 billion-yearold.fluvial and lacustrine sedimentary rocks on earth. the techniques developed from this work to constrain the relative and absolute chronology of hematite formation could be applied to returned martian samples that are brought to earth from Mars Sample Return missions to constrain the hydrologic and climatic conditions during deposition and fluid-mediated alteration. additionally, isolating the paleomagnetic signal in martian hematite in concert with robust age constraints has the potential to provide constraints on the temporal history of the martian geomagnetic field with connections to both martian interior and paleoclimatic conditions."
2025,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00046,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",01/06/2025,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$12,103,246",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2025,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00047,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",01/13/2025,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$28,000,000",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2025,CA,CA-36,The Aerospace Corporation,80LARC21F0099 Modification P00012,LaRC - Langley Research Center,"EL SEGUNDO, CA (District 36)",01/17/2025,05/31/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,541715,,,,Mars Sample Return micrometeoroid and orbital debris protection review
2025,CA,CA-28,Honeybee Robotics Llc,80NSSC24K0321 Modification P00002,NSSC - NASA Shared Services Center,"ALTADENA, CA (District 28)",02/19/2025,02/28/2027,"Grant, Grant For Research","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation","$148,954",$0,[None Indicated],,,,"Our FIRST goal is to determine through laboratory studies whether prion-like protein- or peptide-based assembly may survive mars and/ or icy moon conditions, thus providing either a substrate for proliferation or a source for contamination of sample return missions. this proposal responds to the call to  characterize the limits of life in laboratory simulations of relevant planetary environments and the potential and dynamics of BIO-molecule survival and reproduction in conditions present on the surface or subsurface of mars (e.g., gullies and ice-rich environments), or on europa and other icy satellites . understanding of the impact of out-of-earth conditions on prion proliferation may also shed light at the processes leading to emergence of life on earth and inform planetary protection requirements. the exposures will be performed in the proposed mars chamber and europa chamber (with R&D ad flight heritage) and analysis of proteins reproduction and inactivation will include a previously developed model. our second goal is to test proteinaceous particles with rapid high heat to fill in knowledge gaps for planetary protection (pp) requirements established BY NASA policy document (NPD) 8020.7g and NASA Procedural Requirements (NPR) 8715.24 which include rapid high heat temperatures at 500c for 0.5 seconds. with upcoming sample return missions (e.g. Mars Sample Return) there is an urgency to perform rapid high heat tests to explore the range of possible brazing temperatures for  break the chain . previous data ed prion inactivation BY high dry heat in principle, but the efficiency of short-term exposures is yet to be carefully explored. this proposal directly responds to the call to  experimentally measuring exposure of biomolecules to high temperatures for short periods of time . another application for rapid high testing is to understand impact heating to supplement risk based models for NASA s probabilistic models. finally, additional heating tests will include combined effects of simultaneous stressors such AS vacuum and radiation followed BY the treatment of the returned sample with dry heat microbial reduction (dhmr). these dhmr tests AIM to EXPAND our understanding of the survivability of proteinaceous particles when exposed to a heating source brought to space and or upon return to earth for inactivation."
2025,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00048,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",03/20/2025,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$5,000,000",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2025,CA,CA-12,"Regents Of The University Of California, The",80NSSC22K1369 Modification P00003,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 12)",04/17/2025,08/31/2026,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization",$0,$0,[None Indicated],,,,"The formation of the iron oxide hematite is strongly associated with oxidized fluids on earth. lithologies containing significant coarsegrained specular hematite have been previously identified on mars in conjunction with fine grained pigmentary hematite that is the source of its characteristic RED color. the presence of both specular and pigmentary hematite in sedimentary rocks on mars are indicators of the presence of liquid water at or NEAR the surface. given the importance of determining the timing of liquid water on the martian surface, developing tools to determine the timing of hematite formation is a priority. we propose to develop novel high spatial resolution radiometric dating and paleomagnetic techniques to date the formation of hematite in martian analogue 1.1 billion-yearold.fluvial and lacustrine sedimentary rocks on earth. the techniques developed from this work to constrain the relative and absolute chronology of hematite formation could be applied to returned martian samples that are brought to earth from Mars Sample Return missions to constrain the hydrologic and climatic conditions during deposition and fluid-mediated alteration. additionally, isolating the paleomagnetic signal in martian hematite in concert with robust age constraints has the potential to provide constraints on the temporal history of the martian geomagnetic field with connections to both martian interior and paleoclimatic conditions."
2025,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00049,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",05/08/2025,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$24,000,000",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2025,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00050,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",05/08/2025,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$2,400,000",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2025,CO,CO-02,Honeybee Robotics Llc,80GSFC23CA030 Modification P00009,GSFC - Goddard Space Flight Center,"LONGMONT, CO (District 02)",04/08/2025,07/30/2026,"Definitive Contract, Cost Plus Fixed Fee","Other Than Small Business - For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Partnership Or Limited Liability Partnership",$0,$0,336414,,80GSFC21R0039,,"Stop work notice issued with notification of intent to terminate for convenience - Mars Sample Return (MSR) capture, containment and return systems (CCRS) earth entry system (EES) spin eject mechanism (sem) for SMD directorate."
2025,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC24F0093 Modification P00001,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",10/23/2024,11/15/2024,"Delivery Order, Firm Fixed Price","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization",$0,$0,541715,,,,Johns Hopkins University Applied Physics Laboratory (JHU/APL) supports rapid mission design study for Mars Sample Return program.
2025,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC24F0093 Modification P00002,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",11/14/2024,12/31/2024,"Delivery Order, Firm Fixed Price","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization",$0,$0,541715,,,,Johns Hopkins University Applied Physics Laboratory (JHU/APL) supports rapid mission design study for Mars Sample Return program.
2025,ME,ME-01,Fiber Materials Inc.,80ARC024F0043 Modification P00003,ARC - Ames Research Center,"BIDDEFORD, ME (District 01)",10/03/2024,09/30/2025,"Delivery Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,$0,541715,,,,Thermal protection systems (TPS) for Science Mission Directorate (SMD) mission- SOW 24 storage of materials for Mars Sample Return. 80arc024f0043.
2025,RI,RI-01,"Spirit Aerosystems Textiles, Llc",80ARC020P0012 Modification P00009,ARC - Ames Research Center,"WOONSOCKET, RI (District 01)",11/19/2024,12/30/2024,"Purchase Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,541715,,80ARC020Q0003,,Woven goods procurement for an 80-inch wide single piece 3dwoven Thermal Protection System (TPS) for Mars Sample Return.
2025,RI,RI-01,"Spirit Aerosystems Textiles, Llc",80ARC020P0012 Modification P00010,ARC - Ames Research Center,"WOONSOCKET, RI (District 01)",12/10/2024,07/15/2025,"Purchase Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,541715,,80ARC020Q0003,,Woven goods procurement for an 80-inch wide single piece 3dwoven Thermal Protection System (TPS) for Mars Sample Return.
2025,VA,VA-08,Institute For Defense Analyses Incorporated,80LARC21F0107 Modification P00015,LaRC - Langley Research Center,"ALEXANDRIA, VA (District 08)",11/22/2024,03/31/2025,"Delivery Order, Cost Plus Fixed Fee",Non-Profit Institutions - Nonprofit Organization,$0,$0,541990,,,,"Conduct scientific review of the Mars Sample Return vehicle and sample return risk, to propose alternative design improvements, review aspects of the micrometeroid and orbital debris (MMOD) design and other activities."
2025,VA,VA-03,Cornell Technical Services Llc,80LARC21F0098 Modification P00010,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",01/13/2025,08/29/2025,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership",$0,$0,541715,,,,Mars Sample Return Standing Review Board (SRB) support
2025,VA,VA-03,Cornell Technical Services Llc,80LARC20F0078 Modification P00002,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",03/28/2025,07/31/2021,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-1,005",$0,541712,,,,2020 Mars Sample Return Standing Review Board
2025,VA,VA-03,Cornell Technical Services Llc,80LARC20F0087 Modification P00003,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",03/28/2025,02/28/2021,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-1,652",$0,541712,,,,Mars Sample Return program Independent Review Board
2024,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00029,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",11/01/2023,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$39,011,361",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2024,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00030,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",12/15/2023,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$45,874,344",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2024,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00031,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",01/19/2024,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2024,CA,CA-36,The Aerospace Corporation,80LARC21F0099 Modification P00009,LaRC - Langley Research Center,"EL SEGUNDO, CA (District 36)",01/25/2024,03/31/2024,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,541715,,,,Mars Sample Return micrometeoroid and orbital debris protection review
2024,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00032,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",02/15/2024,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$28,175,656",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2024,CA,CA-36,The Aerospace Corporation,80LARC21F0099 Modification P00010,LaRC - Langley Research Center,"EL SEGUNDO, CA (District 36)",03/26/2024,01/31/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$37,500","$111,727",541715,,,,Mars Sample Return micrometeoroid and orbital debris protection review
2024,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00033,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/12/2024,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$36,306,819",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2024,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00034,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",05/15/2024,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2024,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00035,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",06/03/2024,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,500,000",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2024,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00036,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",06/04/2024,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$60,000",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2024,CA,CA-51,"Malin Space Science Systems, Inc.",80GSFC23PA006 Modification P00002,GSFC - Goddard Space Flight Center,"SAN DIEGO, CA (District 51)",06/25/2024,10/16/2024,"Purchase Order, Firm Fixed Price","Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$-862,225",$0,541715,,80GSFC22Q0002,,"Mars Sample Return campaign capture, containment, and return sample (CCRS) camera"
2024,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00037,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",07/10/2024,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$520,000",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
