Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,WV,WV-02,West Virginia University Research Corporation,80NSSC17M0053 Modification P00004,NSSC - NASA Shared Services Center,"MORGANTOWN, WV (District 02)",03/07/2023,09/15/2022, Cooperative Agreement,"Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization","$-7,377","$-7,377",[None Indicated],,,,"The success of future NASA Mars Sample Return (MSR) mission CAN significantly benefit from increased onboard autonomy of planetary rovers. therefore, the technical objective of this proposed project is to develop and experimentally validate key technologies needed for autonomous rover traversing on mars-analog terrains. the goal is to reduce the number of sols needed to complete the MSR mission-required total traverse distance (i.e.,  fast traverse ). this will be achieved through increased rover operation  duty cycle  and  mean time between human interventions,  while utilizing limited onboard power and computational resources. more specifically, the fast traverse problem will be broken down and solved with five main research tasks: 1. prepare a test-bed rover and realistic test environments 2. achieve a high-level onboard situational awareness with limited computing resources 3. enable robust, flexible, and efficient decision making 4. develop new modes of human-robot collaboration with delayed and infrequent communications and 5. test and demonstrate the developed rover capabilities in relevant environments. the project will be conducted through a tight collaboration between west virginia university (wvu) and NASA Jet Propulsion Laboratory (JPL) with project members from both sides. the project will leverage wvu s autonomous rover, cataglyphis, the only robot to successfully complete NASA s sample return robot centennial challenge, and JPL s athena rover and simulators in completing the proposed research tasks. in particular, the wvu team will work closely with JPL s mobility and robotic systems section in performing rover research and conducting joint experiments at wvu, JPL s mars yard, and in the RED rock deserts of southern utah. the lessons learned through these efforts will be used to support MSR trade studies currently being conducted BY JPL mars program formulation office. systems-level innovation will be emphasized throughout the project: that is, leveraging unique opportunities provided BY the MSR mission to support novel rover autonomy capabilities. in addition, the project will emphasize end-to-end development and demonstration in realistic physical environments. in general, the project will advance the-state-of-the-art in autonomous robot operation in cluttered environments with severely limited onboard resources, which is well aligned with NASA s technology roadmap in robotics and autonomous systems. through this research effort, technologies, infrastructure, and expertise closely related to NASA planetary rover missions will be developed at wvu, which in turn will improve west virginia s competiveness in pursuing future NASA funded research projects."
2023,TX,TX-36,Booz Allen Hamilton Inc,80JSC023FA123 Modification 0 (Base Record),JSC - Johnson Space Flight Center,"HOUSTON, TX (District 36)",03/15/2023,09/15/2023,"BPA Call, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","$462,897","$462,897",541330,,,,Mars Sample Return project assessment - speac II
2023,ME,ME-01,Fiber Materials Inc.,80ARC023F0047 Modification 0 (Base Record),ARC - Ames Research Center,"BIDDEFORD, ME (District 01)",06/28/2023,09/30/2023,"Delivery Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$74,379","$74,379",541715,,,,Thermal protection systems (TPS) for Science Mission Directorate (SMD) 80arc021d0002 - SOW-21 assessment of alternative back-up TPS solutions for Mars Sample Return (MSR) earth entry system (EES) forebody 80arc023f0047
2023,VA,VA-02,Rothe Enterprises Inc,80GSFC23F0089 Modification P00001,GSFC - Goddard Space Flight Center,"WALLOPS ISLAND, VA (District 02)",09/22/2023,01/05/2024,"Delivery Order, Firm Fixed Price","SBA Certified HUBZone,Woman Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned, Women Owned Small Business",$0,$0,541380,,,,Funding for task order #66 code 569 MSR/CCRS calibrations.
2023,TX,TX-36,Merrick & Company,80JSC022FA065 Modification P00001,JSC - Johnson Space Flight Center,"HOUSTON, TX (District 36)",02/01/2023,03/03/2023,"Delivery Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,541330,,,,Architect and engineering Mars Sample Return facility assessment
2023,TX,TX-36,Jacobs Engineering Group Inc.,80JSC022FA066 Modification P00001,JSC - Johnson Space Flight Center,"HOUSTON, TX (District 36)",02/03/2023,03/03/2023,"Delivery Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,541330,,,,Architect and engineering Mars Sample Return facility assessment
2024,CO,CO-07,Lockheed Martin Corp,80HQTR24CA002 Modification 0 (Base Record),HQ - Headquarters Acquisition Division,"LITTLETON, CO (District 07)",07/16/2024,10/15/2024,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$1,429,983","$1,429,983",541715,,24-RASMSR24-0006,,Contractor to provide rapid studies for the Mars Sample Return (MSR) program.
2024,MD,MD-01,Northrop Grumman Systems Corporation,80HQTR24CA007 Modification 0 (Base Record),HQ - Headquarters Acquisition Division,"ELKTON, MD (District 01)",07/15/2024,10/15/2024,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$983,684","$983,684",541715,,24-RASMSR24-0020,,Contractor to provide rapid studies for the Mars Sample Return (MSR) program.
2024,CA,CA-42,Rocket Lab Usa Inc,80HQTR24CA009 Modification 0 (Base Record),HQ - Headquarters Acquisition Division,"LONG BEACH, CA (District 42)",09/27/2024,12/26/2024,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","$625,000","$625,000",541715,,24-RASMSR24-0017,,Contractor to provide rapid studies for the Mars Sample Return (MSR) program.
2024,NV,NV-03,"Hsg, Llc",80HQTR21F0166 Modification P00007,HQ - Headquarters Acquisition Division,"LAS VEGAS, NV (District 03)",12/21/2023,01/31/2024,"Delivery Order, Cost Plus Fixed Fee","Small Disadvantaged Business,Woman Owned Small Business,Economically Disadvantaged Women Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation, Self Certified Small Disadvantaged Business",$0,$0,541620,,,,Mars Sample Return (MSR) campaign
