Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00038,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/15/2024,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$3,201,044",$0,541715,80-0120,,,Mars odyssey: phase e (40-6480)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00039,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",01/07/2025,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$2,009,304",$0,541715,80-0120,,,Mars odyssey: phase e (40-6480)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00040,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",02/27/2025,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$500,000",$0,541715,80-0120,,,Mars odyssey: phase e (40-6480)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00041,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/01/2025,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,191,483",$0,541715,,,,Mars odyssey: phase e (40-6480)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00042,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/25/2025,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,201,000",$0,541715,,,,Mars odyssey: phase e (40-6480)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00043,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",05/15/2025,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$982,656",$0,541715,,,,Mars odyssey: phase e (40-6480)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00044,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",05/22/2025,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$650,000",$0,541715,,,,Mars odyssey: phase e (40-6480)
2025,MD,MD-07,"Johns Hopkins University, The",80NSSC22K0623 Modification P00006,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",12/31/2024,05/29/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"We will address several diverse topics in mev astrophysics (0.1-10 mev) BY leveraging new observing capabilities enabled BY previously deployed planetary exploration assets. specifically, our proposed effort will utilize archived datasets acquired BY gammaray spectrometers aboard NASA s lunar prospector (lp) and mars odyssey (MO) missions, and JAXA s kaguya, to survey, monitor, and characterize astrophysical sources at nuclear energies."
2025,MD,MD-07,"Johns Hopkins University, The",80NSSC22K0623 Modification P00007,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",05/05/2025,09/30/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"We will address several diverse topics in mev astrophysics (0.1-10 mev) BY leveraging new observing capabilities enabled BY previously deployed planetary exploration assets. specifically, our proposed effort will utilize archived datasets acquired BY gammaray spectrometers aboard NASA s lunar prospector (lp) and mars odyssey (MO) missions, and JAXA s kaguya, to survey, monitor, and characterize astrophysical sources at nuclear energies."
2024,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00032,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/18/2023,10/31/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,426,357",$0,541715,80-0120,,,Mars odyssey: phase e (40-6480)
2024,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00033,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",11/30/2023,10/31/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$2,478,643",$0,541715,80-0120,,,Mars odyssey: phase e (40-6480)
2024,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00034,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",02/15/2024,10/31/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$2,324,616",$0,541715,80-0120,,,Mars odyssey: phase e (40-6480)
2024,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00035,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/03/2024,10/31/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$3,000,000",$0,541715,80-0120,,,Mars odyssey: phase e (40-6480)
2024,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00036,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",06/12/2024,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,"$48,247,635",541715,80-0120,,,Mars odyssey: phase e (40-6480)
2024,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00037,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",07/16/2024,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,069,614",$0,541715,80-0120,,,Mars odyssey: phase e (40-6480)
2023,AZ,AZ-02,Planetary Science Institute,NNX16AJ50G Modification 7,NSSC - NASA Shared Services Center,"TUCSON, AZ (District 02)",12/06/2022,07/31/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$-55,$-55,[None Indicated],80-0120,,,"Geologic evolution of the western flank of alba mons, mars volcanism is a dominant process in the geologic history of mars and understanding the geologic evolution of the major martian volcanic centers is critical to understanding mars surface evolution and the timing and duration of heat sources in the martian interior. this investigation focuses on the geologic history of the western flank of alba mons and INCLUDES analyses of volcanic, tectonic, and erosional landforms to address a series of specific scientific questions, including: 1) what are the types and ages of lava flows on the western flanks of alba mons? 2) what are the sequences of lava flow/flow field emplacement and what DO they suggest about the volcanic evolution of alba mons? 3) what are the morphologic characteristics of, ages of, and interactions between volcanic features (e.g., lava flows and channels) and tectonic features (e.g., faults, graben, ridges, and pit crater CHAINS) on the western flanks of alba mons? and 4) what are the types and distribution of erosional features (fluvial, glacial, aeolian, and impact) and history of erosion of the volcanos western flanks? this investigation will include geomorphic, morphometric, and spatial analyses of geologic features and compilation and examination of crater size-frequency distributions to provide relative (martian time-stratigraphic) and absolute age constraints for the major geologic units and volcanic flow sequences. the primary study area is 230-245 e, 37.5-47.5 n and INCLUDES 6 1:500,000-scale mars transverse mercator (mtm) quadrangles (45127, 45122, 45117, 40127, 40122, 40117). AS PART of this investigation and to synthesize new results and compare findings with previous research, we will produce a 1:1,000,000-scale geologic map for publication BY the u.s. geological survey. the objectives of the proposed research are relevant to the goals of nasas mars data analysis program with regard to utilizing Spacecraft mission data to conduct scientific investigations of planetary surface geology. the proposed investigation addresses the focus of the mdap program, to enhance the scientific return missions to mars conducted BY NASA and other space agencies. results of the proposed detailed analyses of data returned BY the NASA mars global surveyor, mars odyssey, and Mars Reconnaissance Orbiter missions will contribute to ongoing geologic analyses of the surface of mars, with a focus on understanding the styles and chronology of volcanism. this knowledge is fundamental to our understanding of the geologic evolution of mars and the other terrestrial planets."
2023,AZ,AZ-02,Northern Arizona University,80NSSC20K0870 Modification P00003,NSSC - NASA Shared Services Center,"FLAGSTAFF, AZ (District 02)",04/17/2023,04/05/2024,"Grant, Grant For Research","Educational - Educational Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"THEMIS (thermal emission imaging system) on mars odyssey is a multispectral instrument consisting of a10-band infrared imager with ~100 m/pixel spatial resolution, allowing the community to study the properties of the surface materials over nearly all of mars. however, THEMIS has been less widely used for surface spectral analysis due to the lack of a fully automated atmospheric correction tool or surface emissivity product. the objective of the proposed work is to develop a toolset to perform atmospheric correction for THEMIS daytime radiance images, and produce a suite of atmospherically corrected data products for approximately ~100 high priority sites (e.g. past landing sites that were under consideration sites from the humans-to-mars workshops, ETC.). the proposed work will boost the accessibility of THEMIS surface emissivity to the broader community.  the proposed work is directly relevant to the pdart program (ROSES appendix c.4) that it will 1) generate new high-order data products, and 2) not focus on hypothesis-based planetary science. the proposed data set is anticipated to enhance the science return from the THEMIS instrument through increasing the accessibility and utility of THEMIS-derived surface information to the scientific community. the surface emissivity data set derived from THEMIS instrument will provide characterization of surface mineralogy and complementary information to other spectral, morphological thermophysical and geologic data sets. thus, the proposed data set will advance the current state of knowledge and provide more robust interpretations of martian surface mineralogy."
2023,CA,CA-27,California Institute Of Technology,80NM0018F0595 Modification P00027,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 27)",10/07/2022,10/31/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$2,750,000",$0,541715,80-0120,,,Mars odyssey: phase e (40-6480)
2023,CA,CA-27,California Institute Of Technology,80NM0018F0595 Modification P00028,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 27)",12/30/2022,10/31/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$750,000",$0,541715,80-0120,,,Mars odyssey: phase e (40-6480)
2023,CA,CA-27,California Institute Of Technology,80NM0018F0595 Modification P00029,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 27)",01/26/2023,10/31/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,000,000",$0,541715,80-0120,,,Mars odyssey: phase e (40-6480)
2023,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00030,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",03/08/2023,10/31/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$4,510,000",$0,541715,80-0120,,,Mars odyssey: phase e (40-6480)
2023,CA,CA-28,California Institute Of Technology,80NM0018F0595 Modification P00031,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",06/23/2023,10/31/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,851,233",$0,541715,80-0120,,,Mars odyssey: phase e (40-6480)
2023,MD,MD-07,"Johns Hopkins University, The",80NSSC19K0040 Modification P00004,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",04/18/2023,10/11/2022,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$-151,390","$-151,390",[None Indicated],,,,"The distribution of na on mars is important for characterizing the igneous processes that formed the crust, and the aqueous processes that subsequently altered it in some locations. igneous processes are frequently explored using the abundances of total alkalis (na+k) and silica. the relative proportions of these elements are tied to abundances of common igneous mafic and felsic minerals. thus a total alkalis vs. silica (tas) diagram CAN guide efforts to constrain the igneous evolution of unaltered crustal materials [1]. globally, tas diagrams reveal a surface composed dominantly of tholeiitic basalts, produced via partial melting [1]. local (rock-BY-rock [2-4]) data acquired BY mars rovers reveal a diversity of rock types that require a variety of formation processes [5,6], including aqueous alteration. global tas data come from the mars odyssey (MO) gamma-ray spectrometer (GRS). MO/GRS data provided absolute concentrations of some elements on mars' surface [7], but not na. MO/GRS-derived tas data included na inferred from k measurements (via the gusev average na2o/k2o ratio of 8.9 [1]). yet in-situ analyses of rocks yield a wide range of values, indicating that this mean value is not adequate. na2o/k2o  2.92-4.32 in meridiani planum [2], 3.9-9.39 in gusev crater [3], and 0.74-5.55 in gale crater [4]. messenger GRS data recently yielded na values for mercury [8,9], providing a path for deriving na on mars. a pilot study identified the na peak in MO/GRS data (440 kev gamma rays) and showed it is composed of two distinct components: a surface originating contribution (na on mars' surface) and a local Spacecraft background. we propose to use the MO/GRS data to produce a map of na content across mars' surface. specific project tasks include: 1. use MO/GRS data to map na count rates across mars' surface 2. correct the data for systematic variability arising from variations in atmosphere thickness, Galactic Cosmic Ray flux, and background signals. 3. use radiation transport models to convert na count rate maps to na abundance maps. 4. in regions without evidence for aqueous alteration, produce a new tas diagram for mars using MO/GRS-measured na, k, and si abundances and classify the igneous rock types observed at mars' surface. 5. in regions with evidence for aqueous alteration, map na vs. k and compared to predicted values for varying aqueous alteration processes. our na map will be delivered to the NASA Planetary Data System, and all results will be published in open-ACCESS, peer-reviewed literature. references [1] mcsween, h.y. et AL. (2009), science 324, 736-739. [2] rieder, r., et AL. (2004), science 306.5702, 1746-1749. [3] mcsween, h. y., et AL. (2006), journal of geophysical research: planets 111.e9. [4] schmidt, m. e., et AL. (2014), journal of geophysical research: planets 119.1, 64-81. [5] sautter, v. et AL. (2016), lithos, 254-255, pg. 36-52. [6] sautter, v. et AL. (2015), nat. geosci. 8, 605-609. [7] boynton, w. v., et AL. (2007), journal of geophysical research: planets 112.e12 (2007). [8] evans, l.g., et AL. (2012), journal of geophysical research: planets 117.e12. [9] peplowski, p.n., et AL. (2014), icarus 228, 86-95."
