Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC25F7001 Modification P00008,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",06/23/2025,09/30/2029,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization","$650,000",$0,541715,,,,New horizons extended mission support
2025,CA,CA-28,California Institute Of Technology,80NM0018F0632 Modification P00019,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",03/25/2025,09/28/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,541715,,,,New horizons mission support task: phase e (SMD) 40-10958
2023,CA,CA-18,Seti Institute,80NSSC18K0549 Modification P00007,NSSC - NASA Shared Services Center,"MOUNTAIN VIEW, CA (District 18)",01/24/2023,02/28/2024,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,,,"Objectives: to produce higher-resolution digital terrain models of pluto and charon than will be deposited BY the new horizons team into the PDS, BY using additional high resolution images, and photoclinometry in NEAR-terminator areas. we will also take advantage of limb profiles that transect areas of both bodies where high-resolution coverage is not available, to extend topographic information to the non-encounter hemispheres of pluto and charon. methodology: new horizons revealed complex and diverse geologic processes on the icy dwarf planet pluto and its moon charon. the topographic expressions of these worlds reveal their geologic histories and are equally complex, with relief of multiple kilometers over short distances. the charter of the new horizons mission to pluto was to complete a global base map and topographic map of pluto and charon using stereogrammetry, which has now been done and will be submitted to the PDS this fall. in this proposed work we will augment and improve on these maps using additional high-resolution images from the new horizons imaging systems to both improve the resolution of the the topography locally BY 3-to-5 times the current value and to extend our topographic mapping to areas not covered BY stereogrammetry. FIRST, we will produce high-resolution STEREO products for the 3 lorri ""noodles"" that track across sputnik planitia, and that were not processed AS PART of the official new horizons archival data sets. even so, AS stereogrammetric toolkits rely on scene-recognition, which blur the topography BY 3-5 times the low resolution component of the STEREO observations, this degrades the map resolution significantly. we will use shape-from-shading (photoclinometry) to map areas with low sun illumination NEAR the terminator during the encounter to locally improve dem resolution to almost the original pixel-scale of the original images ~315 m/pixel using the mvic scan and 125-to-80 m/pixel in the lorri image ""noodles"". these will provide the only usable topographic information in ""glacial"" valleys, small craters, and for the cellular pattern and small pits common across sputnik planitia. both the stereogrammetry and photoclinometry techniques produce results only over the high-resolution encounter hemisphere, which is about 40% of the surfaces of each body. in other poorly resolved areas of the surface, significant relief was apparent (or its absence was apparent) in areas viewed on the limb of the disk of each body. in some cases, backlighting due to bright atmospheric haze revealed relief along limb views of the DISC of pluto that would otherwise have been unseen. we will use limb profiles AS narrow strips of topographic data to examine the ruggedness and relief of areas and geologic units that are not otherwise resolved well or were even in darkness in 2015. these techniques will allow researchers to characterize the topography of AS much of pluto and charon AS is possible from the new horizons data set. relevance: the result of funding this pdart proposal will be several terrain products and data sets of pluto and charon derived from Spacecraft data that would not otherwise be produced and archived BY the new horizons project. ensuring that these data get created BY our proposal team (who are intimately knowledgeable about the instruments and the mission) and released to the public will ensure that any scientist who wants to perform topographic studies of these worlds will have ACCESS to the best possible terrain data available. these proposed outcomes are directly relevant to the pdart call which seeks ""to increase the amount and quality of digital information and data products available for planetary science research and exploration ..."" the resulting data products will be archived according to the pdart requirements."
2023,MD,MD-03,"Johns Hopkins University, The",80NSSC18K1233 Modification P00005,NSSC - NASA Shared Services Center,"LAUREL, MD (District 03)",04/18/2023,06/24/2023,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$-7,418","$-7,418",[None Indicated],,,,"The objective of this proposal is to determine if the lower limit for 14n/15n in pluto s hcn CAN be used to constrain the origin of pluto s nitrogen. in previous studies we have used stable isotope ratio measurements combined with modeling of isotopic fractionation to evaluate the evolution of titan s atmosphere and have found that nitrogen in titan s atmosphere originated AS nh3 in the protosolar nebula (psn). it is unclear at this time if the nitrogen in pluto s atmosphere originated AS nh3 in the psn, like titan s, or if the formation conditions for pluto were cold enough to trap and retain sufficient n2 in the psn to account for the total inventory of nitrogen acquired BY pluto during its formation. the recent non-detection of hc15n in pluto s atmosphere BY alma suggests that the influence of chemistry on the evolution of the isotope ratio is less significant at pluto than it has been found to be at titan. in order to better understand this, we seek to address the following three science questions: 1. how does nitrogen isotope fractionation between n2 and hcn at pluto compare to what is observed at titan? 2. how DO condensation, aerosol trapping and sublimation influence the isotopic composition of hcn and n2 in pluto s atmosphere? 3. how does the escape of 15n from pluto s atmosphere compare to the escape of 14n? we will address these objectives through a systematic study that will explore the influence of different production and loss processes of hcn on the isotope ratios in n2 and hcn and the implications for the evolution of the atmosphere. the proposed work is directly relevant to the NASA nfdap program because it makes use of the recent atmospheric observations made BY the new horizons alice Ultraviolet Spectrograph of the altitude profiles of n2, ch4 and the c2 hydrocarbons to validate our photochemical model of pluto s atmosphere. this observation-validated model will be used to address science questions outside of the scope of the new horizons mission, thus  broadening scientific participation in the analysis and interpretation of data returned BY these missions."
2023,MD,MD-03,Universities Space Research Association,80NSSC18K1317 Modification P00003,NSSC - NASA Shared Services Center,"COLUMBIA, MD (District 03)",05/16/2023,07/31/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$-209,$-209,[None Indicated],,,,"The new horizons mission has returned a treasure trove of high-resolution image data for the pluto-charon system, revealing complex worlds with broad tectonic systems, diverse resurfacing mechanisms, and suggestions of cryovolcanic activity. we AIM to exploit the new horizons image dataset, and products derived from it such AS topography, to constrain the tectonic and cryovolcanic history of pluto and charon at regional to global scales, through an integrated program of detailed geologic/structural mapping and quantitative analysis of icy shell lithosphere stress and deformation states via finite element method models. we will use the sophisticated and powerful comsol multiphysics finite element code to create models of icy shell lithospheres subject to several modes of loading. we will create global-scale models of the icy shell lithospheres of pluto and charon to evaluate the effects of phenomena such AS planetary de- or re-spinning, true polar wander, and thermal expansion and related effects from a growing lithosphere or freezing ocean. such models exhibit spherical geometry, using appropriate symmetry boundary conditions to reduce model size where allowable. these models will incorporate effects that are missing from conventional analytic calculations, such AS variations in shell thickness (including topographic basins), time-dependent behavior (including stress relief from brittle yielding and viscoelastic relaxation, and growing basin infill loads), and biases toward extensional stress states. models will be evaluated on their consistency with the observed states of stress and deformation on pluto and charon AS indicated BY image-based mapping of tectonic features, with the goal of constraining the conditions that controlled the evolution of those bodies. these might include shell and ocean thicknesses, spin rate changes, polar wander magnitudes and rates, and basin fill and loading rates. we will also use smaller-scale models to address the formation mechanisms of particular regions and features on pluto and charon. these models may have planar geometry (for small features) or curved partial sphere geometries (for regional-scale features). for example, a radiating fracture system north of tartarus dorsa bears resemblance to radiating fracture systems on venus that are related to intrusive magmatic activity in the presence of a regional stress field. models CAN constrain the values of regional stress components and pressurizations of potential cryomagma reservoirs that produce stress states consistent with the observed fracture patterns. the stress states calculated for models of the various scales stated above have implications for the transport of cryomagmas through the lithospheric shells of pluto and charon. we will use previously developed expressions for force balance on dike walls to calculate ascent-enhancing or -inhibiting effects of lithospheric stress states for cryomagmas, allowing us to identify locations or regions where eruption of cryolavas is facilitated. such calculations, in conjunction with mapping of potential cryovolcanic features such AS wright and piccard montes, may allow insights into eruptions in flood (widespread) or  edifice-building  (localized) modes. this proposal addresses objectives of nfdap  to enhance the scientific return from new frontiers missions BY broadening scientific participation in the analysis and interpretation of data returned BY these missions.  the proposal team blends experience and facility with new horizons data with expertise in structural modeling of large planetary volcano-tectonic systems and analyses of stress modulated magma ascent. we plan to exploit decades of experience in modeling and interpretation of tectonic and volcanic features and lithospheric dynamics of planets spanning the distance from venus to rhea, to allow us to extract new insights into the evolution of pluto and charon."
2024,TX,TX-20,Southwest Research Institute,80NSSC18K1390 Modification P00004,NSSC - NASA Shared Services Center,"SAN ANTONIO, TX (District 20)",04/24/2024,07/11/2023,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$-98,$-98,[None Indicated],,,,Pluto's small moons AS revealed BY new horizons
2023,NY,NY-25,Rochester Institute Of Technology (Inc),80NSSC18K1557 Modification P00004,NSSC - NASA Shared Services Center,"ROCHESTER, NY (District 25)",10/24/2022,09/03/2023,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,Studies of the diffuse optical background with new horizons
2023,HI,HI-02,California Association For Research In Astronomy,80NSSC18M0066 Modification P00012,NSSC - NASA Shared Services Center,"KAMUELA, HI (District 02)",04/13/2023,02/28/2023, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$249,148",$0,[None Indicated],,,,"This proposal to NASA BY the california association for research in astronomy (CARA) dba w. m. keck observatory (WMKO) is for renewal of the cooperative agreement award for support of NASA missions and NASA scientific research at WMKO, which operates the world s two (2) largest steerable optical and infrared telescopes on the summit of maunakea on the island of hawaii. NASA utilizes one-sixth of the annual operation capability of WMKO, having invested one-sixth of the capital costs and one-sixth of the operations costs since circa 1996. there has been a wealth of scientific results coming from the DYNAMIC scientific relationship between NASA missions such AS hubble space telescope (hst), spitzer, kepler, k2, chandra, herschel, WISE, galex, voyager, galileo, deep impact, cassini, new horizons, and the keck observatory. we propose here to extend that productive relationship to future NASA missions jwst, TESS, wfirst, euclid, mars 2020, and other MIDEX, SMEX, discovery, and new frontiers missions. the link between NASA and WMKO is powerful. NASA s space based discoveries inform and are informed BY the findings of its ground based partner, the w. m. keck observatory. NASA related projects are proposed BY the us community to nexsci and are awarded observing time provided BY NASA. this has proven productive in the past. a PRIME example is when kepler discovered objects transiting stars, WMKO undertook key observations that established that the candidate exosolar planets were indeed valid exosolar planets, and measured their masses, leading to the achievement of one of NASA s level 1 science goals: making a census of planetary systems down to the level of earth-sized planets. when spitzer and hst both detected an object in the distant universe, WMKO delivered the exact redshift of 8.68, well within the region that was thought to be the dark age before reionization. the research program enabled BY the NASA/WMKO partnership maps directly to the astrophysical and planetary priorities of NASA: the origin and evolution of the universe, the processes for life on other planets, the processes of formation of stars, galaxies, and planets, and the content, origin, and evolution of the SOLAR system and the potential for life elsewhere. the scope of the astrophysics and planetary science is breathtaking, ranging from the birth of the universe and the development of stars and galaxies over cosmic time, to the search for life on planets around other stars, to the formation, evolution, and possibility of life on other planets in our own SOLAR system. the two 10-meter primary apertures, diverse instrument suite including adaptive optics and the superb location on maunakea make WMKO an extraordinarily powerful and unique facility for addressing the research areas described above. additionally, WMKO CAN react quickly to NASA mission needs, rearranging nights on short notice. the track record of discoveries BY scientists using the WMKO in conjunction with NASA missions over the last two (2) decades gives strong testimony to that CASE. the program corresponding to NASA s in-guide funding amount provides NASA one-sixth of WMKO operations support and, in collaboration with the NASA exoplanet science institute (nexsci), WMKO will continue its Keck Observatory Archive (KOA) activities. in addition, we submit here an over-guide that allows for the development of data reduction pipelines (drps) over a period of five (5) years, to speed the reduction of new data with improved tools and to ACCESS the information inherent in 25 years of  the keck sky  easily and efficiently for all users. this proposal consolidates all direct NASA support for WMKO into one award."
2023,CA,CA-16,Seti Institute,80NSSC19K0423 Modification P00005,NSSC - NASA Shared Services Center,"MOUNTAIN VIEW, CA (District 16)",01/29/2023,03/11/2024,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,,,"Objectives: we propose to use established geologic mapping techniques set BY the United States Geological Survey (USGS) to produce a global geological map of pluto at the 1:7m scale. following its pluto flyby in 2015, NASA s new horizons Spacecraft has returned high quality images that reveal an unexpectedly diverse range of terrains, implying a complex geological history. surface renewal is ongoing, AS demonstrated most compellingly BY the nitrogen ice plains of sputnik planitia. pluto s geological provinces are often highly distinct, and CAN exhibit disparate crater spatial densities. the geology displays evidence for having been affected BY both endogenic and exogenic energy sources (including internal heating and insolation/climatic effects), and its complex nature is likely a consequence of combinations of these influences affecting the surface to varying degrees on localized scales. the global geological map of pluto that we propose to make is the obvious and highly necessary tool that is required for future planetary science researchers to resolve and rationalize the bewildering complexity of pluto s surface, and to address the fundamental issues of exactly which processes have been influential in shaping it, and when and where they have been active. the primary deliverable of this effort will be a scientific investigations map (SIM) published through the USGS, enabling dissemination throughout the scientific community and use in future scientific analysis. methods: geologic mapping is a powerful analytical tool that places observations of surface features into their stratigraphic context in order to develop generalized geologic timescales that provide a sequence of events and responsible processes shaping the evolution of planetary surfaces. our 1:7m scale global geologic map will cover more than 75% of pluto s surface area. this mapping scale will allow characterization of small features of interest on the well resolved encounter hemisphere (covering ~50% of pluto s surface area, and imaged at 890 m/pixel or better), while only a handful of  undivided  units will be defined for the poorly resolved antiencounter hemisphere. existing mapping of sputnik planitia and wright mons BY PI white and co-i singer will be reviewed and updated onto the latest base map. all of the new horizons images required to construct the base map are currently available on the small bodies node of the PDS. mapping will be performed in arcgis, and will follow the standard principles of the mapping of extraterrestrial bodies AS outlined in the 2018 planetary geologic mapping protocol and references therein. to aid in our definition and interpretation of mapped units, we will construct 3d STEREO anaglyphs to visualize surface topography, and will make use of published surface composition maps. once geologic units are mapped, their relative ages will be determined from measured crater densities and observed stratigraphic relationships. GIS and pdf versions of the completed SIM will be made freely available for download at the USGS publications warehouse. relevance: according to ROSES appendix c.7, the pdart program solicits proposals to generate higher-order data products  and aims to  increase the amount and quality of digital information and data products available for planetary science research and exploration . the creation of a global geologic map of pluto will provide an invaluable resource for a wide array of future scientific investigations of the dwarf planet. the creation of this geologic map is not PART of a hypothesis-based investigation, although a  small amount of data analysis and interpretation  will be required AS PART of the mapping process and definition of the geologic history (e.g., crater measurements and age determination, assessing relative ages of materials, ETC.). therefore, the proposed work is more appropriate for pdart than nfdap."
2023,MA,MA-05,Wellesley College,80NSSC19K0808 Modification P00005,NSSC - NASA Shared Services Center,"WELLESLEY HILLS, MA (District 05)",04/20/2023,04/09/2024,"Grant, Grant For Research","Educational - Educational Institution, Other Not For Profit Organization, Private University Or College",$0,$0,[None Indicated],,,,"The spectacularly successful new horizons (nh) encounter and recent modeling efforts raise important questions about pluto's atmospheric thermal structure and energy balance, global circulation, wind regimes, and the propagation of inertia-gravity WAVES. we propose to apply a suite of realistic global atmospheric and radiative transfer modeling tools to explore the underlying physical processes at work in pluto's atmosphere and to identify their observable consequences. we will predict the dynamical response of the atmosphere to a set of hypothesized and modeled forcings and surface conditions, and compare these predictions with new horizons observations and with a substantial catalog of high Signal-to-Noise Ratio (SNR) earth-based stellar occultations that provide our best record of decadal changes in pluto's atmosphere. our proposed investigation will focus on two important and answerable questions: q1. what are the dynamical and temporal implications of pluto's apparently cooler thermal structure? new horizons observations of pluto's atmospheric thermal profile revealed upper atmospheric temperatures to be nearly isothermal at about 60 k, or about 30-60 k cooler than those derived from decades of previous stellar occultations, AS well AS a less stable lower atmosphere (l. young, 2018). what does this imply for changes in the dynamics and flows of pluto's atmosphere, and what does this tell us about the temporal evolution of pluto's atmosphere? how CAN we reconcile the discrepancy between the nh results and stellar occultation thermal profiles? are recent models invoking haze AS pluto's atmospheric coolant (zhang et AL. 2017) consistent with stellar occultation observations? q2. what is the source and effect of pluto's atmospheric WAVES? there is abundant evidence for wave activity in pluto's atmosphere: scintillations (""spikes"") in steldlar occultation lightcurves (toigo et AL. 2010 french et AL. 2015 pasachoff et AL. 2005, 2015), and wave-like features in the vertical thermal profiles derived from high-SNR occultations, indicate that the WAVES are regionally and/or temporally variable. previously, we have suggested that pluto's atmospheric WAVES are driven BY vertical flow at the surface resulting from a diurnal cycle in the sublimation and condensation of surface ices (toigo et AL. 2010 french et AL. 2015). however, new horizons observations provide clear evidence of km-scale topographic relief (moore et AL. 2016), raising the possibility that pluto's observed inertia-gravity WAVES may instead (or additionally) be orographic in origin. are WAVES in pluto's atmosphere driven more BY sublimation or BY topography? how DO the characteristics of these WAVES compare to observations (gladstone et AL. 2016 cheng et AL. 2017) of thin layers of hazes in the atmosphere? our work directly addresses the PRIME facie contradiction between atmospheric temperatures inferred from years of earth-based occultations and the new horizons observations. at the conclusion of this investigation, we will have a much deeper understanding of two possible mechanisms for cooling the atmosphere of pluto: atmospheric water vapor or photochemical haze, and how those factors influence the global atmospheric circulation and structure. this is critical to understanding how pluto's atmosphere maintains thermal equilibrium. additionally, we will understand how atmospheric WAVES are generated on pluto: BY diurnally-driven frost sublimation and condensation and/or BY horizontal flow over topographic relief. we will determine the predicted wavelengths, strengths, vertical extent, and variability (both regional and temporal) of the modeled WAVES in each CASE, and compare their ability to account for the observed variability of wave characteristics in a rich set of high-SNR stellar occultation observations, AS well AS haze observations from new horizons."
