Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC18K0889,Modification P00004,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",10/18/2022,05/06/2022,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$-2,$-2,[None Indicated],,,,"The measurement requirement of the orbiting carbon observatory (oco-2) is the determination of column average co2 (i.e. xco2) to 1 ppmv on a regional basis. since co2 is NEAR 400 ppmv, this 0.25 % measurement is challenging. our proposed research addresses physical effects (3d radiative transfer effects due to clouds and surface reflectivity) that are not in the current operational retrieval, yet directly impacts the biases and standard deviations in retrieved xco2. our previous work demonstrated that 3d cloud effects increase AS the cloud heterogeneity, and associated radiance field heterogeneity, increases. xco2 standard deviations increase from 0.98 ppmv for clear scenes upwards to 2.6 ppmv for cloudy scenes, demonstrating that 3d cloud effects add an important component to the xco2 error budget. the quantification and mitigation of xco2 biases that are associated with 3d cloud effects is a primary goal of this proposal. our objectives are to a) develop a 3d cloud effect detection algorithm (based upon stand-alone oco-2 radiance data), b) develop 3d cloud effect bias parameterizations (expressed AS a function of 3d cloud field heterogeneity, molecular line structure, and viewing geometry metrics), c) carry out radiative transfer calculations that test our understanding of how 3d cloud effects arise at the molecular line structure level, and d) address the issue of 3d effects due to surface reflectance heterogeneity. the research will be based upon an analysis of oco-2 ""lite file"" xco2 data, 3d radiative transfer calculations, a thorough analyses of how 3d cloud effects are manifested in oco-2 spectra AS a function of wavelength-dependent optical depth (i.e. molecular line structure), and applications of the publicly available oco-2 retrieval software. several dozen target, glint, and nadir mode scenes will be analyzed, from clear sky scenes to cloudy scenes of increasing heterogeneity and various viewing geometries. 3d cloud heterogeneity metrics for each scene will be specified from separate analyses of modis and oco-2 radiance fields, while 3d radiative transfer calculations will specify molecular line structure metrics. we will calculate oco-2 radiance spectra with and without the 3d cloud effects for an observation, for all three oco-2 spectral bands, BY applying our oco3ds 3d radiance simulator. this simulator is based upon the mcarats 3d radiative transfer code. the oco-2 retrieval software will calculate two xco2 values based upon the original observed spectra, and the original spectra modified BY the two sets of oco3ds spectra. the difference in the two retrieved xco2 values then becomes one measure of the 3d cloud effect bias. we will interact with the oco-2 algorithm team to determine if the 3d cloud effect detection algorithm and the 3d cloud effect bias parameterizations CAN be applied in the post-retrieval ""bias correction"" processing to improve oco-2 lite file xco2. code will be delivered to the team such that the 3d cloud effect detection algorithm and bias correction parameterizations CAN be updated AS improvements in the oco-2 calibration and retrieval program are implemented."
2023,CA,CA-27,California Institute Of Technology,80NSSC18K0903,Modification P00005,NSSC - NASA Shared Services Center,"PASADENA, CA (District 27)",10/25/2022,05/07/2022,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"Proper interpretation of spectral observations from the orbiting carbon observatory-2 (oco-2) requires state-of-the-art knowledge of the carbon dioxide and oxygen absorption coefficients. ongoing efforts have pushed the model to the limits of fourier transform spectroscopy and coupled laser based data into the oxygen model while simultaneously developing temperature controllable laser spectrometers at caltech and NIST. despite progress on all fronts, further improvements are required molecular for co2 (at 2.1 and 1.6 microns) and o2 (at 0.76 microns). this team INCLUDES partners with expertise in code development, oco-2 l2 data generation (absco tables), AS well AS expertise with validations using tccon, gosat and oco-2 data. these validation studies indicate that band-to-band inconsistencies remain in high air-mass oco-2 retrievals due to a variety of issues that include known deficiencies in the spectroscopic data models. this proposal will continue the effort to resolve these problems primarily BY improving spectroscopic knowledge of molecular line shapes, line-mixing and collision-induced absorption for the o2 a-band, but also BY adding additional high precision co2 data, that is traceable to standards, to the data model. to achieve these goals, we simultaneously use data from three different types of spectrometers to retrieve the spectroscopic parameters with customized multi-spectral fitting software. this collaborative effort has the advantage of three existing laboratory data sources: i) fourier-transform spectra (fts) at different temperatures (140 - 296 k) and spectra at room temperature from II) cavity ringdown (crds) and III) photo acoustic (PAS) at high pressures. the crds and PAS data sets are 'background free' and provide the capability to extract non-resonant (continuum induced absorption or CIA) absorption from high density gases. thus, this is a focused effort to forge a common analytic solution that takes advantage of the most favorable aspects for each technique. the key objective is to obtain the best line positions, intensities, pressure-broadening coefficients (widths and pressure-induced shifts) and their temperature dependences that are internally consistent. this will be achieved using a multi-spectral fitting program to simultaneously retrieve all these parameters using the fts, crds and PAS data at the SAME time. the multispectrum fitting code also contains the necessary algorithms to generate the absorption coefficient (absco) tables for use in the oco-2 algorithm, such that identical physics code and assumptions are used in both processes. the labfit program CAN fit a variety of lineshape function including the hartman-tran profile that has recently become the basis for the hitran database. much of the efforts of this team have been incorporated (and may continue to be incorporated) into the hitran database for use BY the scientific community."
2023,MD,MD-07,"Johns Hopkins University, The",80NSSC18K0976,Modification P00004,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",10/11/2022,05/31/2022,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$-1,797","$-1,797",[None Indicated],,,,"Interannual variability (iav) is a key component of the global carbon cycle. satellite observations from oco-2 provide exciting new insight into terrestrial and marine co2 budgets AS well AS iav. its potential is two-fold. FIRST, it and the gosat satellite observe co2 broadly across the GLOBE, including regions with in situ observations. second, these satellites observe SIF, and SIF could be a powerful proxy for iav. we will estimate multiple years of global terrestrial and marine co2 fluxes using oco-2 and gosat observations paired with a geostatistical inverse model (gim). we will also robustly diagnose and quantify the effects of model and measurement/retrieval errors using multiple atmospheric transport models and multiple types of satellite and in situ observations. the proposed research will further provide a novel link between top-down, satellite-based flux estimates and the environmental drivers like SIF that are INTEGRAL to bottom-up models and thus INTEGRAL to a process-based understanding of co2 fluxes we will use the gim to quantify the relationships between environmental driver data and co2 fluxes, and we will compare and contrast these relationships with those in state-of-the-art process-based flux models. this research will advance scientific knowledge of the global carbon cycle using emergent satellite observations with broad global coverage. the results will indicate the sensitivity of terrestrial and marine co2 fluxes to year-to-year variations in environmental conditions. furthermore, this work will facilitate a better understanding of the environmental drivers of co2 fluxes. it will thus help improve tbm estimates of co2 budgets and iav and will contribute to more confident future carbon cycle projections."
2023,MD,MD-03,Universities Space Research Association,80NSSC18K1307,Modification P00004,NSSC - NASA Shared Services Center,"COLUMBIA, MD (District 03)",06/27/2023,06/28/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-2,109","$-2,109",[None Indicated],,,,"He oco missions' primary objectives are to make global observations of carbon dioxide (co2) in the atmosphere to improve our understanding of the various processes controlling atmospheric co2. exchanges between the atmosphere, terrestrial biosphere, and ocean remain essential controls that are dynamically responding to the human perturbation to the system. this proposal focuses on the anthropogenic input that drives the long-term growth of co2 and is the root cause of the large atmospheric perturbation. the ability of space-based observations to detect elevated co2 associated with urban regions has now been well established. the question of greatest scientific and societal relevance is linking these observations to quantification and attribution of anthropogenic emissions, and changes in anthropogenic emissions over time. major obstacles hindering widespread quantification of anthropogenic urban emissions center on limited observations, errors in transport representation, and the variable and often large role of the urban/exurban biosphere. this proposal targets these three key areas of uncertainty BY leveraging more oco-2 and oco-3 data (AS available), explicit assessment and improvement of transport via remote sensing observations of aerosols, and direct biosphere representation leveraging the SIF product from oco-2 and oco-3. BY advancing the science in this manner this proposal will lead to quantification of anthropogenic emissions in expanding domains (from the middle east to regions in mid-latitudes with significant vegetation), and the advance of techniques to quantify emissions in regions of the GLOBE where surface observations are not feasible. this capability will be key in our understanding of the rapidly evolving global carbon cycle AS well AS tracking anthropogenic emissions."
2023,CO,CO-02,Colorado State University,80NSSC18K1312,Modification P00005,NSSC - NASA Shared Services Center,"FORT COLLINS, CO (District 02)",09/06/2023,07/01/2023,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College",$-36,$-36,[None Indicated],,,,17-ocoo2-17-0021 moving towards mechanistic interpretation BY adding a SOLAR induced fluorescence constraint to atmospheric inversions of oco-2 xco2
2023,MD,MD-03,Universities Space Research Association,80NSSC18K1313,Modification P00004,NSSC - NASA Shared Services Center,"COLUMBIA, MD (District 03)",03/31/2023,07/31/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$-53,$-53,[None Indicated],,,,"The oco-3 instrument, scheduled for deployment to the International Space Station (ISS), will continue the legacy of the oco-2 mission while further advancing the capability of urban emission observation. a GREAT advantage over the oco-2 lies in the observing strategy of oco-3, focusing on co2 plumes over cities (100 targets PER day) using its map mode observation capability. from previous support, the proposal team have found that the oco-2, unlike japanese Greenhouse Gas observing satellite (gosat), kept missing major cities due to the lack of the pointing observation capability and only provided very few scenes where clear urban plumes and/ or co2 concentration enhancements were captured. also, the oco-2 swath (~8 km) is often too narrow to capture co2 plumes whose spatial and temporal structures are highly variable and CAN depend on a complex mix of emission patterns and local meteorological conditions. with the map-mode observations, the oco-3 should provide significantly more urban soundings and allow us to improve quantification of urban co2 emissions from global cities. the variability of oco-3 footprint scale co2 observations will be the key information used to constrain emissions. to fully utilize these fine scale spatial co2 gradients from the spatially-dense map-mode retrievals, the retrieval team will likely need to implement the retrieval evaluation in a different way than has been done for oco-2. the retrieval over urban areas are often challenging due to the presence of optically thick clouds and aerosols, which restrict viewing, and topography that is unique to each city and region. co2 fields from atmospheric transport models have been a valuable tool for evaluating the oco-2 retrievals and identifying large scale biases. those models used are however typically running at several tends to hundreds of km horizontal resolutions and are not able to resolve the fine scale urban co2 variabilities at the oco-2/3 footprint scale in terms of meteorology or surface emissions. this work proposes the use of high-resolution simulations AS an evaluation tool for the oco-3 data to ensure the realism of urbanscale spatial gradients. leveraging the locally calibrated wrf and high-resolution global simulations from NASA's geos model, we will support efforts of the retrieval team to quantify biases and errors in a more advanced way, supporting use of the level 2 retrieval code with high-resolution urban scale simulations of co2, cloud, and aerosol fields. to efficiently use the limited observation resource, this work also studies the optimal observation strategy BY optimizing the geometry of the oco-3 observations for focused cities using a state-of-the-art high-resolution urban inversion system. finally, we will prototype a global urban emission inversion leveraging ongoing NASA's high-resolution simulation capabilities and oco-3 data. this proposal is directly responsive to the call BY proposing work that performs an analysis of oco-2 and oco-3 data sets for understanding discrete sources of co2 emission, particularly focusing on the oco-3 capability. through the model-based evaluation, this work will ensure consistent data quality and better scientific interpretations of the level 2 data product between the two missions BY assessing retrieval biases, errors and covariance in the two products relative to key variables such AS observational geometries, clouds and aerosols. this work also perform new research and innovative analyses using data from oco-2 and 3, combined with other sensors (suomi-npp/VIIRS and CALIPSO) to advance the science goals of oco-2 and 3 in order to significantly advance our understanding of anthropogenic emissions which is a key component in the carbon cycle."
2023,UT,UT-01,"University Of Utah, The",80NSSC20K0010,Modification P00003,NSSC - NASA Shared Services Center,"SALT LAKE CITY, UT (District 01)",03/01/2023,02/28/2024,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"Despite the need to understand terrestrial biospheric carbon fluxes to account for carbon cycle feedbacks and predict future co2 concentrations, knowledge of these fluxes at the regional scale remains poor. this is particularly true in mountainous areas, where complex meteorology and relative lack of observations lead to significant uncertainties in carbon fluxes. yet mountainous regions are also where significant forest cover and biomass are found i.e., areas that have the potential to serve AS terrestrial carbon sinks. we propose to build upon the foundation that our team has laid in developing and testing a prototype of the complex terrain carbon monitoring system (aka  cms-mountains ) over the western u.s., where we have constructed:   physiological datasets and knowledge on the controls on leaf-level to stand-level SOLAR-induced fluorescence (SIF), and their relationships to gross primary productivity (gpp)   community land model (clm) configured for the western u.s. at high spatial resolution, with the ability to assimilate SIF observations and simulate physically consistent biomass quantities   an advanced assimilation system using the ncar data assimilation research testbed (DART), with clm at its core we propose to further refine cms-mountains and deliver products to key stakeholders BY addressing these objectives: objective #1: extract fine-scale information regarding gpp in complex terrain using high resolution SIF and modis reflectance data, combined with flux tower data. objective #2: use fine-scale SIF to improve photosynthetic phenology within clm. objective #3: assimilate fine-scale SIF and other satellite data within clm to produce regional carbon stock and flux estimates over the western u.s. objective #4: construct forest health early warning capabilities to engage and support stakeholders. while the project will focus on the western u.s., with special attention to california s sierra nevada region and the colorado rockies region, the developed framework will be of general applicability. in fact, we anticipate the complex terrain cms that will emerge from this work to ultimately be applied to other regions of complex terrain around the world, driven BY remote sensing data in the absence of in-situ measurements. project approaches:   satellite remote sensing: SOLAR-induced fluorescence (SIF) from gome-2, tropomi, and oco-2/-3 will be used to constrain clm. we will also investigate the use of new products from ECOSTRESS to constrain land surface temperature (and thereby evapotranspiration and gpp).   field data analysis: in 2017, we installed and continue to run a tower-based custom spectrometer at the niwot ridge ameriflux core flux tower in colorado. seven flux towers in the sierra nevada mountains of california are also currently running (run BY southern sierra critical zone observatory and the national ecological observatory network). we will continue using flux tower data from colorado and california to probe the mechanistic linkage between SIF and gpp.   biospheric modeling: building upon our team s previous prototype cms and DOE projects, in which the community land model (clm) was applied to the western u.s., we will adopt the latest clm release (clm 5) AS the main modeling platform and leverage field data observations to improve the mechanistic representation of SIF.   data assimilation: we will continue using ncar s data assimilation research testbed (DART), a state-of-the-science ensemble kalman filter data assimilation system widely adopted BY the earth system science community. DART will be extended to enable nonlinear data assimilation methods."
2023,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC21K1063,Modification P00002,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",08/24/2023,07/12/2024,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$172,987",$0,[None Indicated],,,,Mitigation of 3d cloud radiative effects in oco-2 and oco-3 xco2 retrievals
2023,CA,CA-28,California Institute Of Technology,80NSSC21K1075,Modification P00002,NSSC - NASA Shared Services Center,"PASADENA, CA (District 28)",07/05/2023,06/30/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$205,154",$0,[None Indicated],,,,An integrated top-down and bottom-up view from oco-2/3: jointly utilizing SIF and atmospheric co2 to advance ourknowledge of the carbon cycle
2024,AZ,AZ-07,University Of Arizona,80NSSC19K0947,Modification P00007,NSSC - NASA Shared Services Center,"TUCSON, AZ (District 07)",10/03/2023,10/03/2023,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$-35,$-35,[None Indicated],,,,"This proposal is in response to the NASA ROSES 2018 a.19 solicitation (nnh18zda001n-acmap). in particular, we propose to use remote sensing data products for atmospheric composition to demonstrate synergies between aq and GHG megacity-scale emissions monitoring. quantifying the anthropogenic sources of co2 and ch4 is imperative yet challenging. here, we propose a 3-year program of research to develop, implement, and improve a multi-species data analysis framework for enhancing GHG signatures from anthropogenic activities through the synergistic use of satellite-derived measurements of combustion-related trace gases (aq: co and no2, GHG: co2 and ch4) and global chemistry transport modeling, validated with ground-based and airborne measurements from NASA field campaigns and aq/GHG ground station network. the program that we propose is a direct extension of our past and current NASA acmap research activities which mainly focus on proof-of-concept studies on the synergies of aq and GHG emission estimation. for this proposed work, we are moving past these proof-of-concepts to quantifying these synergies. we intend to explore integrated data and modeling analysis approaches in using current NASA observational capabilities, traditionally used BY air quality (aq) community, in augmenting current observational programs on co2 and ch4 emissions monitoring. FIRST, we will conduct an evaluation of modeled abundance of co, no2, co2, and ch4 from ncar/cam-chem full chemistry ensemble of simulations using posterior flux estimates from leading inverse modeling/data assimilation groups (carbon tracker and cams for co2 and ch4, jamstec reanalysis for co and no2). we will use satellite retrievals from oco-2 (co2), gosat (co2 and ch4), mopitt (co), omi (no2), tropomi (no2, co, ch4), and iasi (co, co2, ch4), aircraft measurements from NASA korus-aq (co, no2, co2, ch4), discover-aq (co, no2, co2, ch4), ACT-america (co, co2, ch4), and atom (co, no2, co2, ch4), AS well AS ground profile measurements from NOAA wdcgg station network (co, co2, ch4), column measurements from tccon (co, co2, ch4) and surface aq measurements (co, no2) from ground networks like usepa. second, we will tag in cam-chem the anthropogenic emissions of co, co2 and ch4 from top megacities of the world across the recent decade (2005-2018) in order to track combustion related plumes and evaluate associated chemical ratios of these species. third, we will conduct an ensemble of joint bayesian synthesis inversions (co, co2, and/or ch4) for these megacities across the study period using satellite retrievals. the main rationale behind this project is anchored upon the utility of no2 data to identify combustion activity (for co2) and co to track corresponding plumes and to provide information on combustion efficiency (dco/dco2). these combustion-related aq (co and no2) and GHG (ch4) gases are strongly coupled chemically via oh (i.e., co is a sink of oh while no2 is a source of oh within the tropospheric o3 chemistry). this project will demonstrate how these types of information CAN be translated to improving predictive capability of anthropogenic co2 and ch4 distribution, AS well AS to improving emission monitoring at megacity and decadal scale, given that these species are either co-emitted during combustion (constraints on co2 sources), or coupled (constraints on ch4 sinks). this project presents a unique opportunity to leverage on the strengths of NASA observational capabilities towards addressing a critical gap (yet an emerging concern) in quantifying changes in climate-and-aq-relevant anthropogenic co2 and ch4 AS well AS providing insights to future integrated/constellation of satellite missions for atmospheric composition."
