Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,AZ,AZ-02,Northern Arizona University,80NSSC23K0138 Modification P00002,NSSC - NASA Shared Services Center,"FLAGSTAFF, AZ (District 02)",03/20/2025,10/20/2025,"Grant, Grant For Research","Educational - Educational Institution, Hispanic Servicing Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity","$50,000",$0,[None Indicated],,,,"21-earth21-0348 - impacts of extreme heat and drought events on forest productivity assessed using oco-3, ECOSTRESS, desis, and GEDI"
2025,CA,CA-28,California Institute Of Technology,80NM0018F0511 Modification P00026,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/09/2024,11/30/2030,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$2,067,000",$0,541715,80-0120,,,Orbiting carbon observatory-3 (85-16363)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0511 Modification P00027,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",01/15/2025,11/30/2030,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,500,265",$0,541715,80-0120,,,Orbiting carbon observatory-3 (85-16363)
2025,CO,CO-02,Colorado State University,80NSSC18K0909 Modification P00007,NSSC - NASA Shared Services Center,"FORT COLLINS, CO (District 02)",05/01/2025,05/08/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College",$-367,$-367,[None Indicated],,,,"17-oco2-17-0029, an intercomparison of global flux inversions of oco-2 and oco-3 co2 data for carbon cycle science and biascorrection"
2025,MA,MA-05,Smithsonian Institution,80NSSC23K1596 Modification P00002,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 05)",11/20/2024,08/09/2026,"Grant, Grant For Research",Non-Profit Institutions - Nonprofit Organization,"$550,000",$0,[None Indicated],,,,"The goal of this project is to advance the development of the hitran (high-resolution transmission) molecular spectroscopic database compilation and associated software. the database is critical for the NASA observation missions that seek to characterize the atmosphere using remote sensing experiments, primarily from space. these missions consist of the suite of former and current NASA experiments, including instruments on aura (hirdls, mls, tes, and omi) AS well AS AIRS, mopitt, SAGE III, oco-2 and oco-3, aqua, terra, EMIT, ECOSTRESS and future approved or proposed NASA missions including TEMPO, libera, CLARREO, GEO-cape, gacm, PACE. this project also benefits from a close relationship with non-NASA and foreign missions, including ACE, tropomi, gosat (1 and 2), iasi, toms, sbuv, jem/smiles, gems, gome on ers-2, sciamachy and gomos flying on envisat, smr on odin, cris instrument flying on suomi npp, NOAA-20 and noaa21 AS well AS future non-NASA missions, including merlin, iasi-NG, carbonsat, methanesat and microcarb. NASA airborne science program, AS well AS, the ground-based tccon and ndacc networks, also rely on the quality of the reference spectroscopic data. it is FAIR to say that every NASA-funded mission equipped with spectrometers of any resolution use hitran data in the analyses of their retrievals. the priority of the program is to improve the spectroscopic parameters of molecular transitions that affect the Modeling and Simulation of atmospheric radiance and transmission retrievals. particular goals include improved accuracy of all spectroscopic parameters, global consistency of line intensities, improved line-shape parameters (and the means BY which they are represented), the addition of missing molecular bands and trace gas species, representation of phenomena that are impacting the retrievals, including collision-induced absorption (CIA) bands, advanced line-shape formalisms, line mixing, and water vapor continuum. realistic uncertainty estimates, along with the links to the original data sources, will also be provided. the tools for disseminating and working with the data, including the online interface and hitran Application Programming Interface (hapi) will also be improved and enhanced. user support, advanced documentation, and tutorials, AS well AS an improved interface for NASA projects, are thus INTEGRAL aspects of the hitran project. in summary, the database will develop following the pact (practical, accurate, complete, and traceable) approach."
2025,MA,MA-05,Atmospheric & Environmental Research Inc,80NSSC24K0753 Modification P00001,NSSC - NASA Shared Services Center,"LEXINGTON, MA (District 05)",04/11/2025,02/28/2027,"Grant, Grant For Research","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","$147,591",$0,[None Indicated],,,,23-ocost23-0024 - using oco-2 and oco-3 carbon dioxide and SOLAR-induced fluorescence observations to explore decadal trends in amazonian carbon balance.
2024,AZ,AZ-02,Northern Arizona University,80NSSC21K1074 Modification P00003,NSSC - NASA Shared Services Center,"FLAGSTAFF, AZ (District 02)",08/26/2024,09/30/2025,"Grant, Grant For Research","Educational - Educational Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"We propose to use observations from oco-2 and oco-3 to evaluate regional perturbations to the carbon cycle due to anomalies in climate (e.g., hot, cold, wet, dry). we will analyze the environmental factors that DRIVE those regional changes and the extent to which SOLAR-induced fluorescence (SIF) and NEAR.infrared reflectance of vegetation (nirv) CAN predict the carbon cycle response. we will also evaluate differences among estimates of the carbon cycle response within an ensemble of state-of-the-art terrestrial biosphere models (tbms) and diagnose what environmental factors are likely driving differences among these models. even small variability in environmental or meteorological conditions CAN yield large regional perturbations in co2 fluxes. these flux perturbations provide important CASE studies to understand key controls on the current carbon cycle and are a prerequisite to understand future carbon-climate feedbacks. existing tbms, however, yield very different responses to climate anomalies and differ BY over a factor of five in their response to drought, heat, cold spells, and extreme wet conditions. we hypothesize that droughts in tropical dryland ecosystems yield perturbations to co2 fluxes that are larger than from any other climate anomaly. with that said, we hypothesize that most tbms overestimate the direct carbon cycle response to anomalous climate events but underestimate the carbon cycle recovery time (i.e., legacy effects) and that many tbms produce the right response to these events for the  wrong  reasons. we specifically propose to estimate co2 fluxes using geostatistical inverse modeling. this approach is unique in that we CAN directly assimilate datasets like temperature and precipitation in the inverse model and therefore create an explicit link with key carbon cycle processes. we CAN thus directly compare environmental relationships inferred from oco-2 and oco-3 to those in an ensemble of tbms, providing a pathway to improve process-based formulations within co2 flux models. AS PART of this evaluation of environmental relationships, we will also leverage observations from numerous NASA instruments, including ECOSTRESS and SMAP, to diagnose discrepancies among tbms and improve their future development. the proposed work responds to three specific tasks outlined in the solicitation: the use of flux inversions to advance understanding of the carbon cycle, innovative analysis using oco-2 and oco-3 combined with other satellite-based sensors, and studies that use SIF in combination with level 2 co2 observations from oco-2/oco-3."
2024,CA,CA-28,California Institute Of Technology,80NM0018F0511 Modification P00023,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",12/21/2023,11/30/2030,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$381,548",$0,541715,80-0120,,,Orbiting carbon observatory-3 (85-16363)
2024,CA,CA-28,California Institute Of Technology,80NM0018F0511 Modification P00024,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",02/21/2024,11/30/2030,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$690,000",$0,541715,80-0120,,,Orbiting carbon observatory-3 (85-16363)
2024,CA,CA-28,California Institute Of Technology,80NM0018F0511 Modification P00025,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/10/2024,11/30/2030,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$5,970,000",$0,541715,80-0120,,,Orbiting carbon observatory-3 (85-16363)
