Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,AZ,AZ-04,"Kinetx, Inc.",NNG13FC02C Modification 63,GSFC - Goddard Space Flight Center,"TEMPE, AZ (District 04)",01/23/2025,03/31/2027,"Definitive Contract, Cost Plus Fixed Fee","Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,334511,80-0120,,,"Removal of clauses/drds iaw e.o. 14148. the contractor shall provide flight dynamics support for origins spectral interpretation resource identification security regolith & apophis explorer (osiris-rex, -apex) mission for the sample return of asteroids"
2025,AZ,AZ-04,"Kinetx, Inc.",NNG13FC02C Modification 64,GSFC - Goddard Space Flight Center,"TEMPE, AZ (District 04)",03/19/2025,03/31/2027,"Definitive Contract, Cost Plus Fixed Fee","Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,334511,80-0120,,,"Removal of clauses/drds iaw pcd 25-01 & -02. contractor shall provide flight dynamics support for origins spectral interpretation resource identification security regolith & apophis explorer (osiris-rex, -apex) mission for the sample return of asteroids."
2025,AZ,AZ-04,"Kinetx, Inc.",NNG13FC02C Modification 65,GSFC - Goddard Space Flight Center,"TEMPE, AZ (District 04)",03/26/2025,03/31/2027,"Definitive Contract, Cost Plus Fixed Fee","Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","$115,300",$0,334511,,,,"The contractor shall provide flight dynamics system and operational support for the origins spectral interpretation resource identification security regolith & apophis explorer (osiris-rex, -apex) mission for the sample return of asteroids"
2025,CA,CA-28,California Institute Of Technology,80NM0024F0009 Modification P00001,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/10/2024,03/28/2027,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$20,000",$0,541715,,,,JPL support to osiris-apex (43-209451)
2025,CA,CA-28,California Institute Of Technology,80NM0024F0009 Modification P00002,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/21/2024,03/28/2027,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$150,000",$0,541715,,,,JPL support to osiris-apex (43-209451)
2025,CO,CO-07,Lockheed Martin Corporation,NNG12FD66C Modification 130,GSFC - Goddard Space Flight Center,"LITTLETON, CO (District 07)",01/02/2025,03/31/2027,"Definitive Contract, Cost Plus Award Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","$480,327",$0,336414,80-0120,NNH09ZDA007O,,"The contractor shall provide resources necessary to support origins spectral interpretation resource identification security regolith and apophis explorer (osiris-rex,-apex) mission for the sample return of asteroids."
2025,CO,CO-07,Lockheed Martin Corporation,NNG12FD66C Modification 131,GSFC - Goddard Space Flight Center,"LITTLETON, CO (District 07)",01/23/2025,03/31/2027,"Definitive Contract, Cost Plus Award Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,336414,80-0120,NNH09ZDA007O,,"Removal of clauses/drds iaw EO 14148. the contractor shall provide resources necessary to support origins spectral interpretation resource identification security regolith and apophis explorer (osiris-rex,-apex) mission for the sample return of asteroids."
2025,CO,CO-07,Lockheed Martin Corporation,NNG12FD66C Modification 132,GSFC - Goddard Space Flight Center,"LITTLETON, CO (District 07)",01/24/2025,03/31/2027,"Definitive Contract, Cost Plus Award Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,336414,80-0120,NNH09ZDA007O,,"The contractor shall provide resources necessary to support origins spectral interpretation resource identification security regolith and apophis explorer (osiris-rex,-apex) mission for the sample return of asteroids."
2025,CO,CO-07,Lockheed Martin Corporation,NNG12FD66C Modification 133,GSFC - Goddard Space Flight Center,"LITTLETON, CO (District 07)",01/27/2025,03/31/2027,"Definitive Contract, Cost Plus Award Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,336414,80-0120,NNH09ZDA007O,,"The contractor shall provide resources necessary to support origins spectral interpretation resource identification security regolith and apophis explorer (osiris-rex,-apex) mission for the sample return of asteroids."
2025,CO,CO-07,Lockheed Martin Corporation,NNG12FD66C Modification 134,GSFC - Goddard Space Flight Center,"LITTLETON, CO (District 07)",03/05/2025,03/31/2027,"Definitive Contract, Cost Plus Award Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","$1,500,000",$0,336414,80-0120,NNH09ZDA007O,,"The contractor shall provide resources necessary to support origins spectral interpretation resource identification security regolith and apophis explorer (osiris-rex,-apex) mission for the sample return of asteroids."
