Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,MI,MI-06,Regents Of The University Of Michigan,80NSSC24K1581 Modification P00001,NSSC - NASA Shared Services Center,"ANN ARBOR, MI (District 06)",04/14/2025,08/31/2027,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$50,000",$0,[None Indicated],,,,23-earth23-0013 leveraging Global Precipitation Measurement mission assets to evaluate atmospheric river snowfall properties
2025,PA,PA-15,"Pennsylvania State University, The",80NSSC22K0613 Modification P00004,NSSC - NASA Shared Services Center,"UNIVERSITY PARK, PA (District 15)",02/12/2025,02/03/2026,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization",$0,$0,[None Indicated],,,,21-pmmst21-0094 - understanding the dynamics and predictability of tropical cyclones using PMM microwave observations
2025,PA,PA-15,"Pennsylvania State University, The",80NSSC22K0613 Modification P00005,NSSC - NASA Shared Services Center,"UNIVERSITY PARK, PA (District 15)",05/08/2025,02/03/2026,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization",$0,$0,[None Indicated],,,,21-pmmst21-0094 - understanding the dynamics and predictability of tropical cyclones using PMM microwave observations
2025,TX,TX-27,Texas A&M University-Corpus Christi,80NSSC22K0591 Modification P00003,NSSC - NASA Shared Services Center,"CORPUS CHRISTI, TX (District 27)",02/07/2025,02/03/2026,"Grant, Grant For Research","Educational - Educational Institution, Hispanic Servicing Institution, Minority Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,21-pmmst21-0002 - upgrade precipitation feature databases and assess uncertainties in PMM products
2025,TX,TX-27,Texas A&M University-Corpus Christi,80NSSC22K0591 Modification P00004,NSSC - NASA Shared Services Center,"CORPUS CHRISTI, TX (District 27)",05/20/2025,02/03/2026,"Grant, Grant For Research","Educational - Educational Institution, Hispanic Servicing Institution, Minority Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,21-pmmst21-0002 - upgrade precipitation feature databases and assess uncertainties in PMM products
2025,WI,WI-02,University Of Wisconsin System,80NSSC22K0600 Modification P00003,NSSC - NASA Shared Services Center,"MADISON, WI (District 02)",04/17/2025,04/30/2026,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"Predictions of hydrologic fluxes such AS streamflow and evapotranspiration are at the heart of a vast range of research efforts and REAL-world decisions. while the potential of satellite precipitation to support these activities has been recognized for decades, the usefulness of products such AS NASA s integrated multi-satellite retrievals for GPM (imerg) CAN be hindered BY relatively large errors. these errors STEM from algorithm deficiencies, heterogeneous sensor properties, and insufficient spatiotemporal sampling and CAN depend on precipitation intensity, storm type, latitude, land surface type, and other factors. these deficiencies could be mitigated BY robust uncertainty characterization how right or wrong CAN we expect a satellite observation to be. robust global-scale characterization of uncertainty in satellite precipitation products has proven extremely difficult in practice, leaving both researchers and practitioners with limited information about retrospective and REAL-time uncertainties which limits the credibility of subsequent hydrologic predictions. this proposal would address these issues at a global scale through three interconnected objectives. these objectives cut across all three PMM research categories but are motivated primarily BY the need to improve GPM products for applications: objective 1  develop a global parameterization and analysis of pixel-scale imerg uncertainty: we will use a recent approach in which GPM Dual-frequency Precipitation Radar is used in place of ground-based data to train error models, which represent precipitation occurrence and magnitude uncertainty AS statistical distributions. we will deploy this approach for the FIRST time globally, creating a ""pixel-scale"" (i.e. single grid cell, single time step) error model parameter database that CAN be used to provide quantitative estimates of imerg systematic bias and random error at any location and time. objective 2 connect imerg uncertainties across space and time to generate ensemble precipitation fields: accounting for satellite precipitation error correlation structure at arbitrary spatiotemporal scales has been called a ""grand challenge."" we will address this using a combination of methods to create FIRST-ever GLOBE-spanning ensemble realizations of realistic precipitation spatiotemporal fields that remove imerg systematic bias and encompass the range of autocorrelated imerg random error. these methods combine pixel-scale uncertainty estimates from objective 1 with nonstationary short-fourier stochastic simulation and lagrangian advection of uncertainty structures. objective 3 assess value of satellite precipitation uncertainty in global-scale ensemble prediction of hydrologic fluxes: we will combine the results of objectives 1 and 2 with a state-of-the art global-scale hydrologic model. using probabilistic metrics and novel validation datasets, we will assess the value of imerg uncertainty estimates to improve prediction of two critical fluxes: high streamflows (i.e. floods) and evapotranspiration. this assessment will cover diverse climatic regimes and watershed scales, and the combination of these two fluxes will ""stress test"" our uncertainty representations across a range of precipitation conditions, from zero to light and extreme rainfall. AS FAR AS we are aware, this is the FIRST global-scale effort to not only quantify uncertainty in a gridded multisensor satellite dataset such AS imerg (objective 1) but also to make those estimates useful for hydrologic prediction BY connecting them in space and time to span arbitrary spatial scales (objective 2) and to demonstrate their value in such predictions (objective 3). this addresses multiple PMM research objectives, helps support NASA s goal of developing uncertainty estimates for imerg, and will promote the uptake of satellite precipitation data in global applications such AS flood and drought forecasting BY providing more useful and reliable uncertainty information."
2024,MI,MI-06,Regents Of The University Of Michigan,80NSSC24K1581 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"ANN ARBOR, MI (District 06)",09/04/2024,08/31/2027,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$50,000","$150,000",[None Indicated],,,,23-earth23-0013 leveraging Global Precipitation Measurement mission assets to evaluate atmospheric river snowfall properties
2024,PA,PA-15,"Pennsylvania State University, The",80NSSC22K0613 Modification P00002,NSSC - NASA Shared Services Center,"UNIVERSITY PARK, PA (District 15)",08/01/2024,02/03/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization","$155,156",$0,[None Indicated],,,,21-pmmst21-0094 - understanding the dynamics and predictability of tropical cyclones using PMM microwave observations
2024,PA,PA-15,"Pennsylvania State University, The",80NSSC22K0613 Modification P00003,NSSC - NASA Shared Services Center,"UNIVERSITY PARK, PA (District 15)",09/19/2024,02/03/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization","$53,377",$0,[None Indicated],,,,21-pmmst21-0094 - understanding the dynamics and predictability of tropical cyclones using PMM microwave observations
2024,TX,TX-27,Texas A&M University-Corpus Christi,80NSSC22K0591 Modification P00002,NSSC - NASA Shared Services Center,"CORPUS CHRISTI, TX (District 27)",02/08/2024,02/03/2025,"Grant, Grant For Research","Educational - Educational Institution, Hispanic Servicing Institution, Minority Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$129,103",$0,[None Indicated],,,,Upgrade precipitation feature databases and assess uncertainties in PMM products
