Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,HI,HI-02,California Association For Research In Astronomy,80NSSC18M0066,Modification P00012,NSSC - NASA Shared Services Center,"KAMUELA, HI (District 02)",04/13/2023,02/28/2023, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$249,148",$0,[None Indicated],,,,"This proposal to NASA BY the california association for research in astronomy (CARA) dba w. m. keck observatory (WMKO) is for renewal of the cooperative agreement award for support of NASA missions and NASA scientific research at WMKO, which operates the world s two (2) largest steerable optical and infrared telescopes on the summit of maunakea on the island of hawaii. NASA utilizes one-sixth of the annual operation capability of WMKO, having invested one-sixth of the capital costs and one-sixth of the operations costs since circa 1996. there has been a wealth of scientific results coming from the DYNAMIC scientific relationship between NASA missions such AS hubble space telescope (hst), spitzer, kepler, k2, chandra, herschel, WISE, galex, voyager, galileo, deep impact, cassini, new horizons, and the keck observatory. we propose here to extend that productive relationship to future NASA missions jwst, TESS, wfirst, euclid, mars 2020, and other MIDEX, SMEX, discovery, and new frontiers missions. the link between NASA and WMKO is powerful. NASA s space based discoveries inform and are informed BY the findings of its ground based partner, the w. m. keck observatory. NASA related projects are proposed BY the us community to nexsci and are awarded observing time provided BY NASA. this has proven productive in the past. a PRIME example is when kepler discovered objects transiting stars, WMKO undertook key observations that established that the candidate exosolar planets were indeed valid exosolar planets, and measured their masses, leading to the achievement of one of NASA s level 1 science goals: making a census of planetary systems down to the level of earth-sized planets. when spitzer and hst both detected an object in the distant universe, WMKO delivered the exact redshift of 8.68, well within the region that was thought to be the dark age before reionization. the research program enabled BY the NASA/WMKO partnership maps directly to the astrophysical and planetary priorities of NASA: the origin and evolution of the universe, the processes for life on other planets, the processes of formation of stars, galaxies, and planets, and the content, origin, and evolution of the SOLAR system and the potential for life elsewhere. the scope of the astrophysics and planetary science is breathtaking, ranging from the birth of the universe and the development of stars and galaxies over cosmic time, to the search for life on planets around other stars, to the formation, evolution, and possibility of life on other planets in our own SOLAR system. the two 10-meter primary apertures, diverse instrument suite including adaptive optics and the superb location on maunakea make WMKO an extraordinarily powerful and unique facility for addressing the research areas described above. additionally, WMKO CAN react quickly to NASA mission needs, rearranging nights on short notice. the track record of discoveries BY scientists using the WMKO in conjunction with NASA missions over the last two (2) decades gives strong testimony to that CASE. the program corresponding to NASA s in-guide funding amount provides NASA one-sixth of WMKO operations support and, in collaboration with the NASA exoplanet science institute (nexsci), WMKO will continue its Keck Observatory Archive (KOA) activities. in addition, we submit here an over-guide that allows for the development of data reduction pipelines (drps) over a period of five (5) years, to speed the reduction of new data with improved tools and to ACCESS the information inherent in 25 years of  the keck sky  easily and efficiently for all users. this proposal consolidates all direct NASA support for WMKO into one award."
2023,CA,CA-13,"Regents Of The University Of California, The",80NSSC20K0236,Modification P00003,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 13)",12/14/2022,11/04/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization","$64,973",$0,[None Indicated],,,,Geochronology and isotope geochemistry considerations for mars 2020 returned samples
2023,MA,MA-07,Massachusetts Institute Of Technology,80NSSC20K0238,Modification P00005,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 07)",09/26/2023,11/04/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,Enabling magnetic studies of returned samples with the mars 2020 rover
2023,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC20K0240,Modification P00005,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",09/05/2023,08/31/2024,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,Application of the geochemical & mineralogical analytical capabilities of mars 2020 to evaluate thehistory of water/rock interaction of potential targets for Mars Sample Return
2023,NM,NM-01,"New Mexico Museum Of Natural History Foundation, Inc.",80NSSC21K0327,Modification P00003,NSSC - NASA Shared Services Center,"ALBUQUERQUE, NM (District 01)",09/05/2023,09/30/2024,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Foundation, Nonprofit Organization",$0,$0,[None Indicated],,,,"Using in situ geologic mapping to retrieve the along -traverse geologic context, sub-surface structure, and geologic history of mars 2020 rover investigation stations and cached samples"
2024,CA,CA-16,Seti Institute,80NSSC19K0880,Modification P00005,NSSC - NASA Shared Services Center,"MOUNTAIN VIEW, CA (District 16)",04/26/2024,04/11/2025,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,,,"Carbon plays a key role in the physical and chemical evolution of the universe. carbon species are important gas coolants in both diffuse and dense clouds, and the majority of complex molecules in the interstellar medium (ism) are made of carbon, with the most complex being carbonaceous dust in the solid state. more significantly, carbon-based chemistry is central to the origin of life. SOLAR system objects show systematic variations in their carbon abundances carbon in comets is similar to that in the ism while meteorites are depleted in carbon (relative to silicon) BY an order of magnitude relative to the sun and the ism (e.g., pontoppidan et AL. 2014). meteorite and comet analyses, studies of carbon dust (jones et AL. 2016), and observations of young protoplanetary disks (e.g., bergin et AL. 2016) imply possible evidence for carbon cycling from the gas to solid phases in the early evolution of the SOLAR nebula. here, we focus on the evolution of polycyclic aromatic hydrocarbons (pahs) a ubiquitous component of the ism constituting   20% of all available carbon and one of its most stable forms. carbon in meteorites is mostly in the form of organics (alexander 2011), including aromatic materials such AS small pahs (c&lt;24), suggesting the large pahs (c&gt;30) of the ism could survive AS condensates in disks and serve AS the chemical feedstock of SOLAR system organics. the recognition that pahs condense onto icy grains in cold regions under many astrophysical situations has LED to a slew of experiments studying pahs in ices (e.g., bernstein et AL. 1999, gudipati & allamandola 2003, bouwman et AL. 2011, cuylle et AL. 2014, cook et AL. 2015). water ice lowers the ionization potential of pahs, facilitating PAH ion formation in the presence of UV and PAH destruction via chemical degradation processes, perhaps ultimately leading to the observed SOLAR system organics. we plan to investigate the role of PAH-water ice chemistry in an evolving nebula, with new laboratory experiments designed to closely replicate conditions across the entire planet-forming zone, from NEAR the snowline at a few AU to cold regions beyond the kuiper belt. thermochemical and dynamical disk models will guide experimental parameters such AS densities, temperatures and strength of UV radiation fields. fourier-transform infrared (ftir) and raman spectroscopy of various sized pahs (16-50 c atoms) isolated in a water ice matrix and irradiated BY UV photons, will determine both breakdown (degradation) rates and the resulting photoproducts this information will be assimilated into the NASA ames PAH IR spectroscopic database providing a rich legacy for future work on organics to be probed BY SOLAR system missions (e.g., icy worlds, mars 2020) and telescope facilities (e.g. jwst). the PAH destruction rate on ices determined from the experiments will be incorporated into disk evolution models to examine the possible survival of pahs AS condensates/complex organics on disks and quantify this mode of delivery of carbon to the inner disk."
2024,RI,RI-01,Brown University In Providence In The State Of Rhode Island And Providence Plantations,80NSSC19K1227,Modification P00004,NSSC - NASA Shared Services Center,"PROVIDENCE, RI (District 01)",04/03/2024,06/30/2023,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$-853,$-853,[None Indicated],,,,"Maximizing mineralogy: optimizing determination of mineralogy from hyperspectral crism data at the mars 2020 landing site jezero, ne syrtis and columbia hills."
2024,MA,MA-07,Massachusetts Institute Of Technology,80NSSC20K0234,Modification P00005,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 07)",11/28/2023,11/04/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,Guiding the search for signals of Biological and prebiotic processes BY the NASA mars 2020 rover mission
2024,FL,FL-03,University Of Florida,80NSSC21K0332,Modification P00003,NSSC - NASA Shared Services Center,"GAINESVILLE, FL (District 03)",01/08/2024,02/17/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College",$0,$0,[None Indicated],,,,Seeking organic and textural signs of ancient life in jezero crater with the mars 2020 rover payload
2025,NM,NM-02,New Mexico State University,80NSSC22M0020,Modification P00010,NSSC - NASA Shared Services Center,"LAS CRUCES, NM (District 02)",02/25/2025,11/30/2026, Cooperative Agreement,"Educational - 1862 Land Grant College, Educational Institution, Hispanic Servicing Institution, Minority Institution, Other Not For Profit Organization, State Controlled Institution of Higher Learning","$710,000",$0,[None Indicated],,,,"We propose to provide an organized, documented, and transparent archive of planetary mission data for the science community and general public worldwide through the continued operation of NASA's Planetary Data System (PDS) atmospheres node at new mexico state university. the atmospheres node (atm) will maximize NASA's return on its investment in planetary exploration and will aid in the expansion of knowledge of all communities. our team is uniquely qualified to provide this service to the planetary science community due to our collective expertise in planetary atmospheres, our role in the development of pds4, our history in working with missions and individual data providers, and our proposed initiatives for improving data discoverability and interoperability. the mission data we will curate in the atmospheres node (atm) consist of historical data already in the atm archive, data from current missions that are actively archiving at atm, and data from future missions with at least one instrument that will yield atmospheric science data. the historical and current mission data comprise an archive approximately 38 TB in size, arising from missions to every planet in the SOLAR system and acquired over a time period of more than 40 years. the future data we will archive will likely double the size of the atmos holdings and will be provided BY MRO, MAVEN, curiosity, insight, juno, perseverance, europa clipper, and atmospheric components of yet To Be Determined discovery and/or new frontiers missions. in addition, we will archive a range of ground-based telescopic, laboratory, and field data acquired in support of NASA missions AS well AS a variety of derived or higher order data products. in addition to the ongoing work with current and future mission teams, the other primary atmospheres node activities for the proposed award period will include: - migrating the atm data holdings that remain in pds3 to the more modern pds4 standards - working with individual data providers to efficiently archive their data products - expanding the development of the educational labeling system at atmospheres, a pds4 label template generator, to include a broader range of filetypes - obtaining dois for all atm data holdings to improve their citability and discoverability - developing and implementing a cloud computing strategy for atm that is aligned with PDS cloud computing roadmap - working with an external entity on atm website design and management - ensuring that the atm it systems are secure while maintaining data integrity in the atm archives - enhancing communication with our user community and ensuring accessibility of the atm data archives"
