Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,KY,KY-06,University Of Kentucky,80NSSC18K0525,Modification P00006,NSSC - NASA Shared Services Center,"LEXINGTON, KY (District 06)",07/18/2023,02/14/2023,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization","$-12,623","$-12,623",[None Indicated],,,,"The launch of the james webb space telescope (jwst) will mark an exciting new round of discovery in the study of active galactic nuclei (agn), starburst galaxies, and protogalaxies."
2023,MA,MA-07,Trustees Of Boston University,80NSSC18K0745,Modification P00005,NSSC - NASA Shared Services Center,"BOSTON, MA (District 07)",10/25/2022,04/05/2022,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$-831,$-831,[None Indicated],,,,"Intra-urban and intra-pixel variability in the concentrations of short-lived atmospheric trace gases complicates the interpretation and application of satellite-based observations. urban-scale variability in surface concentrations of nitrogen dioxide (no2) is frequently acknowledged in air pollution research, but how this ground-level variability manifests in the vertical column and affects satellite remote sensing is not well understood. even less is known about intra-urban variability of tropospheric formaldehyde (hcho), another important atmospheric trace gas with a short atmospheric lifetime. the discover-aq campaigns clearly showed that local variations in no2 measured BY ground-based instruments are not captured BY current satellite-based instruments. these campaigns also demonstrated that there are still uncertainties in the retrievals that CAN result in disagreement. in the end, the need for spatially dense and long-term ground-based measurements of tropospheric composition emerged AS a key theme from discover-aq, and has come up repeatedly in discussions about future geostationary observations. this proposal will address the scientific need to quantify and explain intra-urban variability in tropospheric column densities of two key reactive trace gases, no2 and hcho, and to reconcile satellite remote sensing with ground-based measurements of surface air quality. to achieve this, i propose to establish a network of five ground-based pandora spectrometers within a single urban region (in boston, MA), capable of retrieving continuous no2 and hcho tropospheric columns during the day. the network will have collocated ground-level in situ measurements of no2 at each location, and lidar-derived aerosol profiles at a central site to derive urban boundary layer height. in addition to instrumentation already available in my lab, i will leverage existing instrument capabilities from collaborators at several institutions in the region and from government-run air quality monitoring stations. the new ground-based observations will be combined with satellite-based remote sensing of tropospheric no2 and hcho from omi, gome-2, and eventually tropomi to evaluate the satellite retrievals and to explore the importance of heterogeneity within a satellite footprint. i am interested in determining whether robust relationships between tropospheric column density and surface concentrations CAN be demonstrated at the intra-urban scale. i will explore intra-urban spatial scaling relationships and determine how persistent these relationships are across time scales of hours to seasons. a state-of-the-art high-resolution pollutant emission inventory based on local vehicle data will provide hourly estimates of surface nox sources, and output from a regional atmospheric chemistry model (wrf-chem) will help interpret the importance of atmospheric chemistry, transport, and mixing. together, these datasets will be uniquely positioned to answer important unresolved science questions about intra-urban variability in air pollutant concentrations within the tropospheric column and at the surface, and advance the applications of satellite remote sensing of surface air quality.overall, the main objectives of the proposed research will be to: 1) quantify and explain intra-urban variability in air quality at the surface and in the tropospheric column, and reconcile these observations BY considering surface emissions, meteorology and planetary boundary mixing, and chemistry 2) determine the extent to which limited agreement between satellite- and ground-based tropospheric column observations results from a lack of spatial representation versus uncertainty in the individual observations 3) evaluate predictions of intra-urban pollutant variability from a state-of-the art emissions inventory and chemical transport modeling, and explore how hourly-resolved satellite observations could inform air quality research and monitoring"
2023,DE,DE-00,University Of Delaware,80NSSC20K0769,Modification P00003,NSSC - NASA Shared Services Center,"NEWARK, DE (District 00)",08/01/2023,03/01/2023,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$-6,$-6,[None Indicated],,,,Particle astrophysics with the payload for ultrahigh energy observations (PUEO): a next generation long-duration balloon-borne instrument for the cosmic high energy frontier [university of delaware] co-i.
2023,PA,PA-12,"Pennsylvania State University, The",80NSSC20K1288,Modification P00002,NSSC - NASA Shared Services Center,"UNIVERSITY PARK, PA (District 12)",12/20/2022,08/04/2022,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization",$-380,$-380,[None Indicated],,,,"Ground calibration systems for anita-v: the calibration stations originally designed for anita and planned for use on anita-v use commercially available high-voltage pulsers to generate identical broadband plane-wave pulses from the ground. some calibration stations are set up NEAR the launch site to enable rapid verification of instrument performance, while other stations are established in remote locations where the trigger efficiency and angular resolution CAN be measured without contamination from man-made radio noise. the ground station calibration systems will be refurbished BY an undergraduate funded through this grant working under the guidance of a PUEO graduate student. however, recent anita data suggest that the measured polarity and phase centers depends on frequency content and polarization of the signal. therefore, at the remote sites and during integration and testing, we plan to use a programmable pulser with varying signal strength, polarity, and frequency content in addition to the standard pulsers. at CAL poly, we have made a prototype of a programmable pulser consisting of a fpga (virtex-6) on an ML-605 evaluation board driving an ad9129 digital-to-analog converter. the programmable pulser CAN model arbitrary waveforms up to 1.4 ghz analog bandwidth BY taking advantage of of the large buffer depth of the virtex-6 and the 2.8 gsps digitization rate of the ad9219, CAL poly undergraduates, donald hersam and zoe riesen, have successfully programmed the pulser with the anita-3 electronics impulse response with an analog bandwidth up to 1.4 ghz AS well AS other broadband pulses, both unipolar and single pole"
2024,AZ,AZ-07,University Of Arizona,80NSSC22M0081,Modification P00008,NSSC - NASA Shared Services Center,"TUCSON, AZ (District 07)",03/12/2024,06/30/2026, Cooperative Agreement,"Educational - 1862 Land Grant College, Educational Institution, Hispanic Servicing Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$1,452,146",$0,[None Indicated],,,,Aspera revealing the diffuse universe
2024,MA,MA-07,Trustees Of Boston University,80NSSC20K1033,Modification P00005,NSSC - NASA Shared Services Center,"BOSTON, MA (District 07)",09/23/2024,09/30/2023,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$-8,$-8,[None Indicated],,,,"This proposal will diagnose the o3-nox-voc sensitivity regimes globally for a 15-year period BY using the omi (2005-2020) and tropomi (2018-2020) hcho/no2 column density ratios on monthly-seasonal timescales. the PI and his team will FIRST evaluate the best way to diagnose the o3 regime sensitivity in terms of approach, threshold criteria, data processing, use of vertical column densities (vcds) versus inferred surface concentrations. they will then validate the satellite hcho/no2 ratios and inferred regimes using airborne gcas and geotaso vcds obtained in summer 2018 during 2 field campaigns (listos, owlets-2) in the northeastern us AS well AS using pandora vcds during these campaigns AS well AS from pandoras deployed in the boston area for 2020."
2024,MA,MA-07,Trustees Of Tufts College Inc,80NSSC21K0630,Modification P00005,NSSC - NASA Shared Services Center,"SOMERVILLE, MA (District 07)",06/06/2024,05/31/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"The dusty starburst, agn and quiescent phases of massive galaxies AS seen across different environments and cosmic epochs"
2024,GA,GA-05,Georgia Tech Research Corporation,80NSSC21K0944,Modification P00007,NSSC - NASA Shared Services Center,"ATLANTA, GA (District 05)",09/17/2024,12/31/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning",$0,$0,[None Indicated],,,,"The work proposed here aims to improve our understanding of the emissions and fate of volatile organic compounds (vocs) through long-term formaldehyde (hcho) observations in and NEAR an urban area. voc sources are notoriously under-characterized, especially in urban areas where biogenic emissions models may be less accurate and some anthropogenic source sectors remain unquantified. AS both a voc oxidation product and a source of oxidants, hcho is a central test-point for models of secondary pollutant formation. the recent launch of tropomi and NEAR-future launch of TEMPO give new ability to resolve hcho enhancements in an urban outflow, but more work is needed to understand biases in satellite-based hcho measurements, and their relationship to surface level concentrations and ozone formation. project goals are encompassed in three objectives: (1) implement a more accurate, less resource intensive hcho monitoring strategy to aid in the interpretation of current and NEAR future satellite based hcho observations. (2) determine the driving causes of spatiotemporal hcho variability across an urban-rural gradient, and evaluate the relationship between observed variability, urban emissions, and ozone production. (3) work with local air quality managers to improve the use of satellite based hcho in their analysis of ozone production sensitivities and severe pollution events. pandora instruments and aeris hcho sensors will deployed in and around atlanta, ga for at least one year. high resolution chemistry-transport-models will be compared to observations to examine the accuracy of modeled hcho budgets, and sensitivity of hcho to voc and nox emissions. we will use bias-corrected observations to reassess and satellite-based metrics used BY air quality managers (e.g., hcho/no2), and examine ozone production during heatwaves. this project is directly in line with the goals of NASA s earth science and the atmospheric composition program, AS it aims to use NASA earth science products to understand spatiotemporal structure of air pollutants, and further the use of remotely-sensed hcho in local air quality management."
2024,NJ,NJ-12,"College Of New Jersey, The",80NSSC22K0798,Modification P00002,NSSC - NASA Shared Services Center,"EWING, NJ (District 12)",03/26/2024,03/15/2025,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,Characterizing the nuclear properties of post starburst galaxies
2024,NY,NY-19,Cornell University,80NSSC22K0845,Modification P00002,NSSC - NASA Shared Services Center,"ITHACA, NY (District 19)",08/21/2024,10/31/2023,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College, Veterinary College",$0,$0,[None Indicated],,,,The pandora smallsat: multiwavelength characterization of exoplanets and their host stars
