Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,CA,CA-26,"Teledyne Scientific & Imaging, Llc",80GSFC18C0095,Modification P00021,GSFC - Goddard Space Flight Center,"CAMARILLO, CA (District 26)",03/07/2023,12/31/2021,"Definitive Contract, Cost Plus Award Fee","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods","$-98,621",$0,334413,,80GSFC17R0011,,Sensor chip assembly (SCA) for the wfirst project
2023,MD,MD-06,"Innovative Consulting & Management Services, Llc",80GSFC17C0043,Modification P00026,GSFC - Goddard Space Flight Center,"DERWOOD, MD (District 06)",10/27/2022,09/17/2022,"Definitive Contract, Cost Plus Fixed Fee","Small Disadvantaged Business,8(A) Program,Small Business - Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Hispanic American Owned Business, Limited Liability Corporation, Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business",$-625,$0,541330,80-0122,,,"8(a) direct award contract to icms, llc for engineering support on the wfirst project"
2023,AZ,AZ-08,Honeywell International Inc.,80GSFC20C0014,Modification P00021,GSFC - Goddard Space Flight Center,"GLENDALE, AZ (District 08)",04/03/2023,03/31/2023,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation",$200,$0,336419,,80GSFC19R0020,,Roman space telescope reaction wheel assemblies
2023,NY,NY-23,Moog Inc.,80GSFC20C0061,Modification P00028,GSFC - Goddard Space Flight Center,"EAST AURORA, NY (District 23)",04/28/2023,05/30/2023,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,$0,336419,,80GSFC19R0035,,Roman space telescope latch valves
2023,CA,CA-32,Northrop Grumman Systems Corporation,80GSFC20C0077,Modification P00011,GSFC - Goddard Space Flight Center,"WOODLAND HILLS, CA (District 32)",05/24/2023,06/25/2023,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,$0,336419,,80GSFC20R0002,,Roman space telescope iru
2023,CA,CA-09,"Applied Aerospace Structures, Corp.",80GSFC20C0107,Modification P00016,GSFC - Goddard Space Flight Center,"STOCKTON, CA (District 09)",11/21/2022,12/31/2022,"Definitive Contract, Firm Fixed Price","Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,$0,336419,,80GSFC20R0028,,Wfirst High Gain Antenna
2023,NY,NY-26,Taber Acquisition Corp.,80GSFC21C0047,Modification P00010,GSFC - Goddard Space Flight Center,"NORTH TONAWANDA, NY (District 26)",02/15/2023,02/15/2023,"Definitive Contract, Firm Fixed Price","Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,$0,336415,,80GSFC20R0066,,Roman space telescope pressure transducers
2023,CA,CA-42,Atk Space Systems Inc.,80GSFC21C0054,Modification P00014,GSFC - Goddard Space Flight Center,"COMMERCE, CA (District 42)",08/28/2023,10/15/2023,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Tax Exempt, For Profit Organization",$0,$0,336419,,80GSFC20R0060,,Roman space telescope project propellant tanks
2023,WA,WA-01,"Aerojet Rocketdyne, Inc.",80GSFC21CA005,Modification P00010,GSFC - Goddard Space Flight Center,"REDMOND, WA (District 01)",10/05/2022,09/30/2022,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,$0,336415,,80GSFC21R0071,,Roman space telescope delta v 22n thrusters
2023,CA,CA-16,Moog Inc.,80GSFC23CA014,Modification P00007,GSFC - Goddard Space Flight Center,"MOUNTAIN VIEW, CA (District 16)",09/28/2023,04/01/2024,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,$0,336419,,80GSFC22R0036,,"Roman space telescope project IPA vis effortcontractor shall provide the facilities, personnel, services, tools, equipment, and materials necessary to design, analyze, manufacture, test, and deliver the hardware and data in the SOW requirements"
