Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,HI,HI-02,California Association For Research In Astronomy,80NSSC18M0066,Modification P00012,NSSC - NASA Shared Services Center,"KAMUELA, HI (District 02)",04/13/2023,02/28/2023, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$249,148",$0,[None Indicated],,,,"This proposal to NASA BY the california association for research in astronomy (CARA) dba w. m. keck observatory (WMKO) is for renewal of the cooperative agreement award for support of NASA missions and NASA scientific research at WMKO, which operates the world s two (2) largest steerable optical and infrared telescopes on the summit of maunakea on the island of hawaii. NASA utilizes one-sixth of the annual operation capability of WMKO, having invested one-sixth of the capital costs and one-sixth of the operations costs since circa 1996. there has been a wealth of scientific results coming from the DYNAMIC scientific relationship between NASA missions such AS hubble space telescope (hst), spitzer, kepler, k2, chandra, herschel, WISE, galex, voyager, galileo, deep impact, cassini, new horizons, and the keck observatory. we propose here to extend that productive relationship to future NASA missions jwst, TESS, wfirst, euclid, mars 2020, and other MIDEX, SMEX, discovery, and new frontiers missions. the link between NASA and WMKO is powerful. NASA s space based discoveries inform and are informed BY the findings of its ground based partner, the w. m. keck observatory. NASA related projects are proposed BY the us community to nexsci and are awarded observing time provided BY NASA. this has proven productive in the past. a PRIME example is when kepler discovered objects transiting stars, WMKO undertook key observations that established that the candidate exosolar planets were indeed valid exosolar planets, and measured their masses, leading to the achievement of one of NASA s level 1 science goals: making a census of planetary systems down to the level of earth-sized planets. when spitzer and hst both detected an object in the distant universe, WMKO delivered the exact redshift of 8.68, well within the region that was thought to be the dark age before reionization. the research program enabled BY the NASA/WMKO partnership maps directly to the astrophysical and planetary priorities of NASA: the origin and evolution of the universe, the processes for life on other planets, the processes of formation of stars, galaxies, and planets, and the content, origin, and evolution of the SOLAR system and the potential for life elsewhere. the scope of the astrophysics and planetary science is breathtaking, ranging from the birth of the universe and the development of stars and galaxies over cosmic time, to the search for life on planets around other stars, to the formation, evolution, and possibility of life on other planets in our own SOLAR system. the two 10-meter primary apertures, diverse instrument suite including adaptive optics and the superb location on maunakea make WMKO an extraordinarily powerful and unique facility for addressing the research areas described above. additionally, WMKO CAN react quickly to NASA mission needs, rearranging nights on short notice. the track record of discoveries BY scientists using the WMKO in conjunction with NASA missions over the last two (2) decades gives strong testimony to that CASE. the program corresponding to NASA s in-guide funding amount provides NASA one-sixth of WMKO operations support and, in collaboration with the NASA exoplanet science institute (nexsci), WMKO will continue its Keck Observatory Archive (KOA) activities. in addition, we submit here an over-guide that allows for the development of data reduction pipelines (drps) over a period of five (5) years, to speed the reduction of new data with improved tools and to ACCESS the information inherent in 25 years of  the keck sky  easily and efficiently for all users. this proposal consolidates all direct NASA support for WMKO into one award."
2023,CA,CA-12,"Regents Of The University Of California, The",80NSSC18K1274,Modification P00006,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 12)",02/16/2023,08/31/2022,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization",$-12,$-12,[None Indicated],,,,"The purpose of large scale structure (lss) surveys, both space based such AS euclid and wfirst, and ground based, such AS desi and lsst, is to elucidate the questions of origins of structure in our universe and its contents. the primary goal of this proposal is to develop a new theoretical and numerical modeling of how to extract the cosmological information from the large scale structure observations BY these surveys. we propose to DO this in the context of a recently developed framework which holds the promise of extracting all the cosmological information optimally. the method starts with an exact bayesian probabilistic model for the cosmological parameters given the data, which is then solved through a process that combines elements of numerical optimization in high dimensions and analytic marginalization to find the best solution for cosmological parameters and their covariance matrix. we propose to apply this method both to weak lensing and galaxy clustering observations, AS well AS to datasets that combine both. we will investigate cosmological parameters and astrophysical nuisance parameters that are to be marginalized over. the methods will be developed using realistic simulations of both dark matter and of galaxies populated in the dark matter simulations, before being applied to REAL data. results of this study will provide new methods that may dramatically improve upon the existing methods and may be of direct and significant benefit to space and ground based lss missions."
2023,HI,HI-01,University Of Hawaii Systems,80NSSC19K0597,Modification P00004,NSSC - NASA Shared Services Center,"HONOLULU, HI (District 01)",04/22/2023,02/25/2024,"Grant, Grant For Research","Educational - Educational Institution, Native Hawaiian Servicing Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"The kepler/k2 mission has revolutionized asteroseismology BY detecting oscillations in thousands of stars from the main-sequence to the RED giant branch. BY providing accurate radii, masses and ages, these stars have become benchmarks for addressing problems in stellar astrophysics, exoplanet science and galactic astronomy, such AS age-rotation relationships for SOLAR-type stars, the composition of super-earth sized planets, and the study of galactic stellar populations. however, our sample of dwarfs and subgiants with asteroseismic data is small because detection requires scarce short cadence imaging, and only a fraction of the short cadence targets in kepler have been characterized. BY contrast, there is a rich data set of RED giant asteroseismology from kepler and k2, but the dwell time for k2 and TESS is too short to detect asteroseismic signals directly in luminous and scientifically interesting targets. in this proposal we address both problems, capitalizing on the vastly improved classification of kepler/k2 targets provided BY gaia parallaxes. we will FIRST dramatically increase the size of the high-quality dwarf and subgiant asteroseismic sample from kepler. we propose a homogeneous analysis of the recently re-processed q1-17 kepler short-cadence data, which corrected data calibration errors that affected prior seismic analysis efforts. for dwarfs and subgiants we will combine well tested frequency-autocorrelation methods with ground-based spectroscopy and adaptive optics imaging to compile a legacy catalog of asteroseismic observables, fundamental parameters, and possible companion stars. furthermore we will calibrate stellar granulation diagnostics of surface gravity for high luminosity giants using data from the original kepler mission, star clusters and gravities from ground-based spectroscopic surveys. BY applying this novel technique to 12500 high-luminosity giants we will significantly increase the reach of galactic populations studied BY k2. our novel method will also be a pathfinder for analogous applications to thousands of high-luminosity giants observed with TESS. combined, these datasets will allow us to 1) investigate variations in age-rotation relationships (gyrochronology) for SOLAR-type stars, 2) identify new asteroseismic exoplanet host stars to validate exoplanet population trends such AS the ""hot super-earth desert"" and the gap between super-earth and sub-neptune sized planets, 3) test the relation between stellar multiplicity and oscillation amplitudes and 4) discover distant, high-luminosity HALO giants observed BY k2, potentially leading to an ensemble age measurement of the galactic HALO. our program will provide legacy data products for asteroseismic kepler/k2 stars, including power spectra, asteroseismic observables, and fundamental parameters. these products will be of enormous value for a variety of topics in stellar astrophysics and exoplanet science, including gyrochronology, tests of stellar interior models, and calibrations of indirect methods such AS spectroscopy. benchmark stars with well determined fundamental properties are also essential for the accurate characterization of exoplanets with future NASA missions such AS TESS, jwst and wfirst."
2023,CT,CT-03,Yale University,80NSSC19K0638,Modification P00005,NSSC - NASA Shared Services Center,"NEW HAVEN, CT (District 03)",02/16/2023,08/31/2022,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College, School Of Forestry",$-6,$-6,[None Indicated],,,,This is a subcontract of the NASA proposal LED BY dr. miguel roman at NASA goddard space right center [NASA GSFC]. the yale team will be lead BY co-pl seto. the primary yale team tasks are:
2023,CA,CA-39,Regents Of The University Of California At Riverside,80NSSC21K1840,Modification P00002,NSSC - NASA Shared Services Center,"RIVERSIDE, CA (District 39)",09/15/2023,08/31/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Hispanic Servicing Institution, Nonprofit Organization","$45,000",$0,[None Indicated],,,,Parametric inference using cosmological simulations for the wfirst era
2023,CA,CA-19,"University Of California, Santa Cruz",80NSSC22K0236,Modification P00001,NSSC - NASA Shared Services Center,"SANTA CRUZ, CA (District 19)",05/15/2023,12/31/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Hispanic Servicing Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$124,556",$0,[None Indicated],,,,"Objectives: the goal of this theoretical proposal is to systematically investigate the formation, distribution and observational consequences of haze and clouds (aerosols) on warm and hot tidally locked exoplanets, such AS hot jupiters and warm neptunes. haze and clouds are ubiquitous in exoplanetary atmospheres. they exhibit complex behaviors and have significant influences on transmission, emission and reflection spectra and light curve observations. recent aerosol formation models have demonstrated the importance of bin-scheme microphysics and fractal aggregate physics to interpret the observations from hubble space telescope (hst) and spitzer telescope collected in the past decade. but the detailed microphysical mechanisms and their impacts on interpretations of the observational data remain poorly understood. this will significantly hinder the understanding of the highquality data in the upcoming james webb space telescope (jwst) era. in this project, we plan to achieve three specific objectives: (1) understanding the inhomogeneous spatial distribution and size distribution of aerosol particles on tidally locked gas giants with equilibrium temperatures, different metallicities, and transport processes. (2) systematically investigating chemical haze formation on warm neptunes and identify possible systematic trends in observational signatures. (3) exploring the vapor depletion due to cloud condensation on hot gas giants where the distribution of some condensational elements (such AS magnesium and iron) CAN be detected in the upper atmospheres. methodology: we will use a new modeling framework including a 2d (longitude-pressure) bin-scheme aerosol microphysical model with radiative transfer, gas chemistry and zonal wind transport. our approach treats the chemistry and cloud formation in detail but simplifies the atmospheric dynamics. this innovative approach is complementary to the common approach in the field that simulates the clouds in a dynamical model with simplified cloud formation schemes. we will use our models to systematically explore the fundamental mechanisms that govern the aerosol formation, spatial distribution and particle size distribution on hot jupiters and warm neptunes. we will construct synthetic spectra and phase curves based on the simulations and compare with the existing hst and spitzer observations and predict observations for future jwst observations. relevance and perceived significance: this work will not only shed light on the mechanisms underlying various observations of exoplanets to date, but will also provide cutting-edge theoretical tools in aid of interpretation of observations on exoplanets for jwst. the proposed work is directly relevant to the NASA exoplanet research program (xrp) AS our aerosol study will advance our knowledge and understanding of ""the chemical and physical processes of exoplanets (including atmospheres)"". the simulated spectra and light curves will be ""improving the interpretation of data on exoplanetary systems, through collection and interpretation of laboratory data for comparison to observations and/or providing an observationally testable prediction or theory."" this work will ""support past and current NASA missions"" such AS hst, spitzer, jwst and roman, and ""facilitate the formulation and development of future NASA missions and strategic exoplanet programs."" .."
2024,CA,CA-16,Seti Institute,80NSSC17M0074,Modification P00015,NSSC - NASA Shared Services Center,"MOUNTAIN VIEW, CA (District 16)",08/09/2024,08/09/2025, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,,,"The study of brown dwarfs [objects too low in mass to support nuclear reactions in their interiors] and extra SOLAR planets requires a knowledge of the physical characteristics of their atmospheres in order to interpret observations or to construct theoretical models. the purpose of this proposal is to use the latest available data on atomic and molecular transitions to generate tables of opacities over a wide range of temperatures and pressures applicable to these objects. this involves assembling the latest data on various atomic and molecular species and generating detailed opacities using the best available information on spectral line shape and line broadening. a complete suite of computer programs now exists to carry out these tasks and new improvements and upgrades are anticipated AS a PART of this project. currently this data is used extensively to generate theoretical models and to interpret observational data both for our own group and for outside collaborators. AS the quality of the observations of these objects improves due to new and improved instruments and the introduction of future space based telescopes it will become more important to have available the best possible opacity data that, AS FAR AS possible, approaches the quality usually seen in laboratory spectra. a sound knowledge of the characteristics of the spectra of these objects will influence the design of future instruments including space based observatories such AS wfirst and jwst and give a better indication of what they CAN be expected to achieve when in operation."
2024,DE,DE-00,University Of Delaware,80NSSC24M0160,Modification P00001,NSSC - NASA Shared Services Center,"NEWARK, DE (District 00)",08/30/2024,08/31/2025, Cooperative Agreement,"Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"Ultracool subdwarfs: using WISE to train for roman space telescope discoveries, SMD"
2024,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC19K0995,Modification P00012,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",09/18/2024,09/30/2025,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"We propose a four year suborbital-class research program to develop, launch, and operate the astrophysics research testbed and UV emission mapping imaging spectrograph (artemis): a 6u cubesat that will address two key questions in astronomy: .how DO galaxies provide ionizing radiation to the igm? the transition from a neutral to an ionized intergalactic medium (igm) was one of the key milestones in cosmic structure formation. finding the ionizing sources - galaxies and agn - is a central goal of the james webb space telescope (jwst), but even this flagship cannot solve one critical aspect of the problem: how much of this radiation actually escapes galaxies to re-ionize the igm? webb cannot detect the ionizing radiation itself through the opaque high-z igm, so users will instead use redshifted UV/optical emission lines AS proxies. these proxies must be calibrated with direct measurements of ionizing radiation escape in a sample of galaxies at lower redshift. artemis will directly measure the ionizing spectrum in 100 0.15 &lt; z &lt; 0.3 galaxies and agn, a sample that will surpass in number and precision all ionizing escape measurements to date and provide critical interpretive tools for core jwst science. .what controls the mass, energy and chemical flows within galaxies? ob stars dominate the ionization and kinematic drivers of galactic disks through their intense radiation, fast stellar winds, and metal dispersal in supernovae but how DO these processes interact to DRIVE the evolution of galaxies? artemis will trace feedback in its earliest stages using unique FAR-UV diagnostics (fuv: 1000 - 1600 angstroms) and a novel spectral imaging observing mode to create multi-dimensional data cube maps of more than 50 local star forming regions and supernova remnants in the milky way and magellanic clouds. this survey will quantify the physics of radiative and kinetic energy injection into their host galaxies and provide ground-truth to sub-grid physical models in hydrodynamical simulations. .artemis is designed to carry out these astrophysically compelling spectral surveys while serving AS a demonstration testbed for the luvoir surveyor - maturing and flight-qualifying technology identified AS priority one needs in the 2017 NASA Cosmic Origins program annual technology report. the advanced optical coatings and next-generation photon-counting microchannel plate (mcp) detector in the artemis design represent a paradigm shift for astronomy in the fuv, enabling more optical elements and exceptionally low on-orbit backgrounds without the crippling throughput losses that would occur with conventional technologies. our extensive on-orbit calibration program will provide critical in situ measurements of their stability and performance ahead of formal adoption BY luvoir, habex, or other NASA large-, probe-, or explorer-class missions. artemis will leverage these recent products of the APRA, SAT and roman technology fellowship programs to achieve sensitivities comparable to or exceeding previous fuv explorer-class missions in a cubesat envelope. .the artemis instrument is comprised of a rectangular cassegrain telescope feeding a compact, low resolution (r ~ 1500) imaging spectrograph. the science instrument is incorporated into a blue canyon technologies Spacecraft bus that provides power, Command and Data Handling, attitude control, and communications. calibration and testing will occur in existing university of colorado (cu) UV space-instrument facilities alongside other NASA SMD missions. artemis will be developed in the framework of cu's student LED space sciences program, where undergraduate, graduate, and postdoctoral training is paramount. ."
2024,IL,IL-01,"University Of Chicago, The",80NSSC20K0512,Modification P00006,NSSC - NASA Shared Services Center,"CHICAGO, IL (District 01)",07/05/2024,06/30/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"We propose to develop a suite of ultra-high resolution simulations of z&gt;6 galaxies with a particularly wide range of relevant physical processes. we will use synthetic observations of simulated galaxies to conduct a number of transformative explorations addressing the following two broad themes: 1) how the observable properties of the cosmic dawn galaxies are related to their physical properties, such AS star formation rate and star formation history, size, stellar mass, molecular gas mass, mass of their dark matter halos and their mass accretion history, and 2) how the physical processes driving evolution of high-$z$ galaxies are reflected in the their observable properties and correlations between them. the models and simulations planned in this proposal will include a rich data set with a sufficiently wide range of physical processes modeled at extremely high-resolution. this will be used to address several fundamental questions in the interpretation of observations of galaxies during the cosmic dawn era. exploration of these key issues will build upon the remarkable recent progress in our understanding of how galaxies form and using state-of-the-art modeling of star formation and feedback. results of this project will have a transformative impact on our broader understanding of galaxies and their formation, especially during earliest stages of evolution when some of the key properties of galaxies may be set. results and findings of this project will aid with physical interpretation of ongoing and NEAR future observational efforts using jwst, wfirst, hst, and alma. synthetic observations and simulation data that will be made publicly available to other researchers will help observers to forecast and prepare observations and will allow other theoretical groups to explore additional directions or to compare results."
