Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,CA,CA-28,California Institute Of Technology,80NM0018F0499 Modification P00033,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/15/2024,10/31/2027,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$334,332",$0,541715,80-0120,,,Exomars trace gas orbiter (tgo) mission & mars telecommunication development (40-15345)
2025,CA,CA-28,California Institute Of Technology,80NM0024F0002 Modification P00006,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",10/17/2024,01/26/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$2,586,806",$0,541715,,,,NASA Rosalind Franklin Mission project (40-712104)
2025,CA,CA-28,California Institute Of Technology,80NM0024F0002 Modification P00007,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",12/19/2024,11/30/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$6,527,350","$104,652,275",541715,,,,NASA Rosalind Franklin Mission project (40-712104)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0499 Modification P00034,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",01/06/2025,10/31/2027,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$375,000",$0,541715,80-0120,,,Exomars trace gas orbiter (tgo) mission & mars telecommunication development (40-15345)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0499 Modification P00035,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/01/2025,10/31/2027,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$434,125",$0,541715,,,,Exomars trace gas orbiter (tgo) mission & mars telecommunication development (40-15345)
2025,CA,CA-28,California Institute Of Technology,80NM0024F0002 Modification P00009,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/01/2025,11/30/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$3,086,180",$0,541715,,,,NASA Rosalind Franklin Mission project (40-712104)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0854 Modification P00021,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/02/2025,09/29/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,"$-1,271,741",541715,,,,Exomars 2022 mission support (40-700117)
2025,CA,CA-28,California Institute Of Technology,80NM0018F0499 Modification P00036,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/25/2025,10/31/2027,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$368,347",$0,541715,,,,Exomars trace gas orbiter (tgo) mission & mars telecommunication development (40-15345)
2025,CA,CA-28,California Institute Of Technology,80NM0024F0002 Modification P00010,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",04/25/2025,11/30/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,275,000",$0,541715,,,,NASA Rosalind Franklin Mission project (40-712104)
2025,CA,CA-28,California Institute Of Technology,80NM0024F0002 Modification P00011,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",05/27/2025,11/30/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$1,275,000",$0,541715,,,,NASA Rosalind Franklin Mission project (40-712104)
2025,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC25F7011 Modification 0 (Base Record),MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",03/10/2025,09/30/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization","$60,000","$60,000",541715,,,,Rosalind franklin support & augmentation (rosa) project Integrated Baseline Review (IBR) and Standing Review Board (SRB) task order provides IBR and SRB support on rosa review teams.
2025,MI,MI-06,Regents Of The University Of Michigan,80GSFC24CA017 Modification P00002,GSFC - Goddard Space Flight Center,"ANN ARBOR, MI (District 06)",12/16/2024,09/30/2025,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,541715,,80GSFC24R0018,,Contract to acquire the sixth iteration of the power-high voltage module (ph6) of the mass spectrometer (MS) portion of the Mars Organic Molecule Analyzer (MOMA) instrument carried BY a mars rover known AS exomars.
2025,MI,MI-06,Regents Of The University Of Michigan,80GSFC24CA017 Modification P00003,GSFC - Goddard Space Flight Center,"ANN ARBOR, MI (District 06)",01/24/2025,09/30/2025,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,"$7,051",541715,,80GSFC24R0018,,Contract to acquire the sixth iteration of the power-high voltage module (ph6) of the mass spectrometer (MS) portion of the Mars Organic Molecule Analyzer (MOMA) instrument carried BY a mars rover known AS exomars.
2025,MI,MI-06,Regents Of The University Of Michigan,80GSFC24CA017 Modification P00004,GSFC - Goddard Space Flight Center,"ANN ARBOR, MI (District 06)",02/21/2025,09/30/2025,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$332,500",$0,541715,,80GSFC24R0018,,Contract to acquire the sixth iteration of the power-high voltage module (ph6) of the mass spectrometer (MS) portion of the Mars Organic Molecule Analyzer (MOMA) instrument carried BY a mars rover known AS exomars.
2025,MI,MI-06,Regents Of The University Of Michigan,80GSFC24CA017 Modification P00005,GSFC - Goddard Space Flight Center,"ANN ARBOR, MI (District 06)",03/13/2025,09/30/2025,"Definitive Contract, Cost No Fee","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$179,717","$34,635",541715,,80GSFC24R0018,,Contract to acquire the sixth iteration of the power-high voltage module (ph6) of the mass spectrometer (MS) portion of the Mars Organic Molecule Analyzer (MOMA) instrument carried BY a mars rover known AS exomars.
