Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,CO,CO-02,University Corporation For Atmospheric Research,80NSSC18K0707 Modification P00007,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",10/18/2022,05/06/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$-11,$-11,[None Indicated],,,,"We propose studies of geophysical variability in SAGE III ISS measurements of h2o, o3 and no2, focusing on process studies related to seasonal and inter-annual changes in the upper troposphere lower stratosphere."
2023,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC18K0709 Modification P00007,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",12/20/2022,05/31/2022,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$-41,$-41,[None Indicated],,,,"The Stratospheric Aerosol and Gas Experiment III on the International Space Station (SAGE III-ISS) continues the long history of SAGE instruments retrieving aerosol extinction profiles from space. a critical element of this long-term data record is the validation of the retrieved aerosol extinction and surface area density profiles against in situ measurements of aerosol properties. the work proposed here will extend and enhance an equally long-term record of in situ measurements of stratospheric aerosol size distribution from balloons and apply these established measurements to the validation of the SAGE III-ISS aerosol extinction and surface area density measurements. the primary activity of the proposed work is to measure in situ profiles of stratospheric aerosol size distributions using newly developed optical particle and condensation nuclei counters deployed on high altitude balloons, and TIMED to coincide with SAGE iiiiss overpasses of the two measurement sites, boulder, colorado, and san jose, costa rica. this new in situ aerosol instrumentation provides a singular capability to measure stratospheric aerosol size distributions of radius 0.125 - 10 micrometers AS well AS the total aerosol population with radius &gt; 0.01 micrometers at extremely low non-volcanic particle densities and with a vertical resolution of better than 50m. the measured aerosol size distributions will be used to calculate aerosol extinction at the SAGE III wavelengths and thus provide an independent validation of the SAGE III-ISS aerosol extinction products, in response to the requirements in section 3.1 of the solicitation. the measurements will provide a priori aerosol size distribution information to inform limb scatter algorithm development, providing information to test, validate and refine limb scatter algorithms, addressing requirements in section 3.2 of the solicitation. the in situ measurements will continue a 45-year record of stratospheric aerosol measurements, which spans the history of the SAGE/SAM instruments and CAN bridge the 12-year gap between SAGE III-meteor and SAGE III-ISS. performing aerosol profile measurements at the shadoz site in costa rica will: increase the latitudinal coverage of in situ aerosol profiles, provide aerosol measurements correlated with measurements of ozone, water vapor and sulfur dioxide, and integrate the aerosol measurements into a long-term tropical record. these measurements CAN augment SAGE III-ISS aerosol extinction profiles during future volcanic eruptions, when the lower stratosphere may be opaque at SAGE III wavelengths. tying the SAGE III-ISS measurements into two multi-decadal data sets and insuring the continuity of these data in the CASE of an abrupt geophysical event addresses section 3.3 of the solicitation. measurements of stratospheric aerosol size distributions CAN provide contemporary backscatter-to-extinction ratios and angstrom exponents necessary to compare SAGE III with lidar and with extinction measurements from other satellite sensors. this facilitates the comparison and synthesis of measurements from multiple sensors, addressing section 3.6 of the solicitation."
2023,MD,MD-03,Universities Space Research Association,80NSSC18K0711 Modification P00008,NSSC - NASA Shared Services Center,"COLUMBIA, MD (District 03)",07/18/2023,11/30/2021,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-137,747","$-137,747",[None Indicated],,,,Validation of SAGE III/ISS SOLAR and lunar products using backward and forward trajectories.
2023,TX,TX-10,Texas A & M University,80NSSC19K0757 Modification P00003,NSSC - NASA Shared Services Center,"COLLEGE STATION, TX (District 10)",06/27/2023,03/13/2023,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity, Veterinary College",$-493,$-493,[None Indicated],,,,"Water vapor concentration and cloud abundance in the upper troposphere/lower stratosphere (utls) region have a strong impact on the earths radiation budget, climate, and stratospheric chemistry however, the processes controlling utls humidity and cloud formation are not well understood and not well represented in climate models. we propose using measurements of optically thin cirrus and water vapor from SAGE II/III along with complementary measurements of clouds from the caliop lidar on the CALIPSO satellite, clouds from OMPS-lp, and water vapor from the microwave limb sounder (mls) on the aura satellite to address the utls cloud and humidity issues. we propose to adapt SAGE II cloud detection algorithms for SAGE III extinction data, implement SAGE III occultation cloud algorithms, and adapt OMPS-lp limb radiance algorithms for SAGE III limb scan data. we propose to use state-of-the-art transport and microphysical models driven BY reanalysis fields to understand the processes controlling clouds and stratospheric water vapor, with a focus on the abundance and the role of optically thin cirrus occurring NEAR the tropical tropopause on the humidity of air entering the stratosphere. the SAGE III SOLAR occultation measurements are particularly well suited for detection of optically thin cirrus. the proposed modeling approaches include (1) computationally efficient ensembles of forward trajectories with simplified cloud microphysics driven BY merra-2 and era- interim meteorological analyses, and (2) one-dimensional cloud simulations with detailed microphysics along back trajectories using temperature fields from the meteorological analyses with high-frequency WAVES superimposed. the model results will be evaluated and constrained BY comparison with measurements of optically thin cirrus BY SAGE II/III and OMPS-lp, supplemented BY caliop cloud measurements and aura mls water vapor measurements. finally, we propose to use SAGE III water vapor measurements along with our existing SAGE II, mls and haloe water vapor climatology to test multi-decadal model simulations. the research will focus on the following specific tasks: development of a SAGE III cloud-detection algorithm. the algorithm will be evaluated BY comparison with OMPS-lp, caliop, and high-altitude aircraft aerosol and cloud measurements. cloud products generated with our algorithm will be provided for community use.  adaptation of the OMPS-lp cloud algorithms for the SAGE III limb scan measurements. use of the SAGE III cloud product, along with OMPS-lp cloud products, to quantify the occurrence of high-altitude, optically-thin tropical tropopause layer (ttl) cirrus. combination of the SAGE II, haloe, aura mls, and SAGE III data into a unified multi-decadal record of stratospheric water vapor. use of forward and backward trajectory models to analyze the dehydration process in the tropical upper troposphere, and use of the SAGE III, caliop and OMPS-lp cloud products AS well AS SAGE III and mls water vapor products to constrain simulations of optically thin ttl cirrus and water vapor. the proposal team has extensive experience in ttl research including algorithm development, modeling, and analysis of cloud, aerosol and trace gas datasets. one of us (mrs) has been on the SAGE III science utilization team for the last 5 years. the proposed modeling tools are mature and ideally suited for addressing the science issues discussed above."
2023,MD,MD-03,Universities Space Research Association,80NSSC21K1197 Modification P00003,NSSC - NASA Shared Services Center,"COLUMBIA, MD (District 03)",05/22/2023,11/30/2021,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-172,817","$-307,118",[None Indicated],,,,"Ozone and water vapor in the lower stratosphere are important trace gases for atmospheric chemistry and radiative budget, with direct impact on human health and the climate. during the last quarter of the 20th century, the Stratospheric Aerosol and Gas Experiment (SAGE) missions were crucial in monitoring the stratospheric ozone loss and the subsequent recovery AS well AS the trends in water vapor linked to surface temperature trends. the SAGE III instrument aboard the International Space Station (ISS) should"
2023,MD,MD-07,Morgan State University,80NSSC23K0582 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",07/19/2023,07/18/2025,"Grant, Grant For Research","Historically Black Colleges and Universities - Educational Institution, Historically Black College Or University, Minority Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$137,746","$137,746",[None Indicated],,,,17-sageiii-17-0023 validation of SAGE III/ISS SOLAR and lunar products using backward and forward trajectories
2024,MD,MD-04,"University Of Maryland, College Park",80NSSC21K1020 Modification P00003,NSSC - NASA Shared Services Center,"COLLEGE PARK, MD (District 04)",08/29/2024,04/25/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$130,111",$0,[None Indicated],,,,"The above referenced proposal will continue the 16 years of balloon-borne water vapor profiles in costa rica, the only station in the deep TROPICS with such a record, and vital to the validation of NASA satellite sensors like aura mls and SAGE-III"
2024,VA,VA-03,Old Dominion University Research Foundation,80NSSC21K1194 Modification P00005,NSSC - NASA Shared Services Center,"NORFOLK, VA (District 03)",05/13/2024,06/02/2025,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Foundation, Nonprofit Organization","$36,106",$0,[None Indicated],,,,Speciation of SAGE III ISS aerosols
2024,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC21K1198 Modification P00006,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",06/18/2024,06/02/2025,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,Coordinated in situ aerosol size distribution measurements for comparison and validation of SAGE III ISS aerosol extinction from sounding and drifting balloons.
2025,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC21K0892 Modification P00006,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",05/09/2025,06/14/2026,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"The proposed work ensures the continuity of three long-term, high-quality water vapor measurement records in the upper troposphere and lower stratosphere (utls). the in situ soundings are performed at least monthly BY balloon-borne NOAA frost point hygrometers (fphs) at boulder, colorado (40 n), hilo, hawaii (20 n) and lauder, new zealand (45 s). with a length now exceeding 40 years, the NOAA fph data set over boulder, colorado, is the longest observational record for utls water vapor in existence. the fph data records at lauder (~16 yrs) and hilo (~10 yrs) are somewhat shorter in length but are providing pertinent information about utls water vapor in the southern middle latitudes and northern subtropics, respectively. supporting funds will help to move forward the existing fph sounding programs that have proven beneficial to NASA s space-borne utls water vapor measurements in several ways. FIRST, the balloon-borne measurements have provided a stable and consistent foundation for the detection (and potential correction) of biases and/or drifts in satellite instruments like the aura microwave limb sounder (mls) and the Stratospheric Aerosol and Gas Experiment (SAGE-III) currently deployed on the International Space Station (ISS). since trends in upper atmospheric water vapor are typically small relative to seasonal and inter-annual variability, trend detection requires accurate and stable measurement records like those compiled from fph soundings. second, the inevitable demise of mls will likely reduce, BY &gt;95%, the current spatiotemporal density of utls water vapor measurements from space. the fph soundings proposed here would help to fill any temporal gap that arises. third, the fph soundings at all three sites are now vital to two international measurement networks that focus on detecting trends in atmospheric composition and essential climate variables: the network for the detection of atmospheric composition change (ndacc) and the global climate observing system (gcos) reference upper air network (gruan). both of these networks depend on a stable core of self-funded sites with sustainable monitoring programs, hence there is a fundamental need to ensure the continuity of the fph measurement records at boulder, hilo and lauder."
