Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,TN,TN-06,Tennessee Technological University,80NSSC17K0446,Modification P00006,NSSC - NASA Shared Services Center,"COOKEVILLE, TN (District 06)",12/20/2022,08/31/2022,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$-1,$-1,[None Indicated],,,,"Science goals and objectives: terraced fan deposits are unique geomorphic indicators of point source sedimentation on mars. their stair-step topography differs from classic profiles of alluvial fans or gilbert-type deltas, and the sediment gravity flow processes responsible for terrace development are unclear. proposed formative mechanisms include pulsed sedimentation through time, deposition into a standing body of water and/or reworking BY wind-driven wave activity. until recently, features that would be indicative of these processes   boulders, incised distributary channels, narrow levees, barforms   were too small to resolve using photogrammetric methods. however, we now have the capability of investigating such surface textures using digital elevation models and high-resolution STEREO-pair imagery returned from the Mars Reconnaissance Orbiter (hirise). the primary objective of this proposal is to integrate multiple datasets to conduct detailed geologic mapping of two terraced fan deposits, the subur vallis fan (11.73 n, 52.93 w) and aeolis mensae fan (6.53 s, 141.14 e). a second objective is to investigate the stratigraphy of each fan to identify vertical and lateral variations in terrace lithologies, a possible indicator of: (a) changing point source and flow/phase conditions through time, or (b) geochemical evolution of a standing fluid. in terms of scientific merit, the proposed work will test the hypothesis that fluvio-deltaic processes were responsible for terraced fan formation during the late noachian and early hesperian. a global survey of more than a dozen terraced fans developed during this time period show that their channel systems breach both chasma and crater walls, which may imply that standing bodies of water were not uncommon. methods: to accomplish the objectives, this study will integrate multiple datasets at nested resolutions. 1. task i will focus on creating digital elevation models (dems) of terraced fan deposits in subur vallis and aeolis mensae. ctx images, hirise STEREO-pairs and mola topographic tie-points are available for both fans and cover incised feeder channels, steep walls of the crater/chasma and well-developed terrace steps. structural deformation in these locations is limited compared to other fan deposits. 2. task II will use multispectral data from THEMIS and hyperspectral data from crism to investigate: bedrock exposure, dust accumulation, mineral distribution, and presence/absence of hydrated mineral deposits on terraces. the results from tasks i and II will allow characterization of vertical and lateral variations and construction of a stratigraphic framework for each fan. textural geomorphic indicators of sediment gravity flow processes and similarities between the two locations will inform a model of terraced fan formation. 3. task III, conducted concurrently with the previous two tasks, will synthesize results to generate a geologic map of a martian terraced fan (1:18000 scale). map units and relative ages will be based on cross-cutting relationships and detailed stratigraphic sections. the orientation of bedding and stratal packages will be estimated using strike and dip measurements from dems. this type of very detailed mapping has been previously limited to a few structurally complex areas and sites calibrated with lander data."
2023,VA,VA-08,Smithsonian Institution,80NSSC17K0454,Modification P00005,NSSC - NASA Shared Services Center,"ARLINGTON, VA (District 08)",12/20/2022,08/13/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-3,012","$-3,012",[None Indicated],,,,"Mars  valley networks are among the best lines of evidence for widespread fluvial modification of the planet s surface, but the climatic conditions present during their formation remain controversial. researchers have compiled global maps of valley networks from viking and THEMIS data to estimate various properties of mars  geologic history, including climatic conditions, formation timescales, and erosion rates. the channels mapped BY hynek et AL. (2010) are now covered 96% BY ctx imagery and 51% BY HRSC dems. we propose to use these high resolution data to conduct detailed geomorphologic studies and landform evolution modeling at eight valley networks, spanning a wide range of geologic settings, to address several outstanding questions. specifically, we propose two related tasks: (1) detailed geomorphologic mapping study using mola, HRSC, ctx and hirise (where available) imagery to study paleoflow properties formative processes. (2) use the marssim landform evolution model to explore sedimentary, hydrologic, and climatic conditions necessary for the observed distribution and varying densities of valley networks. integrating orbiter data with the marssim landform evolution modeling has proven to be an effective tool at deciphering a planetary surface s geologic history. characterizing the history of mars  surficial water and paleoclimate remain top NASA science themes AS stated in the 2013-2022 decadal survey. we will directly address both of these themes BY using data from the Mars Reconnaissance Orbiter and mars EXPRESS to understand the hydrologic properties and formative conditions necessary for valley network formation, which will yield insights into mars' past potential habitability."
2023,MD,MD-07,"Johns Hopkins University, The",80NSSC17K0576,Modification P00007,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",10/28/2022,08/31/2018,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$-5,958","$-5,958",[None Indicated],,,,"AS PART of the NASA international SOLAR-terrestrial physics (istp) program, the geotail Spacecraft was launched in 1992 into an earth orbit with apogees extending deep into earth s magnetic tail region, and later in a 9re x 30re final orbit. the Johns Hopkins University Applied Physics Laboratory (JHU/APL) was chosen BY NASA to develop and operate the energetic particle and ion composition (EPIC) instrument (in conjunction with co-investigators at the universities of maryland and kansas) for this mission. both the Spacecraft and EPIC instrument have been fully operational and returning earth magnetic tail region data since launch in 1992. the EPIC data on geotail have made and will continue to make major contributions to the understanding of the Fundamental Research topics such AS geomagnetic storms, substorms, magnetic reconnection, and particle acceleration. the continuation in processing EPIC data will complement existing space missions such AS cluster, THEMIS, recent space mission van allen probes, and MMS mission to gain further understanding of the plasma dynamics occurring in the outer and inner magnetosphere. the geotail/EPIC data for the next few years will offer another invaluable monitoring point in space that CAN, in some cases, change an ambiguous result when geotail/EPIC observations are not taken into account to a conclusive one when they are. in particular, EPIC s capability of identifying the ion species and charge state is unique, complementing missions that lack this ability (e.g., THEMIS). in view of its vital role in complementing existing and future NASA missions, we propose the continuation of EPIC data processing for the use of the space community at large. the data processing software has been well developed for its continual usage. the requested funding will also allow continuous monitoring of instrument operations and providing materials to support senior review preparations."
2023,CA,CA-36,"University Of California, Los Angeles",80NSSC18K0719,Modification P00004,NSSC - NASA Shared Services Center,"LOS ANGELES, CA (District 36)",05/02/2023,04/01/2022,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"The auroral wave-like structures called  omega bands  appear within the morning sector auroral oval with shapes resembling the greek letter ?, and are typically associated with the recovery phase of substorms. what causes omega bands to develop is not understood. it is most likely that the paucity of concurrent magnetospheric data has limited our ability to understand fully the mechanism responsible for the generation of the omega bands. currently, the 3 most widely accepted omega band generation mechanisms are: 1) they form AS a direct consequence of auroral streamer activity, where auroral streamers are the ionospheric projection of earthward flow bursts in the plasma sheet [henderson, 2012], 2) they arise through the structuring of magnetic vorticity and field aligned currents in the ionosphere BY the kelvin helmholtz (kh) instability driven BY flow shears at the inner edge of the plasma sheet [rostoker and samson, 1984], and 3) they are the result of a hybrid kelvin-helmholtz/rayleigh-taylor (kh/rt) instability in the plasma sheet [yamamoto, 2011]. in the kh mechanisms, the omega bands grow from auroral oval arcs and in the kh/ rt model omegas form from auroral streamers. our science objective in this proposed work is to use magnetotail plasma and magnetic field data acquired from several Spacecraft missions, in conjunction with corresponding images from the THEMIS all-sky camera (asc) network to determine the source of the auroral omegas. thus, our science goals are to answer the following questions: 1) how are auroral omegas produced in the tail? 2) why are omegas mainly observed during the substorm expansion and recovery phase? 3) why are omegas not observed during every substorm? 4) considering that some auroral omegas appear to be evolve from auroral arcs while others appear to form from north-south streamers, are there potentially two mechanisms that produce auroral omega band structures? to address these questions, we will use the THEMIS asc network to identify auroral omegas and then analyze the corresponding plasma and magnetic field data from the THEMIS, geotail, cluster, and GOES geosynchronous Spacecraft. already, we have identified 63 auroral omega bands events recorded between 2006 and 2016 BY the asc station at sanikiluaq, canada. of these events, 10 have NEAR conjugate THEMIS Spacecraft data, 1 has conjugate cluster data, and 56 have NEAR conjugate GOES geosynchronous data. furthermore, there are another 11 asc stations to investigate, and 3 of these have NEAR conjugate geosynchronous GOES data for periods between 2006 and 2016. in addition to the Spacecraft data, we will employ the ucla global mhd model [raeder et AL., 1995 el alaoui et AL., 2001] to investigate in detail a few select events with good conjugate Spacecraft coverage. the ucla mhd model has been used many times to model substorm events, including an event with omega bands that occurred on march 9, 2008. our preliminary results of the event suggests that both high speed earthward flows and a velocity shear are present at the location of the omega bands. furthermore, this SAME event clearly shows some omega bands forming from streamers and auroral arcs. the THEMIS Spacecraft data will be used for the bulk of the analyses because the orbits of these Spacecraft were designed to have the FOOT points of their apogee over the ascs. two of the primary objectives of the THEMIS mission included establishing when and where substorms begin and determining how the individual components of the substorm interact. our study will GO beyond the goals of the THEMIS mission and determine the origin of the auroral omegas, which are a component of substorms, albeit an infrequent component. this study will also address the NASA decadal survey goal of understanding fundamental physical processes in the space environment from the sun to the earth, including the coupling of the magnetosphere-ionosphere and how it responds to magnetospheric forcing."
2023,AK,AK-00,University Of Alaska Fairbanks,80NSSC18K0797,Modification P00006,NSSC - NASA Shared Services Center,"FAIRBANKS, AK (District 00)",06/06/2023,04/30/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Government, US Government Entity",$0,$0,[None Indicated],,,,"1. goals and/or objectives at the root of this proposal is the question of how momentum and energy are transported at kinetic scales (~&lt; ion gyro radius) between magnetically coupled space plasmas. some of the most compelling physics occurs at ion kinetic scales (e.g., magnetospheric boundaries) and even at electron inertial scales (e.g., broadband aurora, reconnection). in many instances, large-scale perturbations CAN undergo a turbulent cascade to kinetic scales, dissipating energy, and producing non-adiabatically heated plasma (e.g., radial transport in planetary magnetospheres). thus, in-depth knowledge of such processes has broad applicability in space plasma physics. this proposal seeks to generate kinetic-scale plasma WAVES (e.g., low frequency kinetic/inertial alfven, right-hand whistler, left-hand ion cyclotron, and higher frequency lower hybrid WAVES ETC.) using an active plasma injection in the earth's ionosphere (thermite barium release) AS a known source of energy and momentum. specifically, this proposed experiment will address the following compelling science questions: - how is momentum transfer affected BY kinetic-scale physics (e.g., formation of parallel electric fields and dissipation)? - how is electromagnetic energy converted into plasma kinetic and thermal energy? - what is the interplay (i.e., cross-scale coupling) between fluid- and kinetic-scale processes? 2. methodology to address our science questions, we propose to make plasma measurements adjacent to and within the alfven wing of an injected thermite barium release. we will launch a single rocket from wallops island, virginia, with two barium thermite canisters to be detonated 90 s apart at an altitude of about 350 km. a plasma diagnostic array will include 4 free-flying instruments (thermal plasma properties) and will be positioned above the release, but NEAR the edge the magnetic flux tube subtended BY the release cloud. the inter-instrument separation will be comparable to the perpendicular gradient scale lengths of the cloud, which is comparable to the oxygen ion inertial length at ionospheric altitudes (~ few km). the main payload will provide DC fields, particle (pitch angle resolved thermal and energetic electrons) and wave data inside, at the boundaries, and outside of the alfven wings due to the relative motion of payload and cloud. ground-based optical observations to record the motion of the releases will be made at downrange stations. the combined data set will provide basic information on the magnitude and scale of the alfvenic perturbations and quantify the coupling. the data, in combination with state-of-the-art numerical simulations, will allow us to distinguish between different physical processes. 3. relevance this proposal addresses central elements of NASA's 2014 science plan. specifically, we will explore the physical processes in the space environment from the sun to the earth and throughout the SOLAR system and advance our understanding of the connections that link the sun, the earth, planetary space environments, and the outer reaches of our SOLAR system BY studying kinetic-scale energy and momentum transport. auroral acceleration and turbulent heating models invoke kinetic/inertial alfven WAVES, making the proposed experiment ideally suited for addressing fundamental space plasma coupling processes. the proposed experiment has significant heritage with NASA-sponsored suborbital missions and orbital missions (e.g., crres). the problem definition has been elucidated BY previous and current NASA missions (e.g., THEMIS, MMS, fast, cassini, galileo and juno). the past 20 years have seen significant advances in both in situ instrumentation and ground based optics capability. combined with advanced numerical simulation methods, the proposed experiment, with its strong heritage, is ideally suited to attacking fundamental processes in space plasmas."
2023,CA,CA-36,"University Of California, Los Angeles",80NSSC18K1122,Modification P00005,NSSC - NASA Shared Services Center,"LOS ANGELES, CA (District 36)",05/02/2023,06/25/2022,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$-2,$-2,[None Indicated],,,,"Magnetic reconnection, triggered BY plasma instabilities in thin current sheets, plays a crucial role in the magnetotail kinetic and DYNAMIC processes. it is responsible for the generation of flux ropes (frs), bursty bulk flows (bbfs), and dipolarizing flux bundles (dfbs), which propagate toward the earth or further down tail. therefore, although magnetotail reconnection is localized in a small scale region, it has global consequences. it is known that particles are accelerated (to energies ~kev) BY magnetotail reconnection and further accelerated (up to mev) via interaction with the consequent kinetic structures and injection into the inner magnetosphere. however, (1) how particles are accelerated BY magnetotail reconnection and its consequent kinetic structures and (2) how these accelerated particles are injected into the inner magnetosphere via the interaction of these earthward propagating structures with dipole field are still not well understood. to reveal these two important processes, we propose a synergistic study using multispacecraft observations and particle-in-cell (pic) simulations. we will use THEMIS and artemis Spacecraft simultaneous observations in the magnetotail at different geocentric distances to investigate particle energization and injection during reconnection and earthward/ tailward transport. we will use large-scale two-dimensional (2-d) and three-dimensional (3-d) pic models guided BY our observations and physical intuitions to simulate the energetic particle acceleration and injection processes. science goal and objectives: BY comprehensive use of multispacecraft datasets and numerical simulations we will: (1) investigate the multistage successive particle acceleration process BY magnetotail collisionless reconnection and its consequent kinetic structures: frs, bbfs and dfbs. (2) explore how the accelerated particles are injected into the inner magnetosphere via the interaction between these earthward propagating structures with the geomagnetic dipole field. relevance to one or more of the four decadal survey goals: this proposed research contributes to two of the four high level science goals from the heliophysics decadal survey, namely 2. determine the dynamics and coupling of earth s magnetosphere, ionosphere, and atmosphere and their response to SOLAR and terrestrial inputs, and  4. discover and characterize fundamental processes that occur both within the heliosphere and throughout the universe . methodology: data analysis and modeling: (1) we will use statistics of five THEMIS Spacecraft observations in 2008-2009 to investigate the efficiency of acceleration associated with plasma flows originating from the reconnection and propagating earthward. statistics of three THEMIS Spacecraft in 2010-2017 will be used to collect information about particle energizations and injections. simultaneous observations of THEMIS and artemis Spacecraft will serve for investigation of efficiency of particle acceleration within earthward and tailward flows. (2) we will use large-scale 2-d and 3-d pic simulations in which electromagnetic fields are updated BY solving maxwell s equations with an explicit leapfrog scheme and particles (electrons and ions) are advanced relativistically in the fields. the simulations employ an initial configuration of a dipole field plus a thin harris current sheet. no initial perturbations or external driving fields will be imposed   multiple x-line reconnection will be triggered spontaneously, and numbers of frs, bbfs, and dfbs are expected to be generated and propagate toward the earth/tail."
2023,MD,MD-07,"Johns Hopkins University, The",80NSSC19K0259,Modification P00004,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",02/10/2023,02/28/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"Science goals and objectives: ULF WAVES with radial field line displacement (poloidal WAVES), which accompany an azimuthal electric field and a compressional magnetic field, are important in the physics of the inner magnetosphere (l &lt; 6) during geomagnetic storms, because the WAVES interact with energetic particles drifting in the earth s dipolar magnetic field. previous studies reported statistical properties of poloidal ULF WAVES including: (1) the occurrence pattern in radial distance and local time, and (2) the dependence of the occurrence rate and amplitude of the WAVES on SOLAR wind parameters and geomagnetic activity indices. the goal of the proposed investigation is to analyze Spacecraft data to obtain detailed information on poloidal ULF WAVES in the inner magnetosphere. in consideration of drift resonance interaction of ULF WAVES with energetic electrons, we will focus on poloidal WAVES with symmetric field line displacement about the magnetic equator, and when possible, we will infer the azimuthal wave number (m). the specific goals of the proposed investigations are: (1) to determine whether a given wave is driven BY the SOLAR wind disturbances (small m) or internal instabilities (large m), (2) to determine their statistical properties, and (3) to evaluate the relative importance of low-m and high-m WAVES in terms of the overall spectral power in the inner magnetosphere. our project will cover the pc4 5 pulsation band (2 22 mhz). the mission data: we will use fields and particle data from the radiation belt storm probes (rbsp, alternatively known AS van allen probes) and SOLAR wind data from the THEMIS and other Spacecraft. methodology. we will determine the local properties (frequency, amplitude, polarization, and field line standing mode) of ULF WAVES using fields data from each rbsp Spacecraft. we will combine data from the two rbsp Spacecraft to determine the spatial extent and wavelength of the WAVES. particle data from rbsp will be examined for signatures of drift resonance, for finite larmor radius sounding, and for information on the free energy to excite ULF WAVES. SOLAR wind data will be compared with the ULF WAVES to determine direct wave driving BY SOLAR wind disturbances. we will run global mhd simulations to obtain the spatial distribution of the energy of low-m ULF WAVES driven BY SOLAR wind DYNAMIC pressure variations. relevance: science questions addressed BY the rbsp mission include the following: 1. which physical processes produce radiation belt enhancements? 2. how DO ring current and other geomagnetic processes affect radiation belt behavior?  poloidal ULF WAVES exchange energy with energetic electrons through drift resonance thus are relevant to question 1. ring current ions excite ULF WAVES. this process may reduce ring current energy, and the excited ULF WAVES may interact with energetic electrons leading to acceleration or precipitation loss of the latter. therefore, ULF WAVES excited in the ring current are relevant to question 2."
2023,MD,MD-07,"Johns Hopkins University, The",80NSSC19K0270,Modification P00004,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",01/29/2023,02/15/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"Electromagnetic ion cyclotron (emic) WAVES are known to be an important instability in the magnetosphere, regulating the ring current temperature anisotropy, precipitating ring current ions to the ionosphere, and causing prompt loss of the outer electron radiation belts through resonant wave-particle interactions. the WAVES also heat cold ionospheric he+ and o+ contributing to transport of ionospheric plasma to the outer magnetosphere. while emic WAVES have been widely documented, prior theoretical research has focused primarily on predicting their generation and conditions needed for growth. the underlying fundamental physics of wave propagation, however, has yet to be fully understood. the wave properties, propagation characteristics, and interactions with ring current plasma, energetic electrons, and cold ions are governed BY wave dispersion that relates the wave frequency, w, and wave vector, k, to the ambient magnetic field and plasma. to date we still have not ed the basic wave properties and propagation characteristics of emic WAVES because k is profoundly difficult to determine observationally. new observations from MMS, made with high accuracy in magnetic fields and unprecedented close spacing of the four MMS observatories finally allow accurate determination of k via the curl operator. more extensive tests of wave dispersion and propagation are also possible using the divergence and curl of fully three-dimensional electric field measurements. emic WAVES are prevalent in MMS observations and span a wide range of magnetic latitudes, including the latitudes where the critical bi-ion resonances occur. the combination of this fundamentally new observational capability and the orbital coverage allows the FIRST ever definitive determination of the emic wave properties and their evolution with latitude AS they propagate to regions of higher magnetic field strength. this research is directly relevant to the heliophysics decadal survey goal (2),  determine the dynamics and coupling of the earth s magnetosphere, ionosphere, and atmosphere and their response to SOLAR and terrestrial inputs. , and goal (4),  discover and characterize fundamental processes that occur both within the heliosphere and throughout the universe . we propose to determine the fundamental properties of emic wave propagation in the magnetosphere and compare these results against dispersion and propagation theory to understand the basic physics of these WAVES. specifically, we will address the fundamental question of how the emic wave vector evolves AS the wave propagates BY investigating (a) how the emic wave vectors and wave properties vary BY l shell and latitude (b) where in the dispersion relation the WAVES fall at different points during propagation and AS plasma conditions change and (c) how changes in the wave vector during propagation affect the wave characteristics and resonance conditions. we will use the MMS observations together with theory and modeling of the dispersion relation and propagation to understand the fundamental physics of emic WAVES. in addition, observations of emic WAVES with MMS during close conjunctions with the van allen probes and THEMIS will be used to  their propagation evolution at multiple locations on the SAME field lines. the results will yield a deeper understanding of how the WAVES resonate with plasma populations leading to the loss of ring current and radiation belt particles, thereby advancing our predictive understanding of these key wave-particle interactions."
2023,MA,MA-07,Trustees Of Boston University,80NSSC19K0286,Modification P00004,NSSC - NASA Shared Services Center,"BOSTON, MA (District 07)",01/26/2023,12/31/2023,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"Overall goal: we propose to investigate the relative roles of coulomb collisions, locally enhanced convection electric fields, and plasma WAVES damping, in transferring energy from the ring current to the ionosphere-thermosphere, using a combination of in situ satellite particle and field data in the inner magnetosphere and subauroral RED-line SAR ARC emissions AS a diagnostic of these processes. motivation: observations of SAR arcs (spectrally pure 630.0 nm emission) BY all-sky imagers (asis) suggest that they are more complicated than previously thought, with inconsistencies between observations and published theory. the occurrence of localized, enhanced, poleward-directed, sub-auroral electric fields (termed saps or said) present a possible mechanism for the production of SAR ARC emissions previously not considered due to lack of observations and understanding. we propose to conduct a systematic study of inner magnetospheric particle and field observations using data from the van allen probes (vap) and THEMIS Spacecraft, along with sub-auroral ionospheric data of SAR arcs from asis, and co-located f-region data from DMSP Spacecraft and millstone hill incoherent scatter radar. science questions: we will look at loss of ring current energy via coulomb collisions of ring current ions with cold plasmaspheric electrons, and study the extent to which saps electric fields play a role in producing SAR ARC emissions. the specific science questions are: (a) how are SAR arcs related to the ring current and plasmasphere? (b) what role DO coulomb collisions play in providing energy to power SAR arcs? (c) what is the role of large sub-auroral electric fields in SAR ARC generation? (d) are there consistent signatures of emic (or other) WAVES in regions that map to observed SAR arcs? methodology: it consists of data analysis of vap and THEMIS data for cases of observed SAR arcs identified in ASI data, supplemented BY radar f-region and DMSP topside data, and BY numerical simulations. we will classify the observed SAR arcs in terms of geomagnetic conditions and storm phase. data from eight asis at sub-auroral latitudes (l~ 3) with broad longitudinal distribution will be analyzed. we will then search the combined data from vap hope, rbspice, emfisis, and efw instruments. we will characterize DC electric fields, ring current particle fluxes and anisotropy, and location of the plasmapause. on THEMIS, ion and electron particle data from ESA and SST instruments and density data from the Spacecraft potential will be used. millstone hill radar data (when available) will provide f-region plasma density and temperature height profiles. we will use event simulations with the sami3-RCM FIRST-principles model of the ring current and ionosphere. constrained BY data, simulations will be used to compute signatures of ring current energy losses and ionospheric electron heating rates. our comparison with results of data analysis will allows us to validate theoretical predictions or find systematic discrepancies. work plan: the proposed work INCLUDES: 1) identification of storm periods and available in situ and ground-based data 2) computation of footprints of vap and THEMIS to identify overflights in both hemispheres that map into the ionosphere NEAR l3 3) analysis of the data 4) numerical simulations to obtain key outputs and 5) calculation of brightness levels of RED-line emissions in regions of SAR arcs due to coulomb collisions and saps electric fields. relevance: the proposed work is relevant to one of the four science goals from the decadal survey AS it address the dynamics and coupling of earth s magnetosphere, ionosphere, and atmosphere. it also addresses one of the science objectives of vap BY contributing to the understanding of how and why the ring current varies during storms."
2023,CA,CA-27,California Institute Of Technology,80NSSC19K0422,Modification P00005,NSSC - NASA Shared Services Center,"PASADENA, CA (District 27)",01/26/2023,02/28/2024,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"We propose to generate and make publicly available a global, seam-corrected mosaic of Mars Reconnaissance Orbiter (MRO) context camera (ctx) data, rendered at 5.0 m/px, registered to mars orbiter laser altimeter (mola) data. once completed, this product will represent a factor of 400 improvement in spatial resolution over the next highest-resolution global mosaic, derived from 100 m/ px THEMIS IR data. this product will incorporate voluminous feedback we have received from over 30 mars scientists from a range subdisciplines who have beta tested select regions, and from crowd-sourced feedback of our initial global beta product to be posted online later this Calendar Year. our automated pipeline prioritizes data heritage so that (1) users know the parent orbit and all metadata for every pixel in the mosaic, (2) they CAN instantly ACCESS pre-blended and raw versions of original orbits, and (3) all seams in the mosaic are mapped in an accompanying vector layer to avoid misinterpretation. to DO this, we implement state-of-the-art non-destructive image processing techniques that are engineered to preserve all information from input data. this is a major advance over traditional, sequential image processing routines that destroy information during each step. we employ a modular approach BY generating 4 x4  blended tiles that CAN be individually updated and replaced without having to regenerate the global product. our full proposal will outline the suite of techniques to achieve a seamless global map and to fully register the mosaic to the only consistent global elevation map of mars, derived from the mola dataset."
