Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC18K0709 Modification P00007,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",12/20/2022,05/31/2022,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$-41,$-41,[None Indicated],,,,"The Stratospheric Aerosol and Gas Experiment III on the International Space Station (SAGE III-ISS) continues the long history of SAGE instruments retrieving aerosol extinction profiles from space. a critical element of this long-term data record is the validation of the retrieved aerosol extinction and surface area density profiles against in situ measurements of aerosol properties. the work proposed here will extend and enhance an equally long-term record of in situ measurements of stratospheric aerosol size distribution from balloons and apply these established measurements to the validation of the SAGE III-ISS aerosol extinction and surface area density measurements. the primary activity of the proposed work is to measure in situ profiles of stratospheric aerosol size distributions using newly developed optical particle and condensation nuclei counters deployed on high altitude balloons, and TIMED to coincide with SAGE iiiiss overpasses of the two measurement sites, boulder, colorado, and san jose, costa rica. this new in situ aerosol instrumentation provides a singular capability to measure stratospheric aerosol size distributions of radius 0.125 - 10 micrometers AS well AS the total aerosol population with radius &gt; 0.01 micrometers at extremely low non-volcanic particle densities and with a vertical resolution of better than 50m. the measured aerosol size distributions will be used to calculate aerosol extinction at the SAGE III wavelengths and thus provide an independent validation of the SAGE III-ISS aerosol extinction products, in response to the requirements in section 3.1 of the solicitation. the measurements will provide a priori aerosol size distribution information to inform limb scatter algorithm development, providing information to test, validate and refine limb scatter algorithms, addressing requirements in section 3.2 of the solicitation. the in situ measurements will continue a 45-year record of stratospheric aerosol measurements, which spans the history of the SAGE/SAM instruments and CAN bridge the 12-year gap between SAGE III-meteor and SAGE III-ISS. performing aerosol profile measurements at the shadoz site in costa rica will: increase the latitudinal coverage of in situ aerosol profiles, provide aerosol measurements correlated with measurements of ozone, water vapor and sulfur dioxide, and integrate the aerosol measurements into a long-term tropical record. these measurements CAN augment SAGE III-ISS aerosol extinction profiles during future volcanic eruptions, when the lower stratosphere may be opaque at SAGE III wavelengths. tying the SAGE III-ISS measurements into two multi-decadal data sets and insuring the continuity of these data in the CASE of an abrupt geophysical event addresses section 3.3 of the solicitation. measurements of stratospheric aerosol size distributions CAN provide contemporary backscatter-to-extinction ratios and angstrom exponents necessary to compare SAGE III with lidar and with extinction measurements from other satellite sensors. this facilitates the comparison and synthesis of measurements from multiple sensors, addressing section 3.6 of the solicitation."
2023,CA,CA-16,Sri International,80NSSC18K1237 Modification P00004,NSSC - NASA Shared Services Center,"MENLO PARK, CA (District 16)",07/11/2023,06/25/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-6,051","$-6,051",[None Indicated],,,,"Sri international proposes a laboratory study aimed at improving the reliability of non-local thermodynamic equilibrium (non-lte) models for retrieval of water vapor number density profiles in the earth's mesosphere and lower thermosphere (mlt) regions. in the current non-lte models, the collisional process that presents the largest source of uncertainty is the vibration-to-vibration (v-v) energy exchange between h2o(010) and o2(1). in the proposed project, the rate coefficient for this process will be determined AS a function of temperature, including low temperatures relevant to the mlt region. the published estimates of this rate coefficient span almost an order of magnitude, and the experiments at and above room temperature yielded a value 2-3 times lower than the values typically derived BY modeling the infrared emissions from h2o(010). low-temperature laboratory measurements are essential to constrain the models and enable reliable water density retrieval from measured infrared emissions. the proposed experiments will employ a state-selective two-laser approach. vibrationally excited populations of the two species will be produced using stimulated raman scattering (srs) or ozone photolysis. the kinetics of the v-v transfer will be investigated via resonance-enhanced multiphoton ionization (rempi) detection of h2o(010) and o2(1), infrared absorption, or emission. the rate coefficient will be measured in the 220-300 k temperature range, providing data that will enable a reliable extrapolation to even lower temperatures. the results of this investigation will have a crucial positive impact on the quantitative extraction of the water vapor altitude profiles from the 6.3 micrometer emission channel of the sounding of the atmosphere using broadband emission radiometry (saber) instrument aboard the thermosphere-ionosphere-mesosphere energetics and dynamics (TIMED) satellite."
2023,CA,CA-12,"Regents Of The University Of California, The",80NSSC19K0494 Modification P00004,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 12)",02/23/2023,10/31/2024,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization",$0,$0,[None Indicated],,,,"Many advances in space science have originated with innovations in remote sensing and imaging technologies. several of these innovations have been implemented BY NASA science missions over the years, particularly in heliophysics. remote sensing of earth and its space environment at Ultraviolet wavelengths continues to support heliophysics science missions.   imaging of earth s space environment has provided an approach to address specific science questions pertaining to the variability of the space environment and the coupling of energy and momentum between the different plasma regimes around earth, and to the neutral atmosphere. advances in these areas are still necessary to develop understanding of our space environment, and provide necessary capability for space weather nowcasting and prediction.   hpd s goals, described in the NASA science plan, are met BY science missions in both the SOLAR-terrestrial physics and Living With a Star programs that will all likely benefit from and require the implementation of remote UV imaging. early development work in smaller optics and detectors will give those missions more options to achieve a broader set of science goals, using low-complexity, compact imagers while maintaining good technical margins.   there have been many NASA missions that have implemented UV imagers (TIMED, polar, image, ICON, GOLD). each of these besides polar implemented one or more UV spectrometers to separate specific emissions and create images of the scene, both in nadir viewing tracks and instantaneous 2d snapshots. AS described in the 2014 science plan, future missions will examine the coupling of the magnetosphere to the ionosphere, atmospheric heating BY the aurora, and the regulation of the system BY the mass of the atmosphere. these new missions will likely require imagers that provide scientific context over a large field of view with high spatial resolution. accompanying a spectrograph, this kind of imager relieves the spectrograph from having to provide all of these capabilities. a small UV imager CAN therefore be a key component in a synergistic payload, providing room to maneuver in the trade space of scientific and technical requirements that require imaging.   this proposal seeks to develop a basic, reference transmissive imager with high spatial resolution and large field of view. the goal is to prove the system with a simple mgf lens focusing UV light on heritage UV sensitive intensifier tube, while implementing FIRST a heritage 1k x 1k imaging capability, and then developing algorithms for spot centroiding that would result in up to 4k effective spatial resolution (i.e. sub pixel resolution). this CAN be performed within in the h-TIDES budget for the fact that UCB has recent and extensive capability in building UV hardware and CAN implement best practices and test programs from recently completed projects. the advancements proposed will also be in reduction of size of the imaging electronics (readout and post-processing). implementation of a centroiding algorithm will reduce the noise budget to poisson statistics, obviating sources of noise inherent in most detector schemes. overall, the expected reductions in mass, power and volume from any previous UV geospace imager will likely support the implementation of multiple cameras on large Spacecraft/missions, or single implementations on smallsats, down to possibly a 6u cubesat.   the proposal is supported BY 2 scientists at UCB, a technical project lead engineer, and two international co-is who will support discussions of traceability and track needs of the European Space Agency for their own mission, looking for opportunities for future collaboration with NASA and ESA missions."
2023,CO,CO-02,University Corporation For Atmospheric Research,NNX17AI39G Modification 5,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",03/01/2023,03/12/2022,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-2,060","$-2,060",[None Indicated],80-0120,,,"The primary goal of this proposal is to elucidate the causal relationship between the high-latitude energy input and the formation of thermospheric neutral mass density anomaly through detailed model-data intercomparison. more specifically, we will address the following outstanding scientific questions: (1) what are the spatial and temporal distributions of high-latitude energy input in terms of joule heating and auroral precipitation for different SOLAR wind and geomagnetic conditions? what is the partition of energy input over the polar cap compared to that in the auroral zone? (2) how does the thermosphere respond to high-latitude energy input? what is the relative importance of the different physical processes that DRIVE thermospheric neutral density distributions in the polar cap AS well AS at middle and low latitudes? (3) what is the relative importance of joule heating versus auroral precipitation on thermospheric density anomaly? what fraction of joule and auroral energy input is deposited in the upper thermosphere where its influence on density is greater? these questions are important not only for understanding the physical processes governing the global thermosphere but also for predicting the NEAR-earth space weather AS thermospheric density perturbations possess serious hazards to satellite operations. this investigation will make extensive use of data from both current and past NASA missions, including TIMED, c/nofs, and image, leveraged BY other space and ground based observations, in order to obtain the most realistic specification of high-latitude energy input under different SOLAR wind and geomagnetic conditions BY applying the assimilative mapping of ionospheric electrodynamics (amie) procedure. we will use the thermosphere-ionosphere-electrodynamics general circulation model (tiegcm) to delineate the various dynamical and chemical processes affecting the thermosphere. numerical simulations with the tiegcm will be carried out to determine the spatial and temporal scales of thermospheric disturbances and to quantify the relative importance of joule heating and auroral precipitation on the thermosphere. the proposal directly addresses the 2nd high-level science goal of the heliophysics decadal survey:  determine the dynamics and coupling of earth s magnetosphere, ionosphere, and atmosphere and their response to SOLAR and terrestrial inputs , and is highly relevant to NASA s strategic goals to  explore the physical processes in the space environment from the sun to the earth  and to  develop the knowledge and capability to detect and predict extreme conditions in space to protect life and society  AS outlined in the heliophysics science and technology roadmap for 2014-2033. our proposal is fully in line with these high-priority science objectives. the proposed investigation will advance our understanding of energetic coupling of the it system, a critical step toward a more reliable specification, and eventual forecast, of the thermosphere. an improved understanding of how high-latitude energy input affect the thermosphere from high latitudes to the mid- and low-latitude regions will greatly benefit the upcoming missions (e.g., ICON and GOLD). knowledge gained through this investigation concerning the spatial and temporal scales of thermospheric variability will also aid the design and optimization of future multi-Spacecraft constellation missions such AS GDC."
2024,VA,VA-03,G & A Technical Software Inc,80NSSC18K1259 Modification P00006,NSSC - NASA Shared Services Center,"NEWPORT NEWS, VA (District 03)",10/03/2023,12/31/2022,"Grant, Grant For Research","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","$-2,740","$-2,740",[None Indicated],,,,"Key objectives: we propose to develop and test, in the laboratory and from a balloon platform, a prototype limb emission sensor that will eventually be the basis for a space based high altitude temperature and wind sounder referred to AS dwts (doppler wind and temperature sounder). the goal of the proposed work is to further the development of this sensor and to verify in-orbit calibration procedures BY flying it on a high altitude balloon. this will bring the dwts technology to a high TRL level in preparation for orbital operations. objective details: the project objectives are to 1. build a prototype dwts instrument, 2. demonstrate the required performance of the critical subsystems in the laboratory, then 3. further demonstrate the performance on a number of high altitude balloon flights that will exercise the in-orbit calibration procedures. most critical of these is the calibration and removal of stray light for which we will demonstrate the efficacy of on-board procedures using the sun and moon AS natural calibration sources. gats inc. of newport news, va will lead instrument design, development and construction through contracts to LASP of boulder, co and brandywine photonics of exton, pa. instrument testing will produce detailed characterization of the instrument, including, but not limited to, absolute pixel response, spectral response, stray light, pixel flat fielding, and response to thermal changes. we will also develop and demonstrate an on-board data processing system required for an orbiting dwts instrument. virginia tech of blacksburg, va will perform integration and operation of the balloon flights. this work will also be PART of a small satellite initiative designed to train virginia tech students in space mission technology. all dwts sensor components are Commercial-Off-the-Shelf, or minor modification of COTS components. significance: dwts is a very simple system composed of one or more channels, with each channel comprised of an IR camera and spectral filtering provided BY a gas cell along with a broadband filter. BY using a novel implementation of gas filter correlation radiometry (gfcr), this simple, small, static, inexpensive IR camera CAN measure the doppler broadening and shift of thermal emission spectra, allowing the simultaneous inference of wind and temperature from lower mid stratosphere to over 200 kilometers, continuously, day and night, every 10 kilometers along-track. dwts could revolutionize global monitoring of upper altitude winds and temperature. therefore, the data provided BY such a system directly addresses ITM science. beyond the ITM, data from a constellation of dwts sensors could provide the next leap in both long-term surface weather forecasting and space weather  now casting , BY supplying global coverage of high altitude temperature and winds at unprecedented accuracy and spatial resolution. in addition, the instruments will provide a wealth of thermosphere research data, including the extension of temperature and nitric oxide emission products now being supplied BY the saber instrument on the aging hso TIMED mission. dwts measurements would directly address the NASA heliophysics STP program goal of understanding the dynamical coupling between lower and upper atmosphere. dwts could supply data to understand these mechanisms continuously from lower stratosphere up to mesosphere and into the mid to upper thermosphere, and the goal of forecasting upper atmosphere weather."
2024,MD,MD-07,"Johns Hopkins University, The",80NSSC19K0244 Modification P00008,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",09/23/2024,09/30/2023,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$-6,740","$-6,740",[None Indicated],,,,"In accordance with the recommendations of the senior review panel, activities during the extended mission will focus on:  i)  safe operation and data collection of the guvi instrument, II) upgrading the data products and documentation for the guvi on-line data, III) integrating the measurements from the other TIMED instruments in the study of the upper atmosphere and ionosphere, iv) understanding the ways the data CAN further scientific understanding of the upper atmosphere and its coupling to the stratosphere and below, v) expanding the validation activities, and vi) planning and preparing for the eventual archive of the guvi data."
2024,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC19K0604 Modification P00008,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",10/13/2023,09/30/2024,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission's SOLAR EUV experiment (see) instrument's tasks during the extended mission for fyi 9-FY21.
2024,AK,AK-00,University Of Alaska Fairbanks,80NSSC19K0844 Modification P00007,NSSC - NASA Shared Services Center,"FAIRBANKS, AK (District 00)",09/06/2024,08/31/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Government, US Government Entity",$0,$0,[None Indicated],,,,"The goal of this project is to construct the unprecedented, realistic maps of diffuse electron aurora and ionospheric conductance directly derived from inner magnetospheric wave scattering. auroral precipitation is an important magnetospheric input that ionizes the upper atmosphere and creates ionospheric conductance. strong conductance CAN cause strong joule heating of high-latitude atmosphere which in turn modifies the global magnetosphere   ionosphere   thermosphere (mit) coupling dynamics BY initiating a new global atmospheric circulation and an ion outflow. among several aurora types, diffuse electron aurora takes over 60% of the auroral precipitation [newell et AL. 2009], and therefore plays a dominant role in determining the ionospheric conductance. waveparticle interaction in the inner magnetosphere causes diffuse auroral precipitation. upper-band whistler mode chorus WAVES (ubc), lower-band whistler mode chrous (lbc) WAVES, and electron cyclotron harmonics (ech) are the three major contributors to diffuse aurora precipitation [ni et AL. 2016 and references therein]. since global distribution of wave activities has been quite difficult to observe, the wave impact on diffuse electron aurora has been tested only at local scale [e.g. ni et AL. 2012]. AS inner magnetospheric coverage have extensively expanded BY recent Spacecraft missions (e.g. cluster, THEMIS, rbsp), the statistical distributions of chorus and ech WAVES are recently available [meredith et AL. 2012 ni et AL. 2017]. thus, we reach a moment to calculate a global diffuse aurora map directly from the wave statistics and to test our understanding of the casualty at global scale. additionally, a FIRST-principle electron transport model has been developed and validated in the past few decades [e.g. rees and jones 1973 lummertzheim and lilensten 1994 solomon 2001 mcgranghan, 2014, 2016 grubbs 2018]. this mature model CAN provide accurate ionospheric conductance BY taking into account of ionization, excitation, and energy degradation along a journey of electrons inside the upper atmosphere. since the conductance is a key parameter that couples mit system, we CAN study the true impact of inner magnetospheric WAVES on the mit coupling BY calculating the wave-driven conductance maps. this project will answer the following outstanding questions: (1) what kind of diffuse aurora pattern each wave mode (ubc, lbc, ech) produces, (2) what kind of ionospheric conductance pattern each wave mode produces, (3) where, when, and to what extent each wave contributes to the diffuse aurora and ionospheric conductance, and (4) how well the wave-driven maps match the statistical aurora and conductance maps. we will conduct both modeling and statistical approaches. FIRST, we will obtain global diffuse aurora maps from the statistical ubc, lbc, and ech wave maps of meredith et AL. [2012] and ni et AL. [2017]. we will calculate an energy distribution of precipitating electrons BY solving a bounce-averaged fokker-planck equation with quasi-linear diffusion coefficients. second, we will obtain global ionospheric conductance maps from the wave-induced auroral maps. we will use the kinetic electron transport code of lummertzheim and lilensten [1994] for more accurate calculation of ionospheric conductance. third, we will investigate individual and combined impact of all three WAVES on diffuse aurora and ionospheric conductance. we will obtain statistical aurora/conductance maps from 5 years of TIMED/guvi observations. from the absolute and normalized comparison between the wave-induced and statistical maps, we CAN quantify each wave impact. this project will answer how much the inner magnetospheric WAVES contributes to diffuse aurora and ionospheric conductance, which is relevant to the heliophysics decadal survey goal  determine the dynamics and coupling of earth s magnetosphere, ionosphere, and atmosphere, and their response to SOLAR and terrestrial inputs."
2024,CA,CA-16,Sri International,80NSSC21K0664 Modification P00004,NSSC - NASA Shared Services Center,"MENLO PARK, CA (District 16)",03/21/2024,03/31/2025,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,,,Analysis of a new mesospheric airglow layer FIRST observed BY TIMED saber
2024,CA,CA-16,Sri International,80NSSC23K0694 Modification P00001,NSSC - NASA Shared Services Center,"MENLO PARK, CA (District 16)",09/15/2024,08/31/2026,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$225,851",$0,[None Indicated],,,,Production pathways of the oh meinel band emission required for TIMED/saber observations
