Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,AL,AL-07,University Of Alabama,80NSSC22K1078 Modification P00002,NSSC - NASA Shared Services Center,"TUSCALOOSA, AL (District 07)",02/25/2025,12/31/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning","$175,409",$0,[None Indicated],,,,"The martian crustal magnetic field, FIRST detected over two decades ago BY NASA's mars global surveyor (mgs) satellite, has provided insights into and challenges in understanding the geophysical evolution of mars. like topography, the magnetic field intensity exhibits a roughly hemispheric dichotomy with strong crustal magnetic fields over the rugged southern highlands, and weak fields over the northern lowlands. magnetic data collected BY NASA's Mars Atmosphere and Volatile Evolution (MAVEN) satellite since 2014, together with recent methodological advancements, allow us to now tackle two fundamental, outstanding questions about mars' crustal structure and history. research question 1 (rq 1): could the strong magnetic signals in the terra cimmeria and sirenum region be a consequence of serpentinization that could have provided substantial amounts of molecular hydrogen to potential early life in the crust of mars? research question 2 (rq 2): what geologic processes shaped the weak crustal magnetic fields in the northern hemisphere? more precisely: what are the magnetic source depths of the various magnetic signals in and around the northern lowlands? answering the rq requires tight constraints on the depths of magnetic sources. source depths obtained from recent global crustal magnetic field models are a step forward in this direction but have too large an uncertainty (sometimes extending from above the planet into the mantle) to address these key issues. this is a consequence of the use of global models to calculate local source depths BY examining the relative power in different spatial wavelengths of the magnetic field. global models that fit weak and strong magnetic fields simultaneously CAN introduce ringing into the resulting model, which then biases source depth calculations. smoothness constraints may additionally compromise source depth estimations BY affecting different spatial wavelengths differently. we propose a different approach. for each investigation location we will calculate local crustal magnetic field models for various choices of smoothness constraints and random data subsampling. from these local models, we will calculate source depths and use the variation in outcomes to explore uncertainties in source depths. we demonstrate that the proposed approach CAN yield source depths with an uncertainty sufficient to address the rq. rq 1 is relevant AS it pertains to MEPAG-2020 goal i, objective a, sub-objective a.2: ""investigate the nature and duration of habitability NEAR the surface and in the deep subsurface."" MEPAG-2020 also notes: ""... the subsurface should be considered an exciting new frontier for mars exploration, and a particularly promising target environment to address the objectives presented in goal i."" rq 2 is relevant AS it pertains to MEPAG-2020 goal III, objective a, sub-objective a4: ""determine the nature and timing of construction and modification of the crust."" determining the spatial variation of the magnetic source depths will provide a new perspective of the geologic processes of the northern lowlands. ROSES mdap is the most appropriate program element for this proposal, because the proposed research questions will be solved using MAVEN data. this proposal is focused on data analysis and no substantial new methodological developments will be carried out."
2025,AZ,AZ-02,Northern Arizona University,80NSSC24K1234 Modification P00001,NSSC - NASA Shared Services Center,"FLAGSTAFF, AZ (District 02)",11/18/2024,07/31/2027,"Grant, Grant For Research","Educational - Educational Institution, Hispanic Servicing Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity","$48,576","$48,576",[None Indicated],,,,"23-pstar23_2-0052, in situ exploration of terrestrial silica sinter deposits with terra-cam and terra-tes"
2025,CA,CA-50,University Of California San Diego,80NSSC24K1426 Modification P00001,NSSC - NASA Shared Services Center,"LA JOLLA, CA (District 50)",04/25/2025,12/09/2027,"Grant, Grant For Research","Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, State Controlled Institution of Higher Learning","$53,073",$0,[None Indicated],,,,Maintenance of modis algorithms to estimate particulate organic carbon concentration in the surface ocean for the aqua and terra satellite missions
2025,CA,CA-16,Seti Institute,80NSSC21M0233 Modification P00002,NSSC - NASA Shared Services Center,"MOUNTAIN VIEW, CA (District 16)",05/20/2025,06/20/2026, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,,,"Characterization of the martian surface via orbital investigations is proposed here. we will be analyzing data collected BY the Mars Reconnaissance Orbiter (MRO) that is currently in orbit at mars. this cooperative agreement is for work funded to dr. bishop AS a co-i on the crism (compact reconnaissance imaging spectrometer for mars) team, where dr. bishop is leading the spectral identification tasks related to hydrated minerals and surface alteration. we propose to investigate the form and character of the phyllosilicates and sulfates present on mars in order to provide constraints on the geochemical environment and climate on mars during their formation. dr. bishop will lead identification of phyllosilicates and sulfates using VNIR hyperspectral crism image cubes. the objective of this study is to characterize the processes that occurred on mars to form hydrated phases at locations including mawrth valles, ius chasma, gale crater, terra tyrrhena, noctis labyrinthus, and juventae chasma. martian surface mineralogy provides clues to the geochemical history and climate, and minerals such AS phyllosilicates and sulfates are key indicators of water on mars. this project supports NASA s strategic plan in terms of exploring and characterizing the surface of mars AS PART of the planetary science component of strategy 1.1 and the agency s exploration initiative in strategy 1.2."
2025,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC22K0046 Modification P00003,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",10/29/2024,12/31/2025,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,"Earth s energy imbalance, currently estimated at 0.8 0.2 w m-2, is stored primarily in the ocean and is a key contributor to sea level rise. while global mean sea level has risen at a rate of 3.4 mm/year since 1993, regional deviations have been substantial, leading to marginal rates of rise in some locations while doubling rates in others. an understanding of these spatial patterns and the relative roles of internal variability and forced changes in driving them is critical for providing actionable guidance on changes over the coming decade and beyond. given sea level s strong ties to the energy budget, a multidisciplinary effort is proposed, combining data based on terra and aqua satellite observations, along with complementary NASA reanalysis data (merra-2, eccov4), and satellite altimetry with the overarching goal of quantifying the drivers of regional sea level rise in nature and improving the representation and prediction of these drivers in climate models. the specific goals of this proposal are to 1) use terra and aqua data to quantify the flows of energy that DRIVE regional sea level rise during the altimeter era AS PART of a novel and holistic observational analysis that combines satellite retrievals with atmospheric and ocean reanalyses, and 2) use this analysis to assess ncar and NASA climate model simulations, identify their dominant biases, and inform model development and projections. the proposal is motivated in PART BY recent studies BY the pis revealing the emergence of the climate-change forced response in regional sea level in altimetry data and the associated predictable component of rise in the coming decades. based on these results, it is argued that the flows of energy through the climate system diagnosed from terra, aqua, and complementary data, and forced changes estimated from models, in addition to being a powerful constraint on model feedbacks, CAN serve AS the basis for multidecadal regional sea level rise predictions. the FIRST stage of our proposed work lies in diagnosing terra/aqua-era regional sea level rise, including its steric and DYNAMIC contributions and the associated atmospheric, surface, and oceanic energy fluxes that DRIVE them. we will use top-of-atmosphere and surface radiative fluxes provided BY the clouds and earth RADIANT energy system (CERES) project. we will also use a new CERES product, the radiative flux BY cloud type (fct) dataset, based on CERES and modis measurements on terra and aqua, to provide a detailed understanding of the role of clouds in these budgets. the merra-2 reanalyses will also be used to provide estimates of flows within the atmosphere. ocean budgets will be closed with ocean state estimation from both the estimating the circulation and climate of the ocean (ecco) project. ancillary data products (e.g. deepc), which have been generated using other satellites anchored BY CERES, will also be used to extend our analysis back in time to 1993, the beginning of the altimeter era. a priority will be given to understanding the influence of advances in the observing system such AS argo to the time-varying uncertainty in these data. in turn, these diagnostics will be used to assess ncar and NASA climate models, including their simulated modes of internal variability and forced responses to climate change. models from other u.s. modeling centers may also be assessed, AS the necessary data become available. a central focus of our model evaluation exercise will be on the radiative flux contributions of various cloud types using the fct simulator. in an effort to better understand the drivers of variability in the altimeter record, single-forcing simulations from ncar s cesm1 and cesm2, and NASA s GISS-model-e will be used, both during the altimeter era and further back in time. lastly, and based on the ability of climate models to the altimeter record of regional SLR and its drivers, Machine Learning methods will be used to winnow projections from climate models."
2025,CO,CO-02,University Corporation For Atmospheric Research,80NSSC22K1045 Modification P00003,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",04/01/2025,05/12/2026,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,,,"The ministry of earth sciences (moes), india is mandated to develop air quality early warning systems (aqews) to timely  the public of forthcoming air pollution episodes and implement temporary emission control measures to reduce the predicted air pollution events. AS a pilot, the indian institute of tropical meteorology (iitm), the indian meteorological department (imd), and the national center for atmospheric research (ncar) have collaboratively developed an operational aqews for delhi that has been providing 72-h air quality forecasts daily since 01 oct 2018. the system assimilates the moderate resolution imaging spectroradiometer (modis) aerosol optical depth (aod) retrievals to improve initialization of aerosol chemical composition. the assimilation of modis aod retrievals is shown to improve the accuracy of fine Particulate Matter (pm2.5) forecasts in delhi BY 70-86% during the crop-residue burning season. decision-makers have found these air quality forecasts useful in imposing and/or lifting-off temporary restrictions on targeted emission sources to improve air quality in delhi. to EXPAND air quality decision-making activity beyond delhi and impose science-based temporary control measures, the decisionmakers have demanded the development of similar aqews in other indian megacities along with a decision support system (DSS) that will provide information about the sensitivities of predicted air quality to a set of target emission sources (e.g., construction activities, traffic, power generation, and industrial production) predefined in the grades response action plan. this project aims to meet these needs through the following: 1) develop a Machine Learning based decision support system (DSS) that will help decision-makers to assess the relative importance of controlling target emission sources predefined in grap and implement the most effective control measures. 2) develop high-resolution (400 m x 400 m) aqews for five additional indian megacities namely ahmedabad, bengaluru, pune, indore and bhubaneswar. 3) integrate new capabilities in the information dissemination system. 4) transition new capabilities to iitm and imd. we will define new model domains to simulate air quality in the aforementioned five cities at 400 m grid spacing and explore the feasibility of improving aerosol chemical initialization via additional assimilation of the maiac aod retrievals available at 1 km resolution. since terra and aqua satellites are aging, we will also develop the capability to assimilate VIIRS aod and tropomi carbon monoxide (co) retrievals in the aqews (including for delhi) to ensure that air quality forecasts continue to benefit from NASA satellite observations beyond the lifetime of the modis sensors. the proposed DSS will be tied to the grap and through a Machine Learning algorithm that will be applied in such a way that ozone and pm2.5 CAN be predicted AS a function of tagged co TRACERS representing various emission sectors and regions, which is a computationally efficient approach to track various emission sources and regions. all the new capabilities will be integrated into the aqews dissemination system using the concepts of usable science. the indian and us scientists will closely collaborate to co-design and co-develop the aqews and DSS to build local capacity in both chemical data assimilation and source attribution during the project itself to ensure that these skills CAN be used to develop aqews and DSS for other cities in india BY indian scientists themselves."
2025,IL,IL-13,University Of Illinois,80NSSC24K1607 Modification P00001,NSSC - NASA Shared Services Center,"URBANA, IL (District 13)",04/22/2025,08/31/2027,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$50,000",$0,[None Indicated],,,,Quantitative evaluation of atmospheric tomography with 3d radiative transfer for advancement in cloud and aerosol retrievals using terra and camp2ex data and in future mission design.
2025,MA,MA-05,Smithsonian Institution,80NSSC23K1596 Modification P00002,NSSC - NASA Shared Services Center,"CAMBRIDGE, MA (District 05)",11/20/2024,08/09/2026,"Grant, Grant For Research",Non-Profit Institutions - Nonprofit Organization,"$550,000",$0,[None Indicated],,,,"The goal of this project is to advance the development of the hitran (high-resolution transmission) molecular spectroscopic database compilation and associated software. the database is critical for the NASA observation missions that seek to characterize the atmosphere using remote sensing experiments, primarily from space. these missions consist of the suite of former and current NASA experiments, including instruments on aura (hirdls, mls, tes, and omi) AS well AS AIRS, mopitt, SAGE III, oco-2 and oco-3, aqua, terra, EMIT, ECOSTRESS and future approved or proposed NASA missions including TEMPO, libera, CLARREO, GEO-cape, gacm, PACE. this project also benefits from a close relationship with non-NASA and foreign missions, including ACE, tropomi, gosat (1 and 2), iasi, toms, sbuv, jem/smiles, gems, gome on ers-2, sciamachy and gomos flying on envisat, smr on odin, cris instrument flying on suomi npp, NOAA-20 and noaa21 AS well AS future non-NASA missions, including merlin, iasi-NG, carbonsat, methanesat and microcarb. NASA airborne science program, AS well AS, the ground-based tccon and ndacc networks, also rely on the quality of the reference spectroscopic data. it is FAIR to say that every NASA-funded mission equipped with spectrometers of any resolution use hitran data in the analyses of their retrievals. the priority of the program is to improve the spectroscopic parameters of molecular transitions that affect the Modeling and Simulation of atmospheric radiance and transmission retrievals. particular goals include improved accuracy of all spectroscopic parameters, global consistency of line intensities, improved line-shape parameters (and the means BY which they are represented), the addition of missing molecular bands and trace gas species, representation of phenomena that are impacting the retrievals, including collision-induced absorption (CIA) bands, advanced line-shape formalisms, line mixing, and water vapor continuum. realistic uncertainty estimates, along with the links to the original data sources, will also be provided. the tools for disseminating and working with the data, including the online interface and hitran Application Programming Interface (hapi) will also be improved and enhanced. user support, advanced documentation, and tutorials, AS well AS an improved interface for NASA projects, are thus INTEGRAL aspects of the hitran project. in summary, the database will develop following the pact (practical, accurate, complete, and traceable) approach."
2025,MD,MD-04,"University Of Maryland, College Park",80NSSC22K0042 Modification P00003,NSSC - NASA Shared Services Center,"COLLEGE PARK, MD (District 04)",11/22/2024,11/30/2025,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,Mdap20 arabia terra layered deposit stratigraphy and distribution: evidence for early martian explosive volcanism?
2025,MD,MD-04,"University Of Maryland, College Park",80NSSC24K1267 Modification P00002,NSSC - NASA Shared Services Center,"COLLEGE PARK, MD (District 04)",12/09/2024,08/04/2027,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$45,543",$0,[None Indicated],,,,21-mdap21_2-0047 photogeologic study of noachis terra - crustal evolution and the effects of basin-forming events on early mars
