Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,CA,CA-28,California Institute Of Technology,80NM0020F0035 Modification P00029,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",06/26/2025,09/27/2026,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$4,463,226",$0,541715,,,,"Venus Emissivity, Radio Science, InSAR, Topography, and Spectroscopy (VERITAS) (41-108259)"
2023,NE,NE-01,Metgreen Solutions Inc,80NSSC23FA253 Modification P00001,NSSC - NASA Shared Services Center,"NORFOLK, NE (District 01)",03/06/2023,04/15/2023,"Delivery Order, Firm Fixed Price","Veteran Owned Small Business,Service Disabled Veteran Owned Small Business,Small Disadvantaged Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business",$0,$0,541519,,80NSSC23828583Q,,"VERITAS netbackup 5250 appliance, software, and support"
2023,VA,VA-11,"Integration Technologies Group, Inc.",80NSSC23FA307 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"FALLS CHURCH, VA (District 11)",03/17/2023,03/27/2024,"Delivery Order, Firm Fixed Price","Small Business ONLY - For Profit Organization, Subchapter S Corporation","$49,256","$49,256",541519,,80NSSC23830254Q,,FY23 VERITAS netbackup renewal
2023,AZ,AZ-08,Transource Services Corp.,80NSSC23FA359 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"PHOENIX, AZ (District 08)",03/30/2023,03/29/2024,"Delivery Order, Firm Fixed Price","Small Disadvantaged Business,Woman Owned Small Business,Small Business - Asian Pacific American Owned Business, Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation, Women Owned, Women Owned Small Business","$10,418","$10,418",541519,,80NSSC23830882Q,,KSC itts0 VERITAS netbackup deployment services
2023,VA,VA-07,Techanax Llc,80NSSC23FA568 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"WOODBRIDGE, VA (District 07)",05/18/2023,07/14/2024,"Delivery Order, Firm Fixed Price","Veteran Owned Small Business,Service Disabled Veteran Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation, Service Related Disabled Veteran Owned Business","$11,119","$11,119",541519,,,,Renew VERITAS software
2023,VA,VA-10,Alvarez Llc,80NSSC23FA584 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"LEESBURG, VA (District 10)",05/22/2023,05/15/2024,"Delivery Order, Firm Fixed Price","Veteran Owned Small Business,Service Disabled Veteran Owned Small Business,Small Business - For Profit Organization, Partnership Or Limited Liability Partnership, Service Related Disabled Veteran Owned Business","$45,500","$45,500",541519,,80NSSC23835696Q,,FY23 VERITAS netbackup appliance maintenance renewal
2023,CA,CA-16,"Impres Technology Solutions, Inc",80NSSC23PA474 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"MOUNTAIN VIEW, CA (District 16)",02/28/2023,02/24/2024,"Purchase Order, Fixed Price Award Fee","SBA Certified HUBZone,Small Disadvantaged Business,Small Business - Asian Pacific American Owned Business, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned","$22,332","$22,332",513210,,,,VERITAS netbackup
2023,VA,VA-08,"Tvar Solutions, Llc",80NSSC23PB810 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"MCLEAN, VA (District 08)",07/13/2023,07/28/2023,"Purchase Order, Firm Fixed Price","Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","$44,805","$44,805",541519,,80NSSC23839945Q,,VERITAS consulting services and deployment
2024,MS,MS-04,Metgreen Solutions Inc,80NSSC24FA433 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"STENNIS SPACE CENTER, MS (District 04)",03/26/2024,03/27/2025,"Delivery Order, Firm Fixed Price","Veteran Owned Small Business,Service Disabled Veteran Owned Small Business,Small Disadvantaged Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business","$62,430","$62,430",541519,,,,VERITAS netbackup enterprise xplat
2024,NE,NE-01,Metgreen Solutions Inc,80NSSC24FA611 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"NORFOLK, NE (District 01)",05/15/2024,06/26/2025,"Delivery Order, Firm Fixed Price","Veteran Owned Small Business,Service Disabled Veteran Owned Small Business,Small Disadvantaged Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business","$66,516","$66,516",541519,,80NSSC24869383Q,,FY24 VERITAS netbackup support renewal
