Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2025,AZ,AZ-05,Moog Inc.,80JSC021C0002 Modification P00017,JSC - Johnson Space Flight Center,"GILBERT, AZ (District 05)",10/15/2024,06/30/2025,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,$0,334511,,80JSC020Q0006,,Volatiles Investigating Polar Exploration Rover  (VIPER)  rover integrated avionics unit (iau)
2025,CA,CA-34,Cal State La University Auxiliary Services Inc,80NSSC24K0242 Modification P00001,NSSC - NASA Shared Services Center,"LOS ANGELES, CA (District 34)",10/28/2024,10/29/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Hispanic Servicing Institution, Minority Institution, Nonprofit Organization, State Controlled Institution of Higher Learning",$0,$0,[None Indicated],,,,"22-cssfp22-0006, VIPER rocks!"
2025,CA,CA-28,California Institute Of Technology,80NM0020F0049 Modification P00016,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",12/04/2024,09/30/2025,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$37,900",$0,541715,,,,JPL support to the Volatiles Investigating Polar Exploration Rover (VIPER) project (40-108723)
2025,CA,CA-32,"Northrop Grumman International Trading, Inc.",80JSC021P0003 Modification P00007,JSC - Johnson Space Flight Center,"WOODLAND HILLS, CA (District 32)",12/09/2024,11/30/2022,"Purchase Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,334511,,80JSC021VIPERIMU,,Volatiles Investigating Polar Exploration Rover (VIPER)  inertial measurement unit (imu)MOD 7 - updating cage code in pps (contract writing system)
2025,CA,CA-16,The Aerospace Corporation,80ARC020F0034 Modification P00010,ARC - Ames Research Center,"MOUNTAIN VIEW, CA (District 16)",12/10/2024,09/30/2024,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$-15,710",$0,541715,,,,The contractor shall provide contamination control expertise and other technical support to the Volatiles Investigating Polar Exploration Rover (VIPER) mission Systems Engineer.
2025,CA,CA-16,Bay Area Environmental Research Institute,80NSSC21M0066 Modification P00007,NSSC - NASA Shared Services Center,"MOFFETT FIELD, CA (District 16)",01/22/2025,12/31/2025, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$244,697",$0,[None Indicated],,,,The VIPER mission presents a unique operational paradigm within the history of robotic spaceflight.
2025,CA,CA-18,Bay Area Environmental Research Institute,80NSSC21M0066 Modification P00008,NSSC - NASA Shared Services Center,"MOFFETT FIELD, CA (District 18)",03/12/2025,12/31/2025, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$10,076",$0,[None Indicated],,,,The VIPER mission presents a unique operational paradigm within the history of robotic spaceflight.
2025,CA,CA-28,California Institute Of Technology,80NM0020F0055 Modification P00012,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",03/18/2025,11/03/2024,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$-192,464",$0,541715,,,,Ind services in support of the VIPER mission (91-108238)
2025,CA,CA-18,Bay Area Environmental Research Institute,80NSSC21M0066 Modification P00009,NSSC - NASA Shared Services Center,"MOFFETT FIELD, CA (District 18)",04/04/2025,12/31/2025, Cooperative Agreement,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$53,837",$0,[None Indicated],,,,The VIPER mission presents a unique operational paradigm within the history of robotic spaceflight.
2025,CA,CA-18,The Aerospace Corporation,80ARC024F0042 Modification P00003,ARC - Ames Research Center,"MOFFETT FIELD, CA (District 18)",04/09/2025,03/31/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$1,698","$-206,035",541715,,80ARC024F0042-RFP,,Descorpe of VIPER Integration and Test (I&T) contamination control support task order
2025,CT,CT-01,"Space Electronics, Llc",80NSSC21P1346 Modification P00004,NSSC - NASA Shared Services Center,"BERLIN, CT (District 01)",02/10/2025,03/10/2025,"Purchase Order, Firm Fixed Price","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Partnership Or Limited Liability Partnership",$0,$0,541715,,80NSSC21753647Q,,"Measure mass properties at the Johnson Space Center of the VIPER surface segment, providing the measurement systems, fixturing and personnel required to measure weight, center-of-gravity and moments-of-inertia."
2025,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC24F0065 Modification P00001,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",11/01/2024,08/31/2024,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization","$-24,545","$-55,990",541715,,80MSFC20D0004,,Volatiles Investigating Polar Exploration Rover (VIPER) mission VIPER Review Team (VRT) support under ardes II 80msfc20d0004
2025,MD,MD-07,"Johns Hopkins University, The",80NSSC22K0533 Modification P00003,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",02/18/2025,04/25/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$25,638",$0,[None Indicated],,,,Modeling active volatile sources and transport during the VIPER mission
2025,MD,MD-07,"Johns Hopkins University, The",80NSSC22K0533 Modification P00004,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",03/14/2025,04/25/2026,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"During its mission, the Volatiles Investigating Polar Exploration Rover (VIPER) will interact with a microenvironment that is shaped BY a number of active processes, including volatile transport and micrometeoroid bombardment. these processes are"
2025,MD,MD-07,"Johns Hopkins University, The",80NSSC22K0535 Modification P00004,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",05/08/2025,01/25/2026,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$0,$0,[None Indicated],,,,"21-viper21_2-0046, a geophysical traverse at the lunar south pole with the VIPER accelerometers"
2025,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC23F0067 Modification P00005,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",05/13/2025,12/31/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization",$0,$0,541715,,,,Johns Hopkins University Applied Physics Laboratory (JHU/APL) supports the Volatiles Investigating Polar Exploration Rover (VIPER) science and science operations
2025,OH,OH-11,"Hx5,, Llc",80GRC021F0071 Modification P00013,GRC - Glenn Research Center,"CLEVELAND, OH (District 11)",03/25/2025,09/22/2023,"Delivery Order, Cost Plus Fixed Fee","Veteran Owned Small Business,Service Disabled Veteran Owned Small Business,Small Disadvantaged Business,Woman Owned Small Business,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Hispanic American Owned Business, Limited Liability Corporation, Minority Owned, SBA Certified 8A Program Participant, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Women Owned, Women Owned Small Business",$14,$0,541715,,,,Eo14042 ..VIPER edu manufacture - mechanisms
2025,PA,PA-12,"Astrobotic Technology, Inc.",80NSSC22K0846 Modification P00003,NSSC - NASA Shared Services Center,"PITTSBURGH, PA (District 12)",01/10/2025,07/30/2025,"Grant, Grant For Research","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,[None Indicated],,,,Astrobotic s griffin lander will deliver NASA s VIPER to the south pole of the moon in 2023. griffin mission 1 (gm1) will use a lidar-based hazard detection (hd) sensor to detect rocks and craters down to 15 CM and 10-degree slopes to land safely.
2025,TX,TX-30,Southern Methodist University,80NSSC22K1333 Modification P00003,NSSC - NASA Shared Services Center,"DALLAS, TX (District 30)",01/21/2025,08/31/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$49,040",$0,[None Indicated],,,,"We propose laboratory investigations into the low temperature thermal properties of lunar regolith. these measurements are highly relevant for targeted missions to the lunar south pole (such AS the NASA VIPER mission) and will inform studies of NEAR-surface water ice at the lunar poles. despite the numerous NASA missions dedicated to measuring and mapping the thermal properties of planetary surfaces, laboratory measurements that would aid in interpreting remote sensing data from these missions are sparse. although some.laboratory measurements on the thermal characteristics of lunar regolith exist, very few measurements have been carried out below 150 k. permanently shadowed regions (psrs) are areas NEAR the lunar poles that remain in perpetual darkness. psrs are key areas of interest for lunar exploration due to their incredibly cold temperatures (below 100 k), which allow them to cold-trap water ice and other volatiles. standard lunar thermal models differ most significantly from remote sensing data collected from psrs, and this is primarily due to a lack of low-temperature laboratory measurements of lunar regolith. our laboratory scheme consists of measuring.the thermal conductivity of lunar regolith in vacuum in the temperature range of 15 - 350 k. we present theoretical evidence for how these low temperature results could significantly change modeled surface properties of the lunar poles. we AIM to use this data to develop a new, well-constrained thermal conductivity model, which we CAN then be used to update lunar polar maps. accurate thermal modeling estimates for psrs are essential for creating secure travel routes for VIPER (AS mission planning INCLUDES traversing into psrs) and obtaining better estimates for ground ice location.."
2025,TX,TX-14,Windhover Labs Llc,80NSSC21C0594 Modification P00004,NSSC - NASA Shared Services Center,"LEAGUE CITY, TX (District 14)",03/13/2025,03/31/2026,"Definitive Contract, Firm Fixed Price","Veteran Owned Small Business,Small Business Innovative Research,Small Business - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership",$0,$0,541715,,,,VIPER command and telemetry communications integration & test
