Year,State,District,Contractor,Contract,Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2023,NY,NY-22,"Inficon, Inc.",80KSC020P0002,Modification P00012,KSC - Kennedy Space Flight Center,"EAST SYRACUSE, NY (District 22)",09/22/2023,06/14/2023,"Purchase Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, Foreign Owned And Located, For Profit Organization, Manufacturer Of Goods","$-25,000","$-25,000",334513,,80KSC020Q0002,,Inficon supports Volatiles Investigating Polar Exploration Rover (VIPER)development & testing at NASA MOD 12: de-obligate remaining funds and total value in accordance with final invoice.
2024,PA,PA-11,"Advanced Cooling Technologies, Inc.",80NSSC21C0600,Modification P00012,NSSC - NASA Shared Services Center,"LANCASTER, PA (District 11)",07/09/2024,12/31/2024,"Definitive Contract, Cost Plus Fixed Fee","Small Business Innovative Research,Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,$0,541715,,,,Volatiles Investigating Polar Exploration Rover (VIPER) thermal management system flight components
2024,PA,PA-12,"Astrobotic Technology, Inc.",80JSC020F0220,Modification P00021,JSC - Johnson Space Flight Center,"PITTSBURGH, PA (District 12)",01/17/2024,10/31/2026,"Delivery Order, Firm Fixed Price","Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","$6,320,795",$0,481212,,80HQTR18R0011R,,Volatiles Investigating Polar Exploration Rover (VIPER) delivery task order 20a
2024,TX,TX-36,Sierra Nevada Corporation,80JSC021P0017,Modification P00015,JSC - Johnson Space Flight Center,"HOUSTON, TX (District 36)",06/26/2024,12/31/2024,"Purchase Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation, Women Owned",$0,$0,336411,,80JSC020Q0017,,Volatiles Investigating Polar Exploration Rover VIPER lunar rover SOLAR array
2024,TX,TX-36,Acoustic Research Systems Llc,80JSC022PA003,Modification P00008,JSC - Johnson Space Flight Center,"HOUSTON, TX (District 36)",06/27/2024,12/31/2024,"Purchase Order, Firm Fixed Price","Small Disadvantaged Business,Small Business - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership, Self Certified Small Disadvantaged Business",$0,$0,541380,,80JSC022R0001,,Volatiles Investigating Polar Exploration Rover (VIPER) acoustic testing services (ats).
2024,TX,TX-36,Sanmina Corporation,80JSC024PA003,Modification 0 (Base Record),JSC - Johnson Space Flight Center,"HOUSTON, TX (District 36)",11/09/2023,11/15/2023,"Purchase Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","$114,000","$114,000",334511,,80JSC024PA003,,Volatiles Investigating Polar Exploration Rover VIPER - camera control unit (CCU) - micro camera main mechanical assembly
2025,AZ,AZ-05,Moog Inc.,80JSC021C0002,Modification P00017,JSC - Johnson Space Flight Center,"GILBERT, AZ (District 05)",10/15/2024,06/30/2025,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods",$0,$0,334511,,80JSC020Q0006,,Volatiles Investigating Polar Exploration Rover  (VIPER)  rover integrated avionics unit (iau)
2025,TX,TX-14,Windhover Labs Llc,80NSSC21C0594,Modification P00004,NSSC - NASA Shared Services Center,"LEAGUE CITY, TX (District 14)",03/13/2025,03/31/2026,"Definitive Contract, Firm Fixed Price","Veteran Owned Small Business,Small Business Innovative Research,Small Business - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership",$0,$0,541715,,,,VIPER command and telemetry communications integration & test
2025,CA,CA-16,The Aerospace Corporation,80ARC020F0034,Modification P00012,ARC - Ames Research Center,"MOUNTAIN VIEW, CA (District 16)",07/16/2025,09/30/2024,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,541715,,,,The contractor shall provide contamination control expertise and other technical support to the Volatiles Investigating Polar Exploration Rover (VIPER) mission Systems Engineer.
2025,CA,CA-18,The Aerospace Corporation,80ARC024F0042,Modification P00003,ARC - Ames Research Center,"MOFFETT FIELD, CA (District 18)",04/09/2025,03/31/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","$1,698","$-206,035",541715,,80ARC024F0042-RFP,,Descorpe of VIPER Integration and Test (I&T) contamination control support task order
