AZ,AZ-07,University Of Arizona,80NSSC19M0241 Modification P00012,NSSC - NASA Shared Services Center,"TUCSON, AZ (District 07)",11/28/2023,12/31/2023, Cooperative Agreement,"Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$60,641",$0,[None Indicated],,N/A,N/A,"Successor award to cooperative agreement nnx17ak78a for support for the chemin mineralogical instrument during the Mars Science Laboratory msl11 mission  phase II experiment planning, data analysis and mission operations"
AZ,AZ-07,University Of Arizona,80NSSC19M0241 Modification P00013,NSSC - NASA Shared Services Center,"TUCSON, AZ (District 07)",01/23/2024,12/31/2023, Cooperative Agreement,"Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$62,432",$0,[None Indicated],,N/A,N/A,"Successor award to cooperative agreement nnx17ak78a for support for the chemin mineralogical instrument during the Mars Science Laboratory MSL 11 mission  phase II experiment planning, data analysis and mission operations"
AZ,AZ-07,University Of Arizona,80NSSC24M0082 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"TUCSON, AZ (District 07)",04/29/2024,03/31/2026, Cooperative Agreement,"Educational - 1862 Land Grant College, Educational Institution, Hispanic Servicing Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$78,080","$1,003,829",[None Indicated],,N/A,N/A,"Successor award to cooperative agreement 80nssc19m0241 for support for the chemin mineralogical instrument during the Mars Science Laboratory MSL 11 mission  phase v experiment planning, data analysis and mission operations"
AZ,AZ-07,University Of Arizona,80NSSC19M0241 Modification P00014,NSSC - NASA Shared Services Center,"TUCSON, AZ (District 07)",05/16/2024,06/30/2024, Cooperative Agreement,"Educational - 1862 Land Grant College, Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,N/A,N/A,"Successor award to cooperative agreement nnx17ak78a for support for the chemin mineralogical instrument during the Mars Science Laboratory MSL 11 mission  phase II experiment planning, data analysis and mission operations"
AZ,AZ-02,Northern Arizona University,80NSSC22K0732 Modification P00004,NSSC - NASA Shared Services Center,"FLAGSTAFF, AZ (District 02)",09/19/2024,04/14/2025,"Grant, Grant For Research","Educational - Educational Institution, Hispanic Servicing Institution, School Of Forestry, State Controlled Institution of Higher Learning, State Government, US Government Entity","$54,549",$0,[None Indicated],,N/A,N/A,"21-mslpsp21_2-0062, from rover to orbit: linking in situ thermophysical observations to regional geology and habitability"
AZ,AZ-04,Arizona State University,80NSSC22K0770 Modification P00004,NSSC - NASA Shared Services Center,"TEMPE, AZ (District 04)",09/19/2024,04/14/2025,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity","$47,348",$0,[None Indicated],,N/A,N/A,Our proposed research has three primary objectives: (1) to participate in Mars Science Laboratory (MSL) curiosity rover operations and provide tactical science results from the DYNAMIC albedo of neutrons (dan) instrument to the wider MSL science team. we will
CA,CA-16,Seti Institute,80NSSC20K1095 Modification P00004,NSSC - NASA Shared Services Center,"MOUNTAIN VIEW, CA (District 16)",08/09/2024,07/31/2025,"Grant, Grant For Research","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,[None Indicated],,N/A,N/A,"The chemin x-ray diffraction (xrd) instrument, successfully deployed on Mars Science Laboratory (MSL) for more than 7 years, established the quantitative mineralogy of the mars soil, characterized the FIRST habitable environment on another planet, revealed in-situ evidence of martian silicic volcanism, documented the dessication and oxidation of the environment in gale crater during hesperian time, established an upper limit for co2 in the early mars atmosphere, and provided ground truth for orbital measurements."
IL,IL-01,"University Of Chicago, The",80NSSC22K0731 Modification P00004,NSSC - NASA Shared Services Center,"CHICAGO, IL (District 01)",04/26/2024,04/15/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$24,000",$0,[None Indicated],,N/A,N/A,"Mars Science Laboratory (MSL) has ed that gale was once a habitable environment, with flowing water. however, basic unknowns remain, and the Announcement of Opportunity (AO) for this PSP  prioritize[s] through this program element [investigations] that leverage expertise in hydrology to link"
IL,IL-01,"University Of Chicago, The",80NSSC22K0731 Modification P00005,NSSC - NASA Shared Services Center,"CHICAGO, IL (District 01)",09/09/2024,04/15/2025,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$30,385",$0,[None Indicated],,N/A,N/A,"Mars Science Laboratory (MSL) has ed that gale was once a habitable environment, with flowing water. however, basic unknowns remain, and the Announcement of Opportunity (AO) for this PSP  prioritize[s] through this program element [investigations] that leverage expertise in hydrology to link"
MD,MD-07,"Johns Hopkins University, The",80NSSC19K0415 Modification P00005,NSSC - NASA Shared Services Center,"BALTIMORE, MD (District 07)",01/11/2024,03/31/2023,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",$-745,$-745,[None Indicated],,N/A,N/A,"Johnson et AL. (2015) demonstrated that the MSL chemcam spectrometers exhibit sufficient radiometric sensitivity in the 400-840 nm region to allow collection of surface spectral reflectance in passive mode,"
