Acronym,Definition
A/D,Analog to Digital
AA,Associate Administrator
AAA,Avionics Air Assembly
AACES,Advanced Aircraft Concepts for Environmental Sustainability
AAM,Advanced Air Mobility
AANAPISI,Asian American and Native American Pacific Islander-Serving Institutions
AATT,Advanced Air Transport Technology
AAVP,Advanced Air Vehicles Program
ABC,Agency Baseline Commitment
ABRS,Advanced Biological Research System
AC,Alternating Current
ACCESS,Advanced Communications Capabilities for Exploration and Science Systems
ACCP,"Aerosol and Cloud, Convection, and Precipitation"
ACE,Advanced Composition Explorer
ACERO,Advanced Capabilities for Emergency Response Operations
ACF,Analytic Collaborative Frameworks
ACME,Advanced Combustion Microgravity Experiment
ACRES,A Climate Resilient Ecosystem Approach
ACS,Altitude Combustion Stand
ACSC,Advanced Cislunar and Surface Capabilities
ACSI,American Customer Satisfaction Index
ACT,Advanced Component Technologies
ACUC,Animal Care and Use Committee
ACWP,Actual Cost of Work Performed
ADAP,Astrophysics Data Analysis Program
ADAS,Ambulatory Data Acquisition System
ADCAR,Astrophysics Data Curation and Archival Research
ADM,Acquisition Decision Memorandum
ADP,Acceptance Data Package
ADS,Astrophysics Data System
AE,Auroral Electrojet
AEE,Advanced Engineering Environment
AEMC,"Advanced Environmental Monitoring and Control, GFM-2"
AEON,Advanced Engineering Operations Network Portal
AEPEX,Atmosphere Effects of Precipitation through Energetic X-rays
AER,Advanced Exploration Research
AES,Advanced Exploration Systems
AETC,Aerosciences Evaluation and Test Capabilities
AEVA,Advanced Extra Vehicular Activity
AFC,Auxiliary Fluids Container
AFRC,Armstrong Flight Research Center
AFSS,Autonomous Flight Safety System
AFT,Advanced Food Technology
AHLS,Advanced Human Life Support
AI,Artificial Intelligence
AI&P,"Assembly, Integration & Procession"
AI&T,"Assembly, Integration, and Test"
AIA,Asset Inventory Assessment
AIHEC,American Indian Higher Education Consortium
AIM,Aeronomy of Ice in Mesophere
AIML,Artificial Intelligence and Machine Learning
AIRS,Atmospheric Infrared Sounder
AISES,American Indian Science and Engineering Society
AIST,Advanced Information Systems Technology
AITE,Alternative Initiation of Technology Exploration
AL,Air Lock
ALI,Alice-Like Insert
ALP,Advanced Liquid Pumps
ALS,Advanced Life Support
AMMOS,Advanced Multi-Mission Operations System
AMP,Agency Master Plan
AMSU,Advanced Microwave Sounding Unit
AO,Announcement of Opportunity
AOA,Annual Operating Agreement
AOS,Atmosphere Observing System
AOSP,Airspace Operations and Safety Program
AP,Acceleration Projects
APB,Acquisition Program Baseline
APCP,Automated Procedure Control Panel
APG,Annual Performance Goal
API,Application Programming Interface
APID,Application Process Identifier
APL,Applied Physics Laboratory
APMC,Agency Project Management Council
APOM,Assistant Payload Operations Manager
APPL,Academy of Program and Project Leadership
APRA,Astrophysics Research and Analysis
APS,Automated Payload Switch
APSSP,Advanced Propulsion Systems and Space Power
APV,Automated Procedure Viewer
AR,Air Revitalization
ARC,Ames Research Center
ARD,Analysis Ready Data
ARED,Advanced Resistive Exercise Device
ARIEL,Atmospheric Remote-sensing Infrared Exoplanet Large-Survey mission
ARIS,Active Rack Isolation Unit
ARIS-ICE,Aris-Iss Characterization Experiment
ARM,Active Risk Manager
ARMD,Aeronautics Research Mission Directorate
ARR,"Assemble, Test, and Launch Operations (ATLO) Readiness Review"
ARS,Air Revitalization System
ARSET,Applied Remote Sensing Training
AS,Acquisition Strategy
ASBCA,Armed Services Board of Contract Appeals
ASCAN,Astronaut Candidate
ASCB,Avionics Software Control Board
ASCII,American Standard Code for Information Interchange
ASEAN,Association of Southeast Asian Nations
ASI,Italian Space Agency
ASIC,Application-Specific Integrated Circuit
ASM,Acquisition Strategy Meeting
ASMPO,Astrophysics Strategic Mission Program Office
ASPIRE,Aspiring Executive Cohort
ASTER,Advanced Spaceborne Thermal Emission and Reflection Radiometer
ATA,Agency Technical Authority
ATCS,Air Thermal Control System
ATCU,Air Thermal Control Unit
ATD,Advanced Technology Development
ATF,Armstrong Test Facility
ATHINA,Investigation of Diffusion Flame Tip Thermo-diffusive and Hydrodynamic Instability Under Microgravity Conditions
ATI,Advanced Technology Initiatives
ATLAS,Asteroid Terrestrial-impact Last Alert System
ATLO,"Assembly, Test, and Launch Operations"
ATP,Authority to Proceed
AU,Astronomical Unit
AUID,Agency Issued ID
AWE,Atmospheric Wave Experiment
AWG,American Wire Gauge
AoA,Analysis of Alternatives
B1B,Block 1B
B777,Boeing 777
BAA,Broad Agency Announcement
BAC,Budget at Completion
BAD,Broadcast Ancillary Data
BASS,Burning and Suppression Of Solids
BCAT,Binary Colloidal Alloy Test
BCAT-3,Binary Colloidal Alloy Test – 3
BCAT-4,Binary Colloidal Alloy Test – 4
BCAT-5,Binary Colloidal Alloy Test – 5
BCAT-C1,Binary Colloidal Alloy Test CSA Payload-1
BCDCE,Bi-Component Droplet Combustion Experiment
BCOEL,Boiling Heat Transfer & Control of Bubble Motion in Microgravity using Electric Fields
BCPR,Bioastronautics Critical Path Roadmap
BCWP,Budgeted Cost for Work Performed
BDiSL,Buoyancy Driven Instabilities in Single Bubble Sonoluminescence
BEAM,Beaming Energy for Air Mobility
BFF,BioFabrication Facility
BH,Big Habitat
BIO,Biological
BMP,Biomass Production
BOE,Basis-of-Estimate
BOLE,Booster Obsolescence and Life Extension
BPA,Blanket Purchase Agreement
BPOC,Booster Production and Operations Contract
BPRAC,Biological and Physical Research Advisory Committee
BPRR,Biological and Physical Research Rack
BPS,Biological and Physical Sciences
BRE,Burning Rate Emulator
BVX,Bulk Viscosity of Xenon
BWG,Beam Waveguide
BXF,Boiling Experiment Facility
BY,Budget Year
C&C,Command and Control
C&DH,Command and Data Handling
C&T,Communications and Tracking
C&W,Caution and Warning
C3,"Command, Control, Communication"
C4ISP,"Command, Control, Communications, Computers and Information Systems Protection"
CAA,Crew Access Arm
CAD,Computer Aided Design
CADRE,Cooperative Autonomous Distributed Robotic Exploration
CADRe,Cost Analysis Data Requirement
CAI,"Communications, Avionics, and Informatics"
CAIB,Columbia Accident Investigation Board
CAIG,Cost Analysis Improvement Group
CAIV,Cost as an Independent Variable
CAL,Cold Atom Laboratory
CALIPSO,Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation
CAN,Controller Area Network
CANSEI,"Control and Network Systems, Electrical power, and ICS communication officer"
CAPSTONE,Cislunar Autonomous Positioning System Technology Operations and Navigation
CARA,Conjunction Assessment Risk Analysis
CARD,Cost Analysis Requirements Document
CAS,Convergent Aeronautics Solutions
CASE,Contribution to ARIEL Spectroscopy of Exoplanets
CASI,Climate Adaptation Science Investigators
CASIS,"Center for the Advancement of Science in Space, Inc"
CATS,Cloud-Aerosol Transport SysteM
CBE,Current Best Estimate
CBM,Conditioned Based Maintenance
CBT,Computer Based Training
CCA,Clinger-Cohen Act
CCB,Configuration Control Board
CCBD,Configuration Control Board Directive
CCD,Charge-Coupled Device
CCF,Critical Velocities in Open Capillary Channels
CCIAM,Color Camera Image Acquisition Module
CCMC,Community Coordinated Modeling Center
CCP,Commercial Crew Program
CCR,Central Contractor Registry
CCRM,Continuous Cost Risk Management
CCRPP,Civilian Commercialization Readiness Pilot Program
CCRS,"Capture, Contain, and Return System"
CCSC,Collaborations for Commercial Space Capabilities
CCSDS,Consultative Committee for Space Data Systems
CCU,Confocal Control Unit
CDCS,Core Data and Computing Services
CDCSP,Core Data and Computing Services Component
CDD,Capability Development Document
CDF,Common Data Format
CDFF,Commercial Destinations Free Flyers
CDISS,Commercial Destinations for ISS
CDMS,Command and Data Management System
CDOT,Colloidal Disorder-Order Transitions Experiment
CDR,Critical Design Review
CDRA,Carbon Dioxide Removal Assembly
CDRL,Contrac Data Requirements List
CDS,Cargo Delivery System
CDSCC,Canberra Deep Space Communications Complex
CE&R,Concept Exploration and Refinement
CECE,Common Extensible Cryogenic Engine
CECR,Construction and Environmental Compliance and Restoration
CEERS,Cosmic Evolution Early Release Science
CEO,Chief Executive Officer
CERCLA,"Comprehensive Environmental Response, Compensation, Liability Act"
CERES,Clouds and the Earth’s Radiant Energy System
CERISS,Commercially Enabled RapId Space Science
CERR,Critical Events Readiness Review
CESD,Common Exploration Systems Development
CESO,"Center Engineering, Safety, and Operations"
CEV,Crew Exploration Vehicle
CEVIS,Cycle Ergometer with Vibration Isolation and Stabilization
CEVLS,Crew Exploration Vehicle Launch Segment
CFE,Capillary Flow Experiment
CFM,Cryogenic Fluid Management
CFM-2,Candle Flames in Microgravity-2
CFO,Chief Financial Officer
CFT,Crew Flight Test
CG,Center of Gravity
CGBA,Commercial Generic Bioprocessing Apparatus
CGI,Coronagraph Instrument
CGSE,Common Gas Supply Equipment
CHAINS,CHain Aggregation INvestigation by Scattering
CHAPEA,Crew Health and Performance Analog
CHESS,Condensing Heat Exchanger for Space Systems
CHS,Crew Health and Safety
CI,Counter-Intelligence
CIA,Chamber Insert Assembly
CIBER,Cosmic Infrared Background ExpeRiment
CIBS,Coalescence Inhibition of Bubbly Suspensions Experiment
CIF,Center Innovation Fund
CIG,Climate Impacts Group
CIMR,Copernicus Imaging Microwave Radiometer
CIO,Chief Information Officer
CIP,Cybersecurity Improvement Portfolio
CIPHER,Complement of Integrated Protocols for Human Exploration Research
CIPP,Capital Investment Program Plan
CIPS,Cloud Imaging and Particle Size
CIR,Combustion Integrated Rack
CIRBE,CubeSat Inner Radiation Belt Experiment
CIS,Commercialization Innovation and Synergies
CL,Contact Line
CLARREO,Climate Absolute Radiance and Refractivity Observatory
CLDP,Commercial LEO Development Program
CLPS,Commercial Lunar Payload Service
CLV,Commercial Launch Vehicle
CLiDE,Contact Line Dynamics Experiment
CM,Crew Module
CM-2,Combustion Module – 2
CMA,Crew Module Adapter
CMD,Charge Management Device
CME,Coronal Mass Ejections
CMHT,Condensation Module Heat Transfer
CMMS,Computerized Maintenance Management System
CMP,Center Master Plan
CMR,Common Metadata Repository
CMT,Critical Mission Task
CNC,Condensation Nuclei Counter
CNEOS,Center for Near-Earth Object Studies
CNES,Centre National d’Études Spatiales
CODEX,Coronal Diognostic Experiment
COFC,Court of Federal Claims
COFFIES,Consequences Of Fields and Flows in the Interior and Exterior of the Sun
COLLIDE-2,Collisions into Dust Experiment – 2
COMSEC,Communications Security
CONVEI,Collaborative Network for Valuing Earth Information
COR,Cosmic Origins
COSI,Compton Spectrometer and Imager
COTR,Contracting Officer Technical Representative
COTS,Commercial-Off-the-Shelf
COWVR,Compact Ocean Wind Vector Radiometer
CP-2L,CVB/PHaSE-2/PCS-2/LFCA
CPAF,Cost Plus Award Fee
CPAF/IF,Cost Plus Award Fee / Incentive Fee
CPCI,Compact-Peripheral Component Interconnect
CPD,Capability Production Document
CPF,Climate Absolute Radiance and Refractivity Observatory Pathfinder
CPFF,Cost Plus Fixed Fee
CPM,Critical Path Method
CPU,Central Processor Unit
CR,Change Request
CRA,Continuing Resolution Authority
CRISTAL,Copernicus Polar Ice and Snow Topography Altimeter
CRL,Countermeasure Readiness Levels
CRM,Continuous Risk Management
CRP,Constant Rate Production
CRR,Crew Readiness Review
CRS,Commercial Resupply Services
CRT,Contingency Response Technologies
CRWT,Containerless Ripple Wave Turbulence Experiment
CS,Core Stage
CSA,Canadian Space Agency
CSD,Computer Services Division
CSDA,Commercial SmallSat Data Acquisition
CSESP,Citizen Science for Earth Systems Program
CSFM,Cold Stowage Fleet Manager
CSI,CGBA Science Insert
CSLI,CubeSat Launch Initiative
CSLM,Coarsening in Solid-Liquid Mixtures
CSLM-2,Coarsening of Solid-Liquid Mixtures-2
CSM,Crew and Service Module
CSMT,Cold Stowage Management Team
CSP,Communications Services Program
CSSP,Committee for Solar and Space Physics
CST,Commercial Supersonic Technology
CTB,Cargo Transport Bag
CTC,Crew Training Coordinator
CTE-TDEA,Composite Technologies for Exploration -- Thermoplastic Development for
CTO,Chief Training Officer
CURIE,CUbesat Radio Interferometry Experiment
CUVIS,Compact Ultraviolet to Visible Imaging Spectrometer
CV,Cost Variance
CVB,Constrained Vapor bubble
CVIT,Common Video Interface Transmitter
CVIU,Common Video Interface Unit
CVX-2,Critical Viscosity of Xenon-2
CY,Calendar Year
CYGNSS,Cyclone Global Navigation Satellite System
Clean-Flame,Field Effects of Gravity on Lean Premixed Turbulent Flames
CoFR,Certification of Flight Readiness
Con Ops,Concept of Operations
DA,Digital Astronaut
DAA,Deputy Associate Administrator
DAAC,Distributed Active Archive Center
DAD,Decision Action Diagram
DAEP,Deep Space Network Aperture Enhancement Project
DAFT,Dust and Aerosol measurement Feasibility Test
DALI,Development and Advancement of Lunar Instrumentation
DAPR,Dual Anonymous Peer Review
DAR,Defense Acquisition Regulation
DARPA,Defense Advanced Research Projects Agency
DART,Double Asteroid Redirection Test
DAU,Defense Acquisition University
DAVINCI,"Deep Atmosphere Venus Investigation of Noble gases, Chemistry, and Imaging"
DC,Direct Current
DCAM,Dynamic Contact Angle Measurement Experiment
DCC,Dream Chaser Cargo
DCCS,Dream Chaser Cargo System
DCE,Droplet Combustion Experiment
DCE-2,Droplet Combustion Experiment-2
DCM,Diagnostic Control Module
DCMA,Defense Contract Management Agency
DCOI,Data Center Optimization Initiative
DCOTSS,Dynamics and Chemistry of the Summer Stratosphere
DCR,Design Certification Review
DCS,Digital Camera System
DDAP,Discovery Data Analysis Program
DDCE,Dynamics of Droplet Combustion and Extinction Experiment
DDT&E,"Orion Design Development, Test and Evaluation"
DEAP,"Data Science Equity, Access, and Priority"
DECLIC,DEvice for the study of Critical LIquids and Crystallization
DEIA,"Diversity, Equity, Inclusion, and Accessibility"
DFP,Data Flow Plan
DFRC,Dryden Flight Research Center
DFW,Dallas Fort Worth Airport
DID,Deliverable Item Document
DIMPLE,Dating an Irregular Mare Patch with a Lunar Explorer
DIMS,Digital Imagery Management System
DISC,Digital Imaging Star Camera
DLEU,DSN Lunar Exploration Upgrades
DLP,Data Loss Prevention
DLR,German Aerospace Center
DLS,Daily Load Stimulus
DM,Decision Memo
DMB,Data Management Board
DMC,Data Management Coordinator (MSFC POIC Duty Position)
DMO,Command and Data Management Officer (GRC FCF Duty Position)
DMS,Dimethyl Sulfide
DMSP,Defense Meteorological Satellite Program
DO,Delivery Order
DOC,Department of Commerce
DOD,Department of Defense
DOE,Department of Energy
DOP,Daily Operations Plan
DORIS,Doppler Orbitography and Radiopositioning Integrated by Satellite
DOT,Department of Transportation
DP,Delivery Plan
DPC,Daily Planning Conference
DPIV,Digital Particle Imaging Velocimetry
DPR,Dual-frequency Precipitation Radar
